,Unnamed: 0,Colunm 1,Colunm 2,Colunm 3,target,Colunm 4,real_identifier
0,0,13.0,34.51,-93.35,20.0,2.0,0
1,1,45.0,44.97,-118.97,7.0,2.0,0
2,2,14.0,36.78,-90.26,23.0,2.0,0
3,3,33.0,32.38,-105.68,13.0,2.0,0
4,4,43.0,43.17,-116.47,7.0,2.0,0
5,5,15.0,38.59,-94.93,24.0,2.0,0
6,6,21.0,31.15,-95.59,21.0,2.0,0
7,7,38.0,33.91,-103.43,16.0,2.0,0
8,8,46.0,40.73,-117.46,7.0,2.0,0
9,9,9.0,36.74,-75.79,12.0,2.0,0
10,10,18.0,39.49,-85.19,22.0,2.0,0
11,11,41.0,35.18,-108.88,17.0,2.0,0
12,12,20.0,33.59,-94.79,20.0,2.0,0
13,13,35.0,31.45,-104.83,15.0,2.0,0
14,14,48.0,43.99,-122.38,8.0,2.0,0
15,15,10.0,38.93,-76.11,10.0,2.0,0
16,16,19.0,38.13,-86.72,21.0,2.0,0
17,17,40.0,36.28,-110.95,18.0,2.0,0
18,18,22.0,35.71,-98.25,25.0,2.0,0
19,19,37.0,30.81,-106.48,16.0,2.0,0
20,20,50.0,45.91,-124.21,9.0,2.0,0
21,21,12.0,37.93,-77.29,9.0,2.0,0
22,22,25.0,32.98,-100.12,26.0,2.0,0
23,23,39.0,32.49,-107.28,17.0,2.0,0
24,24,16.0,40.65,-92.43,24.0,2.0,0
25,25,29.0,31.2,-102.52,24.0,2.0,0
26,26,34.0,29.67,-105.18,14.0,2.0,0
27,27,47.0,42.59,-121.35,8.0,2.0,0
28,28,7.0,37.18,-74.85,11.0,2.0,0
29,29,23.0,36.32,-96.45,25.0,2.0,0
30,30,36.0,30.19,-106.83,16.0,2.0,0
31,31,51.0,46.46,-125.93,9.0,2.0,0
32,32,11.0,36.64,-76.57,9.0,2.0,0
33,33,26.0,33.25,-101.23,27.0,2.0,0
34,34,38.0,31.64,-108.23,17.0,2.0,0
35,35,12.0,34.27,-109.47,13.0,1.0,0
36,36,19.0,40.16,-87.17,20.0,1.0,0
37,37,24.0,37.68,-93.89,25.0,1.0,0
38,38,28.0,39.61,-98.49,29.0,1.0,0
39,39,35.0,42.98,-74.97,35.0,1.0,0
40,40,4.0,29.53,-120.56,9.0,1.0,0
41,41,21.0,36.31,-92.37,21.0,1.0,0
42,42,41.0,41.37,-75.07,41.0,1.0,0
43,43,9.0,26.46,-114.21,10.0,1.0,0
44,44,31.0,38.44,-104.39,31.0,1.0,0
45,45,46.0,36.88,-80.09,46.0,1.0,0
46,46,3.0,28.79,-122.26,8.0,1.0,0
47,47,25.0,39.93,-90.92,24.0,1.0,0
48,48,38.0,43.31,-79.82,38.0,1.0,0
49,49,13.0,30.51,-109.49,12.0,1.0,0
50,50,29.0,41.17,-96.35,28.0,1.0,0
51,51,42.0,40.05,-76.92,42.0,1.0,0
52,52,7.0,25.31,-115.98,9.0,1.0,0
53,53,39.0,44.55,-83.46,39.0,1.0,0
54,54,14.0,31.58,-108.08,13.0,1.0,0
55,55,26.0,38.19,-94.88,25.0,1.0,0
56,56,30.0,43.83,-95.25,29.0,1.0,0
57,57,20.0,35.51,-91.81,20.0,1.0,0
58,58,22.0,36.98,-92.12,21.0,1.0,0
59,59,48.0,35.19,-81.55,47.0,1.0,0
60,60,15.0,32.13,-107.49,14.0,1.0,0
61,61,23.0,37.22,-93.19,22.0,1.0,0
62,62,18.0,33.91,-86.68,18.0,1.0,0
63,63,40.0,42.64,-78.59,40.0,1.0,0
64,64,6.0,27.36,-119.13,9.0,1.0,0
65,65,29.0,35.45,-93.11,22.0,2.0,0
66,66,39.0,28.49,-114.76,8.0,1.0,0
67,67,25.0,48.24,-72.94,18.0,2.0,0
68,68,14.0,41.38,-92.21,20.0,2.0,0
69,69,31.0,31.17,-125.41,16.0,1.0,0
70,70,41.0,34.91,-120.48,9.0,1.0,0
