,Unnamed: 0,Colunm 1,Colunm 2,Colunm 3,target,Colunm 4,real_identifier
0,0,13.0,38.92,-94.55,13.0,2.0,0
1,1,22.0,42.21,-83.11,20.0,2.0,0
2,2,38.0,35.85,-115.31,7.0,2.0,0
3,3,27.0,31.95,-108.51,16.0,2.0,0
4,4,38.0,41.79,-116.49,7.0,2.0,0
5,5,27.0,33.53,-108.37,16.0,2.0,0
6,6,27.0,44.93,-80.29,12.0,2.0,0
7,7,13.0,38.59,-75.13,11.0,2.0,0
8,8,9.0,41.29,-102.93,18.0,2.0,0
9,9,22.0,41.49,-85.59,20.0,2.0,0
10,10,38.0,43.19,-119.29,7.0,2.0,0
11,11,22.0,29.14,-163.19,15.0,1.0,0
12,12,52.0,40.19,-82.01,20.0,2.0,0
13,13,38.0,42.68,-116.21,7.0,2.0,0
14,14,28.0,40.45,-100.29,25.0,2.0,0
15,15,38.0,40.93,-113.15,7.0,2.0,0
16,16,38.0,40.15,-114.11,7.0,2.0,0
17,17,22.0,30.11,-158.43,15.0,1.0,0
18,18,52.0,39.9,-81.79,20.0,2.0,0
19,19,0.0,66.49,-155.29,29.0,0.0,0
20,20,22.0,40.81,-86.61,20.0,2.0,0
21,21,13.0,39.11,-75.01,11.0,2.0,0
22,22,22.0,30.56,-156.29,15.0,1.0,0
23,23,28.0,40.69,-101.35,25.0,2.0,0
24,24,27.0,34.89,-107.01,16.0,2.0,0
25,25,38.0,39.59,-119.49,7.0,2.0,0
26,26,13.0,39.7,-75.69,11.0,2.0,0
27,27,22.0,31.01,-156.49,15.0,1.0,0
28,28,28.0,41.59,-101.29,25.0,2.0,0
29,29,27.0,36.51,-108.59,16.0,2.0,0
30,30,22.0,31.8,-156.51,15.0,1.0,0
31,31,52.0,40.45,-81.79,20.0,2.0,0
32,32,38.0,40.36,-114.19,7.0,2.0,0
33,33,38.0,38.17,-113.19,7.0,2.0,0
34,34,22.0,30.39,-85.59,20.0,2.0,0
35,35,27.0,37.49,-109.01,16.0,2.0,0
36,36,0.0,63.79,-149.49,29.0,0.0,0
37,37,13.0,39.65,-75.67,11.0,2.0,0
38,38,27.0,33.19,-107.29,16.0,2.0,0
39,39,9.0,41.02,-103.59,18.0,2.0,0
40,40,45.0,40.88,-77.26,10.0,1.0,0
41,41,29.0,33.25,-101.29,18.0,1.0,0
42,42,13.0,39.68,-92.79,25.0,2.0,0
43,43,21.0,22.15,-154.13,16.0,2.0,0
44,44,41.0,41.44,-85.62,9.0,1.0,0
45,45,1.0,68.91,-161.54,29.0,0.0,0
46,46,25.0,36.35,-104.56,13.0,2.0,0
47,47,48.0,40.81,-73.38,20.0,2.0,0
48,48,9.0,38.57,-75.95,12.0,2.0,0
49,49,23.0,41.67,-83.18,8.0,2.0,0
50,50,37.0,38.35,-99.16,22.0,2.0,0
51,51,19.0,40.25,-90.55,24.0,2.0,0
52,52,3.0,68.34,-156.59,30.0,0.0,0
53,53,35.0,34.51,-108.79,21.0,2.0,0
54,54,7.0,38.85,-76.19,12.0,2.0,0
55,55,31.0,42.52,-75.36,11.0,2.0,0
56,56,27.0,35.73,-94.77,23.0,2.0,0
57,57,15.0,39.95,-96.01,27.0,2.0,0
58,58,29.0,33.37,-102.15,18.0,1.0,0
59,59,43.0,38.54,-111.11,7.0,2.0,0
60,60,11.0,22.51,-157.14,16.0,1.0,0
61,61,39.0,40.41,-87.38,10.0,1.0,0
62,62,25.0,36.68,-105.34,13.0,2.0,0
63,63,49.0,40.12,-79.93,21.0,2.0,0
64,64,5.0,40.72,-105.74,18.0,2.0,0
65,65,33.0,41.11,-78.85,11.0,2.0,0
66,66,13.0,39.55,-93.19,25.0,2.0,0
67,67,21.0,22.64,-153.46,16.0,2.0,0
68,68,41.0,41.56,-86.48,9.0,1.0,0
69,69,1.0,68.47,-161.3,29.0,0.0,0
70,70,35.0,34.91,-109.45,21.0,2.0,0
71,71,7.0,38.82,-76.42,12.0,2.0,0
72,72,31.0,42.3,-76.35,11.0,2.0,0
73,73,27.0,35.48,-95.22,23.0,2.0,0
74,74,15.0,39.93,-96.46,27.0,2.0,0
75,75,43.0,38.61,-111.65,7.0,2.0,0
76,76,11.0,22.76,-157.24,16.0,1.0,0
77,77,39.0,40.31,-87.52,10.0,1.0,0
78,78,25.0,36.93,-105.68,13.0,2.0,0
79,79,49.0,40.23,-80.34,21.0,2.0,0
80,80,5.0,40.88,-105.94,18.0,2.0,0
81,81,33.0,41.23,-79.14,11.0,2.0,0
82,82,35.0,35.51,-104.56,16.0,2.0,0
83,83,40.0,46.75,-74.31,13.0,2.0,0
84,84,8.0,38.02,-75.88,11.0,2.0,0
85,85,49.0,36.41,-82.15,19.0,2.0,0
86,86,32.0,41.75,-76.29,12.0,2.0,0
87,87,32.0,33.52,-107.01,14.0,2.0,0
88,88,17.0,38.95,-83.68,19.0,2.0,0
89,89,0.0,68.65,-149.69,28.0,0.0,0
90,90,32.0,43.53,-77.03,12.0,2.0,0
91,91,11.0,20.31,-155.22,15.0,1.0,0
92,92,49.0,38.18,-82.11,19.0,2.0,0
93,93,8.0,39.19,-75.64,11.0,2.0,0
94,94,11.0,20.42,-156.17,15.0,1.0,0
95,95,32.0,42.85,-76.45,12.0,2.0,0
96,96,32.0,44.01,-76.11,12.0,2.0,0
97,97,0.0,65.25,-150.71,28.0,0.0,0
98,98,32.0,35.93,-104.29,12.0,2.0,0
99,99,32.0,40.79,-73.85,12.0,2.0,0
100,100,44.0,40.11,-111.35,6.0,2.0,0
101,101,16.0,36.91,-96.48,26.0,2.0,0
102,102,49.0,40.17,-80.67,19.0,2.0,0
103,103,32.0,41.58,-76.43,12.0,2.0,0
104,104,11.0,20.14,-155.59,15.0,1.0,0
105,105,11.0,20.83,-155.99,15.0,1.0,0
106,106,32.0,44.28,-77.01,12.0,2.0,0
107,107,32.0,42.67,-76.78,12.0,2.0,0
108,108,0.0,69.07,-147.81,28.0,0.0,0
109,109,32.0,39.16,-73.84,12.0,2.0,0
110,110,49.0,40.09,-80.59,19.0,2.0,0
111,111,8.0,39.55,-75.72,11.0,2.0,0
112,112,5.0,40.55,-104.01,17.0,2.0,0
113,113,11.0,20.31,-155.23,15.0,1.0,0
114,114,32.0,34.45,-108.56,14.0,2.0,0
115,115,16.0,36.68,-96.19,26.0,2.0,0
116,116,0.0,69.38,-147.95,28.0,0.0,0
117,117,0.0,64.25,-150.13,28.0,0.0,0
118,118,11.0,21.01,-156.49,15.0,1.0,0
119,119,49.0,40.13,-80.65,19.0,2.0,0
120,120,8.0,39.68,-75.76,11.0,2.0,0
121,121,44.0,37.29,-109.71,6.0,2.0,0
122,122,17.0,38.59,-83.31,19.0,2.0,0
123,123,0.0,67.93,-148.23,28.0,0.0,0
124,124,44.0,40.49,-111.43,6.0,2.0,0
125,125,11.0,20.75,-156.45,15.0,1.0,0
126,126,17.0,37.46,-84.46,19.0,2.0,0
127,127,17.0,37.39,-84.19,19.0,2.0,0
128,128,35.0,32.55,-97.47,13.0,2.0,0
129,129,15.0,60.45,-128.59,25.0,1.0,0
130,130,46.0,39.29,-83.31,18.0,2.0,0
131,131,22.0,36.31,-103.67,10.0,2.0,0
132,132,9.0,41.14,-72.89,12.0,2.0,0
133,133,41.0,36.23,-92.47,5.0,2.0,0
134,134,22.0,39.91,-92.11,10.0,2.0,0
135,135,14.0,61.18,-152.15,24.0,1.0,0
136,136,48.0,39.35,-82.39,18.0,2.0,0
137,137,46.0,39.09,-85.23,18.0,2.0,0
138,138,49.0,41.68,-78.69,20.0,2.0,0
139,139,10.0,40.46,-75.19,8.0,2.0,0
140,140,47.0,39.28,-83.59,18.0,2.0,0
