fork,freemem,lread,freeswap,swrite,runqsz,sread,lwrite,target,scall,wchar,exec,rchar
0.6,90,53,10,152,590,216,49,0,2724,43152,1,31155
0.2,7306,0,1863872,20,1,17,0,98,173,4817,0.2,456
0.2,147,1,1707931,156,2.6,144,0,93,3440,37398,0.2,92394
0.4,129,67,1041139,120,1.4,195,81,90,2332,25770,0.6,159456
0.2,8315,2,1863747,28,1,16,1,98,209,27776,0.2,23130
1,2644,22,1727899,71,2,98,14,93,1016,41764,1.4,27652
0.2,1281,24,1712952,17,3,19,37,95,295,8832,0.2,1028
0.2,7291,1,1865672,32,1.2,22,1,98,229,19298,0.2,10948
0.4,135,6,966686,214,1,327,6,87,2945,54753,0.4,262196
0.2,7731,2,1866403,14,1,10,1,98,214,44773,0.2,9873
0.2,7261,1,1868646,29,1,23,1,98,231,2909,0.2,19505
0.6,169,7,1047085,572,1,588,0,80,2635,572968,2.2,647485
0.2,128,1,1020136,89,1.5,115,1,93,2044,20569,0.2,6558
0.4,90,12,10,161,473,131,10,0,2643,58754,1.8,86268
0.2,7224,0,1847200,9,1,9,0,98,133,4064,0.2,1287
0.2,131,596,1352968,61,5.8,95,0,76,2779,5895,0.2,593425
0.4,135,6,966686,214,1,327,6,87,2945,54753,0.4,262196
0.2,1297,13,1395208,96,2,125,8,95,3154,92992,0.2,49783
0.2,219,1,1017912,107,2.6,167,1,95,2913,23225,0.2,9863
0.4,1883,0,1601197,157,5.6,206,0,90,1724,336338,0.6,134961
1.8,1380,15,972787,100,1,119,13,92,918,18908,2.2,55951
0.2,147,0,1739408,38,1,33,0,97,290,14889,0.2,4367
0.6,205,20,1043048,196,1.2,453,18,88,3442,462125,2.2,459002
1.4,647,6,1069704,56,2.5,108,0,87,1981,15708,2.4,48258
0.2,687,0,1769155,98,1.8,180,0,89,2351,50448,0.2,51956
0.2,128,1,1013904,126,1,199,0,94,5670,50962,0.2,13572
0.2,130,1,1745911,48,1.2,71,0,97,795,25139,0.2,108337
0.4,142,1,1083149,89,2,101,0,95,1624,30563,0.4,7681
0.2,136,84,1752424,95,2,100,95,86,617,94110,0.2,22235
1.2,615,9,1073621,100,1,106,3,87,1626,111663,1.2,261018
1.2,3433,3,1428013,134,2.6,247,0,87,4115,106274,4,199866
0.4,88,10,12,203,226,339,5,0,2074,28309,1,107949
0.6,2180,1,988968,176,3.8,405,1,86,5073,205496,2,437640
0.2,178,2,1085574,77,2.5,104,1,96,1420,23573,0.2,8669
0.2,693,15,1722062,39,2,60,21,96,390,10564,0.2,4844
0.4,158,3,1085613,124,2,148,2,93,1499,34108,0.4,11264
1.8,1476,7,1640208,142,4.4,142,2,91,2595,135818,3.4,261645
0.2,1314,1,1713731,56,3,72,0,98,534,20954,0.2,1687
0.2,297,1,1752533,64,1.4,84,1,97,938,27656,0.2,4789
0.2,5270,0,1856600,17,1,11,0,98,163,5873,0.2,3703
0.2,7293,0,1875112,26,1.2,16,0,97,191,15140,0.2,5571
0.6,151,193,1326901,420,3.8,660,24,88,4132,131040,0.6,225963
0.6,159,7,1519462,103,2.6,121,2,90,3426,53470,0.6,100253
0.2,7728,3,1871744,34,1,28,2,96,325,27823,0.2,93859
0.2,7385,15,1865600,17,1,26,21,97,213,4861,0.2,84647
0.2,7240,13,1863624,15,1,14,19,97,200,4955,0.2,7018
0.2,136,84,1752424,95,2,100,95,86,617,94110,0.2,22235
1.2,402,2,1005952,74,2.6,144,0,88,2422,16746,1.8,66781
0.2,5274,1,1858256,26,1,15,1,98,198,11084,0.2,6998
0.2,95,39,5,40,372,41,56,0,1053,14290,0.2,4447
0.4,88,10,12,203,226,339,5,0,2074,28309,1,107949
0.6,209,6,1026242,100,1,190,2,91,2352,29922,0.8,484452
0.2,297,1,1752533,64,1.4,84,1,97,938,27656,0.2,4789
0.2,7728,0,1871744,65,1.2,136,0,95,1469,32465,0.2,4169
0.2,130,1,1711507,65,3.6,67,0,95,385,48585,0.2,93006
0.2,7293,1,1875112,33,1,12,1,98,192,12015,0.2,8571
0.2,7360,0,1865208,16,1,15,0,99,159,2755,0.2,452
0.2,158,2,1069447,120,1,154,0,92,3504,56584,0.2,6741
0.2,95,39,5,40,372,41,56,0,1053,14290,0.2,4447
0.6,182,9,1068709,150,1,127,7,91,2014,150917,2.2,192523
0.2,147,5,1064287,109,2.2,146,1,92,3343,30929,0.2,6854
0.2,128,1,1013904,126,1,199,0,94,5670,50962,0.2,13572
1.2,150,7,1000069,255,1.4,303,1,80,4504,165346,1.8,164442
0.2,178,2,1085574,77,2.5,104,1,96,1420,23573,0.2,8669
0.2,140,0,1708843,156,2.2,119,0,93,2797,102698,0.2,10956
1.8,82,70,18,152,130,290,75,0,1764,53398,3,363507
0.2,119,23,1016200,120,1,91,33,92,4590,53278,0.2,79232
1.4,607,1,1121238,89,1.3,122,0,91,2638,53356,3.61,57618
0.2,6459,0,1871616,18,1,9,0,99,142,3675,0.2,423
0.2,133,10,1072768,86,2,136,9,94,1370,47389,0.2,121256
0.2,8358,1,1864774,92,1.2,59,1,94,1630,383465,0.2,22811
0.4,137,1,1719968,59,3,108,0,88,660,166176,1,175527
0.6,264,393,1333863,141,3.8,273,404,89,4310,245543,2,224160
0.6,1051,131,1714381,626,2.4,354,3,74,3379,487837,2.2,232824
0.6,159,36,1098501,94,1,117,49,92,1394,23048,2,39790
0.2,1297,13,1395208,96,2,125,8,95,3154,92992,0.2,49783
0.2,7292,1,1863744,14,1.2,14,1,98,191,4533,0.2,7018
0.4,137,6,1753517,62,1,72,5,97,367,13606,0.4,2927
0.2,7731,2,1866403,14,1,10,1,98,214,44773,0.2,9873
0.2,130,8,1044431,300,1.2,367,0,89,1803,229603,0.2,516137
0.2,178,0,1760056,15,2,10,0,97,308,34486,0.2,13642
0.6,217,5,1099789,98,1.7,166,4,93,1506,16612,1.6,94896
0.2,158,0,1013305,69,1,82,0,95,2079,35550,0.2,32768
0.6,238,16,998360,318,1,407,1,82,3837,299801,0.6,284022
0.2,135,1,1057440,145,2,314,0,92,1411,26933,0.2,6590
1.2,329,1,1382184,198,2.8,446,0,83,4732,224578,2.8,120247
0.4,7917,2,1880896,15,1,13,1,98,200,8207,1.2,7798
0.2,178,0,1760056,15,2,10,0,97,308,34486,0.2,13642
0.2,178,0,1013480,67,1,76,0,95,2015,49200,0.2,40551
