fork,freemem,lread,freeswap,swrite,runqsz,sread,lwrite,target,scall,wchar,exec,rchar
0.2,93,5,7,129,632,165,4,0,825,53619,0.2,83366
1.2,1435,33,1307883,213,6.8,287,15,79,4954,82599,1.2,302830
1.8,2476,2,1792690,33,1.4,36,0,84,551,38671,2.99,73886
0.6,121,5,1537819,110,4.2,198,1,83,1636,293691,2.4,766534
0.2,7261,1,1868646,29,1,23,1,98,231,2909,0.2,19505
0.2,178,3,1052728,175,1.5,275,1,90,2573,121425,0.2,271616
1.8,82,70,18,152,130,290,75,0,1764,53398,3,363507
0.4,93,3,7,127,550,456,1,0,1059,632144,0.4,1005339
1.2,1419,14,963726,99,1.6,167,9,85,2521,40725,2,95741
0.2,131,1,1058443,321,2.3,492,0,77,8840,65220,0.2,24851
0.2,8315,2,1863747,28,1,16,1,98,209,27776,0.2,23130
1.6,225,2,1019128,126,1.6,148,1,87,3917,115810,1.8,76308
0.2,7248,1,1875328,17,1,13,1,98,170,11635,0.2,31363
0.2,140,79,1005056,103,1.7,143,101,93,1076,52017,0.2,49908
0.2,266,13,1744447,46,1,40,18,95,262,35952,0.2,962
1,1343,6,1113069,117,1,152,1,89,2745,32916,3.8,12744
0.4,136,3,1051462,112,2,179,1,90,2215,88980,0.4,72784
0.2,131,596,1352968,61,5.8,95,0,76,2779,5895,0.2,593425
0.2,95,3,5,116,165,122,2,0,1894,29548,0.2,5776
0.4,137,1,1719968,59,3,108,0,88,660,166176,1,175527
0.4,129,81,991770,81,1.7,134,80,92,1086,50764,0.4,209409
0.2,178,2,1085574,77,2.5,104,1,96,1420,23573,0.2,8669
0.2,8359,2,1866029,15,1.2,22,1,98,209,9887,0.2,91604
0.2,131,1,1058443,321,2.3,492,0,77,8840,65220,0.2,24851
0.4,1379,4,1468944,147,4.2,331,1,87,4379,17468,0.2,917608
0.2,136,26,1749590,21,1.4,69,38,95,370,6853,0.2,339921
0.6,152,1,979707,88,2,126,0,93,1267,27538,0.6,69701
1.2,153,5,1066347,33,1,40,0,92,1492,19663,1.2,32114
0.2,7199,17,1874051,35,1.2,23,26,96,247,18693,0.2,89718
0.4,178,3,1518803,111,3,147,1,93,2669,208804,0.4,416802
0.2,95,39,5,40,372,41,56,0,1053,14290,0.2,4447
0.2,7548,19,1870232,18,1.2,15,25,97,197,4595,0.2,7457
0.2,7292,1,1863744,14,1.2,14,1,98,191,4533,0.2,7018
0.2,7248,0,1863704,16,1,12,0,98,160,8670,0.2,2085
0.2,132,1,1752387,67,2,40,0,88,335,148559,0.2,15260
0.2,7202,2,1874064,30,1,15,1,97,189,15489,0.2,8656
0.2,219,3,1003526,74,1,94,2,94,842,35144,0.2,14825
0.2,147,5,1064287,109,2.2,146,1,92,3343,30929,0.2,6854
0.2,1334,0,1761776,34,1.2,27,0,97,189,18709,0.2,772
0.2,527,2,976144,99,1.3,138,1,95,1252,21604,0.2,4361
0.2,132,1,1752387,67,2,40,0,88,335,148559,0.2,15260
0.4,129,81,991770,81,1.7,134,80,92,1086,50764,0.4,209409
0.2,7244,2,1861541,17,1,17,1,98,208,8911,0.2,7212
0.6,2728,1,1051227,167,1,166,0,93,2164,93523,2.4,249529
0.6,149,3,1023728,47,2,56,3,96,599,17181,0.8,6105
0.2,131,596,1352968,61,5.8,95,0,76,2779,5895,0.2,593425
0.6,151,2,1119608,89,1.8,105,1,91,1228,100427,0.6,113956
0.2,297,1,1752533,64,1.4,84,1,97,938,27656,0.2,4789
0.2,140,0,1708843,156,2.2,119,0,93,2797,102698,0.2,10956
0.2,93,1,7,98,618,138,0,0,2542,17943,0.2,8835
0.2,7261,1,1868646,29,1,23,1,98,231,2909,0.2,19505
0.2,6876,1,1852733,32,1,16,1,97,298,128171,0.2,8934
0.4,152,0,1386010,178,2.4,231,0,90,4209,229720,0.6,142503
0.2,178,3,1052728,175,1.5,275,1,90,2573,121425,0.2,271616
0.4,212,5,1323400,132,3.8,165,3,92,2562,115023,0.4,372680
0.2,136,1,1709558,141,3,162,1,93,3021,17804,0.2,363439
0.2,281,2,999800,176,1,181,1,90,3898,211636,0.2,12690
0.2,132,1,993843,183,1.5,286,0,87,2361,94948,0.2,154222
0.2,128,1,1020136,89,1.5,115,1,93,2044,20569,0.2,6558
0.6,187,45,1085952,100,2,124,59,90,1734,25273,1.4,19784
0.2,8312,0,1857227,12,1,12,0,97,157,11782,0.2,2251
0.2,8359,2,1866029,15,1.2,22,1,98,209,9887,0.2,91604
0.2,95,21,5,140,560,358,18,0,1395,524929,0.2,498541
1.2,2011,6,1642163,79,2.6,101,1,94,2170,67852,1.2,118152
1.4,1619,6,1538554,50,2.2,63,2,95,988,31804,1,6632
1,2404,13,974149,160,2,180,7,90,2844,25232,0.4,27538
0.2,1080,1,1728701,76,4.2,126,0,94,448,271500,0.2,456419
0.6,91,19,9,226,754,406,16,0,1806,533824,0.4,641052
0.4,178,3,1518803,111,3,147,1,93,2669,208804,0.4,416802
0.2,7730,1,1882360,9,1,8,1,98,161,6201,0.2,6994
0.4,95,22,5,75,367,89,31,0,1564,39031,0.4,31239
0.2,95,7,5,73,155,103,6,0,1844,26099,0.2,29186
0.2,1334,0,1761776,34,1.2,27,0,97,189,18709,0.2,772
0.4,90,3,10,220,468,354,0,0,1617,569846,0.4,592827
0.6,3025,3,1013448,96,2.8,96,2,97,910,17686,2,8324
0.2,158,2,1137550,221,2.6,361,2,84,7028,64418,0.2,38090
1,240,4,1053811,98,1,118,0,89,2410,174195,3.4,115205
1.2,133,3,1703250,44,3.4,74,0,94,1131,8905,1.8,77364
0.2,130,1,1745911,48,1.2,71,0,97,795,25139,0.2,108337
0.4,143,55,1069084,405,1,694,73,88,3374,63171,0.6,45287
0.2,129,1,1016087,31,1,29,0,96,760,15330,0.2,2795
0.4,93,3,7,127,550,456,1,0,1059,632144,0.4,1005339
0.4,159,2,1123099,194,1.3,213,1,86,3723,118240,0.6,126658
0.4,95,22,5,75,367,89,31,0,1564,39031,0.4,31239
0.6,1082,10,1378862,164,3,213,1,88,4521,198081,0.6,158060
0.2,7293,0,1875112,26,1.2,16,0,97,191,15140,0.2,5571
0.6,481,2,1754590,28,1.4,39,0,93,301,16470,0.6,48377
0.2,1334,0,1761776,34,1.2,27,0,97,189,18709,0.2,772
1,238,5,1052554,159,1,187,0,83,2436,255184,1.2,257550
0.2,132,74,1597397,127,4.4,113,39,94,946,145380,0.2,185780
1.8,6792,2,1855616,29,1,30,0,92,330,24991,1.8,62207
0.4,286,10,1096404,137,2.8,222,3,89,2239,44047,0.6,110938
0.2,6879,26,1826264,17,1,15,39,97,219,10163,0.2,15074
0.4,155,1,1095359,112,2,218,1,88,1996,60009,0.4,195971
