proline,color_intensity,ash,alcalinity_of_ash,hue,alcohol,od280/od315_of_diluted_wines,nonflavanoid_phenols,proanthocyanins,magnesium,total_phenols,flavanoids,target,malic_acid
730,3.5,2.18,17.5,1.02,12.65,3.92,0.28,0.7,103,1.95,2.5,1,2.5
580,3.25,2.22,16,0.84,13.05,3.3,0.3,1.13,108,1.52,2.5,0,1.1
1010,4.8,2.36,16.7,1.16,13.2,3.2,0.34,0.68,103,2.1,2.5,1,1.3
680,3.2,2.32,16,0.88,13.1,3.1,0.32,1.02,103,1.53,2.5,0,1.5
680,2.5,2.29,15,0.84,13.1,2.7,0.3,1.13,103,1.56,2,0,2.5
860,2.6,2.52,17.3,1.12,13.65,2.9,0.34,0.53,106,1.6,2.5,1,2.2
850,2.5,2.32,16.5,1.06,13.25,2.85,0.3,0.58,106,1.67,2.5,1,2.3
480,2.85,1.4,22,0.52,13.75,2.42,0.32,1.5,92,1.48,1.45,2,1.5
1035,6.5,1.62,22,0.48,14.15,2.64,0.36,1.75,85,1.5,1.45,1,0.85
550,5.2,1.32,19,0.52,13.8,2.5,0.34,1.35,86,1.62,1.4,1,1.2
850,4.8,1.65,20,0.5,14.2,2.48,0.4,1.5,85,1.4,1.2,1,1.8
690,4.4,1.4,18.5,0.5,13.3,2.5,0.28,1.4,93,1.6,1.3,1,1.8
1120,5.4,1.5,20,0.46,14.15,2.72,0.38,1.5,87,1.5,1.45,1,1.1
710,6,1.25,22,0.58,13.85,2.5,0.3,1.6,94,1.7,1.4,2,0.6
620,2.6,1.05,19,0.56,12.3,2.75,0.38,1.42,104,1.3,1.48,1,0.75
590,5.2,1.4,21,0.45,13.5,2.6,0.31,1.08,105,1.5,1.32,1,1.2
590,4.5,1.3,18.5,0.4,13.5,2.6,0.24,0.92,88,2.4,1.4,1,1.5
680,5.5,1.3,21,0.45,13.4,2.6,0.28,1.32,100,2.2,1.3,1,1.4
680,4.8,1.4,18.5,0.4,13.4,2.6,0.25,0.92,88,2.2,1.4,1,1.8
690,2.5,1.05,19,0.56,12.2,2.75,0.38,1.42,97,1.3,1.48,1,1.05
660,5.2,1.4,21,0.45,13.3,2.6,0.28,1.32,95,2.2,1.3,1,1.5
550,3.1,1.05,19,0.48,13.3,2.65,0.33,1.58,95,1.65,2.3,1,2.65
710,2.8,1.05,20,0.51,13.5,2.4,0.29,1.6,103,1.4,2.3,1,2.25
710,4.1,1.1,22,0.44,13.5,2.3,0.32,1.7,96,1.7,2.3,1,1.5
570,3.3,1.2,17,0.51,12.5,2.4,0.25,1.4,87,1.4,2.4,1,1.6
720,3.5,1.3,20,0.4,13.5,2.7,0.3,1.4,98,2.1,2.6,1,1.2
710,4.8,1.1,22,0.41,13.5,2.6,0.3,1.3,91,1.7,2.6,1,1.85
510,3.9,1.1,18,0.42,13.1,2.7,0.26,1.45,88,1.5,2.2,1,1.9
720,2.75,2.16,21,0.84,13.68,2.63,0.34,1.48,93,2.5,1.42,2,1.35
680,3.6,2.26,18,1.08,13.52,2.4,0.33,1.1,96,1.75,1.12,1,1.52
500,1.65,2.52,19,0.6,13.38,2.28,0.28,1.26,94,1.85,0.92,1,1.32
680,2.7,2.2,17.5,1.04,13.3,2.45,0.31,1.2,88,2.3,1.48,1,1.58
680,2.2,2.28,18,0.88,13.6,2.3,0.35,1.5,96,2.5,1.32,1,1.5
720,3.8,2.16,18,0.84,13.52,2.55,0.3,1.5,98,3.25,1.5,2,1.3
500,2.5,2.2,19,0.58,13.28,2.2,0.29,1.28,98,2.2,1.28,1,1.5
680,3.25,1.58,17,0.73,13.6,2.65,0.39,1.64,105,2.8,0.43,0,1.74
1010,5.2,1.7,15,1.16,12.5,2.58,0.38,1.48,95,3.2,0.4,1,0.93
650,2.8,1.7,18,0.78,13.1,2.67,0.36,1.41,96,3.4,0.41,0,1.68
880,5.25,1.52,14,1.1,12.5,2.56,0.34,1.32,105,3.5,0.39,1,1.17
640,4.2,1.6,17.5,0.76,12.65,2.6,0.39,1.21,88,2.8,0.4,0,1.64
750,2.7,1.72,17,0.73,13.2,2.55,0.4,1.37,97,2.8,0.39,0,1.6
1020,3.7,1.7,15,1.16,12.6,2.53,0.38,1.45,100,3.2,0.4,1,1.1
750,3.4,2.38,20.6,0.75,12.9,2.61,0.56,1.57,105,2.35,1.72,1,2.6
