proline,color_intensity,ash,alcalinity_of_ash,hue,alcohol,od280/od315_of_diluted_wines,nonflavanoid_phenols,proanthocyanins,magnesium,total_phenols,flavanoids,target,malic_acid
540,2.6,2.08,17,0.68,13.05,1.82,0.33,1.48,94,1.65,1.55,1,1.28
1035,4.9,2.4,20,0.58,12.35,2.3,0.24,1.28,92,2.9,1.6,1,0.78
690,3.7,2.35,20,0.64,12.1,2.65,0.28,1.2,85,3.3,2.1,1,0.5
1065,2.9,2.35,22.5,0.6,12.3,2.6,0.23,1.42,88,2.6,2.4,1,0.68
680,2.6,2.2,17.5,0.62,12.6,2.4,0.3,1.06,88,2.7,2.2,1,0.6
750,3.2,2.4,20,0.48,12.15,2.5,0.25,1.35,95,2.7,2.2,1,0.5
740,3.9,2.25,20,0.53,12.05,2.5,0.25,1.2,88,2.9,2.2,1,0.5
510,2.75,1.7,20,0.48,13.85,1.88,0.24,1.26,97,2.48,1.05,1,1.68
630,3.3,2.35,23,0.52,13.3,2.5,0.26,1.48,94,1.95,1.3,0,1.5
650,4.4,2.5,22,0.62,12.5,2.7,0.25,1.24,86,2.2,1.6,0,1.75
680,3.8,2.4,20,0.6,12.8,2.6,0.27,1.38,90,1.8,1.3,0,2.2
1050,2.9,1.6,21,0.6,13.2,2.2,0.22,1.34,96,2.05,1.3,1,2.45
710,2.4,2.3,20,0.48,13.05,2.5,0.26,1.28,98,2.35,1.3,0,1.6
630,3.6,2.2,23,0.48,13.3,2.5,0.26,1.48,94,2.1,1.3,0,1.4
420,5.65,2.03,18.5,0.84,13.37,1.97,0.48,1.26,100,2.5,1.8,1,1.7
510,3.2,2.08,19,0.67,13.17,1.63,0.28,1.25,105,2.9,1.9,1,1.4
720,3.6,1.82,19.5,0.72,12.75,1.65,0.26,1.2,115,2.8,1.6,1,1.8
480,5.1,1.7,17.5,1.07,13.06,2.02,0.49,1.68,92,2.6,2.7,1,2.3
680,3.5,2.1,18.5,0.8,13.4,1.7,0.3,1.25,110,2.65,1.7,1,1.2
630,5.5,2.05,17,0.82,13.28,2.13,0.48,1.55,98,2.6,2.6,1,2.5
760,3.8,1.7,19,0.72,12.45,1.65,0.26,1.2,110,2.8,1.6,1,1.8
1010,3.96,2.58,19.6,1.18,14.88,0.46,0.48,2.55,101,2.7,1.48,1,2.6
1060,3.5,2.64,16.5,1.22,14.2,0.46,0.5,2.6,85,2.4,1.52,0,2.3
640,2.8,2.7,20.2,1.18,13.7,0.46,0.53,2.3,65,2.8,1.72,1,1.9
660,2.65,2.7,18.7,1.16,13.2,0.42,0.42,2.4,75,2.9,1.7,1,2.6
750,3.3,2.76,18,1.13,13.5,0.4,0.41,2.7,78,3.3,1.53,1,1.7
1120,3.1,2.68,19,1.06,14.4,0.52,0.47,2.55,102,2.8,1.62,0,1.75
630,2.4,2.65,19.6,1.1,13.1,0.42,0.46,2.1,57,2.6,1.58,1,1.83
650,2.7,1.45,18,1.16,13.9,2.8,0.45,0.6,104,2.8,0.68,0,1.68
