,input1,input2,input3,input4,input5,input6,input7,input8,input9,input10,input11,input12,input13,input14,input15,input16,class,real_identifier
0,29,91,34,89,65,69,75,50,76,30,82,28,59,11,100,19,6,0
1,1,72,32,98,55,84,45,43,18,15,25,9,67,5,100,0,2,0
2,58,93,50,81,90,96,89,65,85,42,88,44,43,23,0,0,8,0
3,0,83,25,100,60,90,37,29,2,10,17,5,65,6,100,0,2,0
4,35,100,48,85,75,99,86,69,88,28,92,37,46,15,0,0,9,0
5,0,73,37,99,68,82,56,33,39,12,32,7,58,7,100,0,2,0
6,49,100,42,82,53,78,74,58,79,33,87,39,49,18,0,0,5,0
7,0,78,30,100,57,79,48,35,34,14,26,6,63,8,100,0,2,0
8,41,100,44,84,64,89,81,63,82,35,90,40,47,17,0,0,6,0
9,0,75,35,97,63,81,54,34,32,13,28,6,61,7,100,0,2,0
10,45,88,52,100,30,78,35,47,63,12,92,37,68,22,0,9,6,0
11,0,73,37,100,62,93,80,69,54,34,83,25,59,7,15,0,2,0
12,92,77,61,100,100,76,55,73,80,57,94,40,57,0,0,3,8,0
13,29,91,48,100,40,87,25,51,67,0,89,33,63,19,0,11,4,0
14,0,82,30,100,79,86,67,70,56,45,99,29,60,10,23,0,3,0
15,64,98,87,100,100,93,42,88,38,65,85,46,70,0,0,5,7,0
16,12,70,45,100,35,79,18,62,50,0,93,27,55,8,0,12,2,0
17,0,80,34,100,71,91,75,66,62,40,97,31,61,5,18,0,3,0
18,89,94,74,100,100,81,38,77,46,58,90,42,66,0,0,4,8,0
19,19,87,50,100,47,84,27,59,58,0,88,30,58,14,0,9,4,0
20,54,90,22,88,45,67,38,33,12,3,29,41,37,60,99,84,5,0
21,27,75,0,82,18,93,55,60,47,19,76,15,44,10,0,3,1,0
22,93,100,81,97,83,74,72,59,50,42,28,25,18,12,0,0,7,0
23,10,79,5,66,32,45,51,0,85,10,67,58,69,88,34,97,0,0
24,68,95,34,91,68,71,47,40,0,20,30,39,56,26,100,0,3,0
25,88,100,15,76,0,64,85,58,98,89,55,73,35,35,20,0,4,0
26,100,100,73,85,35,58,10,29,0,4,38,0,54,18,7,14,6,0
27,41,88,0,47,12,11,53,0,87,22,95,58,68,89,25,99,0,0
28,75,100,17,83,0,56,82,59,95,88,57,74,38,38,23,0,4,0
29,100,100,69,86,38,60,11,32,0,3,40,0,57,19,6,13,6,0
30,58,93,45,88,22,63,55,0,0,31,81,59,68,91,37,97,8,0
31,72,96,87,100,68,74,71,52,100,25,85,0,38,3,0,11,3,0
32,61,100,32,89,0,60,43,42,100,49,92,55,61,29,27,0,4,0
33,53,70,100,90,48,100,39,67,66,32,40,0,0,24,46,58,8,0
34,90,85,31,79,100,44,81,0,0,14,48,59,94,100,13,82,8,0
35,38,94,21,54,42,12,87,0,100,46,82,88,38,100,0,73,0,0
36,26,100,14,71,0,38,25,19,100,21,90,40,53,36,60,0,4,0
37,54,100,8,85,74,45,94,0,10,20,80,59,100,94,0,93,8,0
38,45,100,24,83,0,50,42,40,100,40,99,69,86,34,86,0,4,0
39,2,68,40,76,76,93,100,100,100,76,97,50,92,24,90,0,1,0
40,35,81,18,54,48,62,96,31,73,37,88,45,58,15,23,0,5,0
41,0,63,27,92,65,100,75,86,94,59,67,33,69,10,41,0,9,0
42,100,100,48,89,12,68,2,39,0,1,53,0,72,18,19,26,6,0
43,30,88,0,77,33,65,100,63,47,98,52,76,37,27,35,0,4,0
44,3,86,38,99,71,84,54,57,97,40,99,14,51,5,0,0,3,0
45,100,98,50,85,17,53,4,25,22,0,73,9,56,20,0,15,6,0
46,98,80,53,94,4,99,5,55,34,49,75,28,48,0,0,8,5,0
47,22,70,46,97,55,63,37,32,10,3,0,11,45,7,99,0,2,0
48,75,90,19,98,28,77,89,76,99,47,91,15,42,0,0,18,9,0
49,8,97,3,61,0,22,26,0,66,17,99,47,90,82,44,87,0,0
50,45,91,57,100,55,81,33,50,22,15,75,34,47,9,0,3,3,0
