target,petal length (cm),sepal length (cm),petal width (cm),sepal width (cm)
1,5.2,5.0,1.5,2.8
0,1.6,4.7,0.2,3.1
1,5.1,6.7,1.3,3.2
0,1.6,5.6,0.3,3.0
2,5.2,6.0,2.3,3.8
2,6.6,6.9,2.4,3.1
1,4.9,6.9,1.3,3.7
0,1.6,5.1,0.2,3.0
0,1.4,4.3,0.2,3.0
2,6.8,6.7,2.1,3.6
2,5.7,6.3,2.5,3.1
2,5.1,6.7,2.7,3.2
0,3.0,5.5,0.2,2.5
1,4.5,6.0,1.8,3.2
1,6.2,6.6,1.5,3.0
2,4.5,6.4,1.2,2.8
1,3.0,4.9,1.3,3.0
0,1.9,4.8,0.2,3.1
0,4.1,5.0,0.2,3.4
0,1.3,4.9,0.2,3.1
1,4.9,6.7,1.5,3.6
0,1.5,4.7,0.3,3.1
0,1.4,4.7,0.2,3.0
1,3.1,6.9,1.3,2.9
2,6.3,6.7,2.2,2.7
1,4.9,6.1,1.5,3.0
0,1.6,4.5,0.2,3.2
1,4.2,6.1,1.4,2.7
0,1.6,4.5,0.3,2.7
1,4.7,6.7,1.0,2.7
