,age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income,real_identifier
0,38,4,186421,10,11,4,9,1,4,0,0,0,45,39,0,0
1,29,0,240192,8,10,5,7,4,2,1,0,0,40,39,0,0
2,44,6,191479,12,9,4,6,3,4,0,0,0,40,39,0,0
3,50,7,143201,14,10,2,10,0,4,1,0,0,40,39,1,0
4,35,4,129043,11,9,4,5,1,4,1,0,0,40,39,0,0
5,46,4,167443,9,13,0,4,4,4,0,0,0,50,39,0,0
6,61,4,205617,11,9,4,3,1,4,1,0,0,40,39,0,0
7,32,2,181371,11,9,5,8,4,2,0,0,0,40,39,0,0
8,26,6,251992,11,9,4,5,3,4,1,0,0,40,39,0,0
9,48,4,123191,1,7,2,3,0,4,1,0,0,45,26,0,0
10,38,4,183421,12,10,3,9,2,4,1,0,0,42,39,0,0
11,29,4,251782,10,8,1,5,3,4,0,0,0,38,39,0,0
12,45,4,117635,14,12,4,11,1,4,1,0,0,50,39,1,0
13,32,4,208843,9,7,2,6,0,4,1,0,0,45,39,0,0
14,48,4,151239,13,11,0,8,4,4,0,0,0,40,39,0,0
15,35,4,292174,11,9,3,10,2,4,1,0,0,42,39,0,0
16,42,4,104940,8,6,1,7,3,4,0,0,0,38,39,0,0
17,51,4,184467,16,14,4,9,1,4,1,0,0,50,39,1,0
18,26,4,262782,10,8,2,5,0,4,1,0,0,40,39,0,0
19,49,4,129382,12,10,0,11,4,4,0,0,0,45,39,0,0
20,31,4,419911,9,13,2,3,0,4,1,0,0,45,39,0,0
21,25,0,151351,11,9,4,0,5,4,0,0,1349,40,39,1,0
22,49,4,293411,15,10,2,11,0,4,1,0,0,50,39,0,0
23,39,6,246579,11,9,3,12,4,2,0,0,0,42,39,0,0
24,51,4,198314,9,13,0,4,4,4,0,0,0,40,39,0,0
25,35,4,412331,15,10,2,4,0,4,1,5918,0,40,39,1,0
26,29,0,133611,11,9,4,0,3,4,0,0,0,35,39,0,0
27,46,4,269841,15,10,2,13,0,4,1,0,0,60,39,0,0
28,41,4,221183,11,9,3,7,4,4,0,0,0,40,39,0,0
29,52,4,248411,9,13,2,3,0,4,1,0,0,45,39,0,0
30,58,4,184446,11,9,2,8,0,4,1,0,0,40,39,0,0
31,31,6,201491,14,15,2,10,0,4,1,0,0,45,39,0,0
32,46,4,162315,9,13,2,8,0,4,1,0,0,40,39,0,0
33,25,0,29215,15,10,4,0,3,4,0,0,0,20,39,0,0
34,38,4,193421,11,9,2,8,0,4,1,0,0,40,39,0,0
35,52,4,174315,11,9,0,12,1,4,1,0,0,60,39,0,0
36,29,6,214823,11,9,4,13,3,4,1,0,0,25,39,0,0
37,44,4,251982,11,9,2,7,0,4,1,0,0,50,39,1,0
38,24,0,38119,15,10,4,0,3,4,0,0,0,20,39,0,0
39,56,4,189421,9,13,2,8,0,4,1,0,0,40,39,0,0
40,38,4,217876,12,9,2,5,1,4,1,0,0,45,39,0,0
41,29,4,284511,10,8,4,9,0,2,1,0,0,40,39,0,0
42,62,4,342193,14,11,2,11,0,4,1,0,0,50,39,1,0
43,20,4,417821,13,10,4,6,1,4,1,0,0,40,39,0,0
44,49,4,308351,16,12,2,12,0,4,1,0,1897,20,39,1,0
45,35,6,183411,8,14,0,4,4,1,1,0,0,48,20,0,0
46,46,4,137628,6,13,2,12,0,4,1,0,0,78,39,1,0
47,24,4,105191,10,9,4,11,3,2,1,0,0,40,39,0,0
48,31,5,121263,5,6,4,4,3,4,1,0,0,40,39,0,0
49,80,4,240255,16,11,2,13,0,4,1,0,0,18,39,0,0
50,41,4,275510,10,12,4,9,1,4,1,0,0,42,39,0,0
51,29,4,198209,14,11,2,5,0,4,0,0,0,38,39,1,0
52,45,2,342198,13,10,4,11,1,4,1,0,0,40,39,0,0
53,39,4,246820,9,14,2,4,0,4,1,0,0,48,39,0,0
54,36,4,221467,8,12,2,3,5,4,0,0,0,43,39,0,0
55,49,6,167218,11,9,2,3,0,4,1,0,0,36,39,0,0
56,52,4,199203,1,7,2,14,0,4,1,0,0,40,39,0,0
57,58,4,444089,1,7,0,12,1,4,0,0,0,40,39,0,0
58,55,4,308082,13,1,4,8,1,4,0,0,0,16,8,0,0
59,61,4,184553,11,9,2,6,0,4,1,0,0,45,39,0,0
60,38,2,219483,10,14,2,9,0,4,1,0,0,55,39,1,0
61,56,4,178421,13,16,6,5,1,4,0,0,0,35,26,0,0
62,29,4,305192,6,9,4,11,3,4,1,0,0,50,39,0,0
63,41,2,261940,8,10,2,7,0,4,1,0,0,45,39,1,0
64,49,4,192340,12,15,2,6,5,4,0,0,0,30,39,0,0
65,36,4,283427,11,12,4,3,2,4,1,0,0,40,26,0,0
66,54,2,143819,9,13,0,10,4,4,0,0,0,60,39,0,0
67,23,4,41219,16,11,4,1,1,4,0,0,0,25,39,0,0
68,46,4,225102,7,10,2,9,0,4,1,0,0,50,39,1,0
69,39,4,309817,14,17,6,8,5,4,0,0,0,20,26,0,0
70,25,4,189211,10,12,1,2,3,4,1,0,0,55,39,0,0
71,38,4,248911,12,10,3,11,1,2,0,0,1398,45,39,1,0
72,42,4,193021,9,14,2,6,0,4,1,0,0,50,39,0,0
73,28,4,227711,15,11,0,9,4,4,1,0,0,40,39,1,0
74,51,4,176521,11,9,2,13,0,4,1,0,0,35,39,0,0
75,44,4,242911,10,12,1,5,3,4,0,0,1875,60,39,1,0
76,32,4,201421,9,13,2,10,0,4,1,0,0,45,39,0,0
77,49,4,215105,11,9,2,8,0,4,1,0,0,40,39,1,0
78,36,4,278521,11,9,2,7,0,4,1,0,0,60,39,1,0
79,46,4,193021,9,14,2,3,0,4,1,0,0,50,39,0,0
80,38,4,235191,10,11,2,5,3,4,1,0,0,45,39,1,0
81,29,4,193412,12,8,4,9,0,4,0,0,0,35,39,0,0
82,42,5,143699,9,13,2,11,4,4,1,0,0,40,39,1,0
83,55,4,284191,11,10,2,3,0,4,1,0,0,50,39,1,0
84,33,4,164823,7,12,2,4,3,4,0,0,0,30,39,0,0
85,48,4,239411,10,9,2,10,0,4,1,0,0,40,39,1,0
86,26,4,192391,1,7,2,3,3,4,1,0,0,35,39,0,0
87,39,5,173412,12,14,2,9,4,4,0,0,0,45,39,1,0
88,51,4,294191,9,13,2,11,0,4,1,0,0,40,39,1,0
89,36,4,203412,11,10,2,5,3,4,1,0,0,50,39,1,0
90,38,4,219847,10,12,0,9,2,4,1,0,0,45,39,0,0
91,29,6,143162,14,11,4,7,3,4,0,0,0,35,39,0,0
92,42,4,201190,12,8,2,11,0,4,1,0,0,40,39,1,0
93,55,6,121182,13,9,0,5,1,4,0,0,0,48,39,0,0
94,33,4,275164,11,10,4,9,3,4,1,0,0,42,39,0,0
95,49,7,145538,15,12,2,10,5,4,0,0,0,38,39,0,0
96,25,4,206367,13,9,0,8,2,4,1,0,0,40,39,0,0
97,44,4,261136,9,11,4,3,0,4,0,0,0,50,39,1,0
98,50,6,128172,12,14,2,4,1,2,1,0,0,40,39,0,0
99,39,4,237206,10,13,0,7,5,4,0,0,0,45,39,0,0
100,22,4,142319,11,9,4,9,3,4,1,0,0,38,39,0,0
101,44,4,167842,11,9,2,10,1,4,1,0,0,42,39,0,0
102,28,4,120489,11,9,4,5,3,4,0,0,0,50,39,0,0
103,32,4,149229,11,9,0,7,4,4,1,0,0,45,39,0,0
104,41,4,183612,11,9,4,2,2,4,1,0,0,55,39,0,0
105,25,4,134820,11,9,4,4,3,4,1,0,0,48,39,0,0
106,50,4,192219,11,9,2,6,1,4,1,0,0,52,39,0,0
107,35,4,161492,11,9,4,8,3,4,0,0,0,40,39,0,0
108,29,4,143819,11,9,0,11,4,4,1,0,0,58,39,0,0
109,48,4,188391,11,9,4,3,2,4,1,0,0,49,39,0,0
110,38,6,219842,10,8,2,4,1,4,1,0,0,42,39,0,0
111,51,2,192911,12,10,4,2,0,1,0,0,0,38,3,1,0
112,41,4,211395,11,9,2,6,5,3,1,0,0,40,26,0,0
113,55,4,203824,11,9,0,1,1,4,0,0,0,40,39,0,0
114,25,4,173495,11,9,2,8,0,4,1,0,0,39,39,0,0
115,50,4,229142,11,9,2,10,0,4,1,0,1556,40,39,1,0
116,19,4,50485,1,7,4,8,3,4,1,0,0,5,39,0,0
117,58,4,206124,2,8,6,7,2,4,0,0,0,48,39,0,0
118,39,6,224876,10,8,2,4,1,4,1,0,0,42,39,0,0
119,52,2,198041,12,10,4,2,0,1,0,0,0,38,3,1,0
120,38,6,248731,10,12,2,9,5,4,0,0,0,45,39,0,0
121,29,4,192118,12,8,4,6,1,4,1,0,0,35,39,0,0
122,53,7,219492,14,11,2,2,0,4,1,0,0,50,39,1,0
123,41,6,261351,9,13,1,11,0,4,1,4000,0,45,39,1,0
124,64,4,149813,16,10,6,5,1,4,0,0,0,40,39,0,0
125,31,2,133491,15,10,2,8,5,4,0,0,0,40,39,0,0
126,46,4,173811,11,9,6,12,4,4,0,0,0,32,39,0,0
127,36,4,161517,0,6,4,5,1,4,1,0,0,40,39,0,0
128,58,7,225191,15,10,2,1,0,4,1,0,1740,40,39,0,0
129,49,6,283429,9,13,1,10,0,4,1,7298,0,50,39,1,0
130,43,4,183421,10,8,3,11,0,2,0,0,0,38,39,0,0
131,51,4,127821,12,10,1,9,3,4,1,0,0,42,39,1,0
132,39,4,249573,9,13,4,7,2,2,0,0,0,35,39,0,0
133,49,4,176456,11,9,2,13,1,4,1,0,0,45,39,1,0
134,53,4,147823,8,11,0,10,3,2,1,0,0,40,39,0,0
135,46,4,213459,9,13,3,5,0,4,0,0,0,38,39,0,0
136,40,4,275982,10,8,4,12,1,2,1,0,0,42,39,0,0
137,47,4,157982,11,9,1,6,3,4,1,0,0,45,39,1,0
138,44,4,239821,9,13,2,8,0,2,0,0,0,35,39,0,0
139,50,4,193456,12,10,4,11,2,4,1,0,0,40,39,0,0
140,38,4,245911,12,14,2,6,0,4,1,0,0,42,39,1,0
141,29,4,267842,11,9,4,14,3,4,0,0,0,45,39,0,0
142,44,4,183995,11,9,2,8,0,4,1,0,0,35,39,1,0
143,55,7,92342,11,9,2,3,0,4,1,0,1485,38,39,1,0
144,48,6,298963,11,9,2,14,0,4,1,0,0,55,39,1,0
145,36,4,221734,11,9,5,9,1,2,0,0,0,50,27,0,0
146,58,4,71168,11,9,6,12,1,4,0,0,0,40,39,0,0
147,22,4,502296,11,9,4,6,3,4,1,0,0,38,39,0,0
148,33,5,149402,7,12,2,12,0,4,1,0,0,42,39,0,0
149,43,4,213995,11,9,2,8,0,4,1,0,0,48,39,1,0
150,38,6,48732,10,10,2,13,0,4,1,0,0,45,39,0,0
151,29,4,272132,12,11,4,9,3,4,0,0,0,42,29,0,0
152,52,0,191005,9,13,6,0,1,4,1,0,0,40,0,1,0
153,22,4,41421,6,6,4,12,3,4,1,0,0,10,39,0,0
154,32,4,62351,11,9,2,7,0,4,1,0,0,40,39,0,0
155,45,6,295649,11,9,4,14,3,4,1,0,0,50,39,0,0
156,36,4,48145,8,11,4,12,1,4,1,0,0,48,39,0,0
157,24,4,53681,11,9,2,6,0,4,1,0,0,40,39,0,0
158,50,0,143154,9,13,6,0,1,4,0,0,0,40,39,1,0
159,39,7,257005,11,9,4,11,3,4,1,2194,0,40,39,0,0
160,38,4,142196,10,8,2,11,1,4,1,0,0,45,39,1,0
161,25,4,208310,6,5,4,9,2,1,0,0,0,30,17,0,0
162,56,4,185021,13,11,3,5,0,4,1,0,0,48,39,0,0
163,34,6,129480,14,16,2,12,5,4,0,0,0,55,39,1,0
164,29,2,160401,14,16,2,11,0,4,1,0,0,42,39,0,0
165,65,4,219021,12,10,3,4,1,4,1,0,0,52,39,0,0
166,44,4,149126,16,12,2,14,0,4,1,0,0,40,39,1,0
167,51,1,205437,8,14,2,2,0,4,1,0,0,58,39,1,0
168,36,4,172196,11,9,2,10,1,4,1,0,0,46,39,1,0
169,22,4,238310,5,4,4,8,2,1,0,0,0,32,17,0,0
170,38,4,219847,10,8,2,5,0,4,1,0,0,30,39,0,0
171,25,4,283191,14,11,4,8,3,4,0,0,0,25,2,0,0
172,47,4,173321,8,12,2,9,5,1,0,0,0,35,36,1,0
173,36,4,105201,16,9,2,6,0,4,1,0,0,45,39,0,0
174,70,2,246523,4,3,2,10,0,4,1,0,0,35,39,0,0
175,22,0,142901,7,6,4,0,3,2,1,0,0,40,39,0,0
176,45,4,199201,9,13,2,11,0,4,1,0,0,40,39,1,0
177,29,4,294531,15,10,2,3,0,4,1,0,0,40,39,0,0
178,21,7,149162,15,10,4,1,3,4,0,0,0,15,39,0,0
179,56,6,34152,11,9,2,14,0,4,1,0,0,50,39,0,0
180,42,4,183421,12,11,2,3,5,4,1,0,0,38,39,0,0
181,38,6,151234,9,14,4,8,1,4,0,0,0,42,39,0,0
182,60,7,201982,11,10,2,9,0,4,1,0,0,45,39,1,0
183,25,4,142195,15,9,4,2,3,2,0,0,0,32,39,0,0
184,49,2,175654,10,16,2,11,0,4,1,0,0,40,39,0,0
185,58,4,191421,12,11,0,5,4,4,0,0,0,38,39,0,0
186,29,0,123654,9,13,4,6,1,4,1,0,0,42,39,0,0
187,44,6,168219,11,10,2,8,0,4,0,0,0,45,39,1,0
188,53,7,205832,10,16,2,10,0,4,1,0,0,40,39,1,0
189,35,4,162351,12,11,4,3,5,4,0,0,0,38,39,0,0
190,38,4,123456,10,14,2,11,0,4,1,0,0,50,39,0,0
191,41,7,98765,12,15,0,2,4,1,0,0,1200,42,39,1,0
192,35,4,54321,8,12,2,13,1,4,1,0,0,48,39,0,0
193,46,2,76543,11,9,4,5,0,4,0,0,1000,38,39,1,0
194,32,1,32109,13,16,2,6,4,4,1,0,0,55,39,0,0
195,44,4,98765,9,13,0,8,1,4,0,0,1100,46,39,1,0
196,36,7,65432,10,14,4,9,0,1,1,0,0,52,39,0,0
197,40,2,87654,12,15,2,3,4,4,0,0,1300,40,39,1,0
198,39,1,56789,8,12,0,7,1,4,1,0,0,50,39,0,0
199,45,4,76543,11,9,4,12,0,4,0,0,1200,42,39,1,0
200,51,3,87653,12,11,1,9,0,4,1,0,0,42,39,1,0
201,28,4,143116,10,15,3,5,1,1,0,0,0,40,39,0,0
202,39,6,103765,14,8,2,6,5,4,1,0,0,45,39,1,0
203,47,1,117059,9,12,0,7,1,4,1,0,0,48,39,0,0
204,55,5,69217,11,10,2,10,0,1,1,0,0,40,19,1,0
205,29,4,131813,13,9,4,1,1,4,0,0,0,40,39,0,0
206,44,2,69794,7,14,2,8,0,4,1,0,0,50,39,1,0
207,34,4,102783,15,11,2,4,5,4,1,0,0,40,39,0,0
208,49,6,113421,10,16,3,12,1,1,0,0,0,40,39,1,0
209,36,1,56923,9,13,2,7,0,4,1,5013,0,40,39,0,0
210,38,4,143942,12,11,2,5,0,4,1,0,0,40,39,0,0
211,49,4,105438,10,8,4,9,3,4,0,0,0,20,39,0,0
212,31,1,181426,13,14,2,7,0,4,1,0,0,40,39,1,0
213,42,4,134382,9,13,2,2,5,4,1,0,0,40,39,0,0
214,55,4,162542,11,9,4,11,4,4,1,0,0,40,39,0,0
215,29,4,129394,15,10,4,8,3,4,0,0,0,20,39,0,0
216,48,1,146598,14,15,2,10,0,4,1,0,0,40,39,1,0
217,36,4,158208,9,13,2,1,0,4,1,0,1887,40,39,1,0
218,26,4,118514,4,3,4,12,3,1,0,0,0,20,40,0,0
219,40,4,151702,12,11,2,6,0,4,1,0,0,40,39,0,0
220,45,4,143219,10,14,2,4,0,4,1,0,0,45,39,0,0
221,38,6,191342,9,12,4,10,1,4,0,0,0,50,39,0,0
222,29,4,213451,11,10,4,3,3,2,1,0,0,40,39,0,0
223,52,4,162351,9,13,0,10,1,4,0,15024,0,40,39,1,0
224,42,4,185219,11,9,6,7,4,4,0,0,0,25,39,0,0
225,35,6,201342,11,9,2,10,0,4,1,0,0,45,39,0,0
226,48,4,149351,9,13,2,10,0,4,1,0,0,35,39,0,0
227,32,4,210219,9,12,4,4,3,4,1,0,0,50,39,0,0
228,50,6,172351,9,13,2,10,1,4,0,15024,0,40,39,1,0
229,44,4,193219,11,10,4,3,3,2,1,0,0,40,39,0,0
230,41,4,391047,10,14,4,6,1,4,0,0,0,38,39,0,0
231,28,4,302846,12,11,4,7,3,4,1,0,0,42,39,0,0
232,51,4,364854,9,13,2,5,1,4,0,0,0,30,39,0,0
233,19,4,195477,3,9,4,10,3,4,0,0,0,25,39,0,0
234,44,4,423119,11,9,4,8,1,4,1,0,0,35,39,0,0
235,62,4,285429,14,10,0,2,1,4,1,0,0,45,39,1,0
236,38,4,317847,8,12,4,9,3,4,0,0,0,32,39,0,0
237,53,4,399129,13,8,2,6,1,4,1,0,0,40,39,0,0
238,25,4,242669,10,14,4,11,3,4,0,0,0,48,39,0,0
239,49,4,380419,12,11,4,4,1,4,1,0,0,38,39,1,0
240,38,4,198753,10,14,2,8,0,4,1,0,0,42,39,1,0
241,52,1,223497,12,10,2,2,0,4,1,0,0,45,39,1,0
242,41,4,135692,9,12,2,6,0,4,1,0,0,38,39,0,0
243,50,4,291432,11,9,2,5,0,4,1,0,0,40,39,1,0
244,28,4,184753,13,8,4,9,3,2,0,0,0,35,39,0,0
245,44,7,259823,15,12,2,11,0,4,1,0,0,48,39,1,0
246,33,2,217824,10,11,2,1,5,4,0,0,0,40,39,1,0
247,58,4,302198,14,10,2,3,0,4,1,0,0,42,39,1,0
248,29,4,142821,12,9,4,8,3,2,0,0,0,38,39,0,0
249,49,1,278459,11,14,2,2,0,4,1,0,0,45,39,1,0
250,42,4,134895,10,8,2,7,0,4,1,0,0,45,39,0,0
251,38,4,217419,12,10,4,9,3,4,0,0,0,35,39,0,0
252,29,2,291854,10,8,2,3,0,4,1,5000,0,55,39,1,0
253,48,4,189119,9,13,2,11,0,2,1,0,0,50,39,1,0
