i,j,X,Y,L
51,233,584127.9593527085,193631.94541903795,-21.082318504302883
56,193,488420.7509688451,187429.10264202027,-20.602986651829635
47,154,484891.33943731594,776247.8107714176,-23.821551721965328
130,155,302602.77500143985,121113.0223051126,-20.566671121534572
161,593,661643.7502675552,1106037.5034035083,-16.79650171908775
94,100,224491.5278772505,75925.02902054967,-36.98685044090398
150,607,638680.4642298203,1131510.6069795757,-19.35249320210067
177,439,661344.5210194323,715945.2756403385,3.1293437178969796
146,37,12555.0,90070.59104792905,-54.7875354594278
153,344,654550.3341402744,410639.168384703,-13.141453215756586
200,375,1068037.5671159723,641932.3386344212,19.72272871033162
36,596,546526.0912900431,1063519.3898435116,-18.099346409699585
140,209,571376.8957930832,200823.68808980763,-18.980588038296023
413,457,1164293.0,701787.9750793512,31.447876930502595
116,193,524355.3302834141,234668.20167080697,-20.36603809132241
87,632,625906.2494222807,1214932.2692746993,-22.161650699080894
133,465,568869.0299199275,765541.3539532985,-9.182080972626817
202,359,764548.0933792243,560932.12719085,3.5900261018189923
43,145,280423.6398414578,164570.27833059366,-22.02045894702998
144,367,669017.1475389135,580923.76192977,3.441505883981197
29,321,489225.3540337595,415092.58894620044,-18.46231015979337
103,616,632031.5091430575,1181502.1779068378,-20.104383342801235
77,619,616326.1898198775,1147834.5164413718,-21.51804032847139
148,417,1021726.5726359969,644005.2232187414,-7.231628408487451
139,332,679452.2405417913,498526.5350742787,10.238460009839105
32,469,479566.7341934777,783380.555329288,-18.494667619466817
50,366,573339.1748639756,539568.885377839,-8.89440714651742
388,348,1048687.3582886762,477499.87064337585,6.691528902935698
105,477,583878.1505710982,655541.6980495204,-17.97823079109709
185,348,747495.2527678246,566780.088805787,3.259192879928552
147,480,579091.0758991969,787198.4904646298,-13.52334107716913
58,620,596253.8912498705,1131689.0715524137,-21.11473998703361
248,203,589979.8513093329,69901.04877928164,-22.725532743412206
103,341,613772.2777051642,464536.8635198483,-4.499705631518264
33,501,521235.0722458295,841000.7566100215,-11.514537202439579
209,680,755027.4822429755,1310829.4809700786,-19.20870645097015
125,349,631753.2220543073,527873.63151733,-5.807042491567802
107,600,627330.5510541828,1133511.3191529305,-18.9003773447496
37,583,601053.9099182884,1110590.0916886583,-18.979980980960597
52,144,332788.9465583228,192274.34340005566,-26.440363899169018
192,621,673519.2649370059,1187375.4630709132,-16.484773453209304
39,393,604914.5181026395,618978.952190482,-5.750051755713361
58,418,482472.75356197805,598505.5192316215,-17.922664973160973
36,348,868052.0128593731,588836.9819346061,-5.2478833726455
70,165,448713.3564355704,201414.1574592233,-30.95054281624237
169,319,745099.7928936747,477954.8479253099,-1.0441636377971797
156,5,58453.62822584965,119129.42640254745,-50.407218738631826
167,581,646381.6195498937,1039592.6009391876,1.8578169442600156
343,426,982793.4344956923,737232.8833314396,-18.374741848731205
38,564,518185.86354508257,1035130.2978191164,-22.32419310810351
103,602,612717.7768639297,1138469.2427621416,-20.598976949710217
45,153,441234.9832767233,146860.98793427114,-21.498919377732335
342,406,1026047.1361977158,646918.0047842815,32.55965567928372
41,188,455418.1194105712,177042.24914078388,-20.245684037312515
118,371,620660.575543196,595579.738051378,-1.9425580539861471
99,388,621208.5052416497,543130.4381973458,0.42137287155579983
35,422,588172.8837862662,712719.3584694882,-20.040704925772744
36,404,406590.23395636224,617092.8447407127,-26.756944674582954
103,571,590212.8041142039,1083782.7776508664,-18.454958867136106
148,74,196371.16657881392,93470.3095461183,-34.65607061562929
51,139,359836.4600488032,179338.5911085184,-30.033258769971283
202,276,742937.6632629525,438438.53051652753,-9.368248102902157
177,578,647310.3935882174,1063652.2690343736,-14.27760411119928
107,516,538516.9006637525,872764.6503844738,-17.321462649587342
121,595,588737.2844488847,1062536.0798951366,-11.266766215927218
103,366,606825.5059246088,523081.2561583934,-2.522144843996191
223,667,758743.9114234133,1194527.9006867947,-16.420899610961627
165,465,612608.7709677732,776084.0230123008,-9.876365115231017
6,602,493602.0456961509,538345.448983127,-19.27087464668789
123,448,609343.1372314539,734814.0871246242,-4.615542979303683
104,630,605580.8928170031,1174870.06570865,-21.008731228373435
118,135,946494.8490721427,519204.2410979903,-15.457400069299066
164,177,616623.6265504411,42011.38883743851,-22.791615897450892
309,328,905067.3331136019,649518.3062648553,-12.001421428343333
332,456,991155.6355357452,786945.4965426843,23.89849225482078
52,152,426556.31930404995,223721.46075650386,-27.83237322527136
162,614,672676.6907959051,1129871.5340259015,-18.571375954899114
43,601,518959.45353154786,1074846.2059859545,-22.327066917271253
168,408,1009518.7950266928,657307.0420331542,7.562166391354321
368,348,957764.2124954205,678312.9052339955,44.758156043912294
149,363,674927.8100870941,548751.3404909775,-3.3274446660702637
80,454,551342.8030938163,642465.7567732581,-17.43740221053504
39,100,294427.9298892424,158760.64861314427,-28.27553658018993
45,391,494917.14766327286,611634.4099328293,-17.955579020380743
91,636,607862.3914938138,1184948.5876000086,-20.7585136310882
34,399,494334.6854927396,616415.9230426904,-15.07689919529314
168,648,712650.8220406991,1212116.917658274,-19.63361405792372
112,140,271683.28165528283,143904.71357042016,-28.786717642918525
163,100,931790.6483686465,459725.3534297523,-2.1692817414176275
397,352,1005849.267580221,526618.8040075675,9.51133959413568
106,182,602116.2770082349,543322.076338389,-17.98001666006674
136,85,220847.64615608577,515831.27501849004,-7.148777728945221
63,447,547123.5298185509,744456.9760341072,-15.625173295995944
365,404,1040479.1829071061,653171.0410409032,2.815631479195618
401,421,1120386.9385738329,665560.5601904999,36.28568583119203
178,210,557725.9328758752,169837.73002533885,-20.149616665396916
52,378,476295.8188420401,529499.391214819,-18.862834791909236
106,352,624857.0548117227,539315.4529035507,-5.391038494380886
153,411,633370.4717910995,672060.5521957603,1.9448024876270154
36,380,531847.109453867,527270.3866128675,-19.16296300917617
150,607,664292.6721245949,1149620.585687939,-16.762983841501168
59,455,520407.3229823462,731126.5359089129,-20.606005871190533
115,320,657873.1719087899,484390.37735254597,-6.424481734045477
36,425,515850.4605831882,681410.6173979071,-9.700825908462601
147,92,318668.2468327358,108958.7362730576,-29.516976303959368
153,452,642100.3908085634,741250.447493141,-1.2651081411631964
138,346,317601.47831461544,518135.0874174114,-11.412385812755058
134,601,627525.8521539536,1106122.934174766,-16.953262045750098
123,643,672625.7933959105,1219018.6061533263,-20.719153391367666
369,405,1046662.5266928853,653145.3741880088,0.9682236518959328
176,453,528160.9965422354,574504.1865751244,-20.216409752530403
139,119,235131.99426930828,108250.77974747468,-34.48136760586132
45,268,460230.69075124955,346412.52228796424,-11.468763373458081
67,388,539519.5693449553,625243.7139518432,-18.760787718075527
60,413,556252.3016656748,650383.4361629675,-20.078221184568108
132,473,579166.4525249031,795658.9868623294,-10.979886476177962
154,427,672661.3761317995,654979.6124364977,0.5198355696759851
209,334,1095348.1243553204,579288.340231722,13.080495092780076
193,386,726002.2906191592,586529.1810175371,0.5281413921600748
54,601,606491.4791137812,1077267.971223364,-9.186127604633793
134,345,608227.3733156202,481648.7696908403,-3.765020340073356
52,122,350468.7756825528,145954.29675307567,-26.340238833390863
100,643,638275.632975399,1230553.1444313664,-21.799280194896873
50,330,564324.1647650539,528628.9756068933,-14.134122953269868
165,629,653364.2984867697,1171124.4482363316,-17.274186784938554
73,489,490932.1539083398,791703.0231475742,-20.509827682185307
207,383,758065.521792057,601934.9062240847,4.962305590301593
344,427,1040596.9857624692,685553.7090890871,37.064058330684254
107,285,610421.3125590029,400412.0723587676,-7.039049431907697
186,352,719207.0837722633,567029.3896553736,3.3491532392432006
208,414,716404.2124282758,693026.419422955,10.164100640125191
167,29,12555.0,3001.2467889996187,-54.80837020003854
201,624,668783.8677889383,632238.7438414508,-13.194378385171905
62,605,568098.0302475691,1119073.5253703557,-18.857367016291846
147,450,646989.7525916146,729450.767395344,-3.4434173694852515
128,89,562934.5597089519,477925.65418831294,-2.238293059812115
200,321,1141634.9786993733,540442.1861985452,8.024583332603406
338,410,1034353.0900491099,622186.1639498346,-3.975014071690069
141,447,615159.1094083945,726356.6190462589,-8.5327389095768
82,351,467978.51716935367,568333.2842477644,-14.681554751351896
91,61,318758.84547557746,103610.9348519131,-37.048031185469306
118,401,613605.3488762832,636416.0703133977,-2.727229678113856
136,352,677829.6788938092,523594.2516070856,-0.5387617591340508
183,366,718611.7760674458,584892.6329324195,0.7858565055914628
169,406,1077059.40954937,641120.3797455961,8.840505062378647
62,154,328953.561686722,550606.7492767636,-26.16006244301683
62,136,357721.59590571636,152140.97000313515,-23.46783395771171
115,176,567491.3690899848,160209.90037986223,-20.324235423598278
113,445,595897.8922132418,1153128.0689033712,-18.27294234792946
147,447,597773.8249558993,749759.600119169,-10.595316066714213
137,220,558576.1416269751,224740.25437801715,-19.17624811625787
154,380,648192.7540451175,1092559.0099998694,-14.022565164649155
136,332,678390.62075494,450796.82473932987,-2.352655532552374
62,486,486660.92287058,852042.8029133927,24.65141813596244
129,310,883764.3435206971,449826.46074435127,0.5673955273694702
138,147,269245.61230086494,88889.76380981869,-29.62565183498913
118,39,75578.06685678047,110205.59116220899,-49.26450440316738
192,358,754109.7637460493,559356.0162348857,1.5653545367667459
56,305,578279.9692776165,460171.0795654273,-14.670571957296628
141,204,594623.8275372018,188216.82832128328,-19.87049833721618
115,415,603951.5524230396,675618.439640951,-3.3455071228605675
100,607,605592.6950303278,1104443.7009522105,-18.99496263452075
122,47,102842.69910325331,100172.77167412452,-51.185395297808796
208,2,12555.0,53501.49967870381,-60.5
364,410,1073333.076348116,620806.4321165541,9.108816015019578
49,145,231702.11768311582,177294.6598589573,-22.431522342320008
198,95,176881.4624275154,6997.286522026057,-42.73516941228815
344,382,1015135.0220075944,627279.3262033812,36.995597930358905
134,456,599952.1023926913,755296.8266258291,-6.506402971597998
150,462,598425.2409849967,755479.375192529,-6.4381015182830295
24,232,404588.5119251467,307206.2198383487,-13.84351952182612
178,71,250821.43784400422,26609.84039635044,-24.500355776460935
34,574,560339.6506979184,1068814.8971830227,-18.096441105318185
385,374,1061367.4140547363,631619.0093689058,37.29776853607745
56,324,912531.5404161646,499487.2047543153,-17.984354673972817
112,50,304980.3823855536,57634.29312350032,-39.283604868807814
139,63,212999.26310373674,73402.47900405561,-40.40745965321895
22,278,429390.8957320312,367211.6657635169,-17.924846920258148
116,373,561132.099988846,1063304.523877008,-19.080256061789694
154,219,611275.7387757126,106249.37448838347,-19.135177518633224
203,88,188200.85719539342,-3672.5,-50.65479721935992
170,242,729117.5952490659,391037.1712450074,-12.898722722494242
137,79,213061.08504280192,71234.22829553217,-43.253136303912484
105,217,563918.6316516447,177111.5180024362,-19.599121119501117
111,329,621635.7101448185,473948.65842647385,-14.786359463483292
81,659,595428.6161655537,1252573.1602427633,-20.92657828695839
66,131,321267.64506055374,176863.02903375684,-31.622588530225478
58,330,642217.5558154557,511027.04951362184,-7.8807358551128806
87,593,582875.1612564728,1082757.9035953972,-24.31893511692916
154,13,83943.45232596382,56843.606907854526,-51.380720489717376
82,298,619688.3569384484,455568.9574453993,-14.977925486366184
53,215,518686.99086252926,648621.932974587,-17.84129450709514
147,2,12555.0,147068.2274034924,-60.5
55,398,476503.3570299942,1059622.9188032101,-23.980617524083343
198,359,756174.6429874962,563716.2605807682,7.051825536163349
124,66,197942.6044829899,154864.8614851996,-37.27698473156865
185,323,747249.1072861841,473891.7112506998,-1.0461137614972706
141,468,609570.2163854775,746795.8172243525,-5.788372438395874
56,54,223725.43577879915,145546.77507513267,-38.335457733726344
229,283,802206.9786483123,442936.3602731406,-2.3052890832774597
112,120,346927.00968964177,88801.59749839833,-33.473672014843686
47,636,611991.8217692673,1191058.2555031995,-25.59485358505046
367,422,1067430.4267384883,677321.7030782319,38.69801722865061
63,207,500420.35834685393,634657.2030554133,-17.997049697573996
190,620,669484.1160358281,1133731.1707130882,-15.27990314388444
36,349,496123.0120955255,494616.7624620523,-16.376325880750386
55,137,368665.686720324,70948.13282508653,-24.598038425101088
133,362,661312.013334793,544313.5231601965,-15.167993421340306
440,422,1157145.6459913987,624827.1169243988,47.781689477895235
49,116,318683.6382784882,172233.52679127277,-31.009487686334072
100,588,600124.2396211849,1113234.3456028686,-21.845428943948612
108,388,587794.5010021994,605408.7393423871,-14.018143185019776
157,644,674816.9214163321,1173982.55131834,-18.124328826226783
63,309,571977.712333555,464105.47573760664,-7.154812584755426
64,98,141384.76952229635,147533.9447680456,-41.84358288294938
370,404,1033793.7175745456,676363.3877318241,36.761383074201305
59,680,606905.1820677848,1311984.3,-26.06262979200031
122,447,563530.5894701384,746070.3685555344,-17.24534917643183
200,650,747504.0588259189,1180622.6470263656,-18.39466011887509
142,210,549333.9564364705,240232.74126913855,-19.857859850105097
186,395,712029.4698131462,613390.2257897772,-1.9150317321032144
134,627,643413.4376921738,1172644.752541183,-21.92623352879852
361,397,1018273.2228785434,645888.0438341113,40.50708807624434
101,104,325488.15172872704,82067.19618113001,-32.35889909185951
142,287,605178.9283283405,385670.43542379525,-19.689554849612634
209,460,667511.0338908,777411.7194560446,8.352561052027077
183,302,1034097.3423599764,480479.65377418714,10.470102621112563
192,47,105494.0909376856,31923.88016817384,-50.420453511300835
32,332,508883.84866285813,435635.2947098329,-18.34936729097819
50,389,496298.527335983,602854.5828009376,-17.523242157208234
65,192,490486.66027672053,1290559.2248514662,-21.980221230004275
189,207,639991.3929131033,147116.3053608931,-18.437553534260005
121,201,574703.374139515,139954.364141426,-19.707709211845142
66,358,579772.9697761481,468358.8056386995,2.3961072330056084
61,422,567567.9651325659,599925.9117915733,-18.802449257334132
388,466,1084907.4231744255,741193.4264559197,7.333872578619836
303,445,916829.7025365107,688376.8782538389,-1.8594496974305876
129,570,608193.6436894333,1054047.7524596683,-17.754210757639857
141,297,824426.3271178459,486672.123644123,-15.308410367953522
49,312,683330.1629309619,474679.2958619562,-3.174355443758783
162,68,184841.23803216487,88747.83877150985,-39.96874298139031
158,305,697641.7342102723,453803.5396003184,-9.052111494480068
116,401,601210.9571785395,579228.8817667438,-14.432999171980958
26,434,486406.1026138214,631551.536936909,-20.560072357957797
50,147,263346.07335221145,165384.12209251677,-22.240271013416226
145,477,607007.8857499168,805471.9786846627,-3.3220524988419395
123,174,517341.8149951724,160351.51398512302,-22.210972461830146
167,647,703527.6650654793,1234233.8901462578,-18.98293946578474
149,173,602621.633152318,158157.02984836613,-19.500836179465722
190,417,1034378.9856785632,685007.2636375043,10.840509818551897
126,263,659003.4880375982,435091.9422063506,-13.423822103821157
75,585,543154.4566491519,1046745.7929541088,-17.702110187678823
112,84,245011.23552797042,75638.27608033593,-35.21105877589227
19,82,205859.56669449052,152704.0794025509,-32.84651423816294
183,460,675242.6569600368,775094.8705116963,-2.910194394457017
189,628,623507.2979258992,1160340.832202466,-13.958988719828827
141,98,301679.2705903609,124646.78581652427,-31.28828218314372
288,456,530019.6403267995,766111.3612065311,-11.766904264551538
91,259,577047.1817365573,394622.22123739775,-18.475107800996433
110,91,429788.0772284175,160415.64996876102,-46.93141450848137
119,613,632508.6899407151,1156602.476640904,-19.390460940325447
85,142,491694.9685920681,85574.39752942418,-21.920470162856205
126,292,597549.6971441673,1006213.2511067386,-16.962212753130565
223,358,771691.8969226307,594953.633029014,-0.07201343773874491
192,556,630157.338621888,1037572.6876702732,-17.513757192904244
135,370,650589.1530974816,568560.6113168157,-6.126721406947435
35,270,463018.36356607196,385047.1002057004,-16.41202854516652
137,400,672801.9852486298,615744.0423884379,3.1367291220999967
103,593,603315.67259807,1077833.9312229706,-20.176481179097795
106,141,505056.6166505273,203818.54362551973,-27.929941573602093
87,548,546509.7920036162,1022211.1749034718,-19.116434768615576
134,208,546182.1652378773,197032.0484024717,-20.193108328492944
299,410,1001065.5939057127,640339.3134070531,32.273124116801185
108,156,474477.2264639003,175693.0904177712,-22.611520069962538
208,440,720550.956908549,701432.2583497431,-0.8060660669447035
