i,j,X,Y,L
70,506,497243.4,879308.3,-18.6
274,426,876179.4,674785.6,17.7
86,346,590256.3,516913.7,-7.5
32,362,519971.6,540335.8,-11.7
72,334,563459.1,496173.7,-11.2
324,404,993408.0,672759.4,25.4
172,254,701890.6,295306.3,-16.0
70,294,536828.8,428906.5,-13.3
234,304,824650.7,508795.8,5.0
102,416,611741.0,637083.5,-12.5
40,360,531487.9,537449.5,-10.3
430,400,1154136.8,658911.3,42.3
70,312,547834.1,458783.3,-12.3
188,500,638698.3,866111.6,-12.5
86,432,591229.0,661856.1,-13.0
82,316,571533.5,463298.2,-11.5
172,496,623257.8,852749.5,-9.3
28,536,475203.7,994172.8,-19.6
100,334,607879.7,496986.1,-6.7
168,554,612763.8,1022485.8,-11.9
64,84,264965.3,126229.3,-33.5
154,116,324504.1,23890.6,-32.6
132,530,569650.3,959220.9,-12.6
24,386,537634.8,575951.4,-16.5
52,452,541283.4,690994.2,-13.4
84,318,576066.7,466762.6,-11.1
42,558,533677.1,1045406.7,-17.6
126,380,645693.9,580979.7,1.4
232,400,787903.6,625892.3,9.4
110,212,539271.6,228321.7,-19.9
140,498,584569.0,856486.2,-10.3
156,490,608895.6,832239.1,-9.4
154,382,680597.1,589427.9,2.0
144,170,479805.6,99420.5,-27.4
88,224,524417.0,280035.1,-19.9
106,648,644466.0,1230488.1,-21.8
30,674,602637.0,1298132.8,-24.6
104,52,152168.9,103833.4,-60.5
114,512,550146.3,901547.8,-14.7
152,226,629087.2,211090.0,-17.2
342,412,1036853.2,681907.9,29.3
136,368,660368.9,563202.9,0.4
98,86,251351.0,90937.1,-34.8
302,358,936806.7,627710.5,17.5
14,324,424922.7,511034.5,-13.4
182,592,651903.5,1092629.4,-15.1
130,288,644069.5,404625.1,-10.9
44,480,470149.6,779062.0,-21.7
120,634,649914.0,1194390.3,-19.3
156,392,679711.8,605686.2,2.5
104,248,571148.4,320729.4,-17.1
52,474,492862.9,760606.5,-20.2
148,636,672357.3,1197894.4,-18.1
16,654,577507.0,1258085.0,-24.9
68,606,603583.0,1131980.6,-23.0
46,452,536344.8,688202.9,-14.3
86,240,535364.4,316902.4,-18.0
36,542,499646.2,1010977.5,-17.9
118,152,418405.5,108129.1,-30.3
160,570,621441.2,1053455.0,-14.8
338,404,1028210.2,671417.9,27.9
298,436,931733.9,701312.0,21.5
