Netpay,Tectonic regime,Basin name,Oil recovery factor,Gas recovery factor,Latitude,Permeability,Operator company,Longitude,Country,Region,Hydrocarbon type,Porosity,Structural setting,Reservoir status,Gross,Reservoir unit,Depth,Lithology,Condensate recovery factor,Period,Onshore/offshore,Field name,Oil density
3.6,0,115,0.12,0.79,55.114,1000,155,-119.019,8,6,5,28,2,2,3.6,375,812.5,11,0.513,7,1,405,887.147
24.6,4,2,0.353,0.7,40.114,1000,160,62.991,49,3,5,26,4,2,35.4,3,1332,11,0.513,12,1,186,860.182
12.9,0,78,0.353,0.73,43.06,0.8,128,-105.279,48,6,2,8,9,2,180,390,2790,6,0.353,7,1,246,815.562
6.3,0,117,0.38,0.76,48.1,5,110,72.7,44,3,5,13,10,5,21,286,1710,9,0.513,12,1,269,839.763
6.9,4,39,0.28,0.707,30.69,100,34,-96.29,48,6,3,17,2,2,14.1,83,4443,11,0.56,12,1,232,766.938
3.6,0,117,0.46,0.79,48.852,60,4,-101.175,48,6,5,20,3,2,8.4,34,990,9,0.513,4,1,71,815.562
8.4,0,113,0.28,0.86,50.66,5,110,-111.285,8,6,2,8.7,2,2,25.5,348,2482.5,9,0.27,7,1,405,775.342
15.6,0,89,0.38,0.84,61.583,1000,171,75.183,36,3,5,25,3,7,30,316,1034.8,11,0.513,7,1,269,946.488
16.8,0,89,0.34,0.817,61.583,100,166,75.183,36,3,5,18,3,2,30,317,2518.4,11,0.513,7,1,397,829.912
6.3,0,78,0.49,0.777,44.039,30,4,-105.143,48,6,5,12,2,6,21,320,2595,11,0.477,7,1,219,842.764
45,0,75,0.3,0.66,31.429,0.4,110,-102.29,48,6,5,6,2,6,135,290,1710,6,0.513,21,1,290,865.443
4.5,0,75,0.4,0.783,32.768,1,110,-103.456,48,6,5,5,2,6,12,133,1440,6,0.513,21,1,412,815.562
36,0,75,0.38,0.79,32.766,8,110,-103.716,48,6,5,6,2,2,120,290,1290,6,0.513,21,1,294,815.562
24.6,0,89,0.4,0.76,61.583,10,166,75.183,36,3,5,16,3,2,33.3,372,2310,11,0.513,7,1,392,839.763
30,0,115,0.26,0.79,52.838,20,24,-3.23,46,1,5,10,2,2,39,356,4440,11,0.513,7,2,319,839.763
45,9,63,0.27,0.8,58.279,100,155,0.231,46,1,5,17,6,2,102,265,2038.2,11,0.513,21,0,335,839.763
57,0,15,0.47,0.913,36.617,2,110,-100.386,48,6,5,10,3,2,90,118,3000,6,0.353,4,1,290,842.764
9.9,0,117,0.353,0.77,48.271,0.2,110,-102.891,48,6,5,10,2,5,12.9,83,982.5,6,0.513,4,1,109,820.29
13.8,9,74,0.5,0.83,34.236,100,99,-119.129,48,6,5,12.933,11,6,75,319,3000,11,0.483,15,1,290,815.562
120,0,104,0.5,0.66,27.767,10,152,50.783,6,5,5,13,2,8,195,25,2027.5,9,0.513,12,1,283,815.562
