Netpay,Tectonic regime,Basin name,Oil recovery factor,Gas recovery factor,Latitude,Permeability,Operator company,Longitude,Country,Region,Hydrocarbon type,Porosity,Structural setting,Reservoir status,Gross,Reservoir unit,Depth,Lithology,Condensate recovery factor,Period,Onshore/offshore,Field name,Oil density
13.8,0,115,0.427,0.77,53.265,100,155,-115.279,8,6,5,10,2,2,21.3,385,1560,11,0.513,9,1,406,825.073
7.8,0,3,0.44,0.913,39.766,0.1,110,-101.716,48,6,2,10,2,6,24,333,989.5,6,0.513,21,1,241,810.888
15.6,2,63,0.31,0.71,56.262,300,155,3.553,30,1,5,26,6,6,33.6,108,2115.6,11,0.513,12,0,155,834.808
24.6,2,9,0.27,0.433,37.917,100,160,118.283,9,2,5,10.467,6,5,225,162,2782.8,11,0.27,17,1,433,887.147
36,9,39,0.38,0.76,30.41,0.5,34,-96.21,48,6,5,8.2,1,2,120,311,4716,11,0.513,17,1,275,766.938
9.9,2,9,0.24,0.73,40.149,10,191,120.839,9,2,5,13,6,2,13.8,118,2813.2,11,0.27,17,1,437,887.147
6,0,117,0.4,0.8,44.039,0.5,4,-105.478,48,6,5,5,3,5,30,232,3900,6,0.493,7,1,163,792.574
9.9,0,113,0.22,0.783,50.1,0.2,110,-111.1,8,6,5,6,2,2,24,311,2430,6,0.513,7,1,388,839.763
45,0,85,0.4,0.8,35.383,10,3,-119.661,48,6,5,10,2,6,60,290,3000,6,0.547,15,1,396,842.764
120,2,40,0.46,0.633,28.236,500,13,33.369,13,0,5,21,6,2,180,308,2129.1,11,0.513,15,0,30,815.562
14.7,9,113,0.49,0.66,55.343,400,91,54.678,36,3,5,19.667,4,7,44.2,155,1638,11,0.513,7,1,262,849.85
30,0,75,0.49,0.76,32.767,5,34,-103.62,48,6,5,9,2,2,105,290,1275,6,0.513,21,1,294,842.764
9.9,0,117,0.447,0.633,48.852,7,4,-101.092,48,6,5,12,3,6,36,231,2485.5,6,0.353,4,1,219,810.888
33,0,89,0.34,0.823,61.583,10,177,75.183,36,3,5,13,3,2,120,371,2220,11,0.513,7,1,294,825.073
21.6,4,64,0.44,0.778,60.587,2000,166,2.892,30,1,5,20,6,5,30,58,2220,11,0.513,12,0,391,829.912
7.8,0,75,0.48,0.71,32.766,8,61,-103.716,48,6,5,8.2,2,2,25.5,290,1680,6,0.513,21,1,172,815.562
30,9,63,0.45,0.757,58.459,1000,155,0.262,46,1,5,28,6,2,195,299,1983,11,0.513,12,0,335,839.763
63,4,63,0.3,0.637,57.056,100,34,2.069,46,1,5,20,6,2,66,185,4449.6,11,0.547,12,0,129,844.776
6.3,0,3,0.373,0.89,36.272,0.8,110,-100.262,48,6,2,5,2,6,45,2,1200,9,0.513,4,1,108,775.342
60,0,78,0.45,0.837,30.882,100,152,48.936,35,5,5,16,2,2,195,1,1034.8,9,0.513,7,1,190,839.763
15.6,4,36,0.32,0.777,41.514,25,110,-82.894,48,6,5,20,3,5,30,22,1746,11,0.513,7,1,93,915.858
30,2,63,0.47,0.73,56.567,800,155,3.086,30,1,5,28,6,5,195,185,2799.9,11,0.353,12,0,24,839.763
9,0,117,0.44,0.66,48.1,25,155,9.53,26,1,5,11,10,2,13.8,317,2025,9,0.513,7,1,240,834.808
10.8,2,56,0.43,0.71,70.327,1000,22,-148.019,48,6,5,20,5,6,14.1,58,2605.2,11,0.353,17,0,387,881.62
18.6,0,115,0.31,0.77,53.229,60,110,-115.801,8,6,5,10.5,2,2,30,375,2430,9,0.353,9,1,305,820.29
19.8,4,63,0.44,0.77,57.056,1000,178,2.069,46,1,5,25,6,5,30,185,2250,11,0.513,12,0,186,825.073
13.8,0,113,0.38,0.86,51.928,100,110,-114.54,8,6,5,10,2,5,36,361,2310,9,0.353,9,1,375,829.912
10.2,4,64,0.4,0.83,60.893,1500,166,2.913,30,1,5,20,6,6,12.3,58,2250,11,0.513,12,0,391,834.808
6,0,3,0.38,0.89,36.272,1,110,-100.734,48,6,5,8.2,2,6,45,290,4443,6,0.513,4,1,248,779.614
18,0,89,0.3,0.83,61.583,120,155,75.183,36,3,5,16,3,6,30,317,2310,11,0.513,7,1,388,839.763
30,0,75,0.3,0.82,31.92,0.5,4,-104.51,48,6,5,6,2,6,120,118,2520,6,0.513,21,1,241,825.073
6.9,4,63,0.24,0.86,55.114,1000,155,5.137,15,1,5,28,6,2,12.3,25,2027.5,11,0.513,7,0,65,825.073
12,4,63,0.397,0.86,56.262,100,44,3.554,30,1,5,25,6,2,36,345,2798.8,11,0.27,12,0,316,834.808
6.9,0,75,0.3,0.777,31.433,0.1,34,-102.29,48,6,5,5,2,5,60,88,825,6,0.513,21,1,246,849.85
7.8,0,115,0.447,0.8,51.928,0.1,110,-114.54,8,6,2,6,2,5,36,361,2385,11,0.447,4,1,179,777.9
7.8,0,3,0.47,0.913,36.272,0.1,110,-100.578,48,6,2,9,2,6,105,118,4713,6,0.513,4,1,348,779.614
6.3,0,117,0.38,0.76,50.66,5,4,-112.1,8,6,5,10,2,5,45,232,2550,6,0.353,7,1,186,810.888
7.8,0,113,0.27,0.76,52.283,0.4,4,-114.269,8,6,2,7,2,5,24.6,121,2550,11,0.353,7,1,65,775.342
24.6,9,40,0.3,0.83,28.8,1000,69,33.1,13,0,5,28.5,11,7,69,255,1627.7,11,0.513,7,1,47,860.182
6.9,0,115,0.27,0.677,51.928,0.5,110,-114.54,8,6,3,10,2,2,24.6,85,2550,6,0.27,4,1,345,825.073
60,0,75,0.43,0.83,32.768,1.5,110,-103.798,48,6,5,9,2,6,90,290,1275,6,0.513,21,1,413,892.744
12.9,0,78,0.353,0.73,43.06,0.8,128,-105.279,48,6,2,8,9,2,180,390,2790,6,0.353,7,1,246,815.562
36,0,75,0.28,0.827,32.767,5,110,-103.641,48,6,5,11,2,6,120,290,1650,6,0.513,21,1,247,842.764
24.6,0,89,0.4,0.817,63.583,120,169,53.75,36,3,5,17,4,2,30,318,2258.7,11,0.513,7,1,430,865.443
19.8,0,78,0.26,0.71,36.272,0.4,128,90,9,2,5,8.2,2,2,44.4,213,4423.2,11,0.627,7,1,216,876.161
6.9,0,115,0.3,0.817,51.928,15,106,-114.54,8,6,5,9.5,2,6,36.3,290,2430,9,0.353,7,1,124,820.29
24.6,0,37,0.31,0.717,41.29,10,191,-110.1,48,6,5,14,2,2,133.1,204,3281.8,11,0.547,7,1,139,865.443
15,0,115,0.26,0.73,52.238,120,155,143.219,36,9,5,14,3,2,45,316,1596.3,11,0.513,15,1,132,881.62
4.5,0,89,0.22,0.633,61.583,100,34,75.183,36,3,5,20,3,2,21,371,2310,11,0.513,7,1,275,881.62
21.6,0,117,0.45,0.73,48.271,3.6,4,-102.638,48,6,5,9,3,5,30,232,2485.8,6,0.353,4,1,188,844.776
10.2,0,117,0.28,0.79,48.75,0.1,34,-100.92,48,6,2,4,2,2,180,108,2520,6,0.353,4,1,348,825.073
7.2,0,75,0.427,0.77,32.388,1.5,110,-102.554,48,6,5,6,2,6,21.3,118,1275,6,0.513,21,1,413,815.562
33.9,9,63,0.28,0.707,57.667,1000,178,2.833,30,1,5,25,6,2,66.3,15,2118.6,11,0.56,12,0,130,839.763
14.7,0,3,0.397,0.913,36.272,0.4,128,-100.892,48,6,5,11,2,6,29.4,290,4443,6,0.493,7,1,24,810.888
6,0,117,0.4,0.66,48.852,4,4,-101.175,48,6,5,11,3,2,36,232,990,6,0.513,4,1,127,854.985
30,0,117,0.3,0.757,48.852,0.1,77,-101.175,48,6,5,6,3,5,120,231,2700,9,0.353,4,1,72,810.888
3.6,0,89,0.22,0.633,61.583,1000,166,75.75,36,3,5,30,3,2,8.4,24,791.8,11,0.513,7,1,371,881.62
45,2,64,0.27,0.433,61.204,100,155,1.716,46,1,5,20,6,2,198,58,2664.6,11,0.27,12,0,355,839.763
6,0,117,0.327,0.84,48.1,2.6,110,-102.47,48,6,5,10,3,5,36,232,2550,6,0.27,4,1,110,810.888
12.3,0,89,0.34,0.677,61.583,7.3,169,75.183,36,3,5,13,3,2,30,365,2310,9,0.513,7,1,378,839.763
9.3,0,115,0.397,0.71,53.229,10,110,-115.602,8,6,2,11,2,2,12.9,123,2430,6,0.353,7,1,395,792.717
6.9,4,13,0.4,0.778,23.1,500,114,72.417,17,2,5,28,6,2,147.6,108,885,11,0.513,17,1,150,921.824
8.4,0,113,0.28,0.86,50.66,5,110,-111.285,8,6,2,8.7,2,2,25.5,348,2482.5,9,0.27,7,1,405,775.342
8.1,0,75,0.447,0.8,32.975,8.2,128,-104.029,48,6,5,9.9,2,6,36,290,993,6,0.513,21,1,308,815.562
13.8,2,64,0.35,0.77,61.129,1000,166,2.358,30,1,5,20,6,5,22.5,58,1670.5,11,0.513,12,0,382,839.763
27,0,89,0.48,0.82,61.38,0.5,4,75.81,36,3,5,9,3,5,2460,338,2460,11,0.513,7,1,391,881.62
11.7,0,113,0.46,0.81,51.928,120,110,-114.54,8,6,5,11.8,2,5,39,319,2280,9,0.513,7,1,70,820.29
11.7,9,40,0.28,0.84,27.767,20,114,33.567,13,0,3,18,6,2,44.4,308,2997,11,0.547,7,1,105,777.046
4.5,0,117,0.397,0.913,48.271,0.4,128,-103.532,48,6,5,10,3,6,12,232,982.5,6,0.513,4,1,189,825.073
10.2,0,89,0.327,0.84,67.47,1000,34,-149.678,48,6,5,30,2,5,34.5,88,1986,11,0.513,7,1,354,959.322
45,0,37,0.46,0.83,42.262,0.5,4,-107.334,48,6,2,10,2,2,75,256,1650,6,0.513,7,1,219,842.764
7.8,0,3,0.47,0.86,37.417,1.5,128,-102.702,48,6,5,12,2,6,25.5,52,1447.5,6,0.513,21,1,93,865.443
75,4,63,0.45,0.8,56.268,2000,155,2.069,46,1,5,28,7,2,84,108,2118.9,11,0.513,21,0,130,881.62
8.1,0,115,0.38,0.773,51.928,30,110,-114.54,8,6,5,10,2,2,75,319,1710,9,0.513,9,1,110,829.912
45,0,115,0.447,0.817,52.338,10,155,-113.792,8,6,5,10,2,6,75,373,1620,9,0.513,9,1,249,839.763
45,4,63,0.28,0.73,56.567,10,155,3.085,30,1,5,20,7,2,480,58,3306,11,0.4,12,0,392,829.912
12,0,75,0.38,0.86,32.768,7,110,-103.62,48,6,5,8.3,2,2,180,290,1140,6,0.513,21,1,413,849.85
15.6,2,64,0.34,0.757,60.587,1000,166,2.913,30,1,5,20,6,2,21.6,58,2310,11,0.513,12,0,391,825.073
15.6,9,115,0.3,0.81,48.852,1000,110,3.102,15,1,5,25,11,5,36.9,14,2262.9,11,0.513,15,0,21,844.776
7.8,0,78,0.27,0.71,44.039,7,110,-105.279,48,6,5,10.333,3,6,21,344,2595,6,0.353,7,1,186,825.073
7.2,0,3,0.397,0.89,39.766,7.2,128,-101.083,48,6,2,10.5,2,13,12.9,105,1452,6,0.513,7,1,186,779.614
12.9,0,89,0.3,0.77,61.583,200,169,75.183,36,3,5,17,3,5,24.3,378,2310.6,11,0.513,7,1,391,839.763
7.8,9,40,0.52,0.83,28.196,1000,61,-91.62,48,6,5,28.5,1,5,44.4,218,2982,11,0.547,15,0,297,876.161
4.5,0,3,0.4,0.83,36.272,0.2,110,-100.29,48,6,2,9,2,5,75,184,3423,6,0.547,4,1,173,758.713
6,0,117,0.3,0.827,48.798,5,4,-101.175,48,6,5,10,3,6,30,231,1440,6,0.513,4,1,219,842.764
36,0,37,0.38,0.82,36.617,7,34,118.767,9,2,3,1.8,2,6,1800,160,2845.2,6,0.27,15,1,265,876.161
60,4,63,0.47,0.707,55.4,500,155,5.368,11,1,5,20,7,2,90,108,2090,11,0.56,12,0,391,825.073
18,0,75,0.46,0.84,32.766,3,110,-103.578,48,6,5,11,2,2,39,118,825,6,0.513,21,1,294,842.764
24.6,9,102,0.32,0.73,40.149,0.8,128,62.991,49,3,5,12.667,2,2,69.9,389,2038.2,11,0.513,12,1,435,839.763
24.6,0,78,0.353,0.633,42.9,8,128,-105.1,48,6,2,10.667,2,2,90,75,3900,11,0.493,7,1,147,779.614
6.9,2,9,0.29,0.73,37.917,1000,160,118.283,9,2,5,28.333,6,2,105,162,1795.5,11,0.513,17,1,438,959.322
63,0,37,0.45,0.81,41.615,15,4,-108.825,48,6,5,13,2,6,90,232,1440,11,0.513,4,1,110,815.562
5.3,0,117,0.28,0.83,48.852,0.5,110,-101.338,48,6,5,10,3,5,36,274,988.5,9,0.513,4,1,247,854.985
6.9,0,117,0.35,0.778,48.271,50,110,-103.554,48,6,5,14,3,2,12.9,86,982.5,11,0.513,4,1,205,849.85
13.8,9,115,0.5,0.66,48.271,200,110,2.844,15,1,5,23,11,5,21.3,93,2250,11,0.513,12,1,130,834.808
18.9,0,75,0.397,0.89,32.766,0.1,110,-103.634,48,6,2,10,2,2,36,88,990,6,0.513,21,1,411,777.9
24.6,0,75,0.46,0.73,31.92,5,34,-103.716,48,6,5,6,2,6,180,118,1230,6,0.513,21,1,348,792.717
18,0,104,0.25,0.61,26.983,0.1,152,49.683,37,5,5,10,2,5,36,240,2460,9,0.513,7,1,437,820.29
33,0,75,0.35,0.76,31.399,0.1,110,-102.29,48,6,5,8,2,5,180,290,1410,6,0.513,21,1,294,815.562
12.9,4,95,0.35,0.77,1.296,500,30,101.23,18,2,5,28,4,2,81,95,66,11,0.513,15,1,20,921.824
57,0,85,0.46,0.63,35.383,1.5,128,44.033,43,5,5,11,10,5,69.3,344,3087,6,0.27,12,1,43,829.912
13.2,2,63,0.5,0.66,57.056,1000,34,2.069,46,1,5,25,6,5,21.3,371,1677,11,0.513,12,0,129,839.763
30,0,75,0.38,0.77,31.429,0.1,34,-102.443,48,6,5,5,2,6,120,290,1740,6,0.513,21,1,296,839.763
4.5,0,89,0.15,0.757,61.583,35,169,75.183,36,3,5,17,3,5,12,382,2250,9,0.513,7,1,385,839.763
7.2,0,89,0.46,0.83,61.583,100,77,75.183,36,3,5,20,3,2,12.3,372,2250,11,0.513,7,1,367,825.073
13.2,0,75,0.4,0.76,31.62,30,46,-103.23,48,6,5,10,2,5,36,118,2550,6,0.513,21,1,172,820.29
57,4,63,0.353,0.42,56.65,1000,34,3.199,46,1,5,28,7,7,144,58,2798.8,1,0.27,8,0,376,844.776
7.2,0,115,0.41,0.783,53.229,2,110,-115.801,8,6,5,10.5,2,5,24.6,285,1560,9,0.513,9,1,350,834.808
24.6,9,66,0.35,0.73,70.327,50,22,-148.019,48,6,5,20,5,2,105,399,600,11,0.513,12,1,367,959.322
27,0,75,0.48,0.827,32.767,0.1,69,-103.33,48,6,5,9,2,6,120,290,1275,6,0.513,21,1,150,825.073
45,9,66,0.4,0.61,70.342,200,22,-148.472,48,6,5,13.333,5,2,180,381,2625,11,0.353,12,1,391,842.764
12,0,115,0.44,0.73,52.238,0.4,4,-114.471,8,6,5,5,2,6,90,8,2430,6,0.353,7,1,241,820.29
6.9,0,113,0.41,0.61,51.142,7,110,-114.542,8,6,3,11,2,2,90,344,2310,6,0.353,7,1,175,839.763
24.6,0,117,0.45,0.66,48.859,25,4,-101.142,48,6,5,14,3,5,30,7,1448.7,9,0.513,4,1,219,844.776
60,9,3,0.49,0.89,38.21,100,128,117.06,9,2,5,20,6,2,196.8,160,2267.7,11,0.513,17,1,438,860.182
57,0,75,0.447,0.65,32.766,5,110,-102.531,48,6,5,6,2,5,90,290,1680,6,0.447,21,1,349,829.912
60,0,78,0.5,0.61,40.149,1000,110,-109.29,48,6,5,28,2,2,1260,256,1140,11,0.513,4,1,70,904.153
24.6,2,64,0.49,0.778,60.587,1000,166,3.094,30,1,5,20,6,2,30,58,2699.7,11,0.547,12,0,391,834.808
36,0,115,0.43,0.783,53.65,10,110,-116.12,8,6,5,10,2,5,157.5,354,2430,9,0.353,9,1,70,829.912
6.9,0,3,0.45,0.83,36.272,0.1,128,-100.716,48,6,2,10,2,2,36,81,4447.5,11,0.513,7,1,297,788.301
11.4,0,115,0.4,0.73,55.114,8.9,34,-114.432,8,6,5,11.8,2,5,36,83,2430,11,0.353,7,1,347,825.073
15.6,0,75,0.27,0.84,31.749,0.6,110,-102.443,48,6,5,6,2,6,30,118,1740,6,0.513,21,1,396,815.562
6.9,4,13,0.47,0.707,23.568,100,114,72.175,17,2,5,20,6,5,177,148,1332,11,0.56,17,1,216,829.912
8.7,0,117,0.28,0.84,48.852,0.6,4,-101.143,48,6,2,10,3,5,36.9,83,2.5,11,0.27,4,1,189,775.342
15.6,4,63,0.32,0.73,56.262,200,155,3.355,30,1,5,20,7,7,24.6,185,2272.5,11,0.27,12,0,155,825.073
13.8,9,74,0.5,0.83,34.236,100,99,-119.129,48,6,5,12.933,11,6,75,319,3000,11,0.483,15,1,290,815.562
7.8,0,3,0.45,0.83,36.272,0.1,110,-100.262,48,6,2,10,2,2,45,118,4440,11,0.513,4,1,48,779.614
