,Col 1,Col 2,Col 3,Col 4,Col 5,Col 6,Col 7,Col 8,Col 9,Col 10,Col 11,Col 12,Col 13,Col 14,Col 15,target,Col 16,Col 17,Col 18,Col 19,Col 20,Col 21,Col 22,Col 23,real_identifier
0,143.0,329.0,25.0,3.0,51.0,2.0,22.1111,-15.3846,101.0,0.0,4.0,3.0,5.0,2010.0,13.0,11.0,210.0,48.0,16.0,120.0,881.2345,0.41,-1.0,-1.0,0
1,91.0,317.0,39.0,2.0,43.0,1.0,18.1818,-28.5714,131.0,1.0,4.0,4.0,6.0,1560.0,11.0,11.0,270.0,60.0,20.0,80.0,819.4211,0.36,-1.0,-1.0,0
2,187.0,248.0,30.0,4.0,69.0,2.0,35.2941,-50.0,118.0,0.0,3.0,3.0,4.0,2340.0,15.0,11.0,240.0,54.0,18.0,60.0,853.1234,0.38,-1.0,-1.0,0
3,168.0,291.0,41.0,3.0,55.0,1.0,26.3158,-21.0526,145.0,1.0,5.0,5.0,7.0,1980.0,12.0,11.0,300.0,66.0,22.0,100.0,869.8765,0.42,-1.0,-1.0,0
4,219.0,263.0,36.0,5.0,61.0,2.0,40.9091,-55.5556,129.0,0.0,4.0,4.0,5.0,2520.0,14.0,11.0,210.0,51.0,19.0,80.0,845.6789,0.39,-1.0,-1.0,0
5,153.0,308.0,44.0,3.0,49.0,1.0,23.8095,-30.7692,141.0,1.0,5.0,5.0,6.0,2160.0,13.0,11.0,270.0,63.0,21.0,120.0,871.2345,0.4,-1.0,-1.0,0
6,194.0,278.0,38.0,4.0,65.0,2.0,33.3333,-44.4444,135.0,0.0,4.0,4.0,5.0,2400.0,15.0,11.0,240.0,57.0,20.0,100.0,851.1111,0.37,-1.0,-1.0,0
7,181.0,295.0,42.0,3.0,59.0,1.0,27.027,-24.2424,151.0,1.0,5.0,5.0,7.0,2280.0,14.0,11.0,300.0,69.0,22.0,120.0,875.6789,0.41,-1.0,-1.0,0
8,208.0,269.0,40.0,4.0,67.0,2.0,36.3636,-50.0,143.0,0.0,4.0,4.0,5.0,2520.0,16.0,11.0,240.0,60.0,20.0,100.0,859.0123,0.38,-1.0,-1.0,0
9,161.0,304.0,45.0,3.0,53.0,1.0,25.3968,-28.9474,149.0,1.0,5.0,5.0,6.0,2220.0,13.0,11.0,270.0,66.0,22.0,120.0,873.4567,0.4,-1.0,-1.0,0
10,217.0,201.0,14.0,3.0,101.0,1.0,39.4693,67.9821,119.0,1.0,5.0,6.0,5.0,1823.5,10.0,8.0,82.5,29.7,10.0,1200.0,859.391,0.42,-1.0,0.51,0
11,299.0,262.0,12.0,4.0,109.0,2.0,46.2191,81.4319,141.0,1.0,5.0,7.0,6.0,2314.2,11.0,9.0,61.5,22.5,14.0,1600.0,891.011,0.38,-1.0,0.72,0
12,191.0,131.0,20.0,5.0,99.0,4.0,28.554,59.185,123.0,0.0,5.0,8.0,7.0,2012.8,13.0,8.0,48.0,20.4,22.0,1300.0,846.369,0.49,-1.0,0.64,0
13,246.0,294.0,15.0,3.0,108.0,2.0,44.219,76.431,135.0,1.0,5.0,6.0,5.0,2108.5,12.0,9.0,70.5,25.2,16.0,1500.0,874.011,0.45,-1.0,0.83,0
14,176.0,239.0,19.0,4.0,105.0,3.0,34.554,65.185,128.0,0.0,5.0,7.0,6.0,1934.8,14.0,8.0,58.5,23.4,20.0,1400.0,859.369,0.52,-1.0,0.75,0
15,312.0,251.0,13.0,2.0,102.0,1.0,41.469,69.982,131.0,1.0,5.0,6.0,5.0,2219.5,11.0,9.0,80.5,28.2,15.0,1700.0,893.011,0.43,-1.0,0.81,0
16,229.0,203.0,16.0,3.0,107.0,2.0,38.219,66.431,137.0,1.0,5.0,7.0,6.0,2053.2,13.0,9.0,65.5,24.2,18.0,1600.0,876.011,0.48,-1.0,0.84,0
17,187.0,185.0,17.0,4.0,100.0,3.0,32.554,61.185,125.0,0.0,5.0,8.0,7.0,1888.8,15.0,8.0,53.5,21.9,23.0,1300.0,853.369,0.55,-1.0,0.76,0
18,294.0,278.0,14.0,3.0,110.0,2.0,45.219,75.431,140.0,1.0,5.0,6.0,5.0,2395.5,12.0,9.0,75.5,26.7,17.0,1800.0,907.011,0.46,-1.0,0.82,0
19,262.0,242.0,18.0,4.0,104.0,3.0,36.554,63.185,132.0,0.0,5.0,7.0,6.0,2002.8,14.0,8.0,60.5,23.1,21.0,1500.0,869.369,0.53,-1.0,0.79,0
20,293.0,311.0,24.0,4.0,74.0,3.0,41.4693,93.2116,141.0,1.0,4.0,4.0,6.0,2839.8,10.0,12.0,151.0,101.0,20.0,500.0,701.912,-1.0,-1.0,0.8,0
21,245.0,296.0,30.0,5.0,96.0,2.0,29.2683,-67.3397,129.0,1.0,3.0,5.0,4.0,3013.2,8.0,10.0,187.0,114.0,22.0,800.0,918.4127,-1.0,-1.0,0.9,0
22,198.0,259.0,42.0,4.0,82.0,1.0,56.0533,76.9497,163.0,1.0,4.0,3.0,5.0,2354.2,9.0,13.0,221.0,142.0,28.0,400.0,-1.0,-1.0,-1.0,0.7,0
23,316.0,286.0,38.0,3.0,99.0,0.0,67.1,78.5167,187.0,1.0,2.0,2.0,3.0,1054.2,7.0,11.0,210.0,132.0,30.0,330.0,-1.0,-1.0,-1.0,0.7,0
24,251.0,273.0,8.0,6.0,115.0,9.0,65.2629,-126.8559,61.0,1.0,5.0,2.0,10.0,344.4,9.0,2.0,127.5,72.9,-1.0,4.0,834.8083,0.4,-1.0,-1.0,0
25,211.0,242.0,48.0,6.0,115.0,9.0,48.8208,-112.2007,99.0,1.0,5.0,6.0,2.0,630.0,7.0,11.0,14.1,4.8,-1.0,110.0,834.8083,0.3,-1.0,-1.0,0
26,281.0,261.0,8.0,6.0,115.0,9.0,65.2629,-126.8559,61.0,1.0,5.0,2.0,10.0,344.4,9.0,2.0,127.5,72.9,-1.0,4.0,834.8083,0.4,-1.0,-1.0,0
27,187.0,335.0,33.0,2.0,70.0,0.0,-6.4347,143.2116,34.0,1.0,5.0,2.0,10.0,1525.2,7.0,11.0,98.4,90.0,13.0,600.0,810.8883,-1.0,-1.0,-1.0,0
28,262.0,297.0,36.0,3.0,89.0,0.0,66.0533,76.9497,183.0,1.0,2.0,2.0,3.0,1054.2,7.0,11.0,210.0,132.0,30.0,330.0,-1.0,-1.0,-1.0,0.7,0
29,201.0,251.0,48.0,6.0,115.0,9.0,48.8208,-112.2007,99.0,1.0,5.0,6.0,2.0,630.0,7.0,11.0,14.1,4.8,-1.0,110.0,834.8083,0.3,-1.0,-1.0,0
30,245.0,201.0,10.0,3.0,81.0,1.0,43.6282,97.3519,118.0,1.0,4.0,5.0,3.0,2751.8,14.0,10.0,151.2,81.9,18.0,1200.0,854.321,0.51,-1.0,-1.0,0
31,173.0,262.0,12.0,5.0,69.0,3.0,31.4211,51.4691,141.0,0.0,4.0,4.0,5.0,2967.3,11.0,9.0,123.6,58.2,15.0,900.0,819.4211,0.39,-1.0,-1.0,0
32,228.0,189.0,9.0,2.0,96.0,2.0,40.1053,102.7895,129.0,1.0,3.0,5.0,4.0,2598.2,16.0,11.0,187.2,94.5,20.0,1100.0,863.1579,0.59,-1.0,-1.0,0
33,198.0,221.0,11.0,4.0,85.0,1.0,36.3158,99.4737,122.0,1.0,4.0,6.0,3.0,2821.9,13.0,10.0,163.8,86.4,19.0,1300.0,848.4211,0.49,-1.0,-1.0,0
34,268.0,193.0,10.0,3.0,92.0,2.0,44.7368,104.3158,135.0,1.0,4.0,5.0,4.0,2709.1,15.0,11.0,199.2,101.4,21.0,1200.0,859.4737,0.55,-1.0,-1.0,0
