,alcohol,malic_acid,ash,alcalinity_of_ash,magnesium,total_phenols,flavanoids,nonflavanoid_phenols,proanthocyanins,color_intensity,hue,od280/od315_of_diluted_wines,proline,target,real_identifier
0,13.21,2.24,2.31,20.0,109.0,2.45,2.15,0.23,1.9,5.7,0.95,3.05,990.0,0.0,0
1,12.83,2.98,2.54,23.0,115.0,1.57,1.45,0.26,1.32,8.2,0.49,1.45,495.0,2.0,0
2,12.45,1.08,2.09,18.5,85.0,3.8,3.25,0.18,1.72,4.6,1.18,2.78,430.0,1.0,0
3,13.62,1.85,2.53,21.0,119.0,2.75,2.65,0.21,2.32,6.4,0.99,3.15,1150.0,0.0,0
4,12.98,5.6,2.18,22.0,89.0,2.5,2.5,0.32,1.92,2.7,0.72,3.05,390.0,1.0,0
5,11.72,2.18,3.3,29.0,120.0,3.3,5.1,0.49,1.95,6.2,0.94,3.75,480.0,1.0,0
6,14.12,2.2,2.65,18.0,123.0,2.7,2.55,0.33,1.22,5.2,1.07,3.65,1310.0,0.0,0
7,12.4,3.9,2.4,22.0,89.0,2.25,0.88,0.52,1.08,7.7,0.55,1.54,530.0,2.0,0
8,12.3,1.78,2.15,19.5,82.0,1.7,2.1,0.38,1.68,3.5,1.02,3.2,515.0,1.0,0
9,12.1,1.88,2.35,19.0,83.0,1.65,1.55,0.53,1.67,2.5,1.09,2.3,490.0,1.0,0
10,13.12,1.89,2.25,18.8,96.0,2.78,2.56,0.29,1.61,6.23,1.12,2.71,1120.0,0.0,0
11,12.56,0.87,2.08,17.6,90.0,2.15,1.98,0.35,1.09,4.85,1.01,1.67,390.0,1.0,0
12,13.91,2.14,2.52,21.0,102.0,1.65,0.78,0.38,1.42,5.12,0.69,1.45,630.0,2.0,0
13,14.03,1.42,2.65,20.5,118.0,3.12,3.05,0.27,1.79,7.89,1.18,2.93,1420.0,0.0,0
14,12.24,1.12,2.14,18.2,87.0,2.36,2.14,0.31,1.37,4.35,1.32,3.05,310.0,1.0,0
15,13.65,2.68,2.42,19.8,98.0,1.87,0.92,0.41,1.58,5.98,0.76,1.92,720.0,2.0,0
16,14.32,1.93,2.74,22.5,125.0,3.56,3.45,0.28,2.03,8.21,1.27,2.89,1580.0,0.0,0
17,12.89,0.99,2.06,16.4,89.0,2.08,1.54,0.43,0.98,3.92,1.29,1.78,400.0,1.0,0
18,13.45,2.33,2.38,19.2,95.0,1.74,0.81,0.36,1.47,5.43,0.72,2.01,700.0,2.0,0
19,13.02,1.26,2.22,17.8,92.0,2.29,2.11,0.33,1.31,4.67,1.16,2.64,580.0,1.0,0
20,12.89,1.94,2.45,21.0,92.0,2.67,2.24,0.28,1.63,4.03,0.97,2.66,533.0,1.0,0
21,13.42,1.37,1.83,17.0,76.0,2.87,3.02,0.25,2.31,5.12,1.06,3.24,489.0,1.0,0
22,12.67,2.24,2.68,20.0,89.0,2.52,2.15,0.32,1.54,3.79,0.98,2.47,398.0,1.0,0
23,13.17,1.45,2.14,19.5,87.0,2.39,2.05,0.34,1.49,3.53,1.09,2.89,507.0,1.0,0
24,12.29,1.89,2.07,21.0,84.0,2.07,1.78,0.43,1.17,3.02,1.15,2.32,461.0,1.0,0
25,13.36,2.01,2.74,22.5,95.0,2.77,2.41,0.28,1.79,4.23,0.96,2.73,624.0,1.0,0
26,12.74,1.28,1.92,16.5,79.0,2.21,1.95,0.26,1.36,3.18,1.01,2.99,455.0,1.0,0
27,13.01,2.63,2.81,23.0,100.0,2.93,2.56,0.37,1.88,4.41,0.93,2.61,587.0,1.0,0
28,12.48,1.71,2.24,20.0,86.0,2.48,2.16,0.31,1.51,3.65,1.02,2.76,479.0,1.0,0
29,13.27,1.66,2.52,19.0,93.0,2.64,2.31,0.33,1.67,3.91,0.99,2.58,528.0,1.0,0
30,13.75,2.14,2.4,17.8,105.0,2.9,2.75,0.29,1.58,5.5,0.91,3.1,980.0,0.0,0
31,12.3,3.8,2.36,20.5,92.0,1.9,0.65,0.47,1.2,6.4,0.75,1.9,690.0,2.0,0
32,14.4,1.6,2.2,15.9,112.0,3.1,2.95,0.26,1.95,5.9,0.93,3.25,960.0,0.0,0
33,13.1,4.1,2.4,21.2,88.0,2.0,0.6,0.5,0.9,6.0,0.78,1.7,720.0,2.0,0
34,14.6,1.8,2.3,16.5,115.0,3.0,2.85,0.28,2.0,6.1,0.92,3.28,995.0,0.0,0
35,11.8,2.0,2.2,18.3,95.0,2.6,2.1,0.19,1.3,3.6,1.05,2.8,450.0,1.0,0
36,13.9,3.5,2.5,22.7,100.0,1.75,0.68,0.45,1.3,7.0,0.72,1.6,710.0,2.0,0
37,14.1,1.9,2.35,17.2,110.0,2.9,2.7,0.3,1.8,5.7,0.9,3.15,920.0,0.0,0
38,12.7,4.0,2.3,20.0,85.0,1.4,0.45,0.55,1.0,4.8,0.8,1.95,570.0,2.0,0
39,13.5,1.75,2.45,18.6,103.0,2.8,2.6,0.28,1.7,5.4,0.89,3.3,1020.0,0.0,0
40,13.2,2.05,2.45,19.0,100.0,2.6,2.4,0.27,1.75,4.8,1.1,3.0,950.0,0.0,0
41,12.8,1.7,2.0,18.0,85.0,1.9,1.5,0.3,1.2,3.1,1.0,2.8,600.0,1.0,0
42,13.9,1.4,2.8,22.0,105.0,3.1,2.9,0.18,2.0,6.0,1.2,2.5,1300.0,0.0,0
43,11.6,0.9,2.1,17.0,87.0,2.3,1.8,0.4,1.3,2.8,0.98,2.2,400.0,1.0,0
44,13.1,2.5,2.6,20.5,110.0,2.75,2.5,0.25,1.9,5.0,1.05,3.4,900.0,0.0,0
45,12.4,1.2,1.95,17.5,89.0,1.4,1.2,0.28,1.0,2.5,0.97,2.6,550.0,1.0,0
46,14.0,1.8,2.7,21.0,118.0,2.9,3.0,0.3,2.1,6.5,1.08,2.7,1250.0,0.0,0
47,12.0,1.1,2.3,19.5,98.0,3.0,2.3,0.15,1.5,3.3,0.95,3.2,800.0,1.0,0
48,13.8,2.2,2.5,19.0,108.0,2.6,2.2,0.26,1.8,4.5,1.11,3.1,980.0,0.0,0
49,12.3,0.8,1.9,18.0,86.0,1.5,1.0,0.45,1.1,2.2,0.92,2.1,450.0,1.0,0
50,13.65,2.86,2.45,19.0,105.0,2.15,1.82,0.33,1.51,6.2,0.89,1.75,615.0,1.0,0
51,12.98,1.47,2.02,18.0,93.0,2.68,2.41,0.27,1.78,7.3,0.93,3.21,890.0,0.0,0
52,13.12,3.65,2.35,21.5,109.0,1.48,0.59,0.45,1.25,4.8,0.68,1.62,810.0,2.0,0
