,alcohol,malic_acid,ash,alcalinity_of_ash,magnesium,total_phenols,flavanoids,nonflavanoid_phenols,proanthocyanins,color_intensity,hue,od280/od315_of_diluted_wines,proline,target,real_identifier
0,13.41,2.31,2.39,20.2,110.0,2.83,2.58,0.29,1.83,5.21,0.97,3.04,1010.0,0.0,0
1,12.59,2.49,2.29,22.2,91.0,2.19,2.11,0.41,1.51,6.38,0.83,2.93,560.0,1.0,0
2,12.92,1.85,2.51,18.8,114.0,2.73,2.35,0.25,1.92,4.98,1.03,3.44,1160.0,0.0,0
3,13.23,2.11,2.44,19.8,96.0,2.51,2.29,0.33,1.67,5.58,0.91,3.21,940.0,0.0,0
4,11.98,2.79,2.35,23.1,85.0,2.09,1.83,0.48,1.39,6.92,0.76,2.61,460.0,2.0,0
5,13.85,1.92,2.56,20.9,108.0,2.85,2.62,0.27,1.88,5.39,1.01,3.35,1140.0,0.0,0
6,12.44,2.37,2.27,21.3,89.0,2.34,2.04,0.39,1.55,6.19,0.86,2.85,530.0,1.0,0
7,12.01,2.63,2.42,22.5,82.0,2.05,1.79,0.51,1.31,7.03,0.72,2.49,450.0,2.0,0
8,13.67,1.98,2.49,19.2,115.0,2.79,2.49,0.24,1.93,5.13,1.04,3.39,1180.0,0.0,0
9,12.76,2.17,2.33,20.5,93.0,2.44,2.19,0.35,1.69,5.83,0.94,3.13,960.0,0.0,0
10,13.04,1.88,2.33,20.5,90.0,2.19,2.53,0.38,1.67,6.23,1.03,2.51,920.0,1.0,0
11,12.83,2.31,2.17,18.2,85.0,2.85,2.13,0.41,1.49,5.09,1.19,2.93,380.0,1.0,0
12,14.01,1.44,2.56,17.8,110.0,3.15,3.51,0.29,1.93,7.35,1.15,2.67,1510.0,0.0,0
13,13.41,2.08,2.42,20.8,95.0,2.61,2.85,0.35,1.83,6.51,1.07,2.79,1010.0,1.0,0
14,12.59,1.83,2.05,19.3,80.0,2.38,2.22,0.44,1.59,5.85,1.21,2.99,430.0,1.0,0
15,13.93,1.67,2.63,16.9,105.0,3.01,3.27,0.33,1.85,7.93,1.11,2.75,1630.0,0.0,0
16,12.97,2.14,2.29,18.5,90.0,2.49,2.59,0.39,1.69,6.03,1.05,2.83,490.0,1.0,0
17,14.13,1.51,2.52,17.1,115.0,3.23,3.63,0.28,1.95,8.13,1.13,2.71,1730.0,0.0,0
18,13.19,2.02,2.39,20.2,85.0,2.73,2.99,0.36,1.81,6.69,1.09,2.87,940.0,1.0,0
19,12.75,1.91,2.11,19.1,80.0,2.43,2.35,0.42,1.61,5.69,1.17,2.95,400.0,1.0,0
20,12.91,1.83,2.11,19.5,93.0,2.38,2.51,0.35,1.63,3.51,1.08,2.67,567.0,1.0,0
21,12.69,2.29,2.49,20.0,96.0,2.06,1.85,0.41,1.23,3.19,1.15,2.43,598.0,1.0,0
22,13.04,1.95,2.35,21.5,89.0,2.49,2.94,0.31,1.81,3.85,0.98,2.91,522.0,1.0,0
23,12.45,1.67,2.19,20.0,92.0,2.32,2.13,0.38,1.55,3.04,1.21,2.59,583.0,1.0,0
24,13.29,2.51,2.58,22.0,99.0,2.17,2.06,0.44,1.29,3.46,1.11,2.38,655.0,1.0,0
25,12.83,2.03,2.42,21.0,95.0,2.43,2.59,0.33,1.73,3.67,1.01,2.81,541.0,1.0,0
26,12.59,1.89,2.25,20.5,91.0,2.27,2.04,0.36,1.51,3.13,1.17,2.53,576.0,1.0,0
27,13.15,2.35,2.51,21.5,97.0,2.35,2.67,0.34,1.69,3.78,1.04,2.87,529.0,1.0,0
28,12.74,1.99,2.33,20.0,94.0,2.41,2.55,0.32,1.65,3.59,1.07,2.75,562.0,1.0,0
29,13.01,2.19,2.46,22.0,98.0,2.29,2.09,0.39,1.49,3.33,1.14,2.61,611.0,1.0,0
30,13.51,1.85,2.41,19.2,105.0,2.59,2.21,0.39,1.69,4.35,0.93,2.94,860.0,0.0,0
31,14.05,1.67,2.29,16.8,110.0,2.99,2.83,0.31,1.94,5.69,0.91,3.14,1010.0,0.0,0
