target,Dcl,Ao,Iy,Aa,Sh
0,1.436,1.234,0.518,0.258,-0.324
1,1.576,0.714,1.345,0.201,1.486
0,0.327,1.108,0.217,1.578,-0.1
0,1.628,0.681,1.01,0.134,0
0,1.385,2.071,-0.423,0.517,0
0,-0.111,0.707,-0.067,2.066,0.063
1,1.496,0.659,1.121,0.249,1.763
1,0.883,0.568,1.656,0.121,0
1,1.781,1.067,1.328,0.397,1.095
0,0.181,0.562,0.148,1.453,-0.073
0,0.845,1.983,-0.238,0.641,-0.123
0,0.945,0.531,2.158,0.132,-0.677
1,1.488,0.892,1.384,1.402,-0.652
0,0.339,1.165,0.197,1.398,-0.143
0,0.179,0.482,0.133,2.638,-0.052
0,-0.379,1.634,0.211,1.093,0.132
0,0.459,1.275,0.427,2.18,-0.234
0,-0.379,1.535,0.191,1.892,-0.129
0,0.945,2.04,-0.511,0.557,1.753
0,0.509,1.457,0.27,1.766,0.797
0,0.43,0.464,0.257,1.893,0.292
0,1.044,0.474,-0.234,2.898,-0.099
0,0.827,1.673,0.467,0.278,-0.200
0,1.08,2.703,0.599,0.576,-0.229
1,0.436,0.747,1.08,0.442,0.996
0,0.327,0.591,0.236,1.126,-0.176
0,0.739,2.584,0.408,0.266,-0.143
0,-0.232,1.505,0.133,1.392,-0.079
1,0.779,0.947,1.17,0.143,0
0,0.468,0.406,1.568,0.253,1.673
1,1.928,0.472,-0.583,0.176,0
0,0.643,1.519,0.27,0.238,0.169
0,1.943,1.072,-0.603,0.218,-0.226
0,0.513,0.337,1.485,0.096,0
1,1.671,0.854,-0.779,-0.195,-0.477
0,0.468,0.406,1.568,0.253,1.673
0,0.643,0.395,0.544,0.191,0
1,1.464,1.309,1.936,0.572,-0.501
0,1.354,1.607,-0.462,0.365,0
1,1.496,1.666,0.732,0.331,-0.21
0,0.327,0.591,0.236,1.126,-0.176
0,-0.381,2.312,0.222,1.607,0.163
0,1.354,1.607,-0.462,0.365,0
0,0.45,0.336,-0.608,0.152,1.78
0,0.509,0.434,2.041,0.128,0
1,0.622,0.513,1.332,0.149,0.851
0,-0.356,2.226,-0.184,1.185,0.134
0,0.327,0.591,0.236,1.126,-0.176
0,-0.107,0.557,0.14,1.936,-0.206
0,0.778,1.174,0.324,0.996,0.223
1,0.905,0.871,0.884,0.334,0.785
0,1.377,1.807,0.992,0.239,-0.478
0,1.313,0.724,-0.259,2.935,-0.104
1,0.517,0.523,1.435,0.215,-0.934
0,-0.107,0.365,0.091,2.751,0.084
0,-0.321,1.968,0.196,1.041,-0.412
0,-0.449,2.766,-0.219,0.764,-0.131
1,0.517,0.523,1.435,0.215,-0.934
0,0.739,1.978,0.354,0.56,0.2
0,0.459,1.275,0.427,2.18,-0.234
1,0.758,0.342,1.911,0.245,1.147
0,1.166,2.071,0.508,0.368,-0.241
0,0.443,0.329,1.537,0.134,1.551
1,1.321,0.559,1.421,0.895,1.516
0,0.643,0.395,0.544,0.191,0
0,0.16,0.772,0.123,1.667,0.089
0,0.386,0.305,-0.664,0.108,-1.016
0,0.587,1.413,1.699,1.362,-0.434
0,0.992,2.045,0.406,0.412,-0.184
1,0.77,0.732,1.698,0.216,0.843
0,1.835,1.424,-0.583,0.181,-0.27
1,1.637,0.596,1.056,0.272,0
0,-0.337,2.342,-0.155,0.971,0.22
0,-0.111,0.457,-0.065,3.461,-0.048
0,-0.107,0.652,0.128,2.331,-0.052
1,1.464,1.309,1.936,0.572,-0.501
0,0.443,1.067,0.472,0.251,0.444
0,1.497,1.762,-0.448,0.649,-0.482
0,-0.385,2.32,0.22,1.612,0.164
0,-0.51,2.87,-0.232,0.811,0.388
1,0.768,0.454,0.713,0.195,0.72
0,-0.43,2.519,0.286,0.251,0.538
0,1.834,1.095,-0.514,0.179,0
1,1.059,0.715,0.849,0.288,0
0,0.845,2.169,-0.253,0.502,-0.158
0,-0.344,1.405,-0.113,0.898,0
0,0.828,1.727,0.386,0.366,-0.202
0,1.06,1.607,0.436,0.277,0.32
0,-0.521,3.386,0.324,0.438,0.76
0,-0.107,0.652,0.128,2.331,-0.051
0,0.845,2.169,-0.253,0.502,-0.158
0,-0.111,0.657,0.107,2.064,0.074
1,1.488,0.893,1.385,1.402,-0.652
0,0.179,0.482,0.133,2.637,-0.05
0,0.443,0.329,1.537,0.134,1.551
0,-0.112,0.65,0.131,2.324,-0.052
0,0.684,2.497,0.532,0.385,-0.406
0,0.739,2.501,0.526,0.642,-0.199
0,0.188,0.329,0.226,2.666,-0.079
0,1.436,0.36,-0.266,2.957,-0.128
