,alcohol,malic_acid,ash,alcalinity_of_ash,magnesium,total_phenols,flavanoids,nonflavanoid_phenols,proanthocyanins,color_intensity,hue,od280/od315_of_diluted_wines,proline,target,real_identifier
0,12.42,2.31,2.39,20.2,91.0,2.44,2.19,0.29,1.49,5.31,0.99,3.04,550.0,1.0,0
1,13.29,1.85,2.23,18.8,105.0,2.85,2.63,0.22,1.71,4.89,1.01,3.23,1000.0,0.0,0
2,11.93,2.59,2.51,22.1,96.0,2.19,1.93,0.41,1.33,6.42,0.83,2.91,420.0,2.0,0
3,12.59,1.49,2.17,19.3,85.0,2.58,2.41,0.25,1.56,5.15,0.96,3.13,580.0,1.0,0
4,13.83,2.02,2.44,20.9,115.0,2.92,2.79,0.28,1.83,5.59,0.94,3.35,1100.0,0.0,0
5,11.78,2.83,2.35,21.9,90.0,2.36,2.06,0.38,1.44,6.19,0.85,2.79,450.0,2.0,0
6,12.95,1.66,2.29,19.1,100.0,2.71,2.54,0.24,1.65,5.01,1.03,3.19,920.0,1.0,0
7,11.49,2.42,2.55,23.2,95.0,2.13,1.85,0.45,1.29,6.58,0.81,2.67,380.0,2.0,0
8,13.01,1.77,2.26,19.5,90.0,2.63,2.45,0.26,1.59,5.23,0.97,3.09,520.0,1.0,0
9,12.67,2.09,2.33,20.5,105.0,2.79,2.59,0.27,1.74,5.43,0.93,3.26,980.0,0.0,0
10,13.41,1.93,2.33,18.2,91.0,2.11,1.69,0.41,1.19,5.21,0.93,2.39,870.0,1.0,0
11,12.59,2.29,2.17,20.5,104.0,2.59,2.51,0.35,1.73,6.39,1.07,2.91,1190.0,0.0,0
12,13.95,1.49,2.51,16.0,96.0,2.83,2.85,0.29,2.04,6.02,1.19,3.23,1420.0,0.0,0
13,12.83,1.85,2.25,19.8,89.0,2.36,2.14,0.38,1.51,5.49,1.01,2.67,1030.0,1.0,0
14,13.47,2.04,2.39,17.5,105.0,2.19,1.83,0.43,1.27,5.83,0.96,2.51,940.0,1.0,0
15,12.26,1.65,2.13,20.2,98.0,2.46,2.29,0.33,1.63,6.15,1.09,2.85,1140.0,0.0,0
16,13.67,1.79,2.44,16.3,92.0,2.72,2.67,0.31,1.98,6.49,1.15,3.11,1310.0,0.0,0
17,12.94,1.99,2.28,19.2,101.0,2.41,2.22,0.36,1.58,5.93,1.03,2.73,1060.0,1.0,0
18,13.52,1.72,2.36,17.8,94.0,2.28,1.99,0.42,1.33,5.69,0.99,2.59,960.0,1.0,0
19,12.49,2.13,2.19,20.8,106.0,2.53,2.38,0.34,1.69,6.29,1.11,2.97,1240.0,0.0,0
20,12.91,2.21,2.44,19.5,94.0,2.51,2.35,0.38,1.69,3.51,1.06,2.74,567.0,1.0,0
21,13.42,1.89,2.63,20.5,105.0,2.29,2.49,0.41,1.53,4.19,1.17,2.59,638.0,1.0,0
22,12.67,2.39,2.19,21.5,88.0,2.67,2.58,0.35,1.83,3.28,1.01,2.93,501.0,1.0,0
