fWidth,fConc,fAsym,fConc1,fLength,fDist,fSize,fM3Long,fAlpha,class,fM3Trans
17.824,0.366,6.478,0.202,29.387,109.694,2.742,28.995,10.789,0,14.942
10.443,0.565,22.902,0.308,22.111,129.155,2.207,18.67,41.705,0,10.721
11.248,0.365,-18.772,0.184,36.197,57.16,2.902,-31.484,69.404,1,5.053
9.81,0.435,38.314,0.253,50.159,183.841,2.686,46.377,22.208,1,7.216
23.148,0.217,78.605,0.115,60.349,230.14,3.111,39.32,6.217,0,13.12
24.286,0.18,-72.254,0.102,102.581,271.583,3.479,85.206,0.287,0,-10.484
12.919,0.575,11.173,0.322,22.355,119.66,2.444,13.939,84.463,1,8.596
11.26,0.747,-14.91,0.402,12.965,182.309,2.081,5.919,56.521,0,-11.433
21.934,0.376,-26.521,0.207,51.452,182.448,2.507,-48.657,1.987,0,16.262
22.772,0.179,-9.246,0.094,59.112,226.381,3.103,52.118,10.335,0,7.715
24.308,0.173,62.835,0.089,77.817,240.891,3.217,73.295,1.028,0,-9.064
21.395,0.188,-37.372,0.097,72.355,246.827,3.252,33.359,17.782,0,16.074
17.49,0.478,1.151,0.273,27.626,201.070,2.454,-22.447,0.864,1,-10.369
12.056,0.439,-3.227,0.268,19.507,91.733,2.579,13.024,45.012,0,7.165
15.699,0.444,24.722,0.232,20.266,56.76,2.496,14.164,79.73,0,3.982
15.432,0.502,14.545,0.259,20.397,166.944,2.86,14.518,10.976,1,11.055
31.048,0.197,-28.988,0.114,33.654,231.528,3.132,-24.475,0.219,0,13.897
28.537,0.266,-22.603,0.134,34.993,237.758,2.991,-23.985,47.424,0,-21.049
7.433,0.749,3.737,0.392,20.155,186.975,2.116,11.555,12.624,0,5.654
16.358,0.37,-27.727,0.177,21.643,122.384,2.508,7.719,42.276,0,-9.886
24.313,0.142,64.246,0.071,60.809,217.306,3.503,38.165,7.418,0,14.95
22.938,0.207,82.158,0.106,73.715,217.791,3.345,60.999,8.705,0,-14.744
29.953,0.185,21.792,0.119,68.299,230.053,3.121,45.266,3.562,0,-19.509
23.476,0.652,-71.039,0.361,56.012,288.059,2.761,-20.76,49.152,1,-20.924
7.54,0.743,-0.778,0.455,17.295,233.783,2.333,6.863,21.738,1,3.434
12.514,0.378,-10.694,0.192,24.719,92.297,2.566,-8.246,65.643,0,7.566
15.763,0.358,12.046,0.193,29.839,208.644,2.344,16.197,12.879,0,9.034
39.762,0.312,-73.873,0.196,80.648,386.031,3.619,-42.541,33.978,1,-30.518
7.425,0.732,-23.526,0.384,20.714,170.245,2.107,8.862,10.82,0,5.164
10.969,0.474,-19.22,0.254,29.884,88.01,2.532,13.954,13.653,1,-11.867
9.867,0.82,11.759,0.43,30.11,120.606,2.125,16.535,42.5,1,6.397
11.24,0.487,9.25,0.28,29.992,94.865,2.258,12.868,4.127,1,-7.226
6.873,0.509,41.17,0.271,41.867,117.518,2.238,18.593,25.604,0,-6.17
21.571,0.371,-30.613,0.217,33.062,183.637,2.986,-26.521,5.454,0,13.065
22.282,0.333,0.710,0.176,24.923,143.479,2.659,19.574,47.622,0,10.488
23.778,0.338,53.601,0.181,53.96,134.577,2.652,41.825,41.279,1,15.711
20.348,0.279,-6.931,0.016,34.92,133.536,2.916,29.526,24.497,0,-11.854
19.275,0.322,-8.456,0.174,28.311,249.986,2.761,-25.165,4.714,0,-14.317
30.581,0.156,-53.329,0.083,80.75,309.13,3.861,77.732,5.239,0,22.163
10.51,0.771,-12.874,0.503,13.028,203.795,2.368,-4.631,9.562,1,8.495
8.029,0.728,-29.428,0.45,19.191,242.745,2.508,-16.382,87.911,1,-9.017
12.121,0.532,11.38,0.271,24.828,63.471,2.232,-14.517,34.784,0,7.65
16.266,0.452,11.849,0.234,19.513,215.794,2.548,-12.095,9.429,0,10.864
11.355,0.742,-15.976,0.391,12.65,124.934,2.031,4.225,86.653,0,-10.961
14.121,0.545,10.192,0.323,21.445,220.444,2.565,-7.484,16.629,0,-11.4
20.344,0.33,-82.344,0.198,100.591,338.489,3.146,-53.78,1.1,0,18.426
36.349,0.195,-100.079,0.11,74.117,238.366,3.231,56.799,11.655,0,20.083
21.576,0.319,51.831,0.169,107.547,114.517,2.845,38.564,12.926,1,14.664
24.602,0.378,-37.718,0.24,74.714,321.462,2.964,-31.412,8.51,0,-23.275
15.476,0.499,11.627,0.254,21.844,100.735,2.378,19.564,86.235,0,10.11
16.183,0.302,7.469,0.155,46.638,189.303,2.986,33.29,18.389,1,8.784
10.38,0.496,1.95,0.279,21.409,204.74,2.271,18.841,42.506,0,-7.228
16.203,0.538,28.97,0.286,21.021,142.35,2.583,-13.446,61.83,1,-13.657
17.797,0.433,42.595,0.26,28.718,179.446,2.584,-21.617,8.54,0,-5.579
