,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species,real_identifier
0,5.9,3.0,5.0,2.3,2.0,0
1,5.7,2.5,4.1,1.3,1.0,0
2,5.4,4.0,1.5,0.3,0.0,0
3,7.1,3.0,6.2,1.9,2.0,0
4,5.1,3.3,1.6,0.2,0.0,0
5,6.4,3.2,5.9,2.4,2.0,0
6,5.2,3.6,1.2,0.3,0.0,0
7,6.6,3.0,4.6,1.6,1.0,0
8,6.9,2.7,4.9,1.5,1.0,0
9,6.2,2.9,4.1,1.2,1.0,0
10,6.2,2.7,5.5,1.3,2.0,0
11,6.3,3.1,4.6,1.4,1.0,0
12,6.0,2.7,4.8,1.3,1.0,0
13,6.6,2.9,4.7,1.6,1.0,0
14,6.2,2.8,4.6,1.5,1.0,0
15,5.0,3.2,1.6,0.2,0.0,0
16,5.9,3.0,4.4,1.4,1.0,0
17,5.6,2.5,4.3,1.3,1.0,0
18,4.7,3.1,1.3,0.2,0.0,0
19,5.3,3.8,1.4,0.3,0.0,0
20,5.7,2.9,4.7,1.9,2.0,0
21,5.5,3.1,4.4,1.6,1.0,0
22,4.9,3.5,1.8,0.3,0.0,0
23,4.3,3.0,1.5,0.2,0.0,0
24,6.1,2.7,4.9,1.7,2.0,0
25,4.7,3.7,1.1,0.2,0.0,0
26,5.2,3.9,1.8,0.5,0.0,0
27,6.3,2.8,4.2,1.4,1.0,0
28,5.1,2.4,3.4,1.1,1.0,0
29,5.1,3.3,1.7,0.3,0.0,0
30,6.3,3.2,5.4,2.0,2.0,0
31,5.3,3.1,4.6,1.6,1.0,0
32,5.1,3.6,1.4,0.3,0.0,0
33,6.2,3.0,5.0,1.9,2.0,0
34,6.5,2.9,5.7,2.1,2.0,0
35,5.1,2.8,3.8,1.3,1.0,0
36,5.8,3.7,1.6,0.2,0.0,0
37,6.1,2.6,5.2,1.7,1.0,0
38,5.8,3.1,4.3,1.4,1.0,0
39,5.7,2.5,4.1,1.3,1.0,0
40,6.4,2.9,5.6,2.2,2.0,0
41,4.9,3.1,1.4,0.3,0.0,0
42,6.8,3.2,5.3,2.4,2.0,0
43,5.1,3.6,1.7,0.5,0.0,0
44,5.3,3.8,1.4,0.3,0.0,0
45,5.2,2.1,3.6,1.1,1.0,0
