beds,zip_code,baths,lot_size,size,price,lot_size_units,size_units
4,98115,3,6700,2230,1150000,1,0
4,98118,2,4700,2230,855000,1,0
3,98115,2,9.2,1620,635000,0,0
4,98118,2.5,3618,2650,1115000,1,0
3,98115,2.5,1111,1610,699999,1,0
2,98122,2,1548,1201,699950,1,0
4,98146,2.5,0.28,3600,1575000,0,0
4,98115,3,6400,2600,1460000,1,0
4,98178,2,9520,2280,900000,1,0
3,98119,2,5000,1960,875000,1,0
3,4,2.5,1770,1760,835000,1,0
4,5375,3.5,7798,3290,2000000,1,0
4,6804,4,7920,2350,2000000,1,0
3,5330,3.5,7860,2100,1985000,1,0
3,3.5,3,1398,1364,827000,1,0
4,3.5,3,6000,2930,2000000,1,0
4,2,2.5,4493,2240,995000,1,0
3,3,2.5,3293,1620,875000,1,0
3,2.5,2,0.27,1670,912000,0,0
3,2,2,4800,2600,1175000,1,0
2,98126,2,4000,1080,1270000,1,0
4,3.5,3,2400,2760,1150000,1,0
3,3.5,2,1,1760,875000,0,0
3,3.5,1,6000,1080,500000,1,0
3,98117,2,5400,1240,705000,1,0
3,98106,2,6808,1890,700000,1,0
4,98102,3.5,4000,3930,2925000,1,0
1,98104,1,0.35,630,335000,0,0
4,98106,2,5250,1710,545000,1,0
4,98177,2,8700,2680,1295000,1,0
4,98178,2,9225,2310,630000,1,0
4,98117,2.5,2880,1560,906000,1,0
4,98125,2,9296,2270,650000,1,0
4,98119,2,4500,2390,1240000,1,0
3,98146,2,5000,1890,799000,1,0
3,98117,2.5,6710,2160,1275000,1,0
4,98102,3,4500,2570,1300000,1,0
3,98103,2.5,1500,1550,975000,1,0
4,98146,2,6000,1640,393000,1,0
2,98102,2,745,1190,740000,1,0
3,98107,2.5,1694,1569,895000,1,0
2,98103,2,7200,1290,942000,1,0
2,98115,2,583,1242,720000,1,0
2,98103,2,720,1270,729000,1,0
1,98102,1,1.31,696,405000,0,0
3,98119,3,1036,1660,870000,1,0
4,98103,1.5,3000,2280,925000,1,0
2,98116,1,4625,1760,715000,1,0
3,98146,1,3613,990,635000,1,0
3,98178,1.5,4200,1978,700000,1,0
3,98117,2.5,1228,1370,699900,1,0
3,98106,2,6137,2270,1200000,1,0
2,98118,1,6000,740,600000,1,0
3,98103,2,1238,1960,995000,1,0
3,98126,2,4400,2640,1125000,1,0
3,98122,2.5,1036,1524,865000,1,0
4,98115,3,6000,3335,1325000,1,0
4,98118,2,5350,1900,670000,1,0
3,98116,2,5750,1080,875000,1,0
4,98117,3.5,1841,1909,1000000,1,0
3,98144,2,5000,2680,1275000,1,0
2,98105,2,5000,1510,1300000,1,0
3,98126,3.5,1.2,1720,690000,0,0
2,98116,2,5417,1150,770000,1,0
2,98105,2,0.24,996,709000,0,0
2,98168,1,0.28,870,380000,0,0
3,98177,1227,7200,1350,925000,1,0
3,98144,2,6084,1640,905000,1,0
3,98125,2.5,7200,2680,1116000,1,0
3,98115,2,1040,1540,805000,1,0
3,98199,3.5,0.29,3880,2500000,0,0
2,98115,2,1332,1371,750000,1,0
3,98118,2,5569,1390,800000,1,0
3,98103,2.5,0.23,1820,855000,0,0
4,98108,3,5023,2340,780000,1,0
2,98106,1,2657,1110,605000,1,0
3,98177,1320,7200,780,600000,1,0
3,98112,3.5,4920,2188,1700000,1,0
3,98122,3.5,1101,1820,1250000,1,0
4,98136,2,1000,1770,852500,1,0
2,98117,2,1045,1111,675000,1,0
3,98106,2,5130,1400,599000,1,0
3,98107,2.5,1690,1620,699000,1,0
4,98115,3.5,3583,2280,1035000,1,0
3,98117,2,5000,1870,800000,1,0
3,98126,3.5,1322,1720,749000,1,0
4,98168,1,9500,1900,649000,1,0
4,98115,3,6700,2230,1150000,1,0
4,98126,2,5000,1790,650000,1,0
4,98106,2.5,4000,2250,920000,1,0
4,98116,2,3250,1810,1184000,1,0
4,98199,3,5000,3000,1500000,1,0
3,98106,2.5,1530,1570,699000,1,0
4,98115,3,3880,2370,1830000,1,0
3,98103,2,4680,2440,1600000,1,0
4,98199,3.5,5000,4006,2940000,1,0
3,98103,2,2463,1870,1040000,1,0
3,98117,2,4677,1480,717000,1,0
5,98106,3.5,5700,4730,1650000,1,0
3,98168,1,0.27,1340,480000,0,0
