,min,max,mean,stddev
sanity.data_mismatch.score,0.0,0.0,0.0,0.0
sanity.common_rows_proportion.score,0.09999999999333332,0.2133333333191111,0.1479999999901333,0.04930629889564784
sanity.nearest_syn_neighbor_distance.mean,0.26439165057546615,0.41667345529509864,0.3210321921845983,0.060491502142147525
sanity.close_values_probability.score,0.11333333333333333,0.3333333333333333,0.23066666666666666,0.08414273587185052
sanity.distant_values_probability.score,0.02666666666666667,0.04,0.032,0.005577733510227169
stats.jensenshannon_dist.marginal,0.005944275288038968,0.007708145119159429,0.006619828010529187,0.0006951077757595248
stats.chi_squared_test.marginal,0.3999728978128765,0.9998929019162295,0.7598819599582176,0.26076090713312544
stats.inv_kl_divergence.marginal,0.8243406237896311,0.9587283342593667,0.9096191302617035,0.06102621425992897
stats.ks_test.marginal,0.9359999999999999,0.9546666666666667,0.9445333333333334,0.007459520389706355
stats.max_mean_discrepancy.joint,0.0025460753126175795,0.00492415821157921,0.003754663787838242,0.0009394996476934401
stats.wasserstein_dist.joint,0.00214801129470653,0.003375872416774417,0.002817030436909419,0.0005254854919074076
stats.alpha_precision.delta_precision_alpha_OC,0.8831111111111111,0.9261149425287356,0.9123157088122605,0.017144352274229942
stats.alpha_precision.delta_coverage_beta_OC,0.5808888888888889,0.744,0.6407999999999999,0.07487431444068761
stats.alpha_precision.authenticity_OC,0.3933333333333333,0.5533333333333333,0.45999999999999996,0.06110100926607788
stats.alpha_precision.delta_precision_alpha_naive,0.8976245210727969,0.9381302681992337,0.9142222222222223,0.015472503503784499
stats.alpha_precision.delta_coverage_beta_naive,0.6044444444444445,0.7497777777777779,0.6745777777777777,0.055238562304173906
stats.alpha_precision.authenticity_naive,0.32666666666666666,0.3933333333333333,0.37066666666666664,0.029664793948382645
stats.prdc.precision,0.9933333333333333,1.0,0.9959999999999999,0.0036514837167011312
stats.prdc.recall,0.9533333333333334,0.9933333333333333,0.9706666666666667,0.015347819244295102
stats.prdc.density,1.1,1.1946666666666668,1.1418666666666666,0.03738805513351382
stats.prdc.coverage,0.98,1.0,0.9933333333333334,0.008164965809277266
performance.linear_model.gt,0.9978888888888889,0.9978888888888889,0.9978888888888889,0.0
performance.linear_model.syn_id,0.9986111111111111,0.9992777777777778,0.9989666666666667,0.00026978071799609455
performance.linear_model.syn_ood,0.9977777777777778,0.9987777777777778,0.9984,0.000373505251421586
performance.mlp.gt,0.8325520833333334,0.8325520833333334,0.8325520833333334,0.0
performance.mlp.syn_id,0.7857638888888889,0.8746527777777777,0.8211631944444445,0.03585402568932511
performance.mlp.syn_ood,0.7272222222222222,0.8161111111111111,0.7715,0.03330647065743114
performance.xgb.gt,0.978111111111111,0.978111111111111,0.978111111111111,0.0
performance.xgb.syn_id,0.9864305555555555,0.9983611111111111,0.9943500000000001,0.005278231431526448
performance.xgb.syn_ood,0.9848888888888888,0.9973333333333333,0.9931333333333333,0.005449204268560153
performance.feat_rank_distance.corr,0.5240861235668948,0.7600114359356891,0.6298517058998698,0.08964895784561443
performance.feat_rank_distance.pvalue,1.5864608029151297e-23,4.780456279844542e-12,9.658624702705754e-13,2.132527411478309e-12
detection.detection_xgb.mean,0.3422222222222222,0.4395555555555556,0.3874888888888889,0.04131194189589589
detection.detection_mlp.mean,0.2783333333333333,0.29944444444444446,0.28917777777777776,0.009487678819538332
detection.detection_gmm.mean,0.41544444444444445,0.5157777777777778,0.4477555555555556,0.039215643137231165
detection.detection_linear.mean,0.1768888888888889,0.25855555555555554,0.20502222222222222,0.031819261966594466
privacy.delta-presence.score,1.99999999,3.9999999600000007,2.4499999862083337,0.8732124454063288
privacy.k-anonymization.gt,2.0,2.0,2.0,0.0
privacy.k-anonymization.syn,1.00000001,4.00000001,2.20000001,1.6431676725154984
privacy.k-map.score,1.0,2.0,1.2,0.4472135954999579
privacy.distinct l-diversity.gt,2.0,2.0,2.0,0.0
privacy.distinct l-diversity.syn,1.00000001,4.00000001,2.20000001,1.6431676725154984
privacy.identifiability_score.,0.58,0.66,0.6200000000000001,0.03299831645537224
privacy.identifiability_score._privacy.identifiability_score.OC,0.4866666666666667,0.6266666666666667,0.5613333333333334,0.05107728349167454
