beds,zip_code,baths,lot_size,size,price,lot_size_units,size_units
3,98136,1,4850,1240,750000,1,0
3,98117,3.5,1698,1563,920000,1,0
3,98115,3,2340,2200,947000,1,0
3,98117,2,9.2,1959,670000,1,0
2,98104,9.5,575,1325,869999,1,0
4,98119,1,3600,2230,950000,1,0
4,98118,2.5,3000,2390,1050000,1,0
4,98109,2,2835,1610,905000,1,0
3,98125,2,7280,2160,850000,1,0
4,98177,3.5,7320,3640,1575000,1,0
4,98115,3,6700,2230,1150000,1,0
5,98118,3,3400,2160,1075000,1,0
3,98115,2.5,1299,1320,675000,1,0
3,98117,3.5,1131,1400,780000,1,0
3,98115,2,4400,1960,895000,1,0
2,98126,1.5,9.4,1367,699999,0,0
1,98101,1.5,0.98,1151,1265000,0,0
5,98118,4,5200,3220,1775000,1,0
3,98119,3.5,5000,2230,1150000,1,0
5,98136,4,8120,2930,1500000,1,0
3,98126,2,6396,1580,820000,1,0
2,98115,2,564,1147,749950,1,0
4,98199,2.5,5000,2410,1850000,1,0
3,98146,2,7150,1760,1700000,1,0
3,98117,2.5,1127,1610,865000,1,0
4,98118,3,5000,2440,1280000,1,0
2,98119,2,0.43,1107,805000,0,0
2,98105,2,1040,1187,724999,1,0
3,98116,2.5,0.27,1620,870000,0,0
2,98133,1,4800,1260,526000,1,0
3,4,2.5,3880,2170,1400000,1,0
4,7,3,5445,2380,1295000,1,0
4,807,3,3060,2040,1200000,1,0
5,3180,3.5,7106,2350,1150000,1,0
5,2.5,3,8909,2020,1650000,1,0
3,3.5,2,9.6,1730,555000,0,0
3,3.5,1.5,4000,1060,750000,1,0
4,7,3,5445,2380,1295000,1,0
4,98115,3,3880,2170,1300000,1,0
5,2.5,3,8909,2020,1650000,1,0
3,3.5,2,9.6,1730,555000,0,0
4,98117,2,3880,1700,900000,1,0
4,98115,3,5445,2380,1295000,1,0
4,98115,3,5445,2170,1300000,1,0
2,98112,2.5,834,1048,899000,1,0
3,98117,2,6000,1100,645000,1,0
3,98122,3,1602,1600,1164000,1,0
4,98118,3,5200,2350,1375000,1,0
3,98144,2.5,1602,1563,1200000,1,0
3,98126,2.5,6717,1396,750000,1,0
1,98136,1,0.7,831,470000,0,0
3,98116,2,6000,1460,727000,1,0
3,98125,2,7320,2190,1150000,1,0
3,98177,2,7680,1650,869000,1,0
4,2350,2.5,3366,1620,900000,1,0
3,1350,2.5,1050,980,700000,1,0
3,1000,2.5,5000,2120,1075000,1,0
3,1219,2,9812,1680,925000,1,0
4,3729,2.5,8000,2400,1250000,1,0
3,1500,2,4703,2350,1150000,1,0
4,3242,2.5,7000,2680,1290000,1,0
3,1387,2.5,9812,1340,840000,1,0
4,3240,2.5,4000,2180,1250000,1,0
4,1560,2.5,1468,1140,685000,1,0
3,1140,2,5100,1520,885000,1,0
4,2600,2.5,4000,1630,947000,1,0
4,1606,2,1468,1100,725000,1,0
3,9817,2.5,4350,1780,900000,1,0
3,98126,2,6396,1580,820000,1,0
2,98115,2,564,1147,749950,1,0
5,98109,3,2550,2610,1795000,1,0
4,98146,2,8100,2340,880000,1,0
3,98107,2,815,1360,875000,1,0
3,98117,2,1395,1350,779000,1,0
3,98103,1,4850,1820,675000,1,0
4,98133,2,7440,2730,1315000,1,0
3,98118,2,6096,2260,880000,1,0
4,98122,2.5,2498,1815,1050000,1,0
4,98115,3,6000,3335,1325000,1,0
3,98126,4.5,1326,1320,610000,1,0
3,98133,2,4413,1440,959955,1,0
3,98117,2.5,3529,1370,905000,1,0
4,98106,5.5,7657,4430,2300000,1,0
4,98108,2.5,5000,2380,1250000,1,0
2,98103,2,3069,876,800000,1,0
1,98119,2,0.31,1241,605000,0,0
3,98105,2,4000,2930,1250000,1,0
3,98168,1,0.31,1300,430000,0,0
4,98122,2,4550,1640,899000,1,0
4,98125,1.5,8100,2280,850000,1,0
3,98126,2.5,1276,1563,750000,1,0
5,98133,2,8180,2480,918000,1,0
2,98116,2,1452,840,645000,1,0
3,98168,1,0.31,1800,435000,0,0
2,98144,1,1237,780,645000,1,0
3,98117,1.5,2880,1560,950000,1,0
3,98122,2.5,1573,1573,900000,1,0
4,98106,2.5,9000,2188,915000,1,0
3,98117,2,4000,1520,760000,1,0
4,98122,2,4560,2260,1065000,1,0
4,98116,2,6000,2120,1000000,1,0
3,98117,3.5,1761,1870,1025000,1,0
3,98168,1,0.27,1430,399000,0,0
3,98125,2.5,6999,1630,1250000,1,0
3,98117,2.5,1485,1324,800000,1,0
4,98103,3,4000,2910,1740000,1,0
3,98125,2,6960,1080,575000,1,0
3,98122,2,3000,1530,1170000,1,0
4,98122,3,4550,2840,1399990,1,0
3,98106,2,5000,2190,840000,1,0
4,98144,2.5,1600,1780,1000000,1,0
3,98106,2,4410,2040,750000,1,0
3,98144,2.5,3132,1806,1125000,1,0
4,98125,1,8707,2120,775000,1,0
2,98112,2,0.43,1113,1050000,0,0
2,98115,2,1081,1164,729000,1,0
4,98122,2.5,1600,1600,999950,1,0
4,98177,2,0.29,3020,1550000,0,0
2,98103,2,6000,881,550000,1,0
3,98103,2.5,1342,1570,700000,1,0
6,98115,5.5,6867,4299,3300000,1,0
5,98109,3.5,4560,3400,3340000,1,0
3,98103,2.5,4250,3590,1725000,1,0
2,98122,2,770,1365,799000,1,0
1,98107,1,0.54,672,464000,0,0
1,98133,1,4895,630,255000,1,0
3,98115,3,6037,1420,950000,1,0
5,98199,3.5,5259,3710,2525000,1,0
2,98107,2,4850,1144,769950,1,0
4,98122,2.5,4500,2630,1340000,1,0
3,98144,1,4512,1300,538000,1,0
3,98117,3.5,1124,1300,605000,1,0
3,98105,3,0.27,2050,868000,0,0
3,98107,2.5,13.7,1430,399950,0,0
3,98122,2.5,1705,1560,905000,1,0
3,98103,1,3000,690,800000,1,0
3,98117,2,3840,1160,800000,1,0
3,98122,3,6806,1990,1350000,1,0
4,98136,3,7500,2900,1175000,1,0
2,98121,2,4800,2340,1265000,1,0
3,98115,2,5130,1720,930000,1,0
3,98125,2,6400,1620,675000,1,0
3,98117,2.5,1257,1380,729000,1,0
