input12,input9,input14,input13,input11,input5,input8,input15,input7,input16,input1,input2,target,input4,input6,input10,input3
32,42,5,63,100,46,63,0,5,0,41,96,5,100,94,48,91
14,76,0,37,72,40,51,0,39,4,100,93,5,100,81,45,66
8,24,6,50,0,82,43,100,62,0,32,71,2,100,77,17,54
41,40,22,83,100,8,44,81,0,0,38,100,4,89,67,32,27
30,28,30,96,100,26,43,80,0,0,54,87,4,100,72,18,59
70,6,100,46,0,65,0,100,28,95,32,99,5,66,32,25,35
20,100,7,44,83,89,57,0,66,0,58,88,3,100,78,42,89
21,62,31,49,100,26,13,0,15,15,79,100,6,85,51,0,51
1,56,28,25,30,100,39,88,87,33,0,85,7,100,82,0,48
51,68,25,18,38,82,100,10,100,0,0,53,1,72,95,75,40
0,1,1,50,0,56,41,100,35,1,14,93,2,100,70,18,47
13,19,12,51,0,71,40,100,52,0,47,88,2,100,76,10,45
18,94,0,27,77,100,68,0,65,16,61,79,3,100,93,46,57
0,34,4,66,33,56,59,100,54,5,0,65,2,95,100,23,24
50,1,95,24,0,60,18,100,65,100,27,85,5,57,58,0,4
66,19,99,41,20,40,2,100,53,98,22,100,5,55,59,0,0
57,100,30,34,76,6,39,0,67,0,35,100,4,79,48,63,38
23,75,4,55,100,33,74,0,78,0,68,76,9,100,82,55,75
8,49,37,48,0,32,34,100,58,62,84,74,8,100,74,0,74
49,75,22,35,53,76,100,28,100,0,0,52,1,73,94,75,37
17,68,0,55,100,78,61,12,62,0,0,81,3,100,89,37,41
32,81,14,46,89,37,63,0,31,0,100,95,5,100,91,55,63
0,29,29,6,0,100,62,66,63,38,33,89,7,100,91,31,92
0,61,20,55,55,77,72,100,79,27,0,75,7,89,100,37,33
8,30,0,49,0,74,39,100,59,2,29,71,2,100,75,9,55
14,62,0,43,81,21,52,0,14,17,100,94,5,100,84,44,53
1,39,1,53,2,47,49,100,49,0,0,71,1,95,100,4,38
0,34,31,13,0,100,50,74,67,33,19,94,7,100,82,20,78
20,100,4,49,94,60,82,0,61,0,44,86,9,86,100,58,90
54,100,26,79,88,65,100,84,99,0,0,43,1,60,80,81,32
13,77,0,49,95,100,51,0,62,8,41,82,3,100,78,43,66
30,61,1,39,66,23,60,0,17,0,100,99,5,100,79,63,54
36,44,11,61,100,39,66,0,3,0,10,86,5,100,91,47,69
100,100,68,18,63,40,20,29,92,24,13,76,0,33,0,67,0
30,90,14,51,100,89,61,0,48,0,49,85,3,100,81,49,84
21,62,31,49,100,26,13,0,15,15,79,100,6,85,51,0,51
1,56,28,25,30,100,39,88,87,33,0,85,7,100,82,0,48
51,68,25,18,38,82,100,10,100,0,0,53,1,72,95,75,40
0,1,1,50,0,56,41,100,35,1,14,93,2,100,70,18,47
13,19,12,51,0,71,40,100,52,0,47,88,2,100,76,10,45
18,94,0,27,77,100,68,0,65,16,61,79,3,100,93,46,57
0,34,4,66,33,56,59,100,54,5,0,65,2,95,100,23,24
51,0,83,100,54,65,0,44,49,95,42,100,8,71,36,14,27
44,0,78,48,12,54,0,100,42,100,45,97,5,55,39,6,20
0,0,2,53,7,61,35,100,35,0,21,94,2,100,66,12,57
13,36,38,67,100,56,35,0,29,24,80,74,6,100,70,0,100
50,88,25,60,72,65,100,45,100,0,0,50,1,68,93,75,38
52,88,26,80,100,0,30,68,19,0,60,100,4,77,47,36,41
0,11,16,89,72,18,29,58,0,24,100,100,6,80,56,3,51
9,82,55,38,3,0,40,100,61,91,83,63,8,100,76,0,48
3,42,7,49,0,84,52,100,71,0,41,79,2,100,94,16,47
66,100,33,65,82,0,65,61,58,0,84,85,9,100,72,93,37
29,99,2,60,100,97,79,0,62,0,69,98,9,64,100,77,89
44,52,41,96,100,16,35,87,0,0,90,100,4,75,45,35,53
45,70,0,60,86,100,100,0,50,6,66,76,9,49,88,66,78
20,0,0,52,7,58,46,100,35,7,15,75,2,100,79,19,33
22,31,45,31,30,78,35,100,61,45,0,79,7,100,73,0,40
33,97,0,59,100,31,76,0,90,23,90,88,9,100,62,79,31
26,12,16,83,47,12,53,100,0,0,60,100,4,87,70,36,31
60,100,24,58,77,17,99,47,71,0,15,79,7,65,100,96,0
1,59,0,38,0,92,50,100,77,2,45,70,1,100,88,10,61
54,90,91,73,100,9,0,30,47,97,29,100,0,68,23,10,0
45,12,96,19,5,48,32,100,73,100,44,99,5,71,65,0,0
13,0,15,57,9,59,36,100,36,0,0,88,2,100,69,11,40
63,76,31,68,78,0,100,59,25,0,100,74,9,62,73,96,51
20,95,6,50,97,100,69,0,75,0,46,76,3,100,98,46,55
16,76,0,44,100,13,39,0,13,6,81,96,5,100,71,44,39
18,57,43,69,100,0,17,20,10,31,60,100,6,85,50,0,15
66,90,99,66,100,0,0,15,44,88,43,100,0,64,19,22,9
50,75,24,34,51,45,100,39,100,0,0,70,7,91,100,75,3
50,1,95,24,0,60,18,100,65,100,27,85,5,57,58,0,4
66,19,99,41,20,40,2,100,53,98,22,100,5,55,59,0,0
57,100,30,34,76,6,39,0,67,0,35,100,4,79,48,63,38
23,75,4,55,100,33,74,0,78,0,68,76,9,100,82,55,75
8,49,37,48,0,32,34,100,58,62,84,74,8,100,74,0,74
49,75,22,35,53,76,100,28,100,0,0,52,1,73,94,75,37
17,31,40,85,100,7,22,46,0,29,76,100,6,80,52,0,351
16,86,0,53,100,63,81,0,61,5,80,100,9,85,72,48,32
5,30,28,100,80,13,23,50,0,29,87,100,6,83,55,0,43
0,0,27,47,22,50,68,14,15,25,96,64,6,100,99,31,100
3,52,24,40,3,88,33,100,80,27,0,99,7,100,70,0,57
49,73,25,26,46,53,96,19,100,0,0,63,7,86,100,73,8
33,47,44,55,25,58,32,100,55,46,0,90,7,100,69,0,37
25,30,61,25,3,0,37,72,10,86,100,91,8,100,76,0,44
54,100,24,79,88,0,45,71,68,0,38,100,4,74,45,58,16
29,64,13,44,83,100,76,0,85,0,21,81,3,100,100,53,52
64,0,99,44,12,37,3,100,44,100,20,90,5,58,52,0,0
12,98,0,48,94,100,60,0,81,3,44,77,3,100,86,38,78
29,42,34,40,9,65,44,100,46,40,0,97,7,100,88,0,51
20,100,7,44,85,91,58,0,80,0,49,79,3,100,85,44,58
0,10,0,52,4,66,48,100,44,2,0,90,2,100,78,24,40
0,83,26,35,65,92,66,81,100,32,0,82,7,100,98,33,40
12,35,29,43,97,14,24,4,0,16,100,100,6,81,53,0,48
0,30,41,22,64,100,44,0,67,85,20,70,8,100,88,1,39
70,7,100,51,13,42,0,100,47,96,34,95,5,62,32,8,0
0,67,27,2,43,100,51,70,83,28,0,100,7,99,83,20,73
63,100,31,81,97,0,42,71,37,0,20,100,4,84,52,46,21
92,100,100,37,78,41,7,0,81,77,27,73,0,37,0,50,15
13,76,0,36,90,20,43,0,22,24,100,86,5,100,78,47,63
0,74,23,18,54,100,64,66,91,29,0,100,7,93,93,31,50
39,100,6,58,94,17,75,0,75,0,87,86,9,100,70,80,46
28,70,0,42,82,0,68,1,18,7,100,95,5,99,100,65,52
62,0,95,94,55,100,0,22,20,100,25,89,8,55,21,30,65
43,74,34,21,100,3,21,19,0,0,94,100,6,94,58,14,35
53,100,28,38,83,0,27,6,45,0,56,100,4,77,46,42,17
51,100,25,84,92,69,100,76,99,0,0,59,1,64,82,78,36
1,31,1,54,9,58,58,100,53,0,0,76,2,100,95,26,24
56,57,29,85,100,22,43,77,0,0,62,100,4,95,70,37,55
60,28,100,96,100,76,0,21,0,88,57,95,8,56,12,33,59
77,100,39,50,68,0,45,41,57,0,26,77,4,100,62,60,12
0,17,4,50,0,67,40,100,50,2,14,65,2,100,82,6,36
20,0,1,61,24,58,16,100,37,5,34,64,2,100,57,0,52
51,81,86,73,100,0,0,12,24,82,57,100,0,72,34,14,16
23,0,8,58,18,63,20,100,37,0,34,89,2,100,56,1,64
0,0,0,50,0,56,44,100,34,8,13,68,2,100,86,9,27
53,67,36,77,100,7,32,53,0,0,80,100,4,63,35,34,52
15,49,60,100,88,0,12,70,9,90,67,100,0,92,56,0,26
66,16,100,100,77,77,0,0,25,82,25,97,8,75,32,32,36
0,22,4,50,0,58,56,100,44,10,6,70,2,100,96,24,32
13,100,0,40,89,76,48,0,53,20,17,81,3,100,75,44,59
44,87,22,85,85,100,88,87,96,0,0,75,1,81,100,66,61
57,100,28,81,94,0,38,65,53,0,32,100,4,77,48,55,12
18,48,37,58,100,13,18,0,0,27,79,100,6,82,52,0,46
35,88,4,62,94,2,58,0,40,0,100,68,9,100,85,85,62
0,0,3,54,9,52,41,100,29,5,1,92,2,100,72,14,38
38,36,35,51,0,81,6,100,64,32,6,100,7,96,56,0,54
43,44,0,69,100,42,69,0,5,13,0,97,5,100,99,59,60
23,57,47,62,91,36,21,0,26,49,100,100,6,76,49,0,60
57,100,28,82,82,8,47,85,62,0,15,100,4,76,50,62,0
4,100,0,38,76,83,55,0,89,5,45,79,3,100,83,27,73
12,1,8,63,15,74,55,100,40,0,0,95,2,100,80,35,40
80,95,87,50,100,0,0,22,50,44,41,100,0,64,13,31,3
81,3,99,46,0,58,0,100,24,99,16,100,5,51,34,29,6
0,52,29,1,27,100,51,63,78,32,0,93,7,100,82,20,64
23,55,6,51,26,88,66,100,82,0,0,92,2,100,91,44,44
73,100,38,61,93,0,39,37,34,0,77,100,4,64,36,39,47
86,100,45,65,88,0,40,53,57,0,14,100,4,91,49,41,9
100,100,75,7,57,31,26,7,79,32,19,75,0,37,0,71,0
19,70,0,56,100,82,50,0,49,10,4,93,3,100,79,45,50
42,15,74,82,42,100,0,61,79,100,0,92,8,62,32,10,52
51,83,26,50,67,71,100,42,100,0,0,67,1,78,95,75,35
68,14,97,28,4,57,0,100,34,100,0,75,5,41,32,24,13
60,100,30,52,82,0,29,35,68,0,53,100,4,78,49,40,20
0,8,19,54,57,21,33,0,1,22,100,100,6,88,64,0,54
18,0,10,58,15,65,23,100,38,0,37,89,2,100,59,1,76
4,11,0,50,0,65,66,100,38,6,30,81,2,100,91,38,56
67,79,100,75,100,0,0,31,34,97,36,87,0,54,20,24,13
29,68,13,29,55,49,64,0,44,0,100,94,5,100,93,53,72
0,82,31,34,56,92,45,98,100,39,0,85,7,100,79,13,43
18,0,0,54,10,70,41,100,39,6,32,76,2,100,73,17,51
14,82,0,53,100,58,82,0,65,7,80,100,9,100,80,47,36
28,86,0,59,100,35,99,0,56,7,40,99,9,100,72,67,2
61,81,30,84,100,0,42,75,15,0,16,89,4,100,70,51,16
0,22,1,70,31,59,57,100,42,2,0,83,2,100,88,28,28
71,97,100,62,100,7,0,15,56,84,21,81,0,55,10,26,0
71,94,100,60,100,4,0,10,52,86,30,94,0,58,14,29,0
34,20,44,59,18,57,5,100,44,54,0,93,7,100,56,0,40
84,0,95,61,24,40,0,100,7,100,30,71,5,52,12,52,20
61,100,30,84,85,0,36,85,55,0,42,100,4,70,39,57,12
21,72,4,47,87,100,69,0,78,0,33,91,3,100,87,44,66
10,42,0,28,0,40,68,100,40,5,4,33,2,66,100,39,49
9,37,27,68,100,4,21,7,0,19,63,100,6,79,51,0,28
15,84,0,52,100,84,64,0,54,1,1,80,3,100,93,44,33
20,85,0,64,100,8,58,0,47,1,78,75,9,100,75,60,51
49,77,25,30,54,87,98,15,100,0,0,63,1,80,100,74,44
34,55,45,60,32,74,40,100,74,55,0,87,7,100,83,0,38
38,43,0,75,100,34,74,0,6,13,6,95,5,100,98,62,88
