,height,length,area,eccen,p_black,p_and,mean_tr,blackpix,blackand,wb_trans,class,real_identifier
0,6.0,95.0,570.0,15.833,0.162,0.712,1.35,92.0,406.0,80.0,1.0,0
1,13.0,120.0,1560.0,9.231,0.398,0.842,3.95,621.0,1314.0,180.0,1.0,0
2,4.0,60.0,240.0,15.0,0.275,0.675,1.25,66.0,162.0,48.0,1.0,0
3,9.0,150.0,1350.0,16.667,0.341,0.815,2.75,460.0,1100.0,150.0,1.0,0
4,3.0,45.0,135.0,15.0,0.222,0.711,1.85,30.0,96.0,28.0,1.0,0
5,11.0,105.0,1155.0,9.545,0.309,0.775,3.45,357.0,896.0,132.0,1.0,0
6,12.0,200.0,2400.0,16.667,0.295,0.802,3.85,708.0,1923.0,240.0,1.0,0
7,5.0,30.0,150.0,6.0,0.267,0.733,2.15,40.0,110.0,36.0,1.0,0
8,14.0,175.0,2450.0,12.5,0.378,0.847,4.15,926.0,2075.0,210.0,1.0,0
9,8.0,85.0,680.0,10.625,0.312,0.792,2.65,212.0,538.0,102.0,1.0,0
10,8.0,15.0,120.0,1.875,0.35,0.95,2.1,42.0,114.0,20.0,1.0,0
11,10.0,28.0,280.0,2.8,0.36,0.88,2.3,100.0,246.0,35.0,1.0,0
12,13.0,190.0,2470.0,14.615,0.26,0.64,2.3,640.0,1620.0,280.0,1.0,0
13,10.0,120.0,1080.0,12.0,0.345,0.71,2.6,375.0,780.0,140.0,1.0,0
14,12.0,70.0,750.0,5.833,0.275,0.68,3.0,210.0,520.0,70.0,1.0,0
15,6.0,85.0,510.0,14.167,0.24,0.82,1.3,130.0,480.0,110.0,1.0,0
16,6.0,55.0,330.0,9.167,0.29,0.87,1.6,95.0,350.0,75.0,1.0,0
17,2.0,40.0,80.0,20.0,0.82,0.98,9.5,32.0,70.0,5.0,2.0,0
18,15.0,290.0,4350.0,19.333,0.37,0.53,5.2,1500.0,2300.0,295.0,1.0,0
19,8.0,50.0,400.0,6.25,0.23,0.65,1.4,90.0,270.0,65.0,1.0,0
20,9.0,250.0,2250.0,25.0,0.34,0.75,2.5,900.0,2000.0,350.0,1.0,0
21,6.0,12.0,72.0,1.8,0.31,0.98,1.4,22.0,70.0,16.0,1.0,0
22,7.0,15.0,105.0,2.14,0.29,0.91,1.65,30.0,90.0,19.0,1.0,0
23,10.0,50.0,500.0,5.0,0.32,0.72,2.0,160.0,400.0,85.0,1.0,0
24,13.0,260.0,3380.0,20.0,0.23,0.55,1.95,780.0,1800.0,400.0,1.0,0
25,8.0,22.0,176.0,3.0,0.33,0.85,1.7,55.0,140.0,30.0,1.0,0
26,9.0,60.0,540.0,7.5,0.27,0.72,1.45,150.0,390.0,105.0,1.0,0
27,12.0,100.0,1200.0,8.5,0.25,0.78,1.75,300.0,850.0,170.0,1.0,0
28,10.0,90.0,950.0,9.0,0.27,0.79,1.8,260.0,740.0,145.0,1.0,0
29,8.0,190.0,1520.0,23.75,0.15,0.65,1.45,230.0,1000.0,160.0,1.0,0
30,8.0,250.0,2000.0,31.0,0.2,0.56,1.4,400.0,1100.0,290.0,1.0,0
31,7.0,15.0,105.0,1.7,0.64,0.79,8.3,67.0,83.0,9.0,1.0,0
32,5.0,8.0,40.0,1.5,0.41,0.66,2.4,15.0,24.0,7.0,1.0,0
33,9.0,13.0,100.0,1.6,0.38,0.93,1.9,37.0,90.0,21.0,1.0,0
34,6.0,95.0,480.0,19.0,0.41,0.82,2.8,195.0,395.0,71.0,1.0,0
35,7.0,7.0,49.0,1.1,0.37,1.0,1.5,14.0,37.0,10.0,1.0,0
36,26.0,185.0,4700.0,7.5,0.49,0.94,7.4,2300.0,4400.0,310.0,1.0,0
37,10.0,100.0,900.0,11.5,0.29,0.81,2.0,260.0,720.0,135.0,1.0,0
38,10.0,65.0,580.0,7.2,0.35,0.7,2.3,200.0,405.0,88.0,1.0,0
