,Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue,real_identifier
0,2.0,120.0,0.0,0.0,20.0,1000.0,0.01,0.03,0.0,0.0,3.0,2.0,2.0,5.0,5.0,2.0,1.0,0.0,0
1,1.0,60.0,2.0,100.0,15.0,800.0,0.02,0.04,50.0,0.0,2.0,3.0,1.0,6.0,10.0,0.0,0.0,1.0,0
2,3.0,180.0,0.0,0.0,25.0,1200.0,0.005,0.015,0.0,0.0,1.0,2.0,2.0,4.0,3.0,2.0,1.0,0.0,0
3,0.0,0.0,1.0,50.0,10.0,500.0,0.03,0.05,0.0,0.0,4.0,1.0,1.0,2.0,20.0,2.0,0.0,0.0,0
4,5.0,300.0,0.0,0.0,30.0,1500.0,0.01,0.02,0.0,0.0,5.0,3.0,2.0,7.0,2.0,0.0,0.0,0.0,0
5,2.0,120.0,1.0,60.0,20.0,1000.0,0.005,0.01,0.0,0.0,3.0,2.0,2.0,5.0,5.0,2.0,1.0,0.0,0
6,1.0,60.0,2.0,100.0,15.0,800.0,0.02,0.04,50.0,0.0,2.0,3.0,1.0,6.0,10.0,0.0,0.0,1.0,0
7,0.0,0.0,1.0,50.0,10.0,500.0,0.03,0.05,0.0,0.0,4.0,1.0,1.0,2.0,20.0,2.0,0.0,0.0,0
8,4.0,240.0,0.0,0.0,25.0,1200.0,0.005,0.015,0.0,0.0,1.0,2.0,2.0,4.0,3.0,2.0,1.0,0.0,0
9,3.0,180.0,1.0,70.0,28.0,1300.0,0.01,0.02,0.0,0.0,5.0,3.0,2.0,7.0,2.0,0.0,0.0,0.0,0
10,0.0,0.0,0.0,0.0,32.0,1538.5833,0.0111,0.025,0.0,0.4,5.0,2.0,1.0,3.0,2.0,2.0,0.0,0.0,0
11,0.0,0.0,0.0,0.0,19.0,895.5,0.0154,0.0385,0.0,0.2,1.0,3.0,2.0,1.0,3.0,2.0,1.0,0.0,0
12,3.0,20.0,0.0,0.0,25.0,1219.25,0.0063,0.0294,0.0,0.6,6.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0
13,0.0,0.0,0.0,0.0,41.0,1937.9167,0.0103,0.0333,0.0,0.8,7.0,2.0,1.0,3.0,2.0,2.0,1.0,0.0,0
14,2.0,15.0,0.0,0.0,13.0,642.5,0.0077,0.0263,0.0,0.4,5.0,3.0,2.0,1.0,8.0,0.0,0.0,0.0,0
15,0.0,0.0,0.0,0.0,51.0,2437.25,0.0122,0.0357,0.0,0.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,0.0,0
16,1.0,8.0,0.0,0.0,22.0,1062.5,0.0095,0.0308,0.0,0.2,6.0,2.0,1.0,3.0,2.0,2.0,0.0,0.0,0
17,0.0,0.0,0.0,0.0,35.0,1676.25,0.0116,0.0345,0.0,0.6,7.0,3.0,2.0,1.0,3.0,2.0,1.0,0.0,0
18,4.0,25.0,0.0,0.0,18.0,862.5,0.0081,0.0286,0.0,0.4,5.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0
19,0.0,0.0,0.0,0.0,29.0,1396.25,0.0139,0.0362,0.0,0.0,1.0,3.0,1.0,3.0,2.0,2.0,1.0,0.0,0
20,8.0,234.0,0.0,0.0,25.0,1012.5,0.0053,0.0167,0.0,0.0,3.0,1.0,3.0,5.0,2.0,2.0,0.0,0.0,0
21,1.0,61.0,1.0,10.0,12.0,521.9167,0.0161,0.0357,0.0,0.0,8.0,3.0,1.0,4.0,3.0,2.0,0.0,0.0,0
22,4.0,189.0,0.0,0.0,39.0,1456.875,0.0071,0.0214,0.0,0.0,4.0,2.0,2.0,6.0,2.0,2.0,0.0,0.0,0
