AverageMInFile,NumSatisfactoryTrades,ExternalRiskEstimate,MSinceOldestTradeOpen,MSinceMostRecentTradeOpen,PercentTradesWBalance,NumBank2NatlTradesWHighUtilization,MaxDelqEver,NumTrades90Ever2DerogPubRec,NumTrades60Ever2DerogPubRec,MaxDelq2PublicRecLast12M,NumInqLast6M,MSinceMostRecentInqexcl7days,NumTradesOpeninLast12M,MSinceMostRecentDelq,PercentInstallTrades,NetFractionInstallBurden,NumInqLast6Mexcl7days,NetFractionRevolvingBurden,PercentTradesNeverDelq,NumRevolvingTradesWBalance,NumInstallTradesWBalance,NumTotalTrades,RiskPerformance
58,16,82,126,4,50,0,6,0,0,6,10,-7,2,-8,20,-8,10,7,97,4,1,17,0
66,42,81,159,5,50,0,8,0,0,7,1,3,1,-7,18,89,1,2,100,2,2,42,1
67,3,74,179,2,100,1,8,0,0,7,2,0,3,-7,100,100,2,89,100,4,2,4,0
84,14,88,176,18,50,0,8,0,0,7,0,-7,0,-7,18,-8,0,1,100,2,1,14,1
91,25,88,151,6,42,0,8,0,0,7,0,-7,1,-7,44,-8,0,0,100,1,3,29,1
91,14,68,434,7,100,2,8,0,0,7,0,0,2,-7,50,-8,0,75,100,3,1,16,0
74,27,82,183,3,67,0,8,0,0,7,2,-7,1,-7,45,-8,2,18,100,4,1,32,1
108,49,77,209,12,89,2,8,0,0,7,1,0,0,-7,40,-8,1,47,100,8,1,49,0
72,19,78,132,3,86,1,8,0,0,7,2,0,5,-7,31,-8,2,27,100,5,1,22,0
71,27,67,159,6,89,4,6,0,0,6,1,1,1,-8,48,99,1,66,97,8,3,28,0
81,26,85,169,14,43,0,6,0,0,6,0,-7,0,-8,6,-8,0,16,87,2,-8,26,0
75,20,75,178,1,60,1,8,0,0,7,3,0,2,-7,25,64,3,23,100,5,4,20,0
76,33,86,173,2,31,0,8,0,0,7,3,0,2,-7,13,-8,3,6,100,4,1,36,0
86,8,70,147,52,40,0,8,1,1,6,0,-8,0,-7,50,-8,0,0,100,0,1,8,1
-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,1
74,23,86,212,10,63,0,6,0,0,4,0,0,1,4,36,-8,0,5,80,5,2,26,1
70,27,73,181,6,71,0,8,0,0,7,0,0,3,-7,23,89,0,13,100,4,2,28,1
91,25,82,186,17,45,0,8,0,0,7,0,0,0,-7,15,-8,0,2,100,1,1,26,1
91,18,76,243,2,57,0,6,0,0,6,0,-7,2,15,25,-8,0,40,96,3,1,21,0
-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,0
46,11,76,136,7,100,1,8,0,0,7,0,8,2,-7,100,86,0,95,100,5,3,11,0
69,31,63,141,5,82,1,8,0,0,7,4,0,5,-7,37,67,4,66,100,6,4,38,0
95,16,84,262,16,56,0,8,0,0,7,0,0,0,-7,50,77,0,29,100,1,2,16,1
-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,1
84,12,86,173,13,83,0,8,0,0,7,0,0,0,-7,41,-8,0,9,100,3,1,12,1
16,6,70,74,19,67,0,8,0,0,7,2,0,0,-7,50,-8,2,15,100,3,1,7,0
70,11,85,154,6,100,1,8,0,0,7,1,0,2,-7,0,-8,1,100,100,3,-8,13,1
85,7,83,186,10,100,0,5,0,1,6,2,0,1,24,43,-8,2,67,75,2,1,9,0
62,10,74,-8,11,75,0,8,0,0,7,1,0,1,-7,33,95,1,33,100,1,2,10,0
-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,0
69,22,70,187,12,67,1,6,0,0,6,1,0,0,-8,50,-8,1,54,95,4,1,24,0
106,16,81,165,28,33,0,8,0,0,7,0,-7,0,-7,15,-8,0,8,100,2,1,16,1
98,13,89,192,13,67,0,8,0,0,7,0,0,0,-7,44,-8,0,0,100,0,2,13,1
53,6,86,-8,12,50,0,8,1,1,7,0,0,0,-7,33,-8,0,1,100,1,1,8,1
70,17,79,183,5,63,1,6,0,0,6,3,0,1,13,40,82,3,24,93,5,2,18,1
76,35,85,196,2,20,0,8,0,0,7,1,0,3,-7,17,-8,1,15,100,2,1,37,1
105,12,66,163,18,100,1,6,0,0,6,0,-7,0,-8,53,-8,0,56,89,3,1,12,0
72,24,82,132,3,50,0,8,0,0,7,0,0,2,-7,41,67,0,43,100,3,3,24,1
66,30,77,182,3,54,0,8,0,0,7,0,-8,2,-7,15,-8,0,26,100,3,1,31,1
92,35,83,207,8,45,0,8,0,0,7,0,-7,1,-7,32,84,0,3,100,4,3,38,0
65,12,76,241,3,47,1,8,0,0,7,2,0,2,-7,24,-8,2,44,100,4,1,12,0
68,14,88,184,10,50,0,8,0,0,7,0,0,2,-7,52,78,0,0,100,2,3,15,1
64,47,65,186,2,100,4,8,0,0,7,1,0,2,-7,67,76,1,73,100,7,4,48,0
77,12,62,165,4,82,0,6,2,2,4,1,0,2,3,26,97,1,48,85,4,2,13,0
37,11,72,80,7,33,0,8,0,0,7,0,0,1,-7,12,-8,0,14,100,2,-8,11,0
48,27,72,152,10,64,2,8,0,0,7,0,-7,4,-7,24,92,0,41,100,7,2,28,0
40,31,63,114,2,60,2,8,0,0,7,0,0,3,-7,18,-8,0,59,100,3,1,32,0
72,7,87,-8,6,50,0,8,0,0,7,2,0,2,-7,0,-8,2,1,100,2,-8,7,1
84,9,86,-8,3,23,0,8,0,0,7,1,-7,3,-7,27,92,1,0,100,0,2,9,1
72,11,73,209,2,60,0,6,0,0,4,1,0,4,9,29,100,1,4,93,3,2,11,1
90,19,89,164,15,35,0,8,0,0,7,1,0,0,-7,20,-8,1,5,100,1,1,20,1
77,34,87,146,20,25,0,8,0,0,7,2,-7,0,-7,14,-8,2,5,100,3,1,34,1
89,12,84,194,6,100,0,8,0,0,7,0,0,3,-7,36,-8,0,46,100,3,1,12,1
72,26,66,206,2,55,2,6,0,0,4,6,0,2,9,12,-8,6,17,88,7,1,30,0
79,11,66,184,16,50,1,8,0,0,7,3,0,0,-7,13,-8,3,32,100,3,1,0,0
74,13,71,155,6,67,1,6,0,0,6,2,0,2,42,38,74,2,14,96,3,2,16,1
66,16,87,179,0,33,0,8,0,0,7,1,-7,1,-7,7,-8,1,2,100,4,1,19,1
74,17,86,161,8,33,0,8,0,0,7,1,0,1,-7,29,-8,1,1,100,2,2,17,1
68,30,90,163,3,33,0,8,0,0,7,1,-7,2,-7,18,-8,1,13,100,3,1,33,1
56,32,68,-8,2,54,1,8,0,0,7,0,-7,3,-7,28,59,0,39,100,6,3,32,0
75,17,78,170,6,50,0,8,0,0,7,0,-8,1,-7,50,-8,0,5,100,1,1,18,1
66,20,87,183,10,56,1,8,0,0,7,0,0,1,-7,17,80,0,20,100,5,2,20,1
77,28,73,178,3,70,0,6,0,0,4,2,0,2,9,47,-8,2,22,96,3,3,31,1
71,25,88,179,12,25,0,8,0,0,7,0,11,0,-7,21,-8,0,2,100,1,-8,25,1
110,25,85,356,24,31,1,8,0,0,7,0,0,0,-7,19,-8,0,4,100,3,1,25,0
