sepal length (cm),sepal width (cm),petal length (cm),petal width (cm),target
4.64088723633078,3.1842820211364042,1.2204419818141927,1.455773532309919,1
6.786219991482862,3.4028204061763567,3.6158387407318036,1.1236438031380758,1
5.608062244390112,3.304390028277406,3.4342491386933256,0.8302131818492229,2
5.3414251368294625,2.5481084867089434,4.402231084144645,0.12646524222021918,1
5.277641948938777,2.951766419269344,1.1448177863863407,2.5,0
4.833343049853443,2.7970137062319806,4.183802134053047,0.1,2
6.374892760393421,3.1920923213285812,6.862971770002745,1.4514326523161385,2
5.372789385868574,2.719604383463038,1.0,0.14493234143979433,2
5.6856349288529895,2.5800260951852882,1.3104721441387093,0.3015360467003908,2
5.143234691534628,2.9218271104175275,4.726458724394054,0.1,1
6.219634650450808,3.2549907622753507,5.547472940660501,1.80604637496551,0
6.711186197093147,2.3673750053130096,4.3620624918522575,1.405903933887402,0
6.515057332951413,3.492013821618029,5.201883138935992,2.0308434838361413,2
5.677626294431126,2.6478342177143075,1.267582095042783,1.4605673654899776,2
5.945932706108124,3.7377028005199855,3.7195744896382825,1.622149995863173,0
7.9,2.914246201061319,5.752442110157195,2.0635781970850955,2
4.670099048011713,2.774789082486679,4.547644707851652,1.110841026881195,1
4.86876419508964,2.964873008028456,1.3547011669809828,1.5744253732627038,2
5.35541285909043,2.503005062536394,4.777615152047005,1.3184583840896777,0
5.501676352103546,3.67848379569745,4.902674301490809,1.8228854743763174,2
5.040126067340182,2.9614279101720147,1.312502064298208,0.5506748818293317,1
5.592629931289622,2.8469718768691727,5.026127968448882,2.5,1
5.69755465477087,3.338348372004522,4.760832323131633,0.23374657167698473,1
6.442315186677512,3.3882810616122776,1.3208288436838813,2.0198410848979766,2
4.4,3.337930916977818,3.346807049497438,0.10667977780792592,0
5.853134361864714,2.916313724972351,2.952846381642812,0.9128355098068676,1
7.084763882184223,3.006394743642556,6.08918292699472,1.7972337297536782,2
5.659166169922407,3.54657349328893,2.2680473401300354,1.1549264597482956,2
6.958065839710527,2.8653813148948633,4.440443739024665,0.6697516007550971,1
5.503289386099535,3.336310889163857,5.207218479640798,1.4701020539097778,1
