target,Dcl,Ao,Iy,Aa,Sh
1,0.782,0.532,1.537,0.218,0.898
0,1.435,2.302,0.735,0.534,-0.297
1,1.522,0.953,1.018,0.46,1.038
1,0.903,2.64,0.607,0.584,-0.205
1,1.131,0.562,1.807,0.106,-0.773
0,1.008,1.866,-0.304,0.716,-0.152
1,1.656,0.84,0.714,0.704,0.702
0,-0.331,2.41,-0.143,1.24,0.108
0,-0.111,0.651,0.13,2.051,-0.061
0,1.01,2.528,0.426,0.682,-0.189
1,0.7,0.521,1.861,0.245,0
1,1.936,0.675,-0.627,0.366,-0.541
0,0.476,0.416,1.978,0.115,0
1,1.809,1.044,-0.517,0.56,-0.385
1,1.871,0.622,1.056,0.343,0.394
1,2.048,0.79,-0.666,0.35,0
0,0.373,0.786,0.226,1.902,-0.095
0,0.133,0.51,0.11,2.424,-0.153
1,0.778,0.412,2.168,0.223,-0.769
0,1.264,0.585,1.408,0.239,0
0,1.01,2.68,0.483,0.56,0
0,1.504,2.192,0.649,0.504,0
1,1.064,0.608,1.783,0.134,-0.698
0,0.452,1.191,0.226,1.518,-0.084
0,-0.413,2.84,0.252,0.902,-0.13
0,1.122,1.607,0.4,0.249,-0.164
0,-0.467,2.222,-0.212,0.834,0.151
0,0.476,0.327,-0.767,0.152,1.668
0,0.57,1.965,0.249,0.509,-0.158
0,0.404,0.271,1.153,0.087,1.153
0,1.504,1.781,0.658,0.257,0
0,0.179,0.482,0.144,1.99,-0.149
0,0.179,-0.301,-0.086,3.24,-0.053
0,1.064,2.51,0.476,0.656,-0.172
0,1.354,1.58,0.545,0.255,-0.19
0,0.158,-0.273,-0.211,3.057,-0.103
1,0.634,0.548,1.31,0.199,1.064
0,-0.468,2.327,0.252,1.333,0.187
0,0.502,1.497,0.385,1.574,0.813
0,0.496,1.783,0.283,0.305,-0.125
0,0.339,0.372,0.447,0.079,0
0,-0.387,2.203,-0.194,0.592,-0.126
0,0.459,0.311,-0.887,0.121,1.814
0,-0.342,1.63,-0.127,1.261,0.095
0,-0.436,2.418,0.337,1.007,-0.161
0,0.496,0.313,1.372,0.141,1.611
0,0.179,-0.272,0.11,3.471,-0.06
0,0.504,1.155,0.253,1.922,0.598
0,2.657,1.29,-0.748,0.276,-0.317
0,1.796,1.214,0.735,0.234,-0.274
0,0.404,0.344,1.378,0.128,1.264
0,-0.304,1.71,-0.142,1.098,-0.101
0,0.158,-0.311,0.096,3.404,-0.052
0,0.245,0.575,0.214,2.328,-0.082
0,0.245,1.102,0.208,1.253,-0.082
0,-0.111,0.618,-0.066,2.313,0.044
0,0.845,1.494,1.574,1.309,-0.426
0,-0.421,2.64,0.343,1.108,0.588
1,1.915,0.675,1.528,0.599,1.473
0,0.45,0.786,-0.089,2.039,0.081
1,1.666,1.136,-0.511,0.714,-0.233
0,1.16,1.805,0.43,0.412,-0.184
0,0.485,1.399,0.283,1.396,-0.18
1,1.667,0.933,1.067,0.279,0
0,0.177,0.582,0.148,1.936,-0.163
0,1.835,1.206,-0.546,0.229,0
0,1.78,1.056,0.698,0.383,-0.291
0,0.153,-0.281,0.078,3.261,0.062
0,-0.281,1.61,-0.138,1.02,0.108
0,0.444,0.308,-0.607,0.074,1.911
0,2.314,1.016,-0.782,0.265,-0.338
0,1.354,0.573,1.963,0.122,0
0,1.185,2.518,0.366,0.567,-0.164
0,0.643,2.203,0.32,0.535,0
1,0.866,0.548,1.253,0.219,1.007
1,0.845,0.562,0.915,0.22,-0.351
0,-0.122,0.468,0.094,3.064,-0.052
1,1.504,1.284,1.098,0.448,-0.406
0,0.509,0.366,1.763,0.128,1.26
0,-0.127,0.471,0.093,2.424,0.072
0,-0.413,2.761,0.272,1.098,0.271
1,1.576,1.064,1.141,0.315,0
1,1.753,0.709,0.762,0.545,0.714
0,1.68,0.563,1.177,0.158,0
0,1.435,1.238,0.58,0.216,-0.21
1,0.905,2.581,0.525,0.81,-0.167
0,1.435,0.695,2.16,0.115,-0.676
0,0.795,1.557,0.305,1.392,0.294
0,0.909,0.826,1.369,0.187,0
0,0.179,0.483,0.149,1.861,-0.149
1,1.827,0.813,1.122,0.545,1.1
0,0.457,0.329,1.659,0.101,1.369
0,-0.092,0.266,0.081,2.106,-0.049
0,0.979,1.882,0.308,0.535,0.179
0,-0.452,2.041,0.284,0.203,-0.132
0,0.464,0.311,1.538,0.145,1.782
0,1.666,1.214,-0.428,0.334,-0.321
0,-0.303,1.826,-0.135,0.886,-0.081
0,0.513,1.504,1.599,1.504,-0.498
0,-0.459,2.641,0.221,0.682,-0.141
