target,Dcl,Ao,Iy,Aa,Sh
1,1.064,0.596,1.168,0.235,0.786
0,2.079,0.954,-0.547,0.2,-0.322
0,0.67,2.417,0.371,0.718,0.385
0,1.02,1.846,0.482,0.394,-0.241
1,1.861,0.349,2.167,0.517,-0.538
0,1.168,0.405,-0.287,2.764,-0.132
0,-0.421,2.78,0.309,0.724,-0.235
0,-0.111,0.656,0.14,2.18,-0.067
0,-0.149,0.997,0.075,2.949,0.072
0,1.354,0.585,2.191,0.324,-0.653
1,1.935,0.614,0.915,0.365,0.646
1,1.917,0.508,1.292,0.515,1.414
0,0.43,0.356,-0.601,0.074,-1.236
1,0.905,2.633,0.555,0.542,-0.168
0,-0.143,0.728,0.114,2.043,0.086
1,0.622,0.515,1.297,0.151,-0.882
0,-0.414,2.903,-0.19,0.749,-0.139
0,-0.46,2.89,0.321,0.666,0.269
0,0.176,0.546,0.122,2.042,0.112
0,0.479,1.516,0.283,1.854,-0.148
0,-0.133,0.729,0.094,1.504,-0.065
0,0.342,1.09,0.199,2.304,-0.092
1,1.044,0.51,1.737,0.094,-0.62
1,1.809,0.674,1.094,0.391,1.577
0,-0.238,1.155,-0.104,1.203,0.093
0,-0.107,0.639,0.14,1.871,-0.103
0,0.866,0.501,1.811,0.181,-0.734
0,0.643,2.04,0.398,0.334,0
0,0.443,0.296,1.185,0.138,1.776
0,1.024,1.792,0.485,0.626,0.792
0,1.114,2.318,0.58,0.816,-0.21
0,1.796,1.059,-0.496,0.258,0
0,0.486,1.266,0.28,2.039,-0.122
0,0.964,2.68,0.483,0.724,0.678
0,0.648,2.18,0.545,1.553,0.307
0,0.643,1.607,0.309,0.237,0.194
0,1.928,1.058,-0.496,0.228,0.608
0,0.315,0.245,0.575,0.076,1.805
0,-0.111,-0.266,-0.078,3.21,-0.055
0,-0.321,2.221,0.19,1.141,0.187
0,0.195,0.717,0.159,1.39,-0.163
1,0.778,0.577,1.945,0.179,0
0,1.035,1.936,0.441,0.421,-0.194
0,0.153,0.297,0.094,2.566,-0.074
0,0.513,1.195,0.517,2.583,-0.154
0,0.454,0.34,-0.165,3.592,-0.067
1,1.064,0.695,1.123,0.18,-0.493
1,0.845,0.883,1.107,0.14,-0.394
0,0.496,1.493,0.271,0.327,-0.115
0,0.433,1.264,0.257,2.041,0.337
1,0.772,2.555,0.769,0.551,0.734
0,1.964,0.972,-0.551,0.231,0
1,0.637,1.043,0.83,0.199,0
1,0.643,0.515,1.191,0.151,-0.769
0,1.1,2.471,0.58,0.368,-0.289
1,1.666,1.056,1.108,0.47,1.483
1,0.915,2.626,0.648,0.651,-0.202
1,2.058,1.058,1.058,0.345,0
0,0.339,0.372,0.383,0.079,0
0,0.476,1.592,1.633,1.369,-0.415
0,0.729,1.876,0.721,0.642,0.517
1,2.039,0.52,0.909,0.366,0.698
0,1.504,0.609,1.902,0.103,-0.786
0,-0.403,2.302,0.27,1.008,-0.132
0,0.179,0.601,0.116,1.102,0.065
0,0.179,0.601,0.16,2.328,0.119
0,1.087,1.935,0.693,0.539,0
1,1.044,2.327,0.563,1.064,0.307
1,0.9,0.721,1.044,0.321,0.714
0,0.179,0.735,0.122,1.02,0.061
0,0.513,1.736,1.599,1.356,-0.442
0,0.153,0.338,0.078,3.058,0.089
0,1.037,0.476,2.42,0.107,-0.705
0,2.555,1.099,-0.748,0.219,0
0,1.504,2.311,0.734,0.539,-0.25
0,0.386,1.414,0.917,2.519,-0.225
0,0.181,0.656,0.148,1.807,-0.132
0,1.029,2.203,0.487,0.535,-0.194
0,0.829,1.705,0.376,0.281,-0.179
0,-0.413,2.761,0.309,1.012,0.719
0,0.909,0.786,1.683,0.156,0
0,-0.111,0.657,0.131,1.763,-0.06
0,2.328,1.144,-0.836,0.211,0
0,0.468,0.311,1.773,0.104,-0.782
0,2.289,1.064,-0.769,0.225,0.506
0,1.029,1.714,0.553,0.256,-0.211
0,0.342,1.375,0.225,1.726,-0.097
1,1.935,0.753,-0.551,0.586,0.551
0,0.502,1.526,0.27,1.577,-0.117
0,0.648,1.904,0.26,0.35,0.154
0,0.795,0.705,2.029,0.238,0
0,-0.111,0.468,-0.066,2.81,0.049
0,1.504,1.504,-0.447,0.216,0.221
0,1.354,0.592,1.78,0.118,0
0,0.485,0.356,0.925,0.137,1.781
0,0.443,0.335,-0.785,0.121,1.261
0,0.443,0.356,0.932,0.159,1.38
0,0.149,0.697,0.139,1.608,-0.141
0,-0.376,2.21,-0.161,1.392,0.18
0,0.164,-0.273,-0.071,3.677,-0.045
