,Attribute1,Attribute2,Attribute3,Attribute4,Attribute5,Attribute6,Attribute7,Attribute8,Attribute9,Attribute10,Attribute11,Attribute12,Attribute13,Attribute14,Attribute15,Attribute16,Attribute17,Attribute18,Attribute19,Attribute20,class,real_identifier
0,2,18,3,1,1320,0,2,3,1,0,4,2,27,2,0,2,1,1,0,0,2,0
1,1,22,4,2,1450,0,3,3,2,0,3,1,38,2,1,2,3,1,0,0,1,0
2,0,58,1,0,7200,1,2,4,1,0,2,1,26,2,1,1,2,1,0,0,2,0
3,0,7,3,5,2500,2,1,2,2,0,3,0,42,2,0,1,2,2,0,0,1,0
4,0,11,2,6,800,1,0,3,1,0,3,1,20,2,1,1,2,1,0,0,2,0
5,2,10,3,3,4600,0,3,2,2,0,4,1,49,2,1,1,2,1,0,0,1,0
6,0,13,1,4,750,1,1,4,3,0,3,2,32,2,1,1,1,1,1,0,2,0
7,0,5,2,6,500,0,1,4,1,0,4,1,25,2,1,1,2,1,0,0,2,0
8,3,28,4,3,6800,3,3,2,2,0,3,1,34,2,1,2,2,1,0,0,1,0
9,1,8,1,1,1600,3,1,4,2,0,2,0,34,2,1,1,0,1,0,0,1,0
10,0,40,2,1,7800,0,4,3,2,0,4,3,43,0,2,1,3,1,0,0,2,0
11,0,10,0,5,1200,0,3,4,2,0,3,0,30,2,1,2,2,1,0,0,2,0
12,1,8,1,0,1500,1,3,2,2,0,3,3,28,2,1,1,2,1,0,0,2,0
13,0,35,2,2,8400,4,4,3,2,0,4,3,46,2,2,1,2,1,0,0,2,0
14,0,30,2,0,4100,0,2,3,2,0,2,2,44,2,1,1,1,1,0,0,2,0
15,0,50,2,3,1900,0,2,4,2,0,4,3,24,2,2,1,2,1,1,0,2,0
16,1,6,2,5,2400,0,1,1,1,2,1,0,46,2,1,1,2,1,0,0,1,0
17,1,65,2,6,6300,0,2,4,2,0,4,3,41,2,2,1,2,1,0,0,2,0
18,3,14,2,0,3200,3,3,2,1,0,3,2,21,2,0,1,2,1,0,0,1,0
19,3,5,4,0,370,1,2,4,1,0,4,2,51,2,1,2,1,1,0,0,1,0
