,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species,real_identifier
0,5.921,3.141,4.329,1.464,1.0,0
1,6.551,2.901,5.631,2.319,2.0,0
2,5.221,3.439,2.459,0.861,0.0,0
3,6.194,2.621,4.011,1.299,1.0,0
4,5.853,3.313,3.181,1.011,0.0,0
5,6.411,2.849,5.271,2.061,2.0,0
6,5.469,3.191,2.851,0.931,0.0,0
7,6.671,2.991,4.831,1.631,1.0,0
8,5.931,3.051,3.571,1.141,0.0,0
9,6.351,2.761,5.011,1.911,2.0,0
10,5.5,3.1,3.9,1.2,1.0,0
11,6.2,2.8,4.8,1.6,1.0,0
12,5.8,3.0,3.5,1.1,1.0,0
13,5.1,3.3,3.2,1.0,0.0,0
14,6.5,2.9,4.9,1.7,1.0,0
15,5.3,3.2,3.7,1.2,1.0,0
16,5.9,2.7,4.2,1.4,1.0,0
17,5.6,3.1,3.8,1.3,1.0,0
18,5.2,3.4,3.1,1.0,0.0,0
19,6.1,2.8,4.6,1.5,1.0,0
20,5.5,2.9,4.2,1.6,1.0,0
21,6.1,3.2,5.1,2.1,2.0,0
22,5.2,3.5,3.8,1.3,1.0,0
23,6.4,2.6,5.5,2.3,2.0,0
24,5.8,3.1,4.5,1.8,1.0,0
25,5.1,3.3,3.2,1.1,0.0,0
26,6.3,2.8,5.2,2.0,2.0,0
27,5.4,3.4,4.0,1.5,1.0,0
28,5.9,2.9,4.8,1.9,1.0,0
29,5.6,3.2,3.9,1.4,1.0,0
30,5.951,3.011,3.439,1.181,1.0,0
31,6.282,2.849,4.911,1.911,2.0,0
32,5.421,3.201,2.011,0.511,0.0,0
33,6.058,2.901,4.391,1.691,2.0,0
34,5.851,3.051,3.651,1.351,1.0,0
35,5.692,3.082,2.792,0.892,0.0,0
36,6.231,2.931,4.831,1.931,2.0,0
37,5.501,3.201,2.511,0.611,0.0,0
38,6.082,2.951,4.491,1.791,2.0,0
39,5.821,3.051,3.651,1.351,1.0,0
40,5.955,2.93,4.322,1.478,1.0,0
41,6.351,3.21,5.121,2.03,2.0,0
42,5.412,3.04,3.195,1.301,1.0,0
43,6.562,2.85,5.352,2.192,2.0,0
44,5.845,3.33,3.933,1.621,1.0,0
45,6.187,2.98,4.862,2.04,2.0,0
46,5.592,3.18,3.478,1.46,1.0,0
47,6.448,2.91,5.29,2.174,2.0,0
48,5.933,3.26,4.033,1.661,1.0,0
49,6.269,2.99,4.93,2.062,2.0,0
50,6.1,2.9,4.3,1.5,1.0,0
51,5.9,3.1,3.5,1.2,1.0,0
52,6.4,2.7,5.1,1.8,2.0,0
53,5.5,2.6,3.2,1.1,1.0,0
54,6.7,3.3,5.5,2.1,2.0,0
55,6.1,2.8,4.5,1.6,2.0,0
56,5.3,2.4,3.0,1.0,1.0,0
