,parents,has_nurs,form,children,housing,finance,social,health,class,real_identifier
0,1,2,2,1,1,1,0,2,1,0
1,0,3,3,2,2,1,1,0,3,0
2,1,1,2,1,0,0,2,1,0,0
3,2,3,1,2,1,1,1,2,2,0
4,0,1,3,3,0,0,0,1,3,0
5,1,2,3,1,2,0,2,1,3,0
6,0,4,2,0,1,0,1,2,3,0
7,2,1,0,2,1,1,2,0,1,0
8,1,3,2,1,0,0,1,1,0,0
9,0,2,3,2,2,1,2,2,3,0
10,1,2,1,2,1,0,1,0,0,0
11,0,3,2,3,2,1,1,1,3,0
12,1,1,0,1,0,0,2,1,3,0
13,2,3,2,2,1,0,0,0,1,0
14,0,4,3,2,0,1,2,0,3,0
15,1,0,1,3,1,0,1,1,0,0
16,1,2,3,0,0,0,0,1,3,0
17,2,1,2,2,0,0,1,2,1,0
18,0,1,0,3,2,0,2,1,3,0
19,1,3,1,1,1,1,0,0,0,0
20,2,1,1,1,1,1,1,0,0,0
21,0,2,3,0,1,0,2,0,0,0
22,1,0,1,2,0,1,1,1,3,0
23,2,3,2,0,2,0,0,2,4,0
24,0,1,2,3,1,1,2,1,3,0
25,1,2,0,0,0,0,1,0,0,0
26,2,0,3,1,0,0,0,0,0,0
27,0,3,1,0,2,1,2,0,0,0
28,1,1,3,2,1,0,2,0,0,0
29,0,0,2,1,0,0,2,1,3,0
30,1,2,1,1,0,1,1,1,1,0
31,2,3,2,3,1,1,2,1,1,0
32,0,1,0,0,0,0,1,2,0,0
33,2,4,3,1,2,1,0,1,3,0
34,1,0,1,2,0,1,1,2,1,0
35,2,1,0,0,1,0,2,1,1,0
36,2,2,1,2,0,1,0,1,1,0
37,0,3,2,1,1,1,1,2,0,0
38,2,4,3,3,2,1,0,1,3,0
39,1,2,2,2,1,1,1,2,1,0
40,1,2,2,1,1,0,1,1,2,0
41,0,3,3,2,0,0,0,0,3,0
42,1,1,1,0,1,1,2,2,0,0
43,2,3,3,2,2,0,1,1,1,0
44,0,0,2,3,0,0,0,1,3,0
45,2,2,3,1,1,0,2,2,0,0
46,0,4,3,3,1,0,1,1,3,0
47,1,2,2,1,0,0,0,2,4,0
48,0,1,1,2,0,0,0,0,3,0
49,2,0,3,0,2,0,2,2,1,0
50,1,3,2,1,1,1,2,1,1,0
51,0,1,0,2,2,0,1,2,0,0
52,2,1,0,0,1,1,2,2,1,0
53,0,3,1,3,0,1,1,0,0,0
54,1,2,3,2,2,1,0,1,1,0
55,2,4,0,1,1,0,2,0,0,0
56,0,2,1,2,0,1,1,2,0,0
57,1,0,2,0,2,1,2,1,1,0
58,2,3,1,3,1,0,2,0,0,0
59,0,4,2,1,0,1,1,2,0,0
60,1,3,2,2,1,1,1,0,1,0
61,2,1,3,0,2,0,1,1,2,0
62,0,3,1,2,1,1,0,2,3,0
63,1,2,0,1,0,1,1,0,0,0
64,2,4,2,2,1,0,2,1,4,0
65,0,1,3,3,2,1,0,1,2,0
66,1,0,2,0,1,1,1,0,1,0
67,2,3,1,1,0,0,1,2,3,0
68,0,2,0,2,2,0,0,1,0,0
69,1,4,3,1,1,1,2,1,3,0
70,1,2,1,2,1,1,1,2,2,0
71,0,3,2,0,0,1,2,1,3,0
72,1,1,0,2,2,0,0,2,1,0
73,2,3,3,1,0,0,0,0,0,0
74,1,4,2,1,1,1,2,1,3,0
75,0,2,3,1,2,0,2,2,1,0
76,1,0,1,0,1,1,1,2,2,0
77,2,4,0,2,0,1,0,2,3,0
78,1,3,2,1,1,0,1,1,1,0
79,0,1,3,2,2,1,2,2,4,0
80,1,2,2,2,1,1,1,1,2,0
81,0,4,3,1,0,1,2,0,3,0
82,2,1,0,2,1,0,0,2,1,0
83,1,3,1,3,0,1,1,1,3,0
84,0,1,2,1,2,0,2,2,2,0
85,2,2,1,2,1,1,0,1,1,0
86,1,0,3,1,0,0,1,2,0,0
87,0,3,2,3,1,0,2,2,3,0
88,2,1,0,2,0,1,1,0,1,0
89,1,2,3,1,1,0,2,1,2,0
90,1,2,1,1,1,0,1,0,0,0
91,2,3,2,0,2,1,0,1,1,0
92,0,1,0,2,0,0,1,0,0,0
93,1,4,1,1,1,1,2,2,3,0
94,2,1,3,2,2,0,1,0,0,0
95,0,3,2,0,0,1,0,1,1,0
96,1,2,0,3,1,0,2,0,0,0
97,2,4,1,1,2,1,1,2,3,0
98,1,0,2,2,0,0,1,1,1,0
99,0,2,1,0,1,0,0,0,0,0
100,1,2,1,2,0,0,1,1,0,0
101,0,1,0,1,1,1,0,0,0,0
102,2,3,2,0,1,0,1,2,3,0
103,1,4,1,1,0,0,2,1,1,0
104,0,2,3,0,2,0,1,0,0,0
105,2,1,0,2,1,1,1,0,0,0
106,1,3,2,0,1,0,2,1,3,0
107,2,0,1,1,0,0,1,0,0,0
108,0,4,0,0,1,0,2,2,3,0
109,1,2,3,3,1,0,1,1,1,0
110,1,3,2,2,1,1,1,1,0,0
111,2,4,3,1,0,0,2,0,1,0
112,0,2,3,0,1,1,1,2,3,0
113,1,4,1,2,2,1,2,1,3,0
114,2,3,3,3,1,0,0,0,0,0
115,0,1,2,0,0,1,2,0,0,0
116,1,2,3,1,0,1,1,2,3,0
117,2,4,0,2,1,1,0,1,1,0
118,1,3,3,0,2,0,2,2,3,0
119,2,2,2,3,0,1,1,0,0,0
120,1,2,1,2,0,1,2,0,0,0
121,0,2,2,1,0,1,1,2,1,0
122,2,3,0,3,1,1,2,0,0,0
123,1,4,2,2,2,1,1,1,1,0
124,0,1,3,1,0,0,2,2,3,0
125,2,2,1,3,0,1,0,0,0,0
126,1,3,0,2,1,1,2,1,1,0
127,0,4,3,2,0,0,1,2,3,0
128,2,2,1,1,0,1,2,0,0,0
129,1,2,3,3,1,1,1,0,0,0
130,1,1,2,2,1,1,1,1,2,0
131,0,1,3,1,2,1,0,1,3,0
132,2,1,0,2,1,0,1,2,1,0
133,1,0,1,0,2,1,2,1,3,0
134,2,2,3,3,1,0,1,0,1,0
135,0,3,2,2,0,1,0,2,3,0
136,1,2,0,1,2,0,1,1,2,0
137,2,0,1,3,1,1,2,0,1,0
138,0,2,3,0,2,0,0,1,3,0
139,1,1,2,2,1,0,1,2,0,0
140,1,2,0,2,0,0,1,1,0,0
141,2,3,1,3,0,1,2,1,1,0
142,0,1,0,1,0,0,0,0,0,0
143,1,4,1,2,1,0,1,2,1,0
144,2,2,2,3,0,0,1,0,0,0
145,0,2,0,1,0,0,0,1,1,0
146,1,1,3,3,1,1,2,2,3,0
147,2,3,1,2,2,0,1,2,3,0
148,1,2,0,2,0,0,0,0,0,0
149,0,3,1,3,1,0,2,2,1,0
150,1,1,1,1,1,1,1,1,1,0
151,0,2,2,0,0,0,1,2,3,0
152,2,1,1,2,2,1,2,1,1,0
153,1,3,1,3,1,0,2,2,0,0
154,0,2,0,1,0,1,2,1,3,0
155,2,3,2,2,1,1,1,0,0,0
156,1,0,1,0,2,0,1,2,1,0
157,0,4,2,3,1,0,2,1,1,0
158,2,2,0,1,0,1,2,2,3,0
159,1,1,2,2,1,0,2,0,0,0
160,1,2,1,2,0,1,1,0,0,0
161,0,3,2,1,1,0,2,1,1,0
162,2,1,3,0,2,1,0,0,0,0
163,1,4,1,2,1,0,1,2,3,0
164,0,2,0,1,0,1,0,1,1,0
165,2,3,2,3,1,1,0,1,3,0
166,1,1,3,0,0,0,2,0,0,0
167,0,4,2,1,1,1,1,2,3,0
168,2,2,1,2,0,0,0,1,1,0
169,1,3,0,1,2,0,1,0,0,0
170,1,2,2,1,0,1,1,0,0,0
171,2,2,3,2,1,0,2,1,1,0
172,0,1,2,1,0,1,0,2,2,0
173,1,3,1,0,2,0,1,0,0,0
174,2,1,3,3,0,1,2,2,1,0
175,0,2,0,2,1,0,0,1,0,0
176,1,0,3,1,0,1,2,0,0,0
177,2,3,2,2,2,0,2,2,4,0
178,0,1,3,0,0,1,1,0,3,0
179,1,2,0,3,1,0,2,1,1,0
180,1,3,1,1,1,0,1,1,1,0
181,2,2,2,0,0,0,0,0,0,0
182,1,1,3,2,1,1,1,2,3,0
183,0,3,0,0,2,1,2,0,0,0
184,2,0,1,3,0,0,2,1,1,0
185,1,4,0,1,2,1,0,0,0,0
186,0,2,2,0,0,1,1,2,3,0
187,2,3,0,2,1,0,1,1,0,0
188,1,2,1,0,2,1,2,0,1,0
189,0,1,3,1,0,0,1,2,3,0
190,2,1,0,1,1,0,1,0,0,0
