Netpay,Tectonic regime,Basin name,Oil recovery factor,Gas recovery factor,Latitude,Permeability,Operator company,Longitude,Country,Region,Hydrocarbon type,Porosity,Structural setting,Reservoir status,Gross,Reservoir unit,Depth,Lithology,Condensate recovery factor,Period,Onshore/offshore,Field name,Oil density
7.8,9,113,0.44,0.71,57.056,100,155,2.069,46,1,5,16,6,2,9.9,185,2118.9,11,0.513,12,0,129,829.912
7.8,0,75,0.45,0.83,31.92,0.4,110,-102.43,48,6,5,5,2,6,90,118,2880,6,0.27,21,1,150,820.29
60,9,102,0.31,0.707,5.243,800,155,114.699,24,2,5,32,0,6,180,328,2127,11,0.56,15,1,360,865.443
6.3,0,3,0.397,0.913,36.272,0.2,110,-100.332,48,6,5,11,2,5,24,291,1717.5,6,0.513,4,1,248,792.717
12.9,0,117,0.5,0.66,48.852,1.5,110,-101.175,48,6,5,10,3,6,36,230,2482.5,9,0.27,4,1,168,842.262
11.7,0,3,0.417,0.913,36.272,0.1,120,-100.292,48,6,2,6,2,6,75,118,4447.5,11,0.493,4,1,256,758.713
60,4,95,0.6,0.707,1.296,5000,30,101.23,18,2,5,35,4,5,105,20,66,11,0.56,15,1,110,921.824
6,0,117,0.28,0.78,48.852,50,4,-101.039,48,6,5,18,3,6,21,232,990,9,0.513,4,1,219,834.808
30,0,75,0.5,0.66,32.792,100,178,-103.527,48,6,5,11,2,2,105,118,1443,6,0.513,21,1,242,849.85
15.6,0,89,0.417,0.79,61.383,100,22,75.183,36,3,5,20,3,5,30.3,372,2250,11,0.513,7,1,391,815.562
6.3,0,117,0.327,0.84,48.1,0.3,4,-103.301,48,6,2,7,2,2,30,286,2520,6,0.27,4,1,205,771.117
11.7,4,63,0.12,0.73,56.567,1000,178,3.046,30,1,5,28,7,2,13.8,108,2250,11,0.513,12,0,376,829.912
13.2,0,115,0.397,0.8,53.229,5,110,-115.801,8,6,2,10,2,8,24,123,1620,9,0.513,7,1,391,849.85
45,2,64,0.27,0.717,61.204,10,155,1.743,46,1,5,20,6,6,138.9,58,2460,11,0.513,12,0,391,829.912
57,9,40,0.35,0.83,28.236,30,73,33.702,23,0,5,13,6,2,147.6,174,3360,11,0.547,7,1,2,806.268
57,4,63,0.353,0.42,56.65,1000,34,3.199,46,1,5,28,7,7,144,58,2798.8,1,0.27,8,0,376,844.776
60,0,89,0.49,0.81,61.129,100,155,71.199,36,3,5,19,3,2,111,335,2250,11,0.513,7,1,385,825.073
12,0,75,0.25,0.76,31.438,7,110,-102.31,48,6,5,11,2,2,180,290,1275,6,0.513,21,1,400,820.29
7.8,2,9,0.22,0.77,38.21,1000,128,117.06,9,2,5,32,6,5,1050,161,1791.9,11,0.513,17,1,438,887.147
30,0,75,0.38,0.777,32.792,0.4,110,-102.893,48,6,5,6,2,5,105,290,1482,6,0.513,21,1,308,842.764
21.6,0,115,0.5,0.66,52.838,0.5,155,-113.702,8,6,2,6,2,6,30,376,1710,9,0.513,9,1,236,834.808
7.8,2,63,0.397,0.7,56.412,100,155,3.554,30,1,5,20,6,2,9,240,4440,11,0.4,12,0,43,839.763
12.9,0,89,0.3,0.77,61.583,200,169,75.183,36,3,5,17,3,5,24.3,378,2310.6,11,0.513,7,1,391,839.763
21.3,0,113,0.397,0.913,53.65,20,110,-116.28,8,6,2,10.467,2,2,36.9,356,2430,9,0.353,7,1,388,792.717
19.8,9,115,0.29,0.79,55.114,100,155,52.616,36,3,5,18,4,2,44.4,290,1569.6,11,0.513,4,1,279,815.562
