checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,target
1,12.826383802947582,1,4,1205.774830758706,1,1,4.0,0,2,2.0,0,28.207841158052734,1,2,2.0,1,1.0,0,1,0
3,10.845361187921688,3,2,1225.9621123540385,1,2,4.0,0,2,2.0,1,37.722705847591406,1,1,1.0,0,1.0,1,1,1
3,5.800894520582655,3,6,2203.7661959278203,0,0,3.0,3,2,2.0,0,37.78225510126049,1,1,1.0,1,1.0,1,1,1
0,17.830684189971862,1,8,4723.188747910803,1,3,4.0,3,2,4.0,2,34.66780752513166,1,0,3.0,1,1.0,1,1,0
1,13.949963873344402,3,6,2164.8708104319103,1,1,4.0,0,2,4.0,1,19.672237422149188,1,1,2.0,1,1.0,0,1,0
1,18.64932306518417,1,0,5457.226578815725,1,2,1.0,1,2,3.0,0,21.564307078214057,1,2,1.0,3,1.0,1,1,1
3,11.834965388175705,1,6,4099.017336584123,2,0,4.0,3,2,4.0,0,35.41321162696083,1,1,2.0,2,1.0,0,1,1
2,50.35559523100734,3,6,6121.415724781746,1,4,4.0,0,0,1.0,2,54.43087960101398,1,2,1.0,3,1.0,1,1,0
1,44.74149378009591,3,4,6750.484236664164,4,1,4.0,3,2,4.0,2,24.647623228549783,1,2,1.0,1,1.0,1,1,0
2,24.195796275446227,4,0,4447.3787136032,1,2,3.0,3,2,4.0,1,38.06744425979986,0,1,1.0,0,1.0,1,1,1
3,13.492005479902549,1,4,1583.4173649101072,1,2,4.0,3,2,3.0,3,41.37052804575648,1,1,2.0,0,1.0,1,1,1
3,46.332279003188454,2,9,5093.400907352172,0,1,4.0,3,2,4.0,3,29.69344564243192,1,2,1.0,1,2.0,0,1,0
3,8.43350414517878,1,7,2229.5917519309596,3,2,2.0,3,1,2.0,1,46.374912803336144,1,1,1.0,0,1.0,1,1,1
