,Attribute1,Attribute2,Attribute3,Attribute4,Attribute5,Attribute6,Attribute7,Attribute8,Attribute9,Attribute10,Attribute11,Attribute12,Attribute13,Attribute14,Attribute15,Attribute16,Attribute17,Attribute18,Attribute19,Attribute20,class,real_identifier
0,2,21,2,2,5021,0,3,2,2,0,3,1,39,2,1,1.0,2,1,0,0,1,0
1,3,15,2,1,4211,2,2,3,2,0,4,0,35,2,1,1.0,2,1,1,0,1,0
2,2,33,2,0,6291,1,3,2,2,0,3,1,30,2,1,1.0,2,1,0,0,1,0
3,3,12,1,3,3431,0,2,3,2,0,4,0,46,2,0,1.0,2,1,0,0,1,0
4,2,48,2,0,7432,0,3,2,2,0,3,1,28,2,1,1.0,2,1,0,0,1,0
5,3,18,2,2,5019,2,2,3,2,0,4,0,40,2,0,1.0,2,1,1,0,1,0
6,3,9,2,0,2757,1,2,2,2,0,4,1,44,2,1,1.0,2,1,0,0,1,0
7,2,24,2,1,5821,0,3,2,2,0,3,1,32,2,1,1.0,2,1,0,0,1,0
8,3,15,1,3,3941,2,2,3,2,0,4,0,50,2,0,1.0,2,1,0,0,1,0
9,2,36,2,0,6911,1,3,2,2,0,3,1,26,2,1,1.0,2,1,0,0,1,0
10,2,32,1,2,4211,3,2,3,1,1,3,1,31,1,1,1.0,2,1,0,0,2,0
11,1,28,2,3,5931,1,1,1,2,1,2,2,35,2,1,1.0,3,1,1,0,1,0
12,0,19,1,2,3174,4,3,4,0,0,3,1,42,1,1,1.0,1,2,0,1,2,0
13,3,25,2,1,6849,0,2,2,2,2,1,0,29,2,1,1.0,3,1,1,0,1,0
14,1,33,1,4,5278,1,0,3,1,0,4,2,38,0,1,2.0,2,1,0,0,2,0
15,0,22,3,0,4599,0,1,1,2,1,2,0,26,2,1,1.0,1,2,0,0,1,0
16,2,18,2,3,6111,4,2,4,0,0,1,1,48,1,1,1.0,3,1,1,1,2,0
17,1,29,1,1,3956,3,3,2,2,1,3,0,32,2,1,1.0,2,1,0,0,1,0
18,3,24,2,4,5698,0,1,3,1,0,2,2,40,0,1,2.0,2,1,0,0,2,0
19,0,20,3,0,4945,4,2,1,2,2,1,0,30,2,1,1.0,1,2,0,1,1,0
20,2,21,3,2,4711,1,3,3,2,0,3,2,31,1,1,2.0,1,1,0,0,1,0
21,3,19,2,1,3829,0,2,3,1,0,2,2,41,2,2,1.0,3,1,0,0,1,0
22,1,45,3,5,7142,1,1,4,2,0,4,3,55,1,1,2.0,2,1,0,0,2,0
23,2,12,4,2,2611,0,3,4,2,0,3,2,39,2,1,1.0,1,1,1,0,1,0
24,3,48,2,4,6291,1,2,2,1,0,2,1,28,2,2,1.0,2,1,0,0,2,0
25,1,15,4,3,4431,0,4,4,2,0,4,2,51,1,1,2.0,3,1,0,0,1,0
26,3,21,3,1,5961,1,1,3,1,0,3,2,34,2,2,1.0,2,1,1,0,1,0
27,2,48,2,5,6822,0,2,2,2,0,2,1,29,1,1,2.0,1,1,0,0,2,0
28,1,12,4,2,2789,1,3,4,2,0,3,2,36,2,1,1.0,3,1,1,0,1,0
29,3,19,3,4,5171,0,1,3,1,0,3,2,32,1,2,2.0,2,1,0,0,1,0
30,2,20,3,2,2011,1,3,3,1,0,2,1,29,2,1,2.0,2,1,0,0,1,0
31,1,22,2,3,1408,0,2,2,1,0,3,2,25,2,1,1.0,3,1,0,0,2,0
32,3,19,4,2,3089,1,4,3,2,0,2,1,31,2,1,2.0,2,1,0,0,1,0
33,2,23,3,1,1011,0,3,2,1,0,1,2,24,2,1,2.0,2,1,1,0,1,0
34,1,21,2,4,2351,0,2,1,1,0,4,2,26,2,1,1.0,3,1,0,0,2,0
35,3,20,4,3,4021,1,4,4,2,0,3,1,30,2,1,2.0,2,1,0,0,1,0
36,2,24,3,2,1911,0,3,3,1,0,2,2,28,2,1,2.0,2,1,0,0,1,0
37,1,19,2,3,1608,0,2,2,1,0,3,2,27,2,1,1.0,3,1,0,0,2,0
38,3,22,4,2,3511,1,4,3,2,0,2,1,32,2,1,2.0,2,1,0,0,1,0
39,2,23,3,1,1208,0,3,2,1,0,1,2,25,2,1,2.0,2,1,1,0,1,0
40,2,24,2,2,3411,0,2,3,1,0,2,2,32,2,1,1.0,2,1,0,0,1,0
41,1,15,2,4,2019,0,2,4,2,0,2,2,28,2,1,1.0,2,1,0,0,2,0
42,2,18,2,3,2781,0,2,3,1,0,2,2,35,2,1,1.0,2,1,0,0,1,0
43,1,12,2,2,1628,0,2,4,2,0,2,2,25,2,1,1.0,2,1,0,0,2,0
44,2,24,2,4,3892,0,2,4,2,0,2,2,29,2,1,1.0,2,1,0,0,1,0
45,1,15,2,3,2439,0,2,3,1,0,2,2,27,2,1,1.0,2,1,0,0,2,0
46,2,18,2,2,3151,0,2,4,2,0,2,2,33,2,1,1.0,2,1,0,0,1,0
47,1,12,2,4,1871,0,2,4,2,0,2,2,26,2,1,1.0,2,1,0,0,2,0
48,2,24,2,3,3512,0,2,3,1,0,2,2,31,2,1,1.0,2,1,0,0,1,0
49,1,15,2,2,2202,0,2,4,2,0,2,2,30,2,1,1.0,2,1,0,0,2,0
50,2,12,3,2,2191,1,1,3,2,0,3,2,29,2,1,2.0,2,1,0,0,1,0
51,1,42,2,1,10834,0,2,2,1,0,3,1,31,2,1,1.0,2,1,1,0,2,0
