,Attribute1,Attribute2,Attribute3,Attribute4,Attribute5,Attribute6,Attribute7,Attribute8,Attribute9,Attribute10,Attribute11,Attribute12,Attribute13,Attribute14,Attribute15,Attribute16,Attribute17,Attribute18,Attribute19,Attribute20,class,real_identifier
0,2,15,2,1,4211,1,3,2,2,0,3,1,31,2,1,1,2,1,1,0,1,0
1,3,21,2,0,6011,0,2,2,2,0,4,1,39,2,1,1,2,2,0,0,1,0
2,2,18,1,3,3511,2,3,3,1,0,3,0,45,2,0,2,2,1,0,0,1,0
3,3,12,2,1,2807,1,4,2,2,0,4,2,48,2,2,1,1,1,0,0,1,0
4,1,36,2,0,8307,0,3,3,2,0,2,1,27,2,1,1,2,1,0,0,1,0
5,3,24,2,1,5107,2,2,2,1,0,4,1,33,1,0,1,1,1,0,0,1,0
6,2,15,1,4,2409,3,2,3,1,0,3,0,40,2,0,2,2,1,0,0,1,0
7,3,9,2,0,3207,2,4,2,2,0,4,3,52,2,2,1,1,1,0,0,1,0
8,3,30,2,1,5007,4,3,2,1,0,4,1,25,1,0,1,1,1,0,0,1,0
9,1,48,2,0,7007,1,3,3,2,0,2,1,26,2,1,1,2,1,0,0,2,0
10,2,25,1,2,4211,3,2,3,1,1,3,1,31,1,1,2,2,1,0,0,1,0
11,1,19,2,3,5092,1,1,2,1,0,3,2,35,2,1,1,2,2,1,0,2,0
12,0,28,1,1,6319,2,3,3,2,1,2,1,40,1,1,2,3,1,0,0,1,0
13,2,22,2,2,3978,3,1,2,1,0,3,1,29,2,1,1,2,2,0,0,2,0
14,1,17,1,3,5648,2,2,3,2,1,2,1,38,1,1,2,3,1,1,0,1,0
15,0,26,2,1,4929,1,3,2,1,0,3,2,32,2,1,1,2,2,0,0,2,0
16,2,20,1,2,4271,3,1,3,1,1,2,1,30,1,1,2,2,1,0,0,1,0
17,1,24,2,3,5893,1,2,2,2,0,3,1,36,2,1,1,2,2,1,0,2,0
18,0,18,1,1,4692,2,3,3,1,1,2,1,33,1,1,2,3,1,0,0,1,0
19,2,23,2,2,5191,3,1,2,1,0,3,1,34,2,1,1,2,2,0,0,2,0
20,2,21,3,2,4819,1,3,3,2,0,3,2,31,1,1,2,1,1,0,0,1,0
21,1,42,2,1,6281,0,2,2,1,0,2,1,28,2,1,1,2,1,0,0,2,0
22,3,18,4,3,1408,0,1,4,1,0,4,2,60,2,1,2,0,1,0,0,1,0
23,1,45,3,6,6912,0,4,4,2,0,4,3,55,2,2,1,2,1,0,0,2,0
24,3,12,4,0,1541,0,1,4,1,0,4,2,40,2,1,2,3,1,0,0,1,0
25,1,10,4,3,2134,0,3,4,2,0,3,2,40,2,0,1,2,1,1,0,1,0
26,3,16,4,0,5623,4,4,1,1,0,4,2,65,2,1,1,2,1,1,0,1,0
27,1,48,2,4,6642,0,2,2,1,0,2,0,25,2,1,1,2,1,0,0,2,0
28,2,24,3,2,4321,1,3,3,2,0,3,2,35,1,1,2,1,1,0,0,1,0
29,1,45,2,1,7011,0,2,2,1,0,2,1,30,2,1,1,2,1,0,0,2,0
30,2,20,3,2,2451,1,3,3,1,0,2,1,40,2,1,2,2,1,0,0,1,0
31,1,22,2,4,1032,0,4,2,1,0,3,2,25,2,1,1,3,1,0,0,2,0
32,3,19,4,3,2789,1,3,4,2,0,2,1,31,2,1,2,2,1,1,0,1,0
33,2,21,3,4,1401,0,4,3,1,0,4,1,36,2,1,3,1,1,0,0,1,0
34,1,23,2,2,2109,1,2,2,1,0,3,2,29,2,1,1,3,1,0,0,2,0
35,3,20,4,1,3021,0,3,3,2,0,1,2,30,2,1,2,2,1,1,0,1,0
36,2,24,2,4,1234,1,4,2,1,0,4,1,41,2,1,1,3,1,0,0,2,0
37,1,19,3,3,1950,0,3,4,2,0,2,2,28,2,1,3,1,1,1,0,1,0
38,3,22,4,2,2700,1,3,3,1,0,3,1,35,2,1,2,2,1,0,0,1,0
39,2,20,2,4,1800,0,4,2,1,0,4,2,34,2,1,1,3,1,0,0,2,0
40,2,24,2,2,3519,0,1,4,2,0,2,2,29,2,1,1,2,1,0,0,1,0
