,Attribute1,Attribute2,Attribute3,Attribute4,Attribute5,Attribute6,Attribute7,Attribute8,Attribute9,Attribute10,Attribute11,Attribute12,Attribute13,Attribute14,Attribute15,Attribute16,Attribute17,Attribute18,Attribute19,Attribute20,class,real_identifier
0,2,21,2,2,4321,1,3,2,2,0,3,1,35,2,1,1,2,1,1,0,1,0
1,3,15,1,1,2789,0,2,3,2,0,4,0,40,2,0,2,1,2,0,1,1,0
2,1,36,2,0,3910,1,4,2,2,0,2,2,29,2,1,1,3,1,1,0,1,0
3,3,12,2,3,2367,0,1,4,2,0,4,0,38,2,0,1,2,1,0,1,1,0
4,2,48,1,0,5019,2,3,1,2,0,3,3,33,2,2,1,1,2,0,0,1,0
5,3,24,2,1,6191,0,2,3,1,0,4,1,26,2,0,2,2,1,1,0,1,0
6,1,9,2,2,3519,1,4,2,2,0,2,0,41,2,1,1,3,2,0,1,1,0
7,3,18,2,0,4428,0,3,2,2,0,4,1,31,2,0,1,2,1,0,0,1,0
8,2,30,1,4,2781,2,2,3,1,0,3,0,39,2,2,2,1,2,0,1,1,0
9,3,12,2,1,5688,1,3,2,2,0,2,2,28,2,0,1,2,1,1,0,2,0
10,2,18,1,2,4211,2,2,3,1,1,3,1,35,1,1,1,2,1,1,0,2,0
11,1,29,2,3,6018,1,1,2,2,0,3,2,41,2,1,2,3,2,0,0,1,0
12,0,22,2,1,3171,3,3,1,1,2,2,1,32,1,1,1,1,1,1,0,2,0
13,3,19,1,2,5309,2,0,4,2,0,4,0,48,0,1,1,3,1,0,1,1,0
14,1,25,3,3,6944,1,2,2,1,1,3,2,44,2,1,2,2,2,1,0,2,0
15,2,16,2,0,2758,3,3,3,2,2,2,1,38,1,1,1,2,1,0,0,1,0
16,0,28,1,2,4639,1,1,2,1,0,4,2,50,2,1,2,3,2,1,0,2,0
17,3,13,2,1,2039,4,2,1,2,2,3,0,29,1,1,1,2,1,0,1,1,0
18,1,23,2,3,3822,2,3,3,2,1,2,1,36,2,1,1,2,2,1,0,2,0
19,2,17,3,0,5919,1,0,4,1,0,4,2,42,0,1,2,3,1,0,0,1,0
20,2,21,3,2,4721,0,3,3,2,0,3,2,31,1,1,1,2,1,0,0,1,0
21,1,42,2,4,5289,0,1,4,2,0,2,2,28,2,1,1,2,1,0,0,1,0
22,3,19,4,2,1422,0,2,4,2,0,4,2,39,2,1,1,2,1,0,0,1,0
23,1,30,4,3,2019,0,3,4,2,0,3,2,34,2,1,1,2,1,0,0,1,0
24,3,45,3,2,6192,0,2,2,1,0,4,3,44,1,1,1,2,1,0,0,2,0
25,2,27,2,0,4511,0,4,3,1,0,2,2,29,1,1,1,2,1,0,0,1,0
26,1,33,4,4,5819,0,1,4,2,0,4,2,36,2,1,1,2,1,0,0,1,0
27,3,25,3,2,4931,0,3,2,1,0,2,2,32,1,1,1,2,1,0,0,1,0
28,2,39,2,3,5648,0,2,3,1,0,4,3,41,2,1,1,2,1,0,0,2,0
29,1,22,4,2,4821,0,4,4,2,0,3,2,37,2,1,1,2,1,0,0,1,0
30,2,19,3,2,1044,1,3,3,1,0,2,1,29,2,1,2,2,1,0,0,1,0
31,1,22,2,3,1921,0,2,2,1,0,3,2,25,1,1,1,3,1,0,0,2,0
32,3,20,3,2,2819,1,3,3,2,0,2,1,30,2,1,2,2,1,0,0,1,0
33,2,23,2,1,1431,0,2,1,1,0,3,2,24,2,1,1,2,1,0,0,2,0
34,1,21,3,4,2098,1,3,3,2,0,2,1,28,1,1,2,2,1,0,0,1,0
35,3,19,2,3,1560,0,2,2,1,0,3,2,26,2,1,1,3,1,0,0,2,0
36,2,24,3,2,2751,1,3,3,2,0,2,1,31,1,1,2,2,1,0,0,1,0
37,1,20,2,1,1221,0,2,1,1,0,3,2,23,2,1,1,2,1,0,0,2,0
38,3,22,3,4,3022,1,3,3,2,0,2,1,32,1,1,2,2,1,0,0,1,0
39,2,23,2,3,1872,0,2,2,1,0,3,2,27,2,1,1,3,1,0,0,2,0
40,2,24,2,2,3174,0,2,3,1,0,3,2,32,1,1,2,2,1,0,0,1,0
41,1,30,2,3,2465,0,1,4,2,0,2,1,28,2,1,1,2,1,1,0,1,0
42,3,18,2,4,2019,0,2,3,1,0,3,2,25,1,1,2,2,1,0,0,1,0
43,2,12,2,2,1521,0,2,4,2,0,1,1,29,2,1,1,2,1,0,0,1,0
44,1,36,2,3,4019,0,1,3,1,0,2,2,27,1,1,2,2,1,1,0,1,0
45,0,18,2,4,1089,0,2,4,2,0,3,2,30,1,1,2,2,1,0,0,2,0
46,2,12,2,2,1839,0,2,3,1,0,2,1,24,2,1,1,2,1,0,0,1,0
47,3,30,2,4,2931,0,2,4,2,0,1,2,26,1,1,2,2,1,1,0,1,0
48,1,12,2,3,2495,0,1,3,1,0,3,2,28,2,1,1,2,1,0,0,1,0
49,0,18,2,4,1218,0,2,4,2,0,2,2,29,1,1,2,2,1,0,0,2,0
50,2,22,3,2,4123,0,1,3,2,0,3,1,29,2,1,2,2,1,0,0,2,0
51,1,19,2,1,2198,1,2,2,1,0,3,2,31,2,1,1,2,1,0,0,1,0
52,0,25,3,2,3891,0,3,3,2,0,3,1,30,2,1,2,2,1,1,0,2,0
53,2,14,1,3,2941,1,1,2,1,0,3,0,28,2,1,1,2,1,0,0,1,0
54,1,20,2,1,3519,0,2,3,2,0,3,2,33,2,1,2,2,1,0,0,2,0
55,0,16,2,2,2467,1,1,2,1,0,3,1,29,2,1,1,2,1,0,0,1,0
56,3,11,3,1,1839,0,2,3,2,0,3,2,32,2,1,2,2,1,1,0,1,0
57,2,24,2,3,4088,1,1,2,1,0,3,0,27,2,1,1,2,1,0,0,2,0
58,1,17,1,2,3211,0,3,3,2,0,3,2,34,2,1,2,2,1,0,0,1,0
59,0,23,2,1,2756,1,2,2,1,0,3,1,30,2,1,1,2,1,0,0,2,0
60,2,18,3,2,4211,1,2,3,2,0,3,2,29,2,1,2,2,1,0,0,1,0
61,1,24,2,4,3950,0,3,2,1,0,2,2,26,2,1,1,2,1,1,0,2,0
62,3,15,4,0,1870,0,2,3,2,0,4,2,31,2,1,2,2,1,0,1,1,0
63,2,21,2,4,5010,1,2,4,2,0,2,2,25,2,1,1,2,1,1,0,2,0
64,1,12,3,2,2460,0,3,2,1,0,3,3,30,2,0,2,2,1,0,0,1,0
65,3,9,4,4,1430,0,2,3,2,0,1,2,28,2,1,2,2,1,1,0,1,0
