,Attribute1,Attribute2,Attribute3,Attribute4,Attribute5,Attribute6,Attribute7,Attribute8,Attribute9,Attribute10,Attribute11,Attribute12,Attribute13,Attribute14,Attribute15,Attribute16,Attribute17,Attribute18,Attribute19,Attribute20,class,real_identifier
0,2,27,2,2,5281,0,3,2,2,0,3,1,39.0,2,1,1,2,1,1,0,1,0
1,3,15,2,1,3219,1,2,2,2,0,4,0,34.0,2,1,1,2,1,0,0,1,0
2,2,18,2,3,4521,0,3,2,1,0,3,1,29.0,2,0,1,2,2,0,0,1,0
3,1,36,2,0,5991,1,2,3,2,0,2,0,26.0,2,1,1,3,1,0,0,1,0
4,3,12,2,2,3821,0,2,2,1,0,4,1,40.0,2,0,1,2,1,1,0,1,0
5,2,21,2,0,5411,1,3,2,2,0,2,0,31.0,2,1,1,2,2,0,0,1,0
6,1,9,2,1,2751,0,2,3,1,0,3,1,36.0,2,1,1,2,1,0,0,1,0
7,3,30,2,0,4751,1,3,2,2,0,4,0,28.0,2,0,1,3,2,0,0,1,0
8,2,24,2,2,5681,0,2,2,1,0,2,1,32.0,2,1,1,2,1,1,0,1,0
9,3,48,2,0,7021,1,3,3,2,0,2,0,25.0,2,0,1,3,2,0,0,2,0
10,2,28,2,2,4248,3,2,3,1,1,3,1,32.0,1,1,1,2,1,0,0,1,0
11,1,18,1,3,5910,1,1,2,2,0,3,2,41.0,2,1,2,3,2,1,0,2,0
12,0,25,2,1,3191,0,3,1,1,2,2,1,34.0,1,0,1,2,1,0,1,1,0
13,2,22,3,2,4632,4,1,3,2,0,4,0,48.0,2,1,1,3,1,1,0,2,0
14,1,29,1,0,2759,3,2,2,0,1,3,2,31.0,0,1,2,2,2,0,0,1,0
15,0,17,2,3,4081,0,3,1,2,0,2,1,44.0,2,1,1,1,1,0,0,1,0
16,3,27,3,2,6354,4,0,4,1,0,1,0,50.0,0,1,1,3,1,1,0,2,0
17,1,24,2,1,3699,0,1,2,2,2,4,2,37.0,2,0,1,2,1,0,1,1,0
18,2,19,1,3,5288,3,3,3,1,0,3,1,40.0,1,1,2,3,2,1,0,2,0
19,0,26,3,0,2917,1,2,1,0,1,2,0,36.0,1,1,1,2,1,0,0,1,0
20,2,22,3,2,3821,1,3,3,2,0,3,2,30.0,1,1,1,2,1,0,0,1,0
21,1,33,2,1,2781,0,2,3,2,0,2,1,28.0,2,1,2,2,1,0,0,1,0
22,3,20,4,3,4219,1,1,4,2,0,3,3,38.0,1,1,1,2,1,0,0,1,0
23,2,45,3,2,5139,0,4,3,1,0,4,2,42.0,2,1,1,2,1,1,0,2,0
24,1,19,2,4,3511,0,2,2,2,0,2,1,29.0,1,1,2,2,1,0,0,1,0
25,3,26,4,1,4821,4,3,4,2,0,4,3,44.0,2,1,1,2,1,1,0,1,0
26,2,48,3,3,6291,1,4,3,1,0,4,2,48.0,1,1,1,2,1,0,0,2,0
27,1,14,4,2,2419,0,1,4,2,0,3,2,32.0,2,1,2,2,1,0,0,1,0
28,3,41,2,4,5719,0,3,2,1,0,2,0,24.0,2,1,1,2,1,0,0,2,0
29,2,29,3,1,4019,4,2,3,2,0,3,3,36.0,1,1,1,2,1,1,0,1,0
30,2,19,3,2,1021,1,3,3,1,0,2,1,29.0,2,1,2,2,1,0,0,1,0
31,1,22,2,3,1401,0,2,2,1,0,3,2,25.0,2,1,1,3,1,0,0,2,0
32,3,20,3,2,823,0,3,3,2,0,2,1,31.0,2,1,2,2,1,0,0,1,0
33,2,21,2,4,1911,1,2,2,1,0,3,2,28.0,2,1,1,3,1,0,0,2,0
34,1,19,3,1,1291,0,3,3,1,0,2,1,26.0,2,1,2,2,1,0,0,1,0
35,3,23,2,3,1639,0,2,2,1,0,3,2,24.0,2,1,1,3,1,0,0,2,0
