state_code,bird,lon,lat,lat_zone
47.0,27.0,-123.46,47.26,2.0
28.0,26.0,-100.98,48.84,2.0
46.0,13.0,-74.84,43.93,2.0
49.0,19.0,-77.95,38.76,2.0
20.0,1.0,-81.55,43.92,2.0
23.0,10.0,-93.71,46.95,2.0
1.0,25.0,-81.62,29.26,2.0
17.0,19.0,-77.16,40.45,2.0
16.0,26.0,-103.81,36.14,2.0
27.0,19.0,-79.68,38.19,2.0
34.0,12.0,-74.46,41.05,2.0
21.0,9.0,-68.0,41.1,2.0
6.0,0.0,-72.21,39.77,2.0
25.0,20.0,-95.15,30.92,2.0
39.0,23.0,-71.4,40.99,2.0
49.0,19.0,-84.09,40.78,2.0
36.0,25.0,-108.1,32.28,2.0
30.0,22.0,-87.9,34.75,2.0
43.0,20.0,-101.34,34.34,2.0
42.0,20.0,-84.18,34.24,2.0
17.0,19.0,-77.88,37.98,2.0
10.0,4.0,-75.2,34.56,2.0
46.0,17.0,-78.33,44.1,2.0
47.0,27.0,-78.79,47.12,2.0
45.0,19.0,-78.89,38.61,2.0
2.0,20.0,-110.49,33.58,2.0
34.0,12.0,-76.84,41.02,2.0
16.0,26.0,-101.7,43.54,2.0
14.0,19.0,-74.51,41.72,2.0
28.0,26.0,-109.06,48.51,2.0
43.0,20.0,-105.41,37.09,2.0
35.0,19.0,-84.83,33.09,2.0
15.0,19.0,-85.12,35.22,2.0
3.0,5.0,-105.2,33.06,2.0
50.0,26.0,-104.2,43.55,2.0
46.0,16.0,-75.81,45.04,2.0
17.0,19.0,-85.5,38.19,2.0
40.0,8.0,-81.45,30.53,2.0
5.0,17.0,-101.74,36.74,2.0
3.0,5.0,-93.09,34.92,2.0
9.0,20.0,-88.7,29.64,2.0
17.0,19.0,-89.26,37.23,2.0
30.0,22.0,-89.88,43.69,2.0
26.0,26.0,-108.96,44.53,2.0
37.0,26.0,-71.01,43.02,2.0
15.0,19.0,-78.17,44.02,2.0
38.0,19.0,-76.81,40.05,2.0
40.0,8.0,-76.37,38.41,2.0
1.0,21.0,-85.5,39.46,2.0
46.0,17.0,-120.65,43.26,2.0
30.0,22.0,-71.74,43.19,2.0
32.0,14.0,-72.86,32.86,2.0
11.0,15.0,-155.18,18.77,1.0
36.0,25.0,-90.98,41.92,2.0
21.0,9.0,-70.94,40.76,2.0
13.0,18.0,-91.62,44.71,2.0
9.0,20.0,-81.96,29.54,1.0
24.0,12.0,-89.04,41.04,2.0
31.0,13.0,-74.13,42.59,2.0
3.0,20.0,-111.33,33.98,2.0
11.0,15.0,-159.1,19.19,1.0
2.0,26.0,-109.06,42.12,2.0
26.0,26.0,-108.37,41.29,2.0
29.0,26.0,-77.66,42.03,2.0
25.0,20.0,-90.64,32.13,2.0
26.0,26.0,-98.9,48.42,2.0
11.0,20.0,-98.71,23.45,2.0
43.0,20.0,-102.2,32.37,2.0
14.0,19.0,-89.03,40.06,2.0
44.0,6.0,-108.69,37.44,2.0
42.0,20.0,-84.09,38.52,2.0
33.0,18.0,-101.99,40.32,2.0
18.0,3.0,-111.22,44.82,2.0
31.0,13.0,-74.35,38.76,2.0
10.0,4.0,-86.25,35.54,2.0
4.0,7.0,-102.99,38.83,2.0
49.0,19.0,-80.45,38.81,2.0
47.0,27.0,-121.67,39.49,2.0
30.0,22.0,-93.8,38.89,2.0
47.0,19.0,-80.59,46.51,2.0
48.0,0.0,-91.82,42.83,2.0
26.0,26.0,-98.92,36.26,2.0
17.0,19.0,-83.26,38.16,2.0
29.0,26.0,-79.49,46.97,2.0
16.0,26.0,-86.9,38.93,2.0
28.0,26.0,-99.9,46.33,2.0
38.0,19.0,-79.48,41.58,2.0
11.0,12.0,-85.01,18.74,1.0
4.0,7.0,-113.31,31.79,2.0
23.0,10.0,-93.24,46.12,2.0
20.0,1.0,-76.57,37.2,2.0
32.0,14.0,-105.79,32.04,2.0
2.0,20.0,-81.78,34.57,2.0
18.0,3.0,-95.86,42.5,2.0
39.0,19.0,-86.78,41.92,2.0
41.0,23.0,-71.85,42.04,2.0
28.0,26.0,-87.38,44.96,2.0
29.0,26.0,-89.51,36.12,2.0
5.0,17.0,-104.24,34.35,2.0
7.0,21.0,-70.05,40.58,2.0
