has_pets,has_high_education,tr_per_month,top2_interes,mean_tr,relation,age,top4_interes,sex,top1_interes,median_tr,top3_interes,top5_interes,is_parent
0,0,4.788,15,10780.761,0,38,3,2,10,2835.05,23,24,1
0,0,1.957,16,19450.521,0,42,2,2,6,15000,10,7,0
0,0,4.348,23,1944.988,0,34,19,1,5,1513.565,16,15,1
0,0,15.553,6,1447.041,0,32,14,2,2,600,10,19,0
0,0,1.272,6,972.044,0,34,15,1,14,844.4,21,3,1
0,0,8.306,6,202.925,0,23,16,2,15,162.5,24,21,0
0,0,3.204,24,1417.202,0,36,21,1,15,933.6,19,5,1
0,0,1.323,19,1095.244,0,35,23,1,15,1041.5,16,14,1
0,0,9.091,2,4304.878,0,34,17,2,10,1210.49,23,6,0
0,0,21.597,8,1442.241,0,36,24,2,6,537.82,14,7,0
0,0,3.762,2,411.978,0,22,8,2,6,238.5,7,21,0
0,0,6.929,19,411.608,0,22,17,2,6,166.5,14,18,0
0,0,0.999,15,1251.313,0,37,23,1,10,1251.315,11,5,0
0,0,2.793,5,1340.264,0,41,16,1,19,966.8,17,0,1
0,0,3.72,23,1106.489,0,30,24,2,6,896.25,10,14,1
0,0,1.859,8,1551.433,0,33,10,2,7,1169,16,17,1
0,0,16.624,6,259.427,0,21,5,1,14,100,1,15,0
0,0,11.658,10,2407.371,0,52,6,1,23,680,18,19,0
0,0,1.127,15,2051.017,0,32,16,1,23,1362.81,14,18,1
0,0,1.562,19,16650,0,41,15,1,11,15000,22,4,0
0,0,10.863,0,4067.361,0,29,11,1,10,515.5,20,23,0
0,0,15.003,5,1751.435,0,40,17,1,11,724.5,0,20,1
0,0,2.508,5,3359.204,0,36,19,1,11,4500,0,23,0
0,0,2.814,6,205.736,0,22,15,1,14,200,21,23,0
0,0,1.205,15,17150.821,0,38,6,2,8,11550,7,24,0
0,0,21.153,23,1413.154,0,47,8,2,6,530.5,15,24,1
0,0,3.902,15,16765.125,0,38,23,1,11,13500,4,10,0
0,0,12.996,8,998.778,0,31,24,2,6,313,14,7,0
0,0,15.567,19,2252.949,0,34,5,1,16,1099,12,17,1
0,0,9.881,23,1024.397,0,34,15,1,21,660,0,10,1
0,0,2.278,23,2581.479,0,25,22,1,0,1647,20,16,1
0,0,1.924,8,1735.293,0,31,14,2,6,700,2,10,0
0,0,1.563,15,1306.962,0,33,16,1,0,973.5,19,11,1
0,0,1.298,15,11700,0,44,11,1,6,11000,21,24,0
0,0,1.684,6,35288.462,0,57,9,2,2,100000,24,18,0
0,0,2.793,15,1203.817,0,34,17,2,2,879.8,10,3,1
0,0,2.356,23,10780.761,0,58,21,1,11,10000,15,4,0
0,0,1.302,6,205.869,0,21,15,2,3,100,18,8,0
0,0,13.944,24,2452.745,0,41,18,2,6,1106.4,21,1,1
0,0,14.029,6,3813.828,0,36,23,2,15,601.5,21,24,1
0,0,4.334,15,1407.424,0,39,23,1,11,966.5,5,2,1
0,0,15.727,21,1552.131,0,38,6,2,16,379,1,24,0
0,0,10.626,23,3963.265,0,52,22,2,10,999.5,24,6,1
0,0,1.449,11,1179.169,0,39,23,1,16,1168.47,15,19,1
0,0,5.329,15,1407.386,0,33,16,1,0,632.4,20,3,1
0,0,3.762,15,2292.117,0,26,6,1,21,863,14,5,1
0,0,7.238,6,1042.147,0,23,19,1,5,501.77,4,15,1
0,0,1.127,19,965.743,0,34,5,1,0,660,23,11,1
0,0,16.323,15,4898.787,0,37,19,2,2,1317,10,8,0
0,0,1.536,10,852.244,0,35,7,2,17,645.75,24,5,1
0,0,9.877,15,1460.312,0,31,25,1,14,502.5,8,16,1
0,0,11.879,14,2807.013,0,46,6,2,21,992.5,15,3,0
0,0,0.425,23,1176.815,0,33,15,1,10,1176.815,11,4,1
0,0,1.647,21,1061.962,0,36,4,1,15,1049,5,3,1
0,0,2.427,24,194.838,0,34,2,2,6,127,14,15,0
0,0,0.719,23,1173.815,0,34,15,1,21,1169.65,0,10,1
0,0,4.687,15,1186.169,0,34,21,1,14,880.25,6,23,1
0,0,8.672,25,1076.336,0,36,24,2,6,660,2,23,1
0,0,11.331,19,2407.371,0,42,6,2,2,300,10,23,0
