has_pets,has_high_education,tr_per_month,top2_interes,mean_tr,relation,age,top4_interes,sex,top1_interes,median_tr,top3_interes,top5_interes,is_parent
0,0,15.567,19,2252.949,0,34,5,1,16,1099,12,17,1
0,0,1.957,25,1102.29,0,33,15,1,14,880.76,16,19,1
0,0,16.699,11,2595.22,0,44,9,1,10,1163.21,4,23,0
0,0,3.778,23,1188.932,0,35,6,2,10,899,16,8,1
0,0,1.764,19,773.292,0,34,16,1,0,705.5,5,20,1
0,0,3.902,15,16765.125,0,38,23,1,11,13500,4,10,0
0,0,2.255,10,14762.322,0,43,15,2,8,8000,2,24,0
0,0,4.334,15,1110.699,0,46,6,2,23,821.65,14,18,1
0,0,1.323,19,1095.244,0,35,23,1,15,1041.5,16,14,1
0,0,8.306,6,202.925,0,23,16,2,15,162.5,24,21,0
0,0,2.291,6,1201.34,0,34,24,2,14,899,18,8,1
0,0,6.212,6,1010.728,0,30,2,2,14,400,10,15,0
0,0,6.929,19,411.608,0,22,17,2,6,166.5,14,18,0
0,0,1.323,6,972.74,0,22,15,2,3,1000,18,8,0
0,0,3.204,24,1410.211,0,36,2,2,6,766.325,10,9,1
0,0,1.171,11,2056.677,0,36,23,1,15,1169,6,24,1
0,0,1.863,24,1076.769,0,34,23,2,6,827,10,8,1
0,0,1.171,10,2522.091,0,34,7,2,2,1309,17,23,1
0,0,2.991,15,1643.503,0,33,16,1,0,1168.28,19,5,1
0,0,2.811,10,2051.748,0,35,7,2,2,970.5,17,24,1
0,0,1.449,6,1337.838,0,37,10,2,24,1009,2,15,1
0,0,23.689,14,1490.541,0,36,21,2,10,436.48,24,15,0
0,0,20.932,6,1443.783,0,36,15,2,14,367.75,24,3,0
0,0,7.495,23,1437.834,0,35,3,2,2,530.5,17,15,1
0,0,2.507,6,1031.284,0,21,18,2,14,700,19,8,0
0,0,5.329,15,1407.386,0,33,16,1,0,632.4,20,3,1
0,0,1.739,15,2263.321,0,41,8,2,10,1768.25,21,13,1
0,0,10.626,23,3963.265,0,52,22,2,10,999.5,24,6,1
0,0,2.508,5,3359.204,0,36,19,1,11,4500,0,23,0
0,0,12.841,24,2409.497,0,42,23,2,6,550,14,21,0
0,0,3.064,19,2051.484,0,31,0,1,11,869,15,5,1
0,0,1.853,15,1661.256,0,31,14,1,21,1198,6,3,1
0,0,3.044,6,1448.64,0,26,10,2,14,1191.6,8,24,1
0,0,7.707,8,1789.356,0,34,7,2,23,1206,19,15,1
0,0,7.609,8,1059.738,0,38,21,2,6,1025.9,7,24,1
0,0,5.073,6,1300.847,0,24,18,1,0,476.35,15,11,1
0,0,21.215,6,756.476,0,33,24,2,8,158.25,7,18,0
0,0,2.863,11,1205.381,0,34,22,1,0,899,19,6,1
0,0,14.455,15,4167.235,0,45,24,2,21,800,23,1,1
0,0,11.068,15,2125.837,0,40,14,2,21,632.51,6,1,0
0,0,0.999,25,1091.562,0,40,19,2,14,1018.23,15,5,1
0,0,1.536,15,1204.883,0,37,25,1,23,847,14,8,1
0,0,7.609,10,1495.476,0,36,6,2,2,460.9,24,17,0
