Age,FrequentFlyer,AnnualIncomeClass,ServicesOpted,AccountSyncedToSocialMedia,BookedHotelOrNot,Target
28,1,1,6,0,1,1
28,1,1,6,0,1,1
29,0,1,6,0,0,0
28,1,1,6,1,0,1
27,1,1,4,1,1,0
28,1,1,6,1,0,1
27,0,1,6,1,1,1
28,1,1,6,0,1,1
28,1,1,6,0,1,1
27,1,0,6,1,1,1
28,1,1,6,0,0,1
29,1,1,6,1,1,1
29,1,1,6,0,1,1
28,1,2,6,1,1,0
27,0,1,6,0,0,1
28,1,1,6,0,1,1
29,1,1,6,0,0,1
27,0,1,4,0,0,1
28,1,1,4,1,1,0
27,1,1,6,0,1,0
28,1,1,6,1,1,1
29,0,1,6,0,0,1
27,1,0,6,1,1,1
28,1,1,6,0,0,1
28,1,1,6,0,0,1
29,0,1,6,0,0,1
27,0,1,6,0,1,1
28,1,1,6,0,0,0
29,1,2,4,0,1,1
27,1,1,1,1,1,1
28,1,1,6,0,1,1
29,0,1,6,0,1,1
27,1,1,6,1,1,1
27,1,1,6,0,1,1
28,1,0,6,0,1,1
28,1,1,6,0,1,1
28,1,1,6,0,1,1
36,1,1,6,0,0,1
28,1,1,6,1,1,1
28,1,1,6,0,0,1
28,1,0,6,0,1,1
29,0,0,6,0,1,1
27,1,1,4,0,1,1
28,1,1,6,1,0,1
28,1,1,6,1,1,0
28,1,1,6,0,1,1
27,1,1,2,0,1,1
28,1,1,4,0,0,1
27,1,1,6,0,1,1
34,0,1,6,0,1,1
28,1,1,6,0,0,1
28,1,1,6,0,1,1
28,1,2,6,1,1,1
28,1,1,6,0,1,1
29,0,1,6,0,1,1
28,1,1,6,0,0,1
27,1,1,6,1,0,1
28,1,1,6,1,0,1
27,1,1,4,1,1,1
27,1,0,6,1,1,1
27,1,1,1,0,1,1
29,1,0,6,1,0,1
27,1,0,6,1,0,1
28,1,2,6,1,1,0
27,1,0,6,1,0,1
27,1,1,1,1,1,1
27,1,1,2,1,1,1
27,1,2,6,1,1,1
27,1,1,1,1,1,1
27,1,0,6,1,0,1
29,0,0,6,0,1,0
27,1,1,6,1,1,0
27,1,2,6,0,1,1
28,1,1,6,0,1,1
27,1,0,4,0,0,1
27,0,1,4,0,0,1
28,1,1,6,0,1,1
27,1,1,6,0,1,1
28,1,1,6,1,0,0
27,1,1,6,0,0,1
28,1,1,6,0,1,1
28,1,1,6,0,1,1
28,1,1,6,0,0,1
28,1,1,6,1,1,1
28,1,1,6,1,0,1
28,0,1,6,0,0,1
28,1,1,6,0,1,1
28,1,1,6,0,1,0
27,1,1,6,0,0,1
28,1,2,6,0,0,1
28,1,0,2,1,1,0
28,1,1,6,1,1,1
29,1,1,6,0,1,1
28,1,1,6,0,1,1
29,1,1,6,1,1,1
28,1,0,6,1,1,1
27,1,0,2,0,1,1
29,1,1,6,0,0,1
28,1,2,6,0,1,1
29,0,2,6,1,0,1
28,1,1,6,0,1,1
27,1,2,1,1,1,1
28,1,1,6,1,1,1
28,1,1,6,0,1,1
29,1,1,6,0,1,1
28,1,1,6,0,0,1
28,1,0,6,1,0,1
27,0,2,6,1,0,1
27,1,0,2,1,1,0
29,1,1,6,1,1,0
29,1,0,6,0,1,1
27,1,1,6,1,1,1
27,1,2,6,0,1,1
29,0,1,2,1,0,1
27,1,2,6,1,1,1
27,1,1,6,1,1,1
28,1,1,6,1,0,1
27,1,2,6,1,0,1
28,1,1,6,1,0,1
27,1,1,2,1,0,1
28,1,1,6,0,1,1
27,1,1,4,1,0,1
28,1,0,6,0,0,1
27,1,1,6,1,0,1
27,1,1,6,1,0,1
27,1,1,6,0,0,1
28,1,0,4,1,1,1
33,1,1,6,0,1,1
28,1,1,5,1,1,1
27,1,0,6,1,0,0
27,1,1,6,0,1,1
27,1,2,6,0,1,0
27,1,2,1,1,0,0
27,1,1,6,0,1,0
28,1,1,6,0,1,0
27,1,1,6,0,0,1
27,1,1,6,1,0,1
29,1,1,6,0,1,1
28,1,1,6,0,1,1
27,1,1,6,0,1,1
27,1,0,6,0,0,1
29,1,1,6,0,1,1
29,1,2,6,0,0,1
29,1,1,2,0,0,1
27,1,0,6,1,1,1
27,1,1,1,1,1,1
28,1,1,6,0,0,1
29,1,1,3,0,1,1
28,1,1,6,0,1,1
29,1,1,6,0,0,1
29,1,1,6,0,1,1
29,1,0,4,0,1,1
29,1,0,6,1,1,1
27,1,1,2,0,0,1
27,1,1,2,1,0,1
27,1,1,6,0,1,1
28,1,1,6,1,0,1
28,1,1,6,0,1,0
37,1,1,6,0,0,1
29,1,1,4,0,1,0
28,1,1,6,0,1,0
28,1,1,6,1,1,1
29,1,1,6,0,1,1
28,0,1,6,1,1,1
27,1,1,6,1,0,1
29,0,1,6,0,1,1
28,1,1,6,1,0,1
27,1,0,6,0,1,1
28,1,0,6,1,1,1
28,1,1,4,1,0,1
33,1,1,6,1,1,1
28,1,1,6,1,1,1
27,1,0,6,0,0,1
28,1,0,6,1,1,0
28,1,1,6,1,0,1
28,1,1,6,0,0,1
29,1,1,6,1,0,0
30,1,1,6,0,1,0
28,1,1,6,1,0,1
27,1,1,4,1,0,1
29,1,0,6,0,1,1
