,Unnamed: 0,Colunm 1,Colunm 2,Colunm 3,target,Colunm 4,real_identifier
0,0,10.0,19.87,-155.19,15.0,1.0,0
1,1,7.0,39.45,-75.83,11.0,2.0,0
2,2,43.0,40.76,-111.24,6.0,2.0,0
3,3,4.0,38.94,-105.38,17.0,2.0,0
4,4,1.0,60.88,-154.17,28.0,0.0,0
5,5,31.0,33.12,-103.24,14.0,2.0,0
6,6,45.0,38.89,-110.87,6.0,2.0,0
7,7,33.0,33.45,-107.56,14.0,2.0,0
8,8,31.0,32.67,-104.89,14.0,2.0,0
9,9,12.0,20.34,-156.12,15.0,1.0,0
10,10,18.0,38.21,-83.87,19.0,2.0,0
11,11,16.0,37.45,-88.63,19.0,2.0,0
12,12,1.0,60.77,-150.92,28.0,0.0,0
13,13,6.0,40.89,-108.12,17.0,2.0,0
14,14,10.0,19.32,-155.91,15.0,1.0,0
15,15,12.0,19.78,-155.24,15.0,1.0,0
16,16,4.0,37.34,-107.89,17.0,2.0,0
17,17,18.0,37.56,-85.21,19.0,2.0,0
18,18,1.0,69.23,-142.45,28.0,0.0,0
19,19,1.0,66.87,-152.12,28.0,0.0,0
20,20,6.0,40.34,-108.78,17.0,2.0,0
21,21,4.0,37.12,-106.23,17.0,2.0,0
22,22,18.0,38.45,-87.56,19.0,2.0,0
23,23,33.0,44.78,-75.34,12.0,2.0,0
24,24,6.0,37.89,-105.34,17.0,2.0,0
25,25,17.0,39.23,-101.78,26.0,2.0,0
26,26,31.0,33.45,-106.23,14.0,2.0,0
27,27,6.0,40.12,-102.89,17.0,2.0,0
28,28,9.0,39.56,-75.89,11.0,2.0,0
29,29,7.0,39.23,-75.45,11.0,2.0,0
30,30,48.0,39.78,-80.23,19.0,2.0,0
31,31,17.0,38.45,-97.89,26.0,2.0,0
32,32,10.0,19.56,-155.34,15.0,1.0,0
33,33,9.0,38.78,-75.67,11.0,2.0,0
34,34,33.0,44.23,-75.34,12.0,2.0,0
35,35,6.0,38.56,-106.78,17.0,2.0,0
36,36,31.0,43.56,-75.89,12.0,2.0,0
37,37,4.0,39.56,-104.23,17.0,2.0,0
38,38,17.0,39.89,-96.78,26.0,2.0,0
39,39,12.0,20.23,-156.78,15.0,1.0,0
40,40,4.0,64.75,-143.22,27.0,0.0,0
41,41,15.0,38.42,-97.84,25.0,2.0,0
42,42,7.0,39.14,-76.43,10.0,2.0,0
43,43,31.0,43.91,-73.25,13.0,2.0,0
44,44,33.0,36.18,-107.65,15.0,2.0,0
45,45,18.0,40.63,-95.71,24.0,2.0,0
46,46,43.0,37.04,-110.58,7.0,2.0,0
47,47,12.0,21.68,-155.36,16.0,1.0,0
48,48,30.0,44.52,-74.87,11.0,2.0,0
49,49,16.0,39.67,-83.51,20.0,2.0,0
50,50,1.0,67.45,-158.12,29.0,0.0,0
51,51,34.0,34.86,-108.95,13.0,2.0,0
52,52,6.0,36.77,-103.19,18.0,2.0,0
53,53,48.0,37.95,-80.85,18.0,2.0,0
54,54,4.0,36.59,-107.19,16.0,2.0,0
55,55,17.0,38.42,-97.75,25.0,2.0,0
56,56,6.0,39.34,-104.68,18.0,2.0,0
57,57,18.0,37.09,-86.61,20.0,2.0,0
58,58,4.0,37.66,-107.69,16.0,2.0,0
59,59,1.0,65.77,-157.64,29.0,0.0,0
60,60,19.0,39.62,-83.86,20.0,2.0,0
61,61,2.0,68.94,-142.64,27.0,0.0,0
62,62,45.0,42.91,-113.97,5.0,2.0,0
63,63,10.0,23.06,-160.51,14.0,1.0,0
64,64,9.0,40.08,-76.54,10.0,2.0,0
65,65,15.0,40.49,-100.31,25.0,2.0,0
66,66,50.0,40.13,-82.5,18.0,2.0,0
67,67,6.0,39.77,-107.12,18.0,2.0,0
68,68,4.0,37.5,-104.78,16.0,2.0,0
69,69,12.0,20.34,-156.46,16.0,1.0,0
70,70,17.0,40.84,-99.71,25.0,2.0,0
71,71,33.0,43.51,-74.32,11.0,2.0,0
72,72,7.0,37.41,-74.47,10.0,2.0,0
73,73,10.0,22.52,-159.25,14.0,1.0,0
74,74,6.0,41.87,-108.96,18.0,2.0,0
75,75,48.0,38.66,-82.55,18.0,2.0,0
76,76,43.0,42.05,-111.27,5.0,2.0,0
77,77,31.0,44.44,-76.65,11.0,2.0,0
78,78,45.0,41.43,-111.95,5.0,2.0,0
79,79,33.0,43.82,-78.94,11.0,2.0,0
80,80,28.0,34.21,-104.78,14.0,2.0,0
81,81,42.0,39.87,-110.52,6.0,2.0,0
82,82,0.0,59.32,-157.89,28.0,0.0,0
83,83,0.0,67.45,-158.76,28.0,0.0,0
84,84,18.0,38.12,-85.21,19.0,2.0,0
85,85,15.0,38.47,-102.35,26.0,2.0,0
86,86,0.0,62.18,-152.97,28.0,0.0,0
