,alcohol,malic_acid,ash,alcalinity_of_ash,magnesium,total_phenols,flavanoids,nonflavanoid_phenols,proanthocyanins,color_intensity,hue,od280/od315_of_diluted_wines,proline,target,real_identifier
0,12.71,2.32,2.29,20.3,95.0,2.88,2.44,0.28,1.83,5.21,0.89,3.01,960.0,0.0,0
1,13.29,1.85,2.51,23.2,114.0,2.41,2.19,0.22,1.95,4.89,1.04,2.93,1080.0,0.0,0
2,11.93,2.59,2.35,20.8,92.0,3.13,3.59,0.41,1.69,6.39,0.83,3.44,440.0,1.0,0
3,12.55,1.49,2.18,19.2,84.0,2.19,2.08,0.29,1.78,3.83,1.01,3.14,500.0,1.0,0
4,13.84,2.01,2.56,24.5,120.0,2.85,2.65,0.25,1.91,5.56,0.95,3.23,1240.0,0.0,0
5,11.76,2.93,2.42,22.1,98.0,3.01,3.35,0.44,1.73,6.74,0.81,3.51,460.0,1.0,0
6,12.98,1.66,2.24,20.0,90.0,2.52,2.31,0.26,1.85,4.67,1.03,2.98,1000.0,0.0,0
7,13.19,2.28,2.49,23.8,116.0,2.63,2.49,0.24,1.98,5.31,0.92,3.09,1120.0,0.0,0
8,11.59,2.76,2.39,21.5,94.0,3.24,3.72,0.45,1.72,6.95,0.79,3.58,420.0,1.0,0
9,12.43,1.59,2.15,19.0,82.0,2.35,2.15,0.28,1.81,3.95,1.02,3.16,520.0,1.0,0
10,13.46,2.31,2.41,21.1,91.0,1.67,0.71,0.29,0.83,6.21,0.83,2.24,860.0,2.0,0
11,12.99,1.49,2.13,18.2,83.0,2.79,2.49,0.36,1.61,4.13,1.19,2.94,590.0,1.0,0
12,14.04,1.88,2.58,16.1,114.0,3.14,3.57,0.25,1.83,8.35,1.17,2.69,1520.0,0.0,0
13,13.29,2.69,2.39,20.5,96.0,1.29,0.51,0.44,0.69,5.92,0.76,1.46,730.0,2.0,0
14,12.77,1.22,2.04,19.3,89.0,2.58,2.35,0.31,1.49,2.83,1.33,3.05,315.0,1.0,0
15,13.97,1.83,2.62,17.5,104.0,2.89,3.03,0.23,2.15,5.49,1.21,3.29,1210.0,0.0,0
16,12.43,1.41,2.01,16.9,98.0,2.04,1.45,0.51,0.65,5.69,0.99,1.58,460.0,1.0,0
17,13.69,2.44,2.44,21.3,92.0,1.44,0.62,0.38,0.73,6.38,0.81,2.18,810.0,2.0,0
18,14.13,1.61,2.53,15.8,110.0,3.19,3.64,0.26,1.85,8.51,1.16,2.78,1640.0,0.0,0
19,13.54,2.29,2.36,20.8,95.0,1.53,0.67,0.41,0.75,6.04,0.79,2.11,750.0,2.0,0
20,12.61,2.22,2.41,19.2,92.0,2.39,2.13,0.35,1.59,3.51,1.01,2.63,562.0,1.0,0
21,12.85,1.85,2.19,20.8,99.0,2.67,2.51,0.29,1.73,3.83,0.93,2.49,427.0,1.0,0
22,13.42,2.35,2.55,21.5,105.0,2.51,2.92,0.37,1.85,4.19,0.85,2.72,734.0,1.0,0
23,12.28,1.49,2.03,18.2,89.0,2.29,1.83,0.42,1.39,2.99,1.17,2.39,592.0,1.0,0
24,12.98,2.58,2.63,22.0,96.0,2.41,2.85,0.31,1.69,3.99,0.89,2.59,662.0,1.0,0
25,12.09,1.67,2.15,19.5,84.0,2.19,1.99,0.38,1.46,3.13,1.05,2.51,509.0,1.0,0
26,13.19,2.49,2.49,20.2,102.0,2.59,2.99,0.34,1.83,4.06,0.83,2.69,783.0,1.0,0
27,12.65,1.93,2.35,20.8,93.0,2.35,2.19,0.36,1.58,3.44,0.99,2.58,538.0,1.0,0
28,12.41,2.11,2.21,19.8,91.0,2.49,2.39,0.33,1.69,3.69,0.95,2.56,623.0,1.0,0
29,13.01,2.29,2.59,21.8,106.0,2.53,2.93,0.35,1.81,4.11,0.81,2.71,759.0,1.0,0
30,13.19,1.85,2.41,19.3,105.0,2.49,2.22,0.39,1.58,4.39,0.93,2.93,860.0,0.0,0
31,12.58,2.14,2.33,18.2,95.0,2.31,1.93,0.46,1.49,3.44,0.91,2.51,630.0,1.0,0
32,14.01,1.46,2.19,15.5,90.0,2.67,2.39,0.33,1.92,4.83,0.99,3.04,920.0,0.0,0
33,13.85,2.59,2.59,21.5,115.0,2.15,1.51,0.51,1.29,5.51,0.95,2.21,800.0,2.0,0
34,12.21,2.03,2.14,17.3,85.0,2.55,2.13,0.4,1.65,3.83,0.97,2.79,560.0,1.0,0
35,14.49,1.88,2.46,19.8,110.0,2.81,2.59,0.29,1.87,5.69,1.01,3.13,1000.0,0.0,0
36,11.88,2.48,2.35,20.3,100.0,2.23,1.63,0.49,1.41,3.69,0.94,2.37,700.0,2.0,0
37,13.62,1.69,2.29,16.8,105.0,2.44,2.04,0.42,1.56,4.21,0.92,2.67,810.0,0.0,0
38,12.97,2.28,2.38,19.2,95.0,2.39,1.97,0.45,1.53,3.98,0.96,2.59,680.0,1.0,0
39,14.28,1.55,2.25,16.2,100.0,2.73,2.45,0.31,1.83,5.01,1.02,3.01,960.0,0.0,0
40,12.41,1.67,2.39,19.4,99.0,2.19,1.83,0.35,1.49,3.49,1.06,2.93,743.0,1.0,0
41,13.21,2.15,2.51,20.5,105.0,2.85,2.49,0.27,1.83,4.92,1.03,3.04,1038.0,0.0,0
42,11.85,1.46,2.29,19.1,92.0,2.31,1.93,0.3,1.42,3.17,1.08,2.79,657.0,1.0,0
43,12.92,2.63,2.44,19.8,108.0,2.59,2.23,0.26,1.61,4.35,1.01,2.96,867.0,0.0,0
44,13.46,1.91,2.62,21.1,115.0,3.04,2.64,0.24,1.89,5.38,1.04,3.16,1142.0,0.0,0
45,12.19,2.38,2.33,18.9,96.0,2.13,1.72,0.32,1.39,3.04,1.09,2.75,601.0,1.0,0
46,11.59,1.24,2.17,18.3,89.0,2.46,2.04,0.29,1.53,3.59,1.05,2.89,729.0,1.0,0
47,13.83,2.09,2.69,21.4,119.0,3.19,2.83,0.23,1.97,5.83,1.02,3.23,1256.0,0.0,0
48,12.75,2.51,2.49,20.2,109.0,2.77,2.39,0.25,1.73,4.69,1.01,3.01,943.0,0.0,0
49,11.93,1.67,2.25,19.2,94.0,2.35,1.95,0.3,1.46,3.29,1.07,2.82,673.0,1.0,0
50,13.42,2.51,2.35,18.5,105.0,2.19,1.85,0.31,1.59,4.35,0.93,2.49,715.0,1.0,0
