,alcohol,malic_acid,ash,alcalinity_of_ash,magnesium,total_phenols,flavanoids,nonflavanoid_phenols,proanthocyanins,color_intensity,hue,od280/od315_of_diluted_wines,proline,target,real_identifier
0,12.51,2.31,2.29,20.2,105.0,2.81,2.49,0.29,1.83,5.21,0.99,3.04,900.0,0.0,0
1,13.29,1.85,2.42,22.1,115.0,2.39,2.22,0.25,1.95,4.89,1.03,3.23,1080.0,0.0,0
2,11.98,2.59,2.35,24.5,101.0,3.13,3.42,0.41,1.69,6.38,0.85,3.51,440.0,1.0,0
3,12.71,1.49,2.18,19.8,84.0,2.18,2.15,0.28,1.79,3.69,1.01,3.06,500.0,1.0,0
4,13.84,2.01,2.55,23.3,124.0,2.85,2.67,0.32,1.88,5.59,0.96,3.41,1220.0,0.0,0
5,12.44,2.87,2.39,25.8,109.0,3.49,4.19,0.49,1.63,7.14,0.79,3.67,460.0,1.0,0
6,11.79,1.93,2.27,20.9,93.0,2.51,2.38,0.31,1.92,4.21,1.05,3.13,900.0,0.0,0
7,13.19,2.35,2.49,24.2,118.0,2.73,2.55,0.29,1.85,5.38,0.94,3.29,1100.0,0.0,0
8,12.58,1.67,2.22,20.5,89.0,2.29,2.18,0.27,1.81,3.85,1.02,3.09,520.0,1.0,0
9,11.92,2.51,2.33,22.9,99.0,3.25,3.69,0.44,1.65,6.79,0.83,3.59,420.0,1.0,0
10,12.96,1.31,2.33,19.8,103.0,2.81,2.51,0.35,1.51,5.21,1.18,2.93,920.0,0.0,0
11,13.59,2.21,2.44,22.1,118.0,1.69,1.03,0.41,1.29,6.38,0.83,2.19,840.0,2.0,0
12,12.85,1.49,2.17,17.5,90.0,3.13,3.59,0.29,2.04,7.21,1.29,3.05,1410.0,0.0,0
13,13.32,2.35,2.51,20.3,110.0,2.19,2.13,0.38,1.69,5.92,1.08,2.58,1010.0,1.0,0
14,12.49,1.26,2.04,18.2,96.0,2.76,2.85,0.32,1.92,4.88,1.31,3.23,1140.0,0.0,0
15,13.93,1.83,2.62,23.2,124.0,1.85,1.29,0.43,1.44,7.51,0.89,2.41,900.0,2.0,0
16,12.77,1.44,2.13,16.9,92.0,2.51,2.19,0.36,1.56,5.49,1.12,2.72,950.0,1.0,0
17,13.46,2.05,2.38,19.1,104.0,2.93,3.13,0.3,2.11,6.85,1.22,3.15,1300.0,0.0,0
18,12.92,1.58,2.25,18.5,98.0,2.38,2.67,0.34,1.83,5.03,1.27,3.01,1060.0,1.0,0
19,13.71,1.94,2.58,21.4,116.0,1.92,1.49,0.4,1.59,7.29,0.93,2.53,880.0,2.0,0
20,12.69,1.89,2.49,19.2,94.0,2.39,2.56,0.35,1.69,3.51,1.07,2.64,583.0,1.0,0
21,12.86,2.15,2.63,20.8,99.0,2.62,2.93,0.29,1.85,4.08,1.01,2.91,721.0,1.0,0
22,11.93,1.46,2.18,19.5,87.0,2.29,2.05,0.44,1.51,3.19,1.17,2.43,539.0,1.0,0
23,13.04,2.51,2.85,22.2,105.0,2.83,3.23,0.31,1.93,4.42,0.95,3.02,799.0,1.0,0
24,12.61,1.82,2.41,20.3,92.0,2.49,2.81,0.36,1.73,3.73,1.04,2.79,629.0,1.0,0
25,11.85,2.23,2.59,20.9,96.0,2.35,2.49,0.41,1.59,3.44,1.13,2.59,573.0,1.0,0
26,13.29,2.88,2.97,23.1,108.0,2.96,3.44,0.28,2.04,4.63,0.93,3.13,859.0,1.0,0
27,12.44,1.67,2.33,19.8,89.0,2.41,2.66,0.38,1.65,3.58,1.06,2.71,601.0,1.0,0
28,11.99,2.06,2.51,20.6,94.0,2.53,2.89,0.33,1.79,3.87,1.02,2.85,651.0,1.0,0
29,13.15,2.79,2.92,22.5,106.0,2.91,3.38,0.29,1.97,4.51,0.96,3.08,819.0,1.0,0
30,13.33,1.87,2.45,19.4,105.0,2.49,2.21,0.39,1.58,4.39,0.91,2.93,815.0,0.0,0
31,12.53,3.54,2.35,21.1,92.0,2.31,1.93,0.51,1.21,4.81,0.85,2.49,660.0,1.0,0
32,14.19,1.49,2.29,16.5,116.0,3.14,2.83,0.24,2.05,5.69,0.98,3.19,945.0,0.0,0
33,11.85,2.13,2.41,19.8,88.0,2.66,2.39,0.36,1.49,3.49,1.04,2.81,430.0,1.0,0
34,13.92,3.83,2.51,22.3,110.0,1.94,0.73,0.46,1.38,6.19,0.76,1.67,795.0,2.0,0
35,12.29,1.67,2.19,18.3,79.0,2.42,2.05,0.41,1.65,3.14,0.97,2.13,525.0,1.0,0
36,14.57,1.76,2.33,17.4,100.0,2.93,2.71,0.27,2.01,5.44,0.89,3.11,1010.0,0.0,0
37,13.17,3.29,2.43,20.5,96.0,1.85,0.59,0.49,0.84,5.93,0.94,1.85,695.0,2.0,0
38,12.93,1.93,2.25,20.2,85.0,2.18,1.88,0.53,1.44,3.93,0.99,2.37,585.0,1.0,0
39,14.04,4.01,2.39,18.1,108.0,2.62,2.41,0.32,1.29,5.08,0.86,3.24,920.0,0.0,0
40,12.17,2.31,2.43,19.5,99.0,2.21,2.49,0.31,1.59,4.29,1.03,3.01,734.0,0.0,0
41,13.29,1.63,2.58,20.5,105.0,2.85,2.85,0.25,1.83,5.39,1.09,2.93,1019.0,0.0,0
42,11.83,2.59,2.29,18.0,92.0,2.11,2.11,0.37,1.51,2.93,1.11,3.23,596.0,1.0,0
43,12.94,1.44,2.38,19.0,98.0,2.46,2.26,0.28,1.62,3.85,1.04,2.99,809.0,1.0,0
44,13.46,2.93,2.49,20.0,110.0,2.59,2.91,0.23,1.75,5.63,1.01,3.09,943.0,0.0,0
45,12.17,2.07,2.33,18.5,96.0,2.33,2.19,0.35,1.56,3.51,1.07,3.15,664.0,1.0,0
46,14.06,1.85,2.69,21.5,115.0,2.92,3.04,0.27,1.89,6.13,1.05,2.81,1141.0,0.0,0
47,11.59,2.83,2.24,17.5,90.0,2.05,2.03,0.39,1.46,2.67,1.13,3.36,532.0,1.0,0
48,13.01,1.67,2.42,19.5,100.0,2.52,2.63,0.29,1.69,4.59,1.02,3.04,863.0,0.0,0
49,12.83,2.35,2.36,18.5,97.0,2.27,2.33,0.32,1.58,3.73,1.06,3.19,725.0,1.0,0
50,13.42,2.21,2.43,18.1,110.0,2.19,1.79,0.41,1.58,6.51,0.93,2.49,725.0,2.0,0
51,12.59,3.83,2.13,20.5,90.0,1.83,0.93,0.49,1.11,4.39,0.78,1.83,695.0,2.0,0
52,14.19,1.44,2.51,24.0,105.0,2.58,2.31,0.29,2.03,3.46,1.23,3.51,450.0,1.0,0
53,13.03,2.54,2.29,17.0,115.0,1.99,1.23,0.45,1.44,5.92,0.85,2.27,800.0,2.0,0
54,12.98,3.93,2.18,21.5,95.0,1.69,0.79,0.51,1.26,4.85,0.73,1.94,755.0,2.0,0
55,13.69,1.67,2.35,16.8,100.0,2.42,2.15,0.31,1.81,3.91,1.17,3.39,485.0,1.0,0
56,12.33,2.09,2.05,19.5,85.0,2.13,1.51,0.44,1.59,6.29,0.91,2.59,715.0,2.0,0
57,14.05,1.82,2.62,25.5,110.0,2.72,2.49,0.25,2.13,3.59,1.29,3.63,395.0,1.0,0
58,12.81,3.15,2.41,20.0,105.0,1.85,0.97,0.48,1.19,5.11,0.81,2.03,680.0,2.0,0
59,13.45,2.36,2.26,17.5,90.0,2.01,1.37,0.42,1.49,6.07,0.89,2.45,740.0,2.0,0
60,12.93,2.19,2.42,20.2,92.0,2.23,1.92,0.51,1.49,4.22,0.92,2.35,582.0,1.0,0
61,13.45,1.51,2.06,17.3,90.0,2.06,1.44,0.39,1.29,3.59,1.07,2.19,708.0,2.0,0
62,12.64,3.29,2.18,19.2,84.0,1.83,1.35,0.55,1.65,4.51,0.79,2.04,499.0,1.0,0
63,13.29,2.58,2.44,21.1,96.0,2.49,2.08,0.45,1.91,5.15,0.96,2.59,1189.0,0.0,0
64,12.85,1.67,2.01,16.9,86.0,2.15,1.85,0.38,1.44,3.92,1.01,2.32,642.0,1.0,0
65,13.01,3.17,2.26,19.5,88.0,1.98,1.51,0.53,1.71,4.39,0.85,2.11,541.0,1.0,0
66,12.49,2.41,2.39,20.5,94.0,2.32,2.01,0.42,1.85,5.02,0.93,2.48,1151.0,0.0,0
67,13.56,1.85,2.03,17.8,90.0,2.09,1.63,0.36,1.39,3.69,1.04,2.26,725.0,2.0,0
68,12.75,3.07,2.11,18.3,84.0,1.92,1.42,0.52,1.62,4.29,0.82,2.08,514.0,1.0,0
69,13.38,2.29,2.33,20.0,96.0,2.41,2.04,0.44,1.88,5.08,0.95,2.53,1202.0,0.0,0
70,12.23,2.05,2.43,20.5,118.0,2.83,2.51,0.31,2.21,3.19,1.04,2.93,822.0,1.0,0
71,11.93,2.51,2.59,22.0,96.0,2.42,1.85,0.27,1.92,2.93,0.99,2.69,734.0,1.0,0
72,13.07,1.85,2.35,18.5,112.0,2.95,2.72,0.23,2.56,3.51,1.11,3.02,911.0,1.0,0
73,12.55,2.28,2.48,21.0,102.0,2.69,2.35,0.34,2.08,3.03,1.01,2.85,853.0,1.0,0
74,11.75,2.64,2.67,23.5,91.0,2.51,1.93,0.29,2.04,2.85,0.97,2.63,697.0,1.0,0
75,12.93,1.93,2.41,20.0,109.0,2.87,2.58,0.25,2.43,3.29,1.07,2.99,876.0,1.0,0
76,13.35,2.01,2.53,22.5,98.0,2.59,2.04,0.31,2.17,2.99,1.03,2.83,805.0,1.0,0
77,12.19,2.43,2.62,24.0,88.0,2.45,1.81,0.28,2.02,2.79,0.95,2.61,671.0,1.0,0
78,13.01,1.99,2.39,19.5,115.0,2.93,2.69,0.24,2.51,3.43,1.09,3.06,939.0,1.0,0
79,12.85,2.15,2.45,21.5,105.0,2.75,2.43,0.32,2.26,3.15,1.05,2.92,831.0,1.0,0
80,12.55,2.31,2.17,18.2,91.0,2.41,2.51,0.39,2.19,3.41,1.04,2.85,581.0,1.0,0
81,11.94,3.58,2.49,24.8,108.0,1.88,1.22,0.49,1.63,2.19,0.98,2.49,446.0,1.0,0
82,12.81,2.13,2.35,20.5,85.0,2.59,2.88,0.35,2.44,3.69,1.13,3.29,671.0,1.0,0
83,13.03,1.85,2.11,17.4,99.0,2.14,1.83,0.41,1.88,2.56,1.01,2.76,531.0,1.0,0
84,12.46,3.25,2.59,25.9,95.0,2.35,2.19,0.46,2.02,2.83,0.94,3.04,416.0,1.0,0
85,11.67,4.19,2.28,22.1,89.0,2.51,2.65,0.38,2.36,3.51,1.08,2.92,623.0,1.0,0
86,12.99,2.49,2.44,21.9,102.0,2.08,1.69,0.44,1.85,2.42,0.99,2.67,492.0,1.0,0
87,13.28,1.92,2.16,18.8,93.0,2.29,2.04,0.42,2.07,2.94,1.05,2.83,586.0,1.0,0
88,12.13,3.82,2.51,24.2,109.0,2.44,2.33,0.45,2.14,2.99,0.97,2.99,451.0,1.0,0
89,12.75,2.67,2.38,20.8,86.0,2.56,2.73,0.37,2.41,3.59,1.11,3.22,684.0,1.0,0
90,13.43,1.51,2.35,19.1,105.0,2.51,2.19,0.29,1.93,5.19,1.04,2.93,920.0,0.0,0
91,14.29,2.11,2.48,20.3,101.0,2.93,3.01,0.25,2.43,6.51,1.16,3.04,1080.0,0.0,0
92,12.59,0.85,2.19,16.5,93.0,2.15,1.83,0.31,1.51,3.93,1.21,2.79,500.0,1.0,0
93,14.51,1.91,2.41,12.1,96.0,3.23,3.53,0.41,2.89,5.93,1.24,2.85,1200.0,0.0,0
94,12.19,4.59,2.59,22.2,86.0,1.43,0.51,0.54,0.83,3.71,0.76,1.33,680.0,2.0,0
95,12.81,1.69,2.56,18.3,97.0,2.53,2.42,0.27,1.49,4.01,1.11,3.59,990.0,0.0,0
96,13.69,4.29,2.29,23.1,89.0,1.31,0.49,0.53,1.18,6.79,0.79,1.81,540.0,2.0,0
97,14.04,1.67,2.32,16.3,128.0,3.04,3.21,0.24,2.13,5.71,1.1,3.69,780.0,0.0,0
98,13.59,1.85,2.72,17.5,113.0,2.89,2.95,0.3,1.48,7.39,1.29,2.92,1330.0,0.0,0
99,12.29,1.01,1.97,15.1,138.0,1.94,1.88,0.36,2.79,3.45,1.07,2.35,760.0,1.0,0
100,12.51,2.11,2.19,19.2,105.0,2.81,2.44,0.41,1.93,4.85,0.97,2.83,920.0,1.0,0
101,13.69,1.46,2.01,15.4,92.0,2.14,1.85,0.38,1.52,3.51,1.04,2.61,680.0,1.0,0
102,11.99,2.35,2.43,21.1,118.0,1.92,1.49,0.51,1.69,3.95,0.92,2.39,560.0,1.0,0
103,14.13,1.21,2.29,16.3,99.0,2.96,2.65,0.29,2.03,5.49,0.99,3.21,1220.0,0.0,0
104,12.35,1.92,2.04,18.5,88.0,1.67,1.39,0.44,1.41,3.19,1.01,2.29,460.0,1.0,0
105,13.56,0.85,2.33,17.8,108.0,2.41,2.01,0.35,1.85,4.23,1.03,2.75,800.0,1.0,0
106,11.78,2.02,2.11,20.6,102.0,1.85,1.63,0.39,1.56,3.63,0.98,2.51,500.0,1.0,0
107,14.01,1.58,2.25,15.9,91.0,2.69,2.38,0.31,1.98,5.08,1.0,3.01,1100.0,0.0,0
108,12.92,1.69,2.06,19.8,115.0,1.99,1.73,0.42,1.61,3.81,0.96,2.55,620.0,1.0,0
109,13.29,0.98,2.16,16.9,96.0,2.29,1.93,0.37,1.76,4.04,1.02,2.69,760.0,1.0,0
110,13.42,2.11,2.56,20.5,105.0,2.41,2.19,0.31,2.03,6.29,0.93,2.51,945.0,0.0,0
111,12.98,1.63,2.35,19.2,92.0,2.15,1.92,0.29,1.85,5.85,1.01,2.93,810.0,1.0,0
112,14.05,2.49,2.41,17.5,110.0,2.93,3.11,0.28,2.46,6.95,1.08,3.19,1190.0,0.0,0
113,13.67,1.85,2.49,21.5,99.0,2.51,2.38,0.3,2.13,6.15,0.99,2.79,1005.0,0.0,0
114,12.81,2.23,2.33,20.2,91.0,2.28,2.04,0.3,1.98,5.98,1.03,2.85,870.0,1.0,0
115,14.29,2.67,2.39,18.2,108.0,3.06,3.29,0.27,2.59,7.29,1.06,3.35,1250.0,0.0,0
116,13.49,1.94,2.44,20.8,96.0,2.44,2.25,0.29,2.05,6.39,1.0,2.67,940.0,0.0,0
117,12.59,2.05,2.29,19.5,88.0,2.19,1.95,0.3,1.91,5.69,1.02,2.75,795.0,1.0,0
118,14.17,2.82,2.36,17.8,104.0,3.04,3.24,0.28,2.53,7.04,1.07,3.29,1210.0,0.0,0
119,13.85,1.99,2.46,21.0,101.0,2.59,2.43,0.29,2.17,6.59,1.01,2.83,1030.0,0.0,0
120,12.23,2.11,2.38,19.5,94.0,2.83,2.49,0.35,1.59,4.19,1.01,3.21,812.0,0.0,0
121,11.89,2.67,2.29,17.2,91.0,2.39,2.09,0.41,1.85,3.55,0.92,2.93,708.0,1.0,0
122,13.56,1.46,2.51,21.1,99.0,2.96,3.01,0.29,1.42,5.46,1.08,3.51,1188.0,0.0,0
123,12.95,3.19,2.18,19.8,93.0,2.21,1.83,0.49,1.13,4.01,0.87,2.17,822.0,2.0,0
124,11.67,2.85,2.44,20.3,95.0,2.67,2.35,0.38,1.72,3.93,0.85,3.13,658.0,1.0,0
125,13.39,5.29,2.33,20.9,91.0,1.75,0.69,0.54,1.04,7.39,0.67,1.81,752.0,2.0,0
126,12.51,1.35,2.59,18.5,98.0,2.49,2.73,0.33,2.01,4.73,1.16,2.41,692.0,1.0,0
127,13.14,1.93,2.13,11.5,100.0,2.71,2.85,0.27,1.31,4.51,1.04,3.42,1078.0,0.0,0
128,11.51,2.51,2.39,20.1,96.0,2.87,2.83,0.31,1.79,3.39,0.82,3.37,632.0,1.0,0
129,13.63,4.88,2.37,20.2,92.0,2.04,0.84,0.46,1.04,4.49,0.92,2.09,562.0,2.0,0
130,13.419999999999998,2.25,2.4699999999999998,20.5,108.0,2.4699999999999998,2.07,0.34999999999999964,1.3499999999999999,4.349999999999999,1.01,2.3499999999999996,923.0,0.0,0
131,12.959999999999999,2.52,2.25,19.5,95.0,2.3499999999999996,2.3499999999999996,0.34999999999999964,1.3499999999999999,4.349999999999999,1.01,2.3499999999999996,923.0,0.0,0
132,13.419999999999998,1.85,2.4699999999999998,20.5,108.0,2.4699999999999998,2.07,0.34999999999999964,1.3499999999999999,4.349999999999999,1.01,2.3499999999999996,923.0,0.0,0
133,12.959999999999999,2.25,2.25,19.5,95.0,2.3499999999999996,2.3499999999999996,0.34999999999999964,1.3499999999999999,4.349999999999999,1.01,2.3499999999999996,923.0,0.0,0
134,13.419999999999998,1.57,2.4699999999999998,20.5,108.0,2.4699999999999998,2.07,0.34999999999999964,1.3499999999999999,4.349999999999999,1.01,2.3499999999999996,923.0,0.0,0
135,12.959999999999999,2.31,2.25,19.5,95.0,2.3499999999999996,2.3499999999999996,0.34999999999999964,1.3499999999999999,4.349999999999999,1.01,2.3499999999999996,923.0,0.0,0
136,13.419999999999998,1.9,2.4699999999999998,20.5,108.0,2.4699999999999998,2.07,0.34999999999999964,1.3499999999999999,4.349999999999999,1.01,2.3499999999999996,923.0,0.0,0
