proline,color_intensity,ash,alcalinity_of_ash,hue,alcohol,od280/od315_of_diluted_wines,nonflavanoid_phenols,proanthocyanins,magnesium,total_phenols,flavanoids,target,malic_acid
345,2.06,2.2,25.0,1.16,11.62,2.46,0.34,1.04,96,1.92,1.85,1,2.06
630,2.26,2.51,24.0,1.04,12.08,2.27,0.52,1.64,96,2.5,2.21,1,1.81
510,2.12,2.3,22.5,1.16,11.64,3.12,0.3,1.62,85,2.5,2.27,1,1.63
780,5.65,2.28,16.0,0.96,13.16,2.31,0.37,1.35,92,2.4,2.19,1,1.41
1060,5.85,2.25,17.5,1.03,13.74,2.87,0.19,1.66,102,2.9,3.19,0,1.73
560,4.6,2.7,21.5,0.73,12.53,1.75,0.52,0.62,88,1.38,0.63,2,3.17
1060,5.85,2.25,16.4,1.04,13.68,2.75,0.32,1.62,98,2.2,2.43,0,1.67
1280,6.2,2.72,20.0,1.07,14.13,2.65,0.33,1.97,103,2.8,3.14,0,1.93
630,4.1,2.32,19.5,0.89,12.86,2.07,0.5,1.62,88,2.43,2.65,1,1.36
428,2.9,2.23,21.0,1.24,12.08,2.27,0.52,1.64,86,1.6,1.5,2,1.99
1285,4.6,2.7,20.0,1.04,13.2,2.85,0.29,1.98,92,2.6,2.69,0,1.8
345,2.06,2.19,21.0,1.16,11.62,2.46,0.37,1.71,88,2.3,2.21,1,1.99
625,7.65,2.48,21.0,0.56,12.36,1.58,0.5,1.04,86,1.62,0.55,2,3.27
1045,5.64,2.35,15.6,1.04,13.2,3.37,0.26,1.87,101,2.2,2.43,0,1.5
630,5.3,2.86,25.0,0.74,13.69,1.82,0.52,0.94,106,1.98,0.96,2,3.84
450,3.4,2.42,18.0,1.25,12.67,2.42,0.48,1.63,88,1.65,2.03,1,1.67
1060,5.85,2.25,16.4,1.03,13.74,2.87,0.29,1.62,98,2.4,2.79,0,1.67
1285,4.8,2.12,16.8,1.17,13.17,3.2,0.3,1.45,96,2.62,2.69,0,1.83
1060,5.85,2.25,17.5,1.03,13.74,3.2,0.21,1.62,118,2.6,2.9,0,1.67
520,3.05,2.58,25.0,0.84,12.04,2.57,0.42,0.55,88,2.1,1.79,1,1.35
830,4.35,2.17,18.5,1.04,13.24,2.93,0.39,1.82,98,2.8,2.69,0,1.73
1515,6.9,2.36,18.6,1.12,13.58,2.88,0.22,1.95,101,2.86,3.19,0,1.66
510,5.5,2.32,18.5,0.7,12.77,1.29,0.17,0.8,88,1.7,1.2,2,1.25
1280,4.6,2.72,18.1,1.09,13.68,2.87,0.52,1.97,95,2.4,2.64,0,1.66
428,2.9,2.23,21.0,0.8,11.64,3.12,0.3,1.63,86,2.2,2.21,1,2.05
580,5.7,2.19,19.5,0.73,12.69,1.29,0.17,0.94,92,1.39,1.26,2,1.63
1285,4.8,2.14,16.0,1.17,13.2,2.47,0.37,1.35,92,2.5,2.52,0,1.48
520,9.2,2.24,21.0,0.56,12.86,1.29,0.17,1.35,89,1.59,0.63,2,2.59
600,5.6,2.7,21.0,0.74,12.93,1.75,0.52,0.94,98,1.39,0.51,2,4.36
1285,3.95,2.14,16.7,1.02,13.39,2.78,0.34,1.25,94,2.6,2.68,0,1.72
