proline,color_intensity,ash,alcalinity_of_ash,hue,alcohol,od280/od315_of_diluted_wines,nonflavanoid_phenols,proanthocyanins,magnesium,total_phenols,flavanoids,target,malic_acid
750,5.4,2.69,21.0,0.7,12.81,1.36,0.27,0.83,98,1.15,0.49,2,3.55
650,4.8,2.26,21.0,0.7,12.77,1.63,0.48,0.83,88,1.38,0.47,2,2.39
660,4.5,2.1,18.5,1.04,12.37,2.77,0.24,1.95,88,3.0,2.76,1,1.07
630,5.3,2.86,25.5,0.78,12.84,1.29,0.17,0.94,112,1.7,1.2,2,2.67
660,5.58,2.51,19.0,0.86,13.64,2.04,0.5,0.73,96,2.2,2.53,1,1.67
1095,4.2,2.65,19.0,1.1,13.51,3.47,0.26,1.5,96,2.45,2.18,0,1.75
660,3.4,2.1,18.5,1.25,12.07,2.48,0.37,1.35,96,1.45,1.25,1,1.53
520,3.06,2.58,20.0,0.89,12.53,1.51,0.61,0.83,104,1.51,0.51,2,3.99
495,3.05,2.26,22.0,0.89,12.69,2.03,0.5,1.62,86,1.38,1.46,1,1.61
1285,4.6,2.5,16.7,1.05,13.72,2.93,0.39,1.55,92,2.8,2.69,0,1.57
630,5.6,2.32,18.5,0.74,12.85,1.29,0.21,0.94,103,1.51,1.25,2,1.25
625,2.45,2.51,21.0,1.33,12.08,2.77,0.4,2.76,88,2.7,2.98,1,1.07
520,5.5,2.64,21.5,0.75,12.51,1.51,0.6,0.92,86,1.51,0.66,2,3.12
1285,4.6,2.5,16.7,1.17,13.2,2.85,0.29,1.98,94,2.8,2.98,0,1.5
520,3.05,2.58,25.0,0.89,12.29,2.03,0.5,1.03,92,2.36,1.64,1,1.61
550,7.1,2.35,21.5,0.61,12.6,1.58,0.63,1.4,85,1.51,0.6,2,3.91
562,2.45,2.28,19.0,1.33,12.6,2.77,0.24,1.35,86,2.4,2.19,1,1.72
1195,4.8,2.62,16.1,1.12,13.39,3.22,0.34,1.87,92,2.6,2.9,0,1.77
1260,5.6,2.2,16.8,1.17,14.1,3.17,0.22,2.38,106,2.8,3.24,0,1.73
1060,5.85,2.25,16.4,1.03,13.74,3.2,0.21,1.62,103,2.6,2.9,0,1.57
550,5.4,2.35,18.0,0.7,12.86,1.29,0.21,1.07,90,1.51,1.25,2,1.24
1095,5.05,2.35,16.0,1.02,13.05,2.91,0.17,1.54,97,2.65,2.88,0,1.35
1285,4.6,2.7,21.0,1.04,13.72,2.87,0.19,1.85,94,2.74,2.88,0,1.8
1045,5.43,2.17,15.6,1.06,13.11,3.2,0.21,2.29,94,2.45,2.99,0,1.61
845,5.1,2.56,18.0,0.89,13.64,2.87,0.19,1.87,112,3.0,3.1,0,1.67
1285,3.95,2.14,16.8,1.01,13.48,3.47,0.26,1.95,94,2.4,2.64,0,1.72
680,3.28,2.35,16.5,0.94,12.37,2.31,0.37,1.35,96,2.4,2.19,1,1.81
660,9.4,2.1,19.5,0.58,13.08,1.33,0.34,1.48,98,1.65,0.66,2,3.55
500,8.66,2.69,25.0,0.61,13.58,1.8,0.39,1.46,120,2.1,1.28,2,1.67
650,5.45,2.25,16.0,0.78,13.17,1.62,0.53,0.8,98,1.83,0.57,2,2.81
