proline,color_intensity,ash,alcalinity_of_ash,hue,alcohol,od280/od315_of_diluted_wines,nonflavanoid_phenols,proanthocyanins,magnesium,total_phenols,flavanoids,target,malic_acid
562,2.45,2.19,19.0,1.33,11.84,3.05,0.5,2.08,88,2.42,2.21,1,1.81
520,2.45,2.32,20.0,1.33,12.6,2.77,0.24,1.35,88,2.4,2.19,1,1.63
580,2.65,2.13,19.0,1.48,12.51,3.17,0.37,2.08,85,2.5,2.21,1,1.13
510,3.4,2.12,18.5,0.6,12.16,2.23,0.45,1.63,85,1.79,1.69,1,1.33
1285,5.7,2.7,22.5,0.83,13.73,2.71,0.29,1.25,108,2.8,3.27,0,1.9
550,5.17,2.68,20.0,0.82,13.11,1.33,0.34,0.86,112,1.31,1.09,2,2.81
830,3.58,2.5,18.5,1.12,13.48,2.78,0.34,1.36,102,2.7,2.93,0,1.67
1510,5.75,2.3,16.8,1.25,13.88,2.82,0.29,1.57,96,2.2,2.43,0,1.76
428,2.6,2.21,19.0,1.36,12.37,2.78,0.27,1.35,85,2.2,2.45,1,1.52
562,3.9,2.62,21.0,1.23,12.53,2.06,0.5,0.95,96,1.72,1.32,2,2.68
1095,5.05,2.26,17.6,0.89,13.39,3.22,0.34,1.62,97,2.5,2.52,0,1.89
510,3.4,2.12,18.5,0.6,12.72,2.42,0.48,1.33,84,1.38,1.76,1,2.05
450,5.75,2.02,18.0,0.58,12.64,1.27,0.53,0.42,94,1.38,1.46,2,1.63
1285,4.8,2.14,16.8,1.12,13.05,2.78,0.34,1.25,92,2.6,2.68,0,1.35
520,5.5,2.38,21.0,0.56,12.37,1.27,0.53,1.04,88,1.48,0.58,2,2.76
520,5.4,2.72,25.5,0.89,13.3,1.92,0.27,0.94,96,1.9,0.96,2,4.95
1510,6.9,2.27,17.4,1.12,13.83,2.85,0.29,1.66,101,2.8,3.19,0,1.65
1035,4.28,2.12,16.0,1.12,13.36,3.55,0.22,1.62,92,2.6,2.9,0,1.57
510,4.68,2.32,18.5,0.96,12.33,2.44,0.22,1.62,86,2.5,2.27,1,1.19
750,8.66,2.69,22.5,0.66,13.58,1.8,0.39,1.54,103,1.55,0.76,2,3.84
1195,4.7,2.6,16.1,1.09,13.3,2.85,0.29,1.54,101,2.2,2.43,0,1.7
1285,5.7,2.5,16.8,1.13,13.48,3.45,0.26,1.35,103,2.7,3.0,0,1.53
580,2.45,2.38,22.0,0.86,12.36,2.23,0.53,0.75,80,1.54,0.5,2,4.3
580,2.45,2.38,19.5,1.33,12.87,3.2,0.43,1.34,85,2.2,1.92,1,1.17
660,5.58,2.6,25.0,0.82,13.4,1.96,0.53,1.1,101,2.2,0.75,2,4.6
600,5.6,2.7,21.0,0.74,12.93,1.75,0.52,0.97,96,1.78,0.66,2,3.43
510,2.45,2.32,21.0,0.94,12.16,3.12,0.3,1.62,85,2.5,2.27,1,1.13
695,7.1,2.2,18.5,0.61,12.6,1.58,0.63,0.94,86,1.62,0.66,2,3.59
660,10.6,2.1,18.5,0.66,13.28,1.75,0.52,1.1,88,1.48,0.58,2,3.83
1290,4.2,2.1,16.8,1.12,13.83,3.37,0.26,1.98,96,2.5,2.52,0,1.57
