proline,color_intensity,ash,alcalinity_of_ash,hue,alcohol,od280/od315_of_diluted_wines,nonflavanoid_phenols,proanthocyanins,magnesium,total_phenols,flavanoids,target,malic_acid
550,2.45,2.42,18.0,1.33,11.84,2.22,0.5,1.42,86,1.75,1.92,1,1.67
680,5.88,2.54,25.0,0.87,13.69,2.04,0.5,0.88,98,1.62,1.59,1,3.24
500,7.05,2.26,21.5,0.57,12.42,1.58,0.5,1.22,90,1.38,0.6,2,3.12
510,3.4,2.12,18.0,0.6,12.0,2.65,0.53,1.62,85,1.75,1.32,1,1.83
495,2.45,2.31,21.5,1.33,12.16,3.12,0.3,2.76,86,2.2,2.21,1,1.21
630,5.6,2.32,21.5,0.66,12.77,1.63,0.48,0.55,88,1.39,0.6,2,3.27
1060,5.85,2.25,16.4,1.09,13.64,2.75,0.32,1.62,100,2.25,2.53,0,1.77
1065,4.2,2.17,16.8,1.02,13.16,2.93,0.29,1.62,95,2.8,2.69,0,1.83
680,2.65,2.17,19.0,1.25,11.61,2.31,0.35,1.35,86,2.3,1.92,1,1.61
750,5.6,2.69,21.5,0.82,13.48,1.75,0.52,0.94,106,1.79,0.56,2,3.17
1285,5.6,2.7,20.5,0.96,14.13,3.45,0.24,2.29,108,3.0,3.0,0,2.46
680,2.65,2.3,19.0,1.45,11.61,3.26,0.32,1.35,94,2.5,1.64,1,2.16
675,5.28,2.35,16.5,0.89,12.71,1.75,0.4,0.94,88,1.39,0.7,2,4.6
1285,3.95,2.14,16.0,1.02,13.2,2.75,0.32,1.35,94,2.02,2.03,0,1.72
520,4.45,2.32,19.0,0.78,12.36,1.58,0.5,1.04,85,1.62,0.66,2,1.61
550,7.1,2.35,21.0,0.57,12.86,1.29,0.17,1.35,94,1.51,1.25,2,2.56
1285,3.95,2.14,16.8,1.02,13.48,2.76,0.27,1.35,94,2.6,2.68,0,1.72
1260,5.6,2.3,16.8,1.12,14.1,2.75,0.32,1.62,98,2.5,2.52,0,1.7
680,3.28,2.58,22.5,0.89,12.33,2.31,0.42,1.64,101,2.2,1.75,1,1.72
560,5.7,2.7,21.0,0.7,12.96,1.75,0.52,0.45,88,1.48,0.66,2,4.6
1275,5.6,2.7,22.5,1.25,13.73,2.71,0.29,1.98,108,3.0,2.79,0,1.5
780,5.65,2.28,18.5,0.89,13.17,2.31,0.37,1.35,98,2.4,2.19,0,1.81
500,7.05,2.25,21.5,0.54,12.42,1.33,0.34,0.83,94,1.33,0.56,2,3.7
660,2.1,2.35,18.0,1.42,12.08,2.27,0.52,1.64,88,2.5,1.92,1,1.17
630,9.4,2.86,24.0,0.6,13.69,1.75,0.52,1.03,108,1.38,0.63,2,3.83
550,5.5,2.35,18.0,0.59,12.77,1.63,0.48,0.64,98,1.39,0.6,2,1.81
580,2.65,2.38,20.0,1.33,11.62,3.12,0.3,2.1,85,2.45,2.01,1,1.81
520,4.6,2.24,21.5,0.74,12.37,1.27,0.53,0.83,88,1.38,0.63,2,4.95
520,3.06,2.58,23.0,0.78,12.04,1.74,0.52,0.83,88,1.38,0.51,2,2.81
1285,4.68,2.14,15.2,1.07,13.17,2.93,0.39,1.95,101,2.8,2.98,0,1.35
