,Field name,Reservoir unit,Country,Region,Basin name,Tectonic regime,Latitude,Longitude,Operator company,Onshore/offshore,Hydrocarbon type,Reservoir status,Structural setting,Depth,Period,Lithology,Gross,Netpay,Porosity,Permeability,Oil density,Oil recovery factor,Condensate recovery factor,Gas recovery factor,real_identifier
0,145.0,219.0,25.0,5.0,31.0,1.0,41.2349,92.4649,101.0,1.0,4.0,9.0,5.0,2835.5,13.0,12.0,480.0,75.6,16.0,50.0,855.5062,0.41,-1.0,-1.0,0
1,67.0,351.0,32.0,3.0,96.0,2.0,50.6204,112.5183,141.0,0.0,3.0,8.0,9.0,2390.0,10.0,13.0,270.0,93.0,14.0,20.0,838.7761,0.38,-1.0,-1.0,0
2,192.0,281.0,41.0,5.0,52.0,5.0,35.3344,97.6783,118.0,1.0,5.0,7.0,3.0,1915.0,14.0,12.0,390.0,49.2,18.0,40.0,848.1824,0.46,-1.0,-1.0,0
3,278.0,189.0,19.0,2.0,71.0,6.0,27.9977,108.0342,151.0,0.0,4.0,6.0,6.0,2460.0,16.0,13.0,540.0,82.8,12.0,10.0,879.1473,0.33,-1.0,0.79,0
4,85.0,315.0,29.0,4.0,85.0,1.0,43.0479,101.4208,93.0,1.0,5.0,10.0,8.0,3045.0,12.0,12.0,450.0,69.0,15.0,60.0,859.5062,0.44,-1.0,-1.0,0
5,249.0,245.0,38.0,5.0,99.0,3.0,56.6204,115.5183,129.0,0.0,3.0,9.0,4.0,2750.0,11.0,13.0,630.0,96.0,11.0,80.0,821.7761,0.39,-1.0,-1.0,0
6,116.0,299.0,24.0,3.0,56.0,2.0,33.3344,95.6783,107.0,1.0,5.0,8.0,9.0,2235.0,15.0,12.0,510.0,58.5,17.0,30.0,841.1824,0.48,-1.0,-1.0,0
7,265.0,173.0,16.0,1.0,69.0,5.0,29.9977,109.0342,161.0,0.0,4.0,7.0,5.0,2610.0,14.0,13.0,600.0,90.0,13.0,40.0,867.1473,0.34,-1.0,0.8,0
8,156.0,329.0,31.0,4.0,92.0,1.0,46.0479,103.4208,99.0,1.0,5.0,11.0,7.0,2945.0,13.0,12.0,480.0,72.0,16.0,50.0,851.5062,0.42,-1.0,-1.0,0
9,221.0,267.0,36.0,5.0,82.0,4.0,54.6204,114.5183,139.0,0.0,3.0,10.0,6.0,3060.0,12.0,13.0,570.0,98.0,12.0,60.0,829.7761,0.4,-1.0,-1.0,0
10,219.0,181.0,11.0,5.0,69.0,2.0,39.5311,122.0833,94.0,1.0,5.0,9.0,3.0,1879.0,10.0,8.0,91.5,43.2,18.0,120.0,846.1538,0.41,-1.0,0.67,0
11,146.0,227.0,6.0,4.0,58.0,1.0,50.9414,114.0889,118.0,1.0,5.0,7.0,6.0,2211.0,8.0,10.0,67.2,30.6,14.0,80.0,853.4199,0.29,-1.0,0.81,0
12,261.0,191.0,16.0,1.0,93.0,5.0,45.635,122.5067,104.0,1.0,5.0,11.0,5.0,1587.0,14.0,9.0,51.0,24.0,10.0,60.0,839.0117,0.35,-1.0,0.73,0
13,179.0,262.0,13.0,3.0,76.0,8.0,49.2361,123.1194,96.0,1.0,5.0,10.0,8.0,2024.0,6.0,7.0,83.1,39.3,16.0,100.0,851.5108,0.42,-1.0,0.69,0
14,231.0,153.0,10.0,5.0,62.0,6.0,41.4264,122.0833,109.0,1.0,5.0,8.0,4.0,1792.0,11.0,8.0,60.0,28.5,12.0,70.0,848.622,0.33,-1.0,0.76,0
15,201.0,249.0,14.0,2.0,85.0,4.0,46.635,114.0889,99.0,1.0,5.0,9.0,7.0,2088.0,7.0,10.0,75.6,35.4,15.0,90.0,855.9033,0.39,-1.0,0.71,0
16,149.0,204.0,7.0,4.0,59.0,3.0,43.5311,122.0833,114.0,1.0,5.0,6.0,5.0,1953.0,9.0,9.0,58.5,27.3,11.0,65.0,845.5898,0.31,-1.0,0.77,0
17,278.0,185.0,15.0,1.0,91.0,7.0,48.9414,122.5067,105.0,1.0,5.0,12.0,9.0,2259.0,5.0,7.0,80.4,38.1,17.0,110.0,852.2969,0.43,-1.0,0.68,0
18,208.0,161.0,12.0,3.0,74.0,9.0,47.635,123.1194,92.0,1.0,5.0,10.0,6.0,2125.0,8.0,8.0,72.0,34.2,13.0,75.0,850.2969,0.37,-1.0,0.74,0
19,245.0,218.0,9.0,5.0,66.0,1.0,42.4264,122.0833,108.0,1.0,5.0,8.0,3.0,1842.0,12.0,9.0,63.0,29.7,14.0,85.0,849.3828,0.34,-1.0,0.75,0
20,140.0,298.0,25.0,4.0,67.0,3.0,10.3491,94.3823,151.0,1.0,4.0,9.0,7.0,2011.9,10.0,14.0,817.2,401.8,22.0,550.0,855.1234,0.24,-1.0,0.72,0
21,218.0,319.0,31.0,5.0,82.0,1.0,44.8821,101.9155,129.0,0.0,3.0,11.0,9.0,2789.5,8.0,13.0,351.9,192.1,19.0,420.0,819.2345,0.35,-1.0,0.65,0
22,35.0,267.0,42.0,3.0,59.0,6.0,28.4113,117.3519,186.0,1.0,2.0,7.0,6.0,3711.1,14.0,16.0,201.8,108.9,25.0,800.0,848.5678,0.28,-1.0,0.75,0
23,299.0,293.0,20.0,2.0,44.0,8.0,5.6789,109.1234,118.0,0.0,1.0,10.0,8.0,2456.7,12.0,12.0,1400.3,701.5,16.0,180.0,829.1234,0.32,-1.0,0.68,0
24,187.0,262.0,38.0,4.0,73.0,5.0,36.5432,95.6789,145.0,1.0,5.0,8.0,5.0,3011.9,11.0,15.0,501.2,260.1,20.0,380.0,839.9012,0.29,-1.0,0.71,0
25,122.0,309.0,29.0,5.0,85.0,2.0,49.2345,102.1234,139.0,0.0,4.0,9.0,4.0,2019.8,9.0,14.0,901.9,451.8,23.0,500.0,849.4567,0.33,-1.0,0.69,0
