,age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income,real_identifier
0,29,3,145678,8,10,4,9,1,4,1,0,0,42,39,0,0
1,47,4,133456,10,11,2,7,0,4,0,0,0,38,39,1,0
2,36,1,256789,3,8,5,1,4,2,0,0,0,41,39,0,0
3,25,6,278900,11,9,4,6,3,4,1,0,0,39,39,0,0
4,58,7,150000,14,10,2,12,0,4,1,0,0,42,39,1,0
5,23,4,120000,11,9,4,2,1,4,1,0,0,40,39,0,0
6,52,4,115000,9,13,0,5,4,4,0,0,0,48,39,0,0
7,43,2,180000,11,9,5,7,4,2,0,0,0,39,39,0,0
8,65,4,210000,11,9,4,2,1,4,1,0,0,41,39,0,0
9,38,4,110000,1,7,2,3,0,4,1,0,0,44,26,0,0
10,34,4,162000,10,9,2,3,0,4,1,0,0,38,39,0,0
11,29,4,210000,11,9,4,12,3,4,0,0,0,40,39,0,0
12,45,4,130000,15,10,0,13,4,2,0,0,0,50,39,1,0
13,52,4,178000,8,11,5,7,1,4,1,0,0,42,39,0,0
14,38,4,190000,11,9,2,3,0,4,1,0,1000,45,39,1,0
15,28,4,120000,2,8,4,12,3,4,0,0,0,35,39,0,0
16,48,4,135000,11,9,0,10,4,0,0,0,0,40,39,0,0
17,39,4,145000,15,10,2,4,0,4,1,0,0,50,39,1,0
18,53,4,160000,10,16,5,7,1,4,1,0,0,60,39,1,0
19,31,4,170000,11,9,4,12,3,1,0,0,0,40,39,0,0
20,30,4,123456,11,9,2,7,0,4,1,0,0,40,39,0,0
21,25,0,250000,9,13,2,0,5,4,0,0,1800,38,39,1,0
22,22,4,100000,15,10,4,1,1,4,0,0,0,25,39,0,0
23,65,4,320000,15,10,2,12,0,4,1,0,0,28,39,0,0
24,37,6,180000,11,9,4,12,4,2,0,0,0,45,39,0,0
25,43,4,290000,9,13,0,4,4,4,0,0,0,39,39,0,0
26,46,4,35000,15,10,2,4,0,4,1,7000,0,42,39,1,0
27,19,0,200000,11,9,4,0,3,4,0,0,0,36,39,0,0
28,48,4,185000,15,10,2,13,0,4,1,0,0,58,39,0,0
29,43,4,195000,11,9,3,7,4,4,0,0,0,41,39,0,0
30,36,5,220000,10,10,2,9,0,4,1,0,0,42,39,0,0
31,38,3,170000,11,9,2,8,0,4,1,0,0,39,39,0,0
32,48,4,180000,9,14,2,8,0,4,1,0,0,41,39,0,0
33,40,6,195000,13,15,2,10,0,4,1,14000,0,52,39,1,0
34,51,4,175000,11,9,0,11,1,4,1,0,0,58,39,0,0
35,20,6,210000,12,9,4,13,3,4,1,0,0,22,39,0,0
36,62,2,115000,9,13,6,1,4,1,0,0,0,36,30,0,0
37,43,4,250000,11,9,2,7,0,4,1,4000,0,49,39,1,0
38,23,1,35000,15,11,4,0,3,4,0,0,0,18,39,0,0
39,17,4,440000,2,7,4,12,3,4,0,0,0,10,26,0,0
40,29,4,210123,10,10,4,8,1,4,1,0,0,40,39,0,0
41,45,4,312345,14,11,2,11,0,4,1,0,0,55,39,0,0
42,70,0,50000,5,4,2,0,0,4,1,0,0,30,39,0,0
43,20,4,400000,15,10,4,5,1,2,1,0,0,35,39,0,0
44,60,4,310000,15,10,2,13,0,4,1,0,2000,20,39,1,0
45,35,6,190000,9,13,0,3,4,1,1,0,0,45,20,0,0
46,42,4,140000,7,12,2,13,0,4,1,0,0,70,39,1,0
47,28,4,105000,11,9,4,12,3,2,1,0,0,38,39,0,0
48,26,5,125000,6,5,4,3,3,4,1,0,0,42,39,0,0
49,72,4,240000,15,10,2,14,0,4,1,0,0,15,39,0,0
50,34,4,172340,10,10,1,7,2,4,0,0,0,37,39,0,0
51,27,3,120567,14,11,4,5,1,4,1,0,0,36,39,0,0
52,45,2,276120,12,14,4,9,1,4,1,0,0,42,39,0,0
53,39,4,59000,9,13,2,4,0,4,1,0,0,48,39,1,0
54,36,4,185000,8,11,2,3,5,4,0,0,0,43,39,0,0
55,46,6,148000,11,9,2,3,0,4,1,0,0,36,39,0,0
56,51,4,190000,1,7,2,14,0,4,1,0,0,39,39,0,0
57,55,4,450000,1,7,0,12,1,4,0,0,0,41,39,0,0
58,52,4,310000,13,1,4,8,1,4,0,0,0,16,8,0,0
59,58,4,180000,11,9,2,6,0,4,1,0,0,44,39,0,0
60,46,3,210000,10,12,2,5,0,4,1,0,0,42,39,1,0
61,40,4,120000,12,9,2,6,0,4,1,0,0,38,39,0,0
62,53,4,200000,4,3,6,2,1,4,1,0,0,37,26,0,0
63,49,2,290000,8,11,2,11,0,4,1,0,1500,41,39,1,0
64,18,4,320000,5,5,4,8,3,4,1,0,0,30,26,0,0
65,60,4,195000,13,14,2,9,5,4,0,0,0,12,39,0,0
66,35,4,260000,2,8,4,12,2,4,0,0,0,42,26,0,0
67,47,2,150000,9,13,0,10,4,4,0,0,0,58,39,0,0
68,21,4,42000,15,10,4,1,1,4,0,0,0,27,39,0,0
69,44,4,230000,8,11,2,3,0,4,1,0,0,39,39,1,0
70,25,4,234567,10,12,4,5,1,4,0,0,0,45,39,0,0
71,32,4,178234,15,10,0,6,4,4,1,0,0,38,39,1,0
72,38,4,190123,11,9,2,14,0,2,1,0,1500,42,39,0,0
73,45,4,199876,11,9,4,1,4,4,0,0,0,55,39,0,0
74,39,4,256789,10,10,2,7,0,4,1,0,0,58,39,1,0
75,42,4,120345,11,9,2,14,0,4,1,0,0,37,39,0,0
76,50,4,210987,11,9,2,3,0,4,1,0,0,39,39,0,0
77,30,4,208765,9,13,2,12,0,4,1,0,1800,47,39,1,0
78,55,4,220123,11,9,2,12,0,4,1,0,0,34,39,1,0
79,47,5,52345,9,13,2,4,0,4,1,0,0,62,39,1,0
80,30,3,145678,10,11,4,5,2,4,0,0,0,38,39,0,0
81,42,4,102345,8,12,2,9,0,4,1,0,1500,42,39,1,0
82,29,5,178234,6,10,4,2,3,4,0,0,0,45,39,0,0
83,37,4,120456,11,9,2,1,0,4,1,0,2000,40,39,1,0
84,27,3,156789,2,8,4,4,4,4,0,500,0,37,39,0,0
85,33,4,134567,10,11,2,3,0,4,1,0,1800,39,39,1,0
86,46,2,98765,12,14,0,10,4,4,0,0,0,40,39,0,0
87,51,4,27432,9,13,2,10,0,4,1,0,0,30,39,0,0
88,52,4,213296,15,10,2,3,0,4,1,0,0,48,39,1,0
89,60,4,119684,11,9,2,8,0,4,1,0,0,50,39,0,0
90,50,3,182345,10,11,2,4,0,4,1,0,0,38,39,0,0
91,45,5,205678,8,12,0,9,4,4,0,0,0,42,39,0,0
92,24,4,160000,14,10,4,7,3,4,1,0,0,30,39,0,0
93,60,6,50000,11,9,2,5,0,4,1,0,0,45,39,0,0
94,38,4,290000,15,10,0,2,1,4,0,0,0,35,39,0,0
95,23,4,185000,15,10,4,8,3,4,1,0,0,38,39,0,0
96,33,6,115000,15,10,2,3,0,4,1,0,0,48,39,0,0
97,50,4,160000,11,9,2,10,0,4,1,0,0,40,39,1,0
98,56,4,230000,9,13,2,4,0,4,1,0,0,38,39,0,0
99,42,7,112000,12,14,2,4,5,2,0,0,0,40,39,0,0
100,34,6,276789,10,10,2,2,4,3,0,0,0,45,39,0,0
101,22,4,145678,11,9,4,7,3,4,1,0,0,38,39,0,0
102,29,7,119876,9,11,0,4,5,4,0,0,0,50,39,0,0
103,55,5,48765,11,9,2,1,5,4,0,0,0,32,39,0,0
104,21,4,210345,11,9,4,8,3,4,0,0,0,35,39,0,0
105,19,4,320876,2,8,4,8,2,2,1,0,0,25,39,0,0
106,41,4,310987,11,9,2,12,0,4,1,0,0,55,39,0,0
107,31,4,107654,11,9,4,11,1,4,1,0,0,85,39,0,0
108,45,4,199876,11,9,4,13,2,4,1,0,0,42,39,0,0
109,39,4,163210,11,9,0,14,1,4,1,0,0,41,39,0,0
110,37,5,190234,10,9,2,4,0,4,1,0,0,42,39,0,0
111,50,6,243001,11,9,2,3,0,4,1,0,0,58,39,0,0
112,41,2,172345,8,11,4,1,1,4,0,0,0,36,39,0,0
