target,petal length (cm),sepal length (cm),petal width (cm),sepal width (cm)
1,4.4,4.9,1.6,2.4
0,1.4,4.6,0.2,3.4
2,5.6,6.4,2.2,2.8
0,1.5,5.0,0.2,3.4
0,1.4,4.6,0.3,3.4
1,1.9,5.0,0.4,3.2
1,4.4,5.5,1.4,4.2
1,4.5,6.0,1.5,3.0
1,4.7,6.1,1.4,2.9
0,1.6,4.8,0.2,3.0
2,5.1,5.8,1.9,2.7
2,5.8,7.7,2.2,3.8
0,1.5,5.0,0.3,3.4
1,3.6,5.6,1.0,2.9
2,5.8,7.2,2.2,3.7
2,6.5,7.7,2.2,3.0
0,1.5,5.0,0.2,3.5
0,1.4,5.0,0.2,3.6
2,6.7,7.7,2.2,3.0
0,1.4,5.5,0.2,4.2
0,1.7,4.9,0.4,3.1
1,4.4,6.5,1.4,3.1
2,5.7,6.9,2.3,3.2
2,5.6,6.3,2.4,2.9
0,1.3,4.8,0.2,3.4
0,1.6,5.1,0.2,3.5
2,6.1,7.2,2.5,3.6
2,5.6,6.3,2.0,2.9
2,5.6,6.3,2.4,3.3
0,1.5,5.0,0.2,3.5
