AverageMInFile,NumSatisfactoryTrades,ExternalRiskEstimate,MSinceOldestTradeOpen,MSinceMostRecentTradeOpen,PercentTradesWBalance,NumBank2NatlTradesWHighUtilization,MaxDelqEver,NumTrades90Ever2DerogPubRec,NumTrades60Ever2DerogPubRec,MaxDelq2PublicRecLast12M,NumInqLast6M,MSinceMostRecentInqexcl7days,NumTradesOpeninLast12M,MSinceMostRecentDelq,PercentInstallTrades,NetFractionInstallBurden,NumInqLast6Mexcl7days,NetFractionRevolvingBurden,PercentTradesNeverDelq,NumRevolvingTradesWBalance,NumInstallTradesWBalance,NumTotalTrades,RiskPerformance
94,25,71,200,23,44,0,6,0,0,4,0,8,0,5,36,14,0,3,71,2,2,28,0
86,18,81,216,2,33,0,8,0,0,7,1,0,3,-7,32,-8,1,31,100,1,1,19,1
80,18,77,159,4,89,1,8,0,0,7,0,0,2,-7,22,77,0,26,100,4,3,18,1
68,30,65,134,6,85,1,6,0,0,4,1,4,2,9,59,81,1,34,97,7,6,31,0
91,20,78,205,7,75,0,6,0,0,6,1,0,2,73,45,74,1,23,95,2,3,20,1
75,38,66,174,1,75,3,8,0,0,7,6,-7,5,-7,40,60,6,77,100,4,8,40,1
79,25,79,246,5,90,0,8,0,0,7,0,0,1,-7,67,91,0,30,100,2,5,27,0
21,2,57,21,21,100,-8,4,1,1,4,0,0,0,6,100,-8,0,-8,50,-8,1,3,0
73,24,66,176,2,100,2,6,0,0,6,3,0,6,54,60,97,3,61,96,4,4,25,0
70,10,79,156,17,60,1,8,0,0,7,1,0,0,-7,30,-8,1,45,100,2,1,10,0
51,13,80,132,3,100,0,6,0,0,6,4,1,1,-8,46,77,4,2,92,1,3,13,0
39,14,72,74,8,75,-8,6,0,0,6,2,-7,1,18,64,92,1,7,86,2,1,14,0
60,35,67,279,5,100,-8,8,0,0,7,2,2,4,-7,43,90,2,93,100,1,4,36,1
61,18,81,169,7,100,0,8,0,0,7,1,0,1,-7,56,81,1,29,100,6,4,18,0
63,18,88,169,9,43,0,8,0,0,7,2,0,1,-7,39,-8,2,1,100,2,1,18,1
76,16,74,186,5,71,1,8,0,0,7,2,0,1,-7,44,39,2,83,100,2,3,16,1
-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,0
58,21,82,418,9,29,0,8,0,0,7,2,1,1,-7,24,-8,2,5,100,1,1,37,1
17,13,66,47,2,57,1,8,0,0,7,4,0,6,-7,21,90,4,33,100,3,2,16,1
85,26,81,205,5,53,0,8,0,0,7,1,4,2,-7,32,86,1,18,100,4,3,28,1
62,31,76,137,3,36,0,3,1,1,6,0,0,5,13,36,-8,0,9,91,4,1,33,0
123,17,91,278,29,63,0,8,0,0,7,0,-8,0,-7,32,-8,0,1,100,4,1,19,1
