,input1,input2,input3,input4,input5,input6,input7,input8,input9,input10,input11,input12,input13,input14,input15,input16,class,real_identifier
0,91,69,31,82,46,95,39,49,75,19,88,14,58,8,100,0,9,0
1,0,93,26,98,55,89,42,44,9,16,24,10,62,5,100,0,2,0
2,0,96,51,99,99,100,95,59,86,11,71,0,49,20,100,25,7,0
3,8,86,15,56,34,16,5,0,0,48,9,87,55,96,100,100,5,0
4,15,61,65,81,100,100,91,88,65,66,52,43,27,22,0,0,1,0
5,0,79,48,100,91,80,74,39,48,0,37,4,31,34,100,38,7,0
6,44,100,43,80,20,54,0,25,62,26,95,42,90,28,100,0,4,0
7,5,60,22,100,43,82,24,40,0,10,35,5,68,4,100,0,2,0
8,67,100,38,69,0,40,32,34,93,39,100,56,82,37,72,0,4,0
9,49,86,74,100,85,86,84,62,100,38,79,13,41,0,0,4,3,0
10,95,85,70,92,98,89,71,51,39,29,98,41,49,9,0,0,8,0
11,19,67,62,83,99,98,80,85,83,59,79,35,58,4,0,0,1,0
12,42,98,19,86,6,56,0,24,51,8,97,24,46,25,24,0,6,0
13,0,94,12,99,59,92,99,90,74,68,48,46,38,19,43,0,7,0
14,11,80,55,99,99,93,65,67,79,55,98,33,55,8,0,0,3,0
15,99,73,76,99,45,82,83,79,93,54,89,19,48,0,0,8,9,0
16,99,99,48,94,13,63,0,28,44,0,96,20,56,32,37,3,6,0
17,44,72,61,99,99,86,79,47,38,21,0,5,50,4,98,0,2,0
18,0,58,25,65,63,82,99,99,89,78,70,53,54,27,45,0,1,0
19,3,77,39,99,58,98,60,62,48,26,0,0,35,6,99,9,1,0
20,43,82,49,93,58,90,51,55,72,34,89,29,58,11,3,5,4,0
21,19,78,36,91,69,83,49,52,65,28,85,25,55,8,2,4,3,0
22,56,88,62,96,51,86,44,61,78,41,92,32,59,6,1,3,5,0
23,31,80,45,94,62,88,53,58,73,36,87,27,56,9,4,6,4,0
24,48,85,53,95,55,89,48,59,75,38,90,30,57,7,2,5,4,0
25,22,79,41,92,66,84,50,54,69,31,84,26,54,8,3,4,3,0
26,51,87,59,96,50,86,43,60,76,40,91,31,58,6,1,3,5,0
27,34,81,46,93,61,87,52,56,71,35,86,27,55,9,4,6,4,0
28,45,84,51,94,53,88,46,57,73,37,89,29,56,7,2,5,4,0
29,25,78,42,91,65,83,49,53,67,30,85,26,54,8,3,4,3,0
30,67,98,51,93,42,69,36,29,58,18,82,46,89,27,96,19,3,0
31,55,92,62,85,70,59,49,41,74,28,91,39,52,31,88,22,5,0
32,94,100,49,92,35,76,53,45,61,24,85,42,98,18,95,13,4,0
33,79,99,58,89,46,67,39,33,69,20,89,50,93,25,92,16,7,0
34,48,91,65,96,59,73,44,38,79,26,92,44,88,22,99,15,6,0
35,61,97,54,94,51,71,47,43,72,25,88,49,91,28,94,20,3,0
36,86,100,56,90,44,75,51,46,68,27,86,48,96,24,97,18,5,0
37,70,98,60,95,55,72,42,39,76,23,90,45,94,26,96,19,4,0
38,59,96,63,91,58,74,46,42,78,25,93,47,92,29,98,21,7,0
39,83,100,52,93,43,77,48,44,70,26,89,50,97,27,99,20,6,0
40,80,95,55,85,35,90,60,50,20,10,80,40,55,85,95,70,3,0
41,45,90,40,95,60,85,55,45,30,20,90,50,60,90,80,55,2,0
42,90,85,60,90,50,80,65,55,40,30,85,55,65,80,90,60,5,0
43,60,80,50,85,55,90,60,50,35,25,80,50,55,85,90,65,4,0
44,85,90,65,95,60,85,55,45,30,20,90,55,60,90,85,60,6,0
45,50,85,55,90,65,80,60,50,35,25,85,55,60,85,90,65,1,0
46,80,95,60,90,50,85,65,55,40,30,90,60,65,85,95,70,0,0
47,65,85,55,90,60,80,55,45,30,20,85,50,60,85,90,65,3,0
48,90,90,65,95,60,85,60,50,35,25,90,55,65,90,85,65,2,0
49,55,80,50,85,55,90,60,50,35,25,85,50,60,85,90,65,5,0
50,81,68,71,91,43,66,59,46,85,28,76,41,88,25,31,93,8,0
51,49,85,19,69,91,51,73,34,92,22,93,58,44,96,19,71,4,0
52,63,79,96,87,49,82,67,49,80,35,69,39,95,20,46,84,8,0
53,72,93,13,83,58,45,80,43,89,26,82,51,46,98,39,65,4,0
54,58,76,92,79,93,70,74,39,81,29,85,43,50,24,52,89,8,0
55,41,91,18,75,55,48,85,41,94,25,80,53,49,97,23,73,4,0
56,69,82,95,89,51,83,76,46,86,30,79,44,48,26,49,87,8,0
57,54,88,14,81,60,50,82,42,90,27,83,52,47,99,37,69,4,0
58,62,78,97,84,94,72,75,40,84,28,81,45,51,23,50,90,8,0
59,46,89,17,78,56,53,84,44,91,26,84,54,46,98,36,72,4,0
60,44,67,85,29,93,11,49,74,35,98,13,81,26,48,60,22,7,0
61,96,19,46,85,17,94,67,23,76,39,88,51,95,11,42,80,1,0
62,13,82,38,49,91,46,19,93,14,79,55,28,89,62,34,41,6,0
63,75,48,92,13,84,25,96,59,47,22,86,69,11,97,53,36,4,0
64,29,61,98,76,42,13,85,31,94,56,24,83,49,15,92,68,3,0
65,58,95,21,89,48,76,12,67,39,91,46,25,88,59,18,44,6,0
66,85,39,93,47,19,82,96,55,23,78,49,13,91,65,38,51,5,0
67,49,71,15,93,83,48,26,89,56,19,96,62,41,33,98,11,2,0
68,67,92,49,18,96,55,85,42,79,13,91,46,27,88,59,34,9,0
69,41,19,96,82,49,13,67,55,85,42,79,27,91,46,34,98,0,0
70,41,91,56,92,31,61,25,51,19,42,72,34,59,11,85,4,3,0
71,85,99,69,89,41,51,11,29,64,1,96,22,44,32,49,9,6,0
72,27,86,52,96,59,79,36,45,5,31,67,39,53,16,92,2,2,0
73,94,95,62,91,25,58,9,35,75,0,99,19,42,30,44,12,9,0
74,17,81,48,98,67,93,43,59,10,50,78,30,55,8,0,18,5,0
