,Col 1,Col 2,Col 3,Col 4,Col 5,Col 6,Col 7,Col 8,Col 9,Col 10,Col 11,Col 12,Col 13,Col 14,Col 15,target,Col 16,Col 17,Col 18,Col 19,Col 20,Col 21,Col 22,Col 23,real_identifier
0,158.0,294.0,36.0,3.0,72.0,1.0,12.3412,-93.1245,145.0,1.0,4.0,7.0,2.0,2891.7,11.0,10.0,532.0,213.0,22.0,810.0,824.3571,-1.0,-1.0,-1.0,0
1,312.0,307.0,48.0,6.0,53.0,6.0,29.8742,-104.6789,102.0,2.0,5.0,5.0,7.0,4123.0,8.0,14.0,18.0,12.3,-1.0,140.0,902.1234,0.22,-1.0,-1.0,0
2,89.0,145.0,18.0,2.0,38.0,3.0,-3.1245,112.4567,29.0,0.0,3.0,4.0,0.0,742.5,14.0,9.0,410.3,82.0,28.0,420.0,850.6789,-1.0,-1.0,0.72,0
3,214.0,368.0,33.0,2.0,95.0,0.0,54.3214,89.0123,168.0,1.0,3.0,3.0,4.0,987.2,9.0,12.0,230.0,145.0,29.0,270.0,-1.0,-1.0,-1.0,0.68,0
4,384.0,241.0,8.0,6.0,108.0,8.0,68.9876,-132.4567,58.0,1.0,5.0,2.0,9.0,312.6,10.0,7.0,115.0,68.0,-1.0,3.0,845.3214,0.35,-1.0,-1.0,0
5,92.0,337.0,18.0,2.0,67.0,2.0,4.5678,115.8901,132.0,1.0,2.0,6.0,3.0,1450.0,13.0,13.0,2500.0,105.0,24.0,980.0,876.5432,0.27,-1.0,-1.0,0
6,198.0,51.0,48.0,6.0,45.0,5.0,35.4321,-115.6789,108.0,2.0,5.0,7.0,12.0,489.3,15.0,15.0,176.0,43.2,35.0,2150.0,958.4321,0.13,-1.0,-1.0,0
7,345.0,289.0,36.0,3.0,82.0,0.0,62.1098,74.321,172.0,1.0,1.0,2.0,3.0,1012.8,7.0,11.0,195.0,128.0,27.0,310.0,-1.0,-1.0,-1.0,0.69,0
8,73.0,89.0,48.0,6.0,112.0,10.0,47.8901,-118.9012,97.0,1.0,5.0,6.0,1.0,610.0,7.0,11.0,13.2,4.5,-1.0,105.0,837.4567,0.31,-1.0,-1.0,0
9,283.0,264.0,8.0,6.0,117.0,9.0,64.1234,-128.9012,63.0,1.0,5.0,2.0,10.0,338.4,9.0,3.0,125.0,71.0,-1.0,5.0,834.8083,0.42,-1.0,-1.0,0
10,210.0,298.0,37.0,0.0,58.0,3.0,41.2364,18.3331,27.0,0.0,4.0,3.0,5.0,3105.0,9.0,7.0,180.0,132.0,25.0,4.0,876.4321,0.38,-1.0,-1.0,0
11,175.0,320.0,43.0,1.0,67.0,5.0,54.8912,2.4567,38.0,0.0,3.0,1.0,7.0,2980.0,10.0,3.0,205.0,150.0,17.0,8.0,834.1234,0.45,-1.0,-1.0,0
12,98.0,215.0,51.0,6.0,72.0,0.0,46.7891,-106.453,25.0,1.0,5.0,3.0,4.0,1520.0,19.0,8.0,22.8,7.6,9.0,0.6,889.5678,0.42,-1.0,-1.0,0
13,300.0,230.0,14.0,0.0,42.0,8.0,29.1234,34.7891,72.0,0.0,5.0,6.0,7.0,2750.0,22.0,10.0,240.0,200.0,-1.0,55.0,858.3456,0.25,-1.0,-1.0,0
14,145.0,130.0,18.0,0.0,34.0,2.0,-4.1234,10.9876,190.0,0.0,5.0,5.0,9.0,1700.0,8.0,12.0,15.2,11.3,31.0,1600.0,844.7761,0.41,-1.0,-1.0,0
