fork,freemem,lread,freeswap,swrite,runqsz,sread,lwrite,target,scall,wchar,exec,rchar
0.6,858,2,1045381,129,1.2,216,1,87,2118,45200,0.6,43945
0.2,8309,0,1866323,17,1.0,20,0,99,139,51692,0.2,7001
0.2,5789,3,1873443,24,1.2,32,1,96,261,4533,0.2,91479
0.2,506,0,1708285,19,1.0,8,0,98,161,9648,0.2,431
3.0,1069,6,1749928,375,2.6,485,0,69,4839,509016,1.8,563275
0.2,631,1,1745672,44,1.4,81,0,94,858,54489,0.2,142690
0.2,612,1,1069582,73,1.0,134,0,93,1604,140980,0.2,106467
0.2,744,1,1064709,83,1.0,109,0,93,925,50530,0.2,94965
1.4,233,3,1395208,187,3.6,235,0,89,3909,82599,2.8,342637
1.4,1142,3,1713112,134,3.2,136,0,88,2048,103794,0.8,114768
0.2,1214,0,1720376,51,1.0,51,0,96,767,17892,0.0,17463
1.2,634,3,1099238,76,1.7,113,0,91,1299,78853,1.0,115563
0.4,634,2,1035160,92,2.8,155,0,93,1578,55972,0.4,96736
0.4,566,1,1014874,98,2.8,176,0,91,1723,22682,0.4,253437
0.6,722,1,1039313,106,1.7,128,0,93,918,74467,0.6,34377
0.2,87,0,1833008,24,1.2,12,0,97,262,8928,0.2,4048
4.0,231,8,1082136,514,3.0,518,2,78,4239,122743,1.6,549677
0.2,704,0,1760453,53,1.2,59,0,97,1190,6266,0.2,168812
3.8,5274,6,1815674,69,2.0,88,2,88,879,64718,4.6,165966
0.2,1346,1,1025342,62,1.0,126,0,96,1657,29424,0.2,23110
0.4,713,22,973162,139,2.0,197,31,89,2072,69270,0.6,51672
0.2,1230,1,1547166,81,4.0,104,0,93,2039,28785,0.2,70731
0.2,6073,10,1725290,50,2.2,82,5,94,925,45128,0.2,287416
0.2,542,1,1751064,54,2.0,75,0,96,1750,70714,0.2,172593
0.2,1759,1,1054962,112,1.8,148,0,95,2319,62003,0.0,122672
0.4,611,2,1759602,79,2.8,121,0,88,2396,21262,1.8,231102
0.4,8188,2,1856600,56,1.0,109,1,93,1499,208527,0.4,241650
0.4,6381,1,1869177,55,1.2,113,1,94,1061,48291,0.4,288067
0.2,832,0,1757272,46,1.0,72,0,97,903,55924,0.2,82560
1.0,534,2,1103565,187,1.3,446,0,84,5673,136958,1.0,234829
0.2,1754,1,1750994,20,1.0,42,0,97,819,13554,0.2,115758
0.4,8331,0,1861400,37,1.2,71,0,95,1333,7970,0.4,3470
0.6,725,1,1056115,124,1.8,163,0,94,1163,34115,1.8,15350
1.0,598,18,1627800,72,4.6,102,10,90,1414,93075,1.0,456209
1.2,7188,2,1864954,36,1.2,41,1,96,669,8554,1.2,51753
0.6,143,1,986381,90,1.0,123,1,93,1374,61541,0.6,10411
0.0,1056,2,1018482,129,2.0,213,0,88,2788,66844,0.8,144720
0.2,810,1,1716182,43,2.0,113,0,96,1624,142273,0.2,85931
0.2,635,1,1061306,91,1.0,135,1,94,1285,73396,0.2,11989
0.6,133,2,1045774,125,1.7,179,0,90,2823,63696,3.2,94589
2.0,1086,7,1547301,198,2.8,288,1,85,3937,128978,2.2,105768
1.8,566,7,1091918,81,2.0,116,5,93,1426,32016,3.0,50442
0.6,615,8,1065205,137,2.0,201,1,89,2937,47319,0.0,103492
1.8,472,3,968140,138,2.5,268,0,90,3265,54469,8.0,289731
0.6,594,14,1004853,109,1.0,131,12,92,2527,71562,0.8,131696
0.8,1510,4,1708427,129,2.0,171,1,89,1469,145890,3.6,62387
0.4,150,1,1069808,166,1.0,168,0,90,3247,48502,0.4,113482
0.4,1215,10,1544346,111,2.2,170,8,95,2091,51150,0.4,157851
0.4,766,1,1753614,68,1.2,54,0,94,1443,13377,0.4,3735
0.2,139,0,1710862,44,2.0,47,0,92,796,145920,0.2,57499
0.2,635,0,1709706,35,2.0,52,0,95,781,11363,0.2,446
0.2,1552,9,1695318,92,2.2,135,7,97,1092,34394,0.2,9981
0.2,464,3,1045778,73,2.5,140,0,91,4078,51961,0.2,258900
2.0,90,6,13,105,4.0,116,1,91,1532,55919,1.8,214929
0.2,152,3,1025342,124,1.0,146,2,96,1773,9078,0.2,81341
8.58,734,8,1094760,516,1.0,566,1,63,5300,88904,2.0,142339
0.2,687,1,1020677,446,1.0,638,0,89,4658,81487,0.2,167063
0.2,848,0,1102157,46,1.3,91,0,97,943,26325,0.2,86970
0.0,735,2,1038767,106,2.6,104,0,95,1036,18057,0.4,82726
0.6,1187,26,1522802,69,3.2,108,37,92,1228,75536,0.6,135947
6.2,533,8,1099117,458,1.0,551,0,77,3777,387867,2.2,309747
0.8,286,2,1377794,194,2.8,270,0,80,2963,96562,0.8,114963
0.6,534,1,1114567,107,1.0,123,0,92,1798,71611,1.2,87931
