input12,input9,input14,input13,input11,input5,input8,input15,input7,input16,input1,input2,target,input4,input6,input10,input3
12,100,0,50,97,47,85,0,74,11,61,91,9,100,74,51,29
60,84,29,88,100,0,37,86,27,0,39,100,4,77,47,36,21
18,43,43,61,100,12,25,0,0,29,93,100,6,89,59,0,48
55,100,32,49,98,0,32,25,43,0,18,100,4,87,54,46,18
100,100,90,25,72,34,17,14,84,45,4,76,0,33,0,61,0
60,0,100,100,49,78,0,39,57,90,59,83,8,70,30,23,40
23,73,3,84,78,89,74,100,76,0,0,71,1,94,100,49,71
16,0,15,52,4,63,31,100,36,17,33,75,2,100,71,0,51
53,96,26,67,81,62,100,58,100,0,0,49,1,58,79,79,25
71,8,88,43,0,54,0,100,39,90,11,100,5,67,32,29,24
64,84,100,87,100,0,0,35,41,97,11,90,0,57,19,27,1
12,75,34,46,37,83,38,100,80,44,0,84,7,100,77,0,48
0,35,35,58,61,100,43,0,75,66,10,63,8,100,85,6,43
0,55,31,20,42,100,63,68,74,36,0,100,7,97,91,29,50
68,0,40,73,73,100,82,51,30,0,60,62,9,72,100,54,92
17,45,26,53,100,0,32,19,2,0,76,100,6,96,66,9,28
32,66,0,54,100,30,60,0,20,17,14,96,5,100,99,61,77
68,0,100,100,50,61,0,56,5,96,38,96,8,57,16,36,40
8,80,1,36,72,64,68,0,59,0,90,85,5,100,97,38,100
18,60,0,56,100,79,56,12,46,6,0,82,3,100,84,38,38
37,36,7,64,100,94,81,0,34,0,29,87,5,100,98,45,92
13,100,0,51,99,81,56,0,58,2,33,100,3,95,73,38,84
15,67,0,42,100,98,62,0,63,17,17,64,3,100,94,49,38
2,42,1,46,0,42,52,100,42,0,24,64,1,100,92,13,42
59,82,34,87,100,0,29,73,0,0,41,100,4,78,45,31,30
23,37,45,18,7,84,36,100,68,52,0,83,7,100,74,0,32
75,41,100,60,73,100,4,0,52,83,51,69,8,37,0,41,74
54,0,94,50,26,67,0,100,37,100,36,82,5,63,33,12,32
72,100,36,49,71,0,43,35,61,0,15,100,4,84,48,59,11
60,100,30,80,98,2,39,71,77,0,19,100,4,71,43,58,0
23,82,2,56,100,16,73,2,66,0,50,100,9,89,62,60,0
61,87,32,69,100,0,23,54,39,0,58,100,4,78,47,34,21
64,100,32,77,85,0,34,80,50,0,53,100,4,70,39,42,25
75,97,97,56,100,5,0,17,55,68,26,100,0,58,11,28,0
100,100,88,27,65,60,31,0,92,51,19,59,0,8,0,78,22
32,27,28,50,0,66,24,100,59,24,8,92,7,100,67,0,37
24,59,0,71,100,62,52,28,41,16,0,76,3,100,85,47,23
84,100,42,56,73,0,53,42,53,0,74,100,4,79,49,62,38
0,100,25,68,95,65,76,91,92,35,0,91,7,100,97,38,32
50,68,25,52,56,100,98,54,94,0,0,97,7,99,100,75,44
8,100,0,32,70,73,51,0,77,9,55,93,3,100,72,28,81
9,92,0,36,78,32,62,0,54,16,100,100,5,97,73,46,56
41,42,20,8,19,100,80,0,65,0,54,73,1,92,100,61,92
19,34,33,45,17,63,40,100,61,39,0,100,7,99,82,0,14
51,93,26,37,63,31,75,11,100,0,59,100,4,79,64,76,0
25,24,46,96,100,82,26,0,40,47,5,99,7,100,62,0,85
0,0,23,57,32,34,48,22,10,40,100,100,6,98,75,17,66
55,96,37,91,100,0,24,86,17,0,52,100,4,69,35,26,32
42,74,79,81,100,0,0,36,26,99,37,100,0,72,33,7,11
48,11,79,41,0,59,0,100,49,93,20,100,5,54,38,4,6
44,97,12,61,100,12,74,0,74,0,97,85,9,100,78,86,53
1,45,40,38,50,100,32,0,76,65,42,85,8,100,68,0,85
32,29,45,38,3,73,35,100,50,41,0,86,7,100,70,0,55
8,35,43,78,100,22,30,16,0,59,75,94,6,100,67,0,62
18,42,42,72,100,6,25,19,0,21,73,100,6,93,61,0,35
13,76,0,36,90,20,43,0,22,24,100,86,5,100,78,47,63
0,74,23,18,54,100,64,66,91,29,0,100,7,93,93,31,50
39,100,6,58,94,17,75,0,75,0,87,86,9,100,70,80,46
28,70,0,42,82,0,68,1,18,7,100,95,5,99,100,65,52
62,0,95,94,55,100,0,22,20,100,25,89,8,55,21,30,65
43,74,34,21,100,3,21,19,0,0,94,100,6,94,58,14,35
53,100,28,38,83,0,27,6,45,0,56,100,4,77,46,42,17
16,46,40,52,84,30,25,0,19,46,100,100,6,83,56,0,58
39,91,44,41,100,45,13,0,39,11,70,100,6,97,57,0,72
35,67,17,100,97,0,55,93,31,0,22,100,4,84,67,47,2
66,0,100,100,74,62,0,5,5,89,21,87,8,52,13,36,33
32,63,0,60,100,37,67,0,21,18,10,94,5,100,97,60,84
0,70,25,30,55,100,60,82,95,23,0,96,7,100,94,27,50
77,100,38,63,71,19,41,61,91,0,38,100,4,71,44,58,0
53,67,36,77,100,7,32,53,0,0,80,100,4,63,35,34,52
9,83,0,32,63,52,47,0,54,0,100,95,5,100,80,33,75
