,height,length,area,eccen,p_black,p_and,mean_tr,blackpix,blackand,wb_trans,class,real_identifier
0,6.0,72.0,432.0,12.0,0.221,0.75,1.5,95.0,324.0,83.0,1.0,0
1,11.0,245.0,2695.0,22.273,0.25,0.778,1.98,674.0,2068.0,370.0,1.0,0
2,3.0,19.0,57.0,6.333,0.368,0.965,3.0,21.0,54.0,5.0,1.0,0
3,12.0,230.0,2760.0,19.167,0.31,0.844,4.1,855.0,2316.0,324.0,1.0,0
4,4.0,22.0,88.0,5.5,0.455,0.932,2.1,40.0,83.0,10.0,1.0,0
5,9.0,88.0,792.0,9.778,0.272,0.817,1.9,214.0,647.0,116.0,1.0,0
6,7.0,75.0,525.0,10.714,0.28,0.79,1.32,147.0,413.0,92.0,1.0,0
7,10.0,210.0,2100.0,21.0,0.333,0.86,3.4,693.0,1785.0,332.0,1.0,0
8,8.0,110.0,880.0,13.75,0.291,0.872,2.3,256.0,762.0,142.0,1.0,0
9,6.0,100.0,600.0,16.667,0.34,0.88,2.0,204.0,528.0,108.0,1.0,0
10,10.0,130.0,1300.0,13.0,0.312,0.705,2.45,406.0,917.0,146.0,1.0,0
11,6.0,90.0,540.0,15.0,0.233,0.853,1.12,126.0,460.0,110.0,1.0,0
12,12.0,150.0,1800.0,12.5,0.28,0.642,2.83,504.0,1152.0,204.0,1.0,0
13,3.0,40.0,120.0,13.333,0.762,0.985,6.5,91.0,118.0,8.0,2.0,0
14,8.0,170.0,1360.0,21.25,0.301,0.774,2.34,409.0,1057.0,173.0,1.0,0
15,13.0,200.0,2600.0,15.385,0.378,0.567,5.0,975.0,1460.0,270.0,1.0,0
16,5.0,30.0,150.0,6.0,0.417,1.0,2.0,62.0,150.0,14.0,2.0,0
17,10.0,100.0,1000.0,10.0,0.275,0.732,2.0,275.0,732.0,120.0,1.0,0
18,15.0,270.0,4050.0,18.0,0.35,0.587,4.43,1418.0,2372.0,328.0,1.0,0
19,2.0,25.0,50.0,12.5,0.85,1.0,8.75,43.0,50.0,4.0,2.0,0
20,9.0,210.0,1890.0,23.333,0.247,0.689,1.85,466.0,1304.0,273.0,1.0,0
21,6.0,12.0,72.0,2.0,0.302,0.978,1.29,22.0,70.0,16.0,1.0,0
22,10.0,32.0,320.0,3.2,0.298,0.811,1.52,95.0,259.0,40.0,1.0,0
23,8.0,148.0,1184.0,18.5,0.176,0.632,1.36,209.0,750.0,162.0,1.0,0
24,11.0,77.0,847.0,7.0,0.271,0.753,1.99,229.0,641.0,126.0,1.0,0
25,7.0,13.0,91.0,1.857,0.311,0.943,1.44,28.0,85.0,19.0,1.0,0
26,9.0,182.0,1638.0,20.222,0.159,0.617,1.38,260.0,1014.0,151.0,1.0,0
27,12.0,69.0,828.0,5.75,0.263,0.741,2.12,218.0,622.0,97.0,1.0,0
28,6.0,10.0,60.0,1.667,0.284,0.992,1.17,17.0,59.0,15.0,1.0,0
29,10.0,74.0,740.0,7.4,0.254,0.768,1.82,189.0,571.0,124.0,1.0,0
30,7.0,105.0,735.0,15.0,0.294,0.776,2.0,217.0,574.0,113.0,1.0,0
31,6.0,18.0,108.0,3.0,0.333,0.833,2.4,36.0,90.0,14.0,1.0,0
32,10.0,110.0,1100.0,11.0,0.309,0.736,1.91,340.0,810.0,135.0,1.0,0
33,4.0,4.0,16.0,1.0,0.313,0.938,1.5,5.0,15.0,4.0,1.0,0
34,8.0,150.0,1200.0,18.75,0.425,0.892,3.0,510.0,1068.0,192.0,1.0,0
35,5.0,8.0,40.0,1.6,0.275,0.55,4.0,11.0,22.0,5.0,1.0,0
36,9.0,100.0,900.0,11.11,0.25,0.783,2.1,225.0,703.0,142.0,1.0,0
37,7.0,70.0,490.0,10.0,0.314,0.816,2.29,154.0,400.0,68.0,1.0,0
38,6.0,9.0,54.0,1.5,0.352,0.944,1.67,19.0,51.0,9.0,1.0,0
39,10.0,190.0,1900.0,19.0,0.468,0.932,6.82,890.0,1770.0,300.0,1.0,0
40,6.0,134.0,804.0,22.333,0.312,0.689,1.62,250.0,552.0,98.0,1.0,0
41,4.0,21.0,84.0,5.25,0.554,0.932,2.17,46.0,78.0,19.0,1.0,0
42,13.0,98.0,1274.0,7.538,0.918,1.0,12.78,1175.0,1274.0,116.0,1.0,0
43,2.0,45.0,90.0,22.5,0.633,1.0,4.25,56.0,90.0,9.0,2.0,0
44,10.0,145.0,1450.0,14.5,0.245,0.692,1.68,355.0,1003.0,148.0,1.0,0
45,16.0,102.0,1632.0,6.375,0.942,1.0,15.23,1538.0,1632.0,117.0,1.0,0
46,5.0,98.0,490.0,19.6,0.193,0.545,1.34,95.0,264.0,100.0,1.0,0
47,20.0,167.0,3340.0,8.35,0.489,0.876,8.72,1627.0,2924.0,265.0,1.0,0
48,7.0,113.0,791.0,16.143,0.186,0.462,1.31,147.0,366.0,105.0,1.0,0
49,12.0,81.0,972.0,6.75,0.298,0.752,1.84,287.0,729.0,134.0,1.0,0
50,6.0,45.0,270.0,7.5,0.301,0.689,1.82,81.0,189.0,36.0,1.0,0
51,8.0,15.0,120.0,1.875,0.412,0.968,1.45,49.0,116.0,20.0,1.0,0
52,18.0,2.0,36.0,0.111,0.803,0.803,29.0,29.0,29.0,1.0,4.0,0
53,4.0,68.0,272.0,17.0,0.257,0.812,1.98,70.0,221.0,55.0,1.0,0
54,10.0,14.0,140.0,1.4,0.42,1.0,1.73,59.0,140.0,30.0,1.0,0
55,2.0,92.0,184.0,46.0,0.891,1.0,15.3,164.0,184.0,10.0,2.0,0
56,7.0,10.0,70.0,1.429,0.386,1.0,2.11,27.0,70.0,14.0,1.0,0
57,23.0,112.0,2576.0,4.869,0.912,0.978,18.4,2365.0,2535.0,141.0,1.0,0
58,5.0,8.0,40.0,1.6,0.675,1.0,3.2,27.0,40.0,7.0,1.0,0
59,1.0,76.0,76.0,76.0,0.879,1.0,11.8,67.0,76.0,5.0,2.0,0
60,7.0,44.0,308.0,6.286,0.358,0.845,2.02,108.0,259.0,49.0,1.0,0
61,11.0,38.0,418.0,3.455,0.504,0.964,2.98,210.0,400.0,61.0,1.0,0
62,5.0,48.0,240.0,9.6,0.231,0.652,1.32,55.0,156.0,44.0,1.0,0
63,16.0,62.0,992.0,3.875,0.755,0.931,14.56,747.0,934.0,45.0,1.0,0
64,2.0,38.0,76.0,19.0,0.179,1.0,0.91,13.0,76.0,8.0,1.0,0
65,10.0,46.0,460.0,4.6,0.385,0.743,2.54,177.0,343.0,57.0,1.0,0
66,9.0,34.0,306.0,3.778,0.578,0.912,3.01,176.0,279.0,52.0,1.0,0
67,14.0,102.0,1428.0,7.286,0.298,0.675,2.21,424.0,956.0,167.0,1.0,0
68,20.0,24.0,480.0,1.2,0.263,0.947,1.73,126.0,457.0,84.0,1.0,0
69,7.0,14.0,98.0,2.0,0.312,0.685,1.48,31.0,66.0,14.0,1.0,0
70,11.0,212.0,2332.0,19.273,0.271,0.858,1.89,635.0,1885.0,273.0,1.0,0
71,18.0,50.0,900.0,2.778,0.261,0.624,3.16,234.0,552.0,79.0,1.0,0
72,7.0,298.0,2086.0,42.571,0.156,0.599,1.13,328.0,1256.0,249.0,1.0,0
73,13.0,102.0,1326.0,7.846,0.329,0.826,2.68,436.0,1098.0,161.0,1.0,0
74,9.0,127.0,1143.0,14.111,0.315,0.862,2.45,360.0,985.0,149.0,1.0,0
75,15.0,73.0,1095.0,4.867,0.289,0.735,2.95,316.0,801.0,117.0,1.0,0
76,8.0,316.0,2528.0,39.5,0.142,0.619,1.18,360.0,1547.0,268.0,1.0,0
77,10.0,85.0,850.0,8.5,0.379,0.803,2.36,324.0,681.0,128.0,1.0,0
78,14.0,96.0,1344.0,6.857,0.295,0.773,2.73,397.0,1034.0,154.0,1.0,0
79,11.0,184.0,2024.0,16.727,0.251,0.831,2.03,508.0,1686.0,237.0,1.0,0
80,9.0,150.0,1350.0,16.67,0.275,0.729,2.04,371.0,979.0,234.0,1.0,0
