i,j,X,Y,L
42,405,611211.029211618,126820.76534241806,-13.928372923432129
159,404,488155.2414550924,655196.702279346,-21.668232462201743
42,405,611137.6239574747,656222.2378723978,-21.59943718969649
159,404,610534.5159219996,655662.1609713804,-13.983450551456038
73,404,610486.0102453757,655633.079590906,-13.985666989979396
74,404,610984.1260839471,1070429.6651417918,-21.609453810628235
42,404,610199.653261312,655353.3615760739,-21.657698003449056
159,404,610922.5659776011,656025.486320016,-13.951210300833456
159,404,610907.3371538506,655999.8838418943,-21.613955822134727
159,160,610869.3053632161,655972.5054534627,-21.616110516083637
159,404,683879.3664616874,655117.0771212492,-14.031741869216331
159,404,684319.8708801947,125609.38275431348,-21.650708313894697
74,404,611093.0652077162,126666.64132166812,-13.937686115348605
42,161,611567.6620059604,127317.84165729467,-13.899035155469964
159,276,610029.5668300634,125228.17399041116,-14.02462171405011
74,405,611303.0477720203,656365.265933731,-13.92057207747564
42,404,685037.3749345653,656022.304510822,-13.951392824466833
127,404,610897.3457452246,655999.9578441796,-13.953843586626776
159,404,610745.7830139236,655855.6649508188,-21.62396355215136
73,404,610387.5491387324,655531.8490175728,-21.645572534765453
159,405,611173.9639691488,549577.3756975787,-21.596684871627563
42,404,610743.6880950867,126212.63873588474,-13.965654548186428
73,75,610488.0245873847,1069400.5808482787,-21.640061288425485
159,276,610337.2714014013,1069125.2862857638,-13.997994829917577
159,404,609941.1809744387,125115.18175271928,-14.031344141042045
159,405,489223.25656238047,656187.9047145107,-21.601660846221737
159,276,844941.7801225178,1069421.9645179573,-21.639423655187464
159,404,610974.0540591491,656083.202610146,-13.946139457802271
42,404,610763.1067171667,655870.3903938314,-13.96468329812616
159,404,684714.4616436436,655768.8661961965,-13.974024327445935
42,404,684570.3359855082,125879.01107821491,-21.638608126334933
159,405,611156.4788761849,656247.3956141294,-13.931592426190957
159,404,684592.4945877002,125894.46808631462,-13.984369746591817
42,404,610570.5326624304,125971.86155899902,-13.98008681423944
159,404,610263.2249162322,1069004.5600281828,-21.651746386218058
43,405,611874.0144072414,127717.70235176236,-13.874829666566422
42,161,685522.2244049462,126988.9275042234,-21.5880081502591
74,404,685050.253675922,126460.26872061314,-21.61212239947052
42,404,797902.578329488,656097.4836058402,-21.607541374788006
73,404,343410.0943773338,548386.4375135313,-13.982446620488233
42,405,611250.7534894077,126897.28210898764,-13.924097740686536
43,162,612351.5057647494,128347.37911110037,-13.836759519322248
159,405,611349.7823026887,127012.54616043318,-21.58669384106888
42,405,489421.764155837,126964.3291313222,-13.920500393612924
74,277,610963.1763054164,1216254.9367874048,-13.948811746550769
159,404,609944.0814254895,1068276.1515860446,-21.67316129561776
159,404,611007.0902831752,656094.301941182,-13.945005364031111
42,404,684460.5853884966,125757.314234188,-13.993216177652553
159,404,610492.3755787142,655623.1637905589,-21.63979436769141
42,404,610454.8281146184,125792.47358307742,-21.642750171747917
73,276,610358.7038933604,125692.32901797647,-13.996554065851798
159,404,610662.1460764043,126091.27101543384,-13.972192616111805
73,404,610455.2309987579,281976.97109132964,-13.990491120199996
42,276,610048.1786609165,125245.26428488744,-14.02384581016338
159,404,609841.9191355681,547093.4364004332,-21.67855993658505
159,404,610747.3139736535,126203.60420867818,-13.966045648407546
159,405,611197.2506133929,126818.6972642372,-13.929161496906255
127,276,610413.0909702256,125757.74955752256,-21.644223125788624
159,404,610757.3053429353,655859.9567942912,-13.966000017499203
74,404,610939.809261393,656035.6977681648,-13.950089259031612
42,403,683554.3021747359,124748.98866728944,-21.690213046411294
73,404,610233.4936405068,1068894.2725374508,-14.007369967704037
