has_pets,has_high_education,tr_per_month,top2_interes,mean_tr,relation,age,top4_interes,sex,top1_interes,median_tr,top3_interes,top5_interes,is_parent
0,0,0.606,15,730.929,0,37,17,2,24,730.9,2,6,0
0,0,12.622,15,3199.957,0,31,18,2,23,645.0,14,24,0
0,1,22.051,24,705.917,4,49,9,2,6,300.0,17,22,0
0,0,2.867,10,6971.726,0,57,4,1,11,4900.0,9,6,0
0,0,14.873,11,3043.085,0,36,20,1,0,852.0,19,16,0
0,0,9.024,21,1226.087,0,23,11,2,6,439.5,24,21,0
0,0,25.7,15,1103.829,0,32,14,2,21,474.5,6,16,0
0,0,17.936,14,1448.977,0,44,23,2,2,500.0,24,6,0
0,0,3.805,19,11408.571,0,42,5,1,23,940.0,15,6,0
0,0,14.974,11,937.939,0,33,4,1,10,400.0,15,19,0
0,0,5.738,23,1246.532,0,47,11,1,15,479.0,5,19,1
0,0,46.842,14,941.509,0,26,23,1,15,199.0,21,3,0
0,0,2.0,10,30000.0,4,56,15,2,24,30000.0,2,17,0
0,0,2.867,8,21554.936,0,26,14,2,6,14500.0,2,11,0
0,0,2.341,16,1783.904,0,32,15,1,23,945.0,5,19,1
0,0,17.904,8,1413.895,0,31,23,2,11,498.0,6,16,1
0,0,12.722,18,3106.111,0,56,6,2,2,762.5,24,23,0
0,0,4.919,0,750.0,0,32,16,1,19,500.0,5,25,0
0,0,46.943,6,1069.903,0,35,15,2,8,652.0,14,7,1
0,0,2.611,8,882.749,0,23,21,1,15,265.0,3,23,0
0,1,2.746,15,1696.744,0,22,23,1,21,2000.0,6,14,0
0,0,4.734,23,637.857,0,36,7,2,24,500.0,8,15,0
0,0,10.146,23,1566.717,4,65,16,1,15,511.0,21,11,0
0,0,13.077,4,2271.936,0,38,15,1,19,545.0,16,5,1
0,0,3.553,0,821.0,0,26,19,1,11,821.0,5,16,0
0,0,5.382,21,1389.234,0,39,15,2,11,1299.0,23,24,1
0,0,1.647,15,1476.039,0,37,21,2,23,1062.0,6,24,1
