Netpay,Tectonic regime,Basin name,Oil recovery factor,Gas recovery factor,Latitude,Permeability,Operator company,Longitude,Country,Region,Hydrocarbon type,Porosity,Structural setting,Reservoir status,Gross,Reservoir unit,Depth,Lithology,Condensate recovery factor,Period,Onshore/offshore,Field name,Oil density
60.0,9,39,0.44,0.803,26.766,2000.0,155,-102.912,48,6.0,5,20.0,11.0,2,120.0,155,1714.2,11,0.513,17,1,317,829.912
24.2,0,117,0.27,0.77,26.917,60.0,46,-91.0,48,6.0,5,9.0,2.0,2,44.0,281,1710.0,11,0.513,17,0,8,876.161
60.0,0,64,0.0,0.749,38.34,1.0,178,-105.096,8,6.0,5,13.0,2.0,6,60.0,127,2755.0,11,0.513,15,0,34,875.342
36.0,0,63,0.37,0.719,32.945,250.0,166,-101.619,48,2.0,5,11.0,2.0,8,180.0,356,2463.6,11,0.513,4,1,34,898.183
5.0,9,63,0.44,0.813,55.538,1000.0,110,-91.096,8,6.0,5,22.0,7.0,7,34.5,185,3175.0,11,0.513,7,1,231,839.763
30.0,3,63,0.25,0.76,-2.766,0.0,110,2.133,9,2.0,5,10.0,1.0,5,75.0,46,3446.0,11,0.513,15,0,17,825.073
42.0,2,39,0.28,0.783,28.919,100.0,110,-115.069,8,2.0,5,20.0,4.0,2,120.0,148,827.8,11,0.513,12,0,263,766.0
75.0,0,64,0.42,0.77,36.833,1500.0,63,-101.912,48,3.0,5,30.0,6.0,2,75.0,362,1606.0,11,0.513,7,1,6,876.161
12.2,0,37,0.21,0.717,32.833,25.0,64,-70.533,48,1.0,5,20.0,2.0,4,22.0,133,1729.0,9,0.513,17,1,356,892.744
30.0,0,89,0.42,0.82,37.056,2.0,155,54.069,9,6.0,5,24.0,2.0,6,45.0,108,2128.0,11,0.513,15,1,439,839.763
3.3,2,39,0.4,0.71,38.1,3000.0,22,2.716,18,3.0,5,25.0,4.0,6,180.0,36,4267.9,11,0.513,12,1,6,852.29
10.6,9,115,0.35,0.72,36.731,7.0,110,-102.766,13,2.0,5,20.0,2.0,3,60.0,127,1805.0,11,0.513,7,1,104,839.763
9.8,0,37,0.0,0.717,37.838,4000.0,121,-105.013,48,3.0,5,26.0,2.0,7,42.0,308,2325.0,11,0.513,21,1,115,839.763
72.0,0,38,0.4,0.717,31.828,1.5,155,-90.858,48,6.0,5,22.0,3.0,12,75.0,311,3226.0,11,0.513,7,1,334,854.985
35.0,2,63,0.37,0.843,45.716,1000.0,104,-95.054,48,6.0,5,10.0,2.0,6,60.0,691,2735.0,11,0.513,7,1,2,942.776
24.0,0,82,0.447,0.76,53.433,15.0,110,-102.053,44,2.0,2,14.0,2.0,4,960.0,117,2181.0,11,0.513,21,1,6,855.562
14.9,0,115,0.35,0.73,53.038,2000.0,34,-101.722,8,6.0,5,26.0,7.0,2,60.0,2940,483.0,6,0.513,15,0,267,844.776
60.0,2,64,0.55,0.719,-35.079,450.0,128,-114.867,46,6.0,5,18.0,8.0,5,60.0,101,2792.4,9,0.513,7,0,267,829.0
42.0,9,115,0.27,0.778,39.984,25.0,166,107.62,48,6.0,5,10.0,10.0,2,105.0,391,3075.0,11,0.513,12,0,217,860.182
36.0,0,115,0.55,0.71,44.433,0.5,114,-116.538,48,6.0,5,11.838,6.0,4,30.0,361,2962.0,11,0.513,7,1,391,857.593
