AverageMInFile,NumSatisfactoryTrades,ExternalRiskEstimate,MSinceOldestTradeOpen,MSinceMostRecentTradeOpen,PercentTradesWBalance,NumBank2NatlTradesWHighUtilization,MaxDelqEver,NumTrades90Ever2DerogPubRec,NumTrades60Ever2DerogPubRec,MaxDelq2PublicRecLast12M,NumInqLast6M,MSinceMostRecentInqexcl7days,NumTradesOpeninLast12M,MSinceMostRecentDelq,PercentInstallTrades,NetFractionInstallBurden,NumInqLast6Mexcl7days,NetFractionRevolvingBurden,PercentTradesNeverDelq,NumRevolvingTradesWBalance,NumInstallTradesWBalance,NumTotalTrades,RiskPerformance
63,20,61,121,5,71,1,6,0,0,4,1,4,1,1,25,31,1,30,95,3,3,20,0
52,15,66,135,6,75,3,8,0,0,7,3,0,1,-7,50,74,3,78,100,5,4,16,1
70,40,80,143,5,58,0,8,0,0,7,1,0,3,-7,17,42,1,13,100,6,2,41,1
78,27,56,203,4,33,2,6,0,0,4,2,0,1,2,37,-8,2,32,96,3,1,27,0
81,27,82,197,1,50,0,6,0,0,6,1,0,2,24,45,72,1,10,97,2,2,31,1
63,20,61,122,6,71,2,6,0,0,6,4,0,1,12,17,-8,4,52,86,4,1,17,0
83,31,65,188,2,78,1,6,0,0,4,1,0,1,3,58,62,1,44,85,4,3,33,0
85,18,82,171,8,88,0,8,0,0,7,1,0,1,-7,44,51,1,13,100,3,3,18,0
59,17,76,74,16,44,1,8,0,0,7,0,-7,0,-7,12,-8,0,31,100,2,1,17,0
61,11,83,120,12,43,0,6,0,0,6,0,11,0,19,45,39,0,6,91,1,2,11,1
72,8,67,132,5,100,0,5,0,1,6,1,-7,1,12,44,27,1,41,67,3,2,9,0
62,18,72,113,9,80,1,6,0,0,6,1,0,1,17,33,68,1,29,89,4,2,18,0
86,16,72,160,3,71,0,5,0,1,4,0,-7,1,1,44,69,0,13,94,2,3,17,0
76,22,83,160,5,44,0,6,0,0,6,1,0,2,40,18,-8,1,2,95,4,1,22,1
71,30,78,201,7,16,0,6,0,0,6,3,0,2,40,26,-8,3,10,97,1,2,32,1
52,28,63,98,4,65,2,6,0,0,6,2,2,3,18,29,1,2,55,93,8,3,28,1
81,28,61,266,5,80,2,6,0,0,6,2,2,2,24,23,66,1,56,97,11,2,29,1
61,27,76,175,6,33,0,3,1,1,6,0,0,2,13,39,-8,0,0,93,1,2,28,1
80,28,62,188,7,89,5,6,0,0,6,1,3,1,76,50,80,1,96,87,6,2,34,0
69,40,78,179,7,67,0,8,0,0,7,0,6,3,-7,26,39,0,14,100,4,4,41,1
70,22,79,179,7,57,0,8,0,0,7,0,9,1,-7,14,53,0,14,100,3,2,23,1
84,16,83,171,12,60,0,8,0,0,7,1,0,0,-7,38,54,1,16,100,2,3,16,1
86,14,64,205,4,100,2,4,1,1,6,2,0,2,54,59,92,2,80,86,4,2,36,0
58,16,78,123,4,60,1,8,0,0,7,2,-7,3,-7,19,56,2,27,100,2,2,16,1
99,26,69,186,13,70,2,6,0,0,6,1,0,0,18,23,-8,1,53,88,5,1,26,0
14,4,67,32,3,100,-8,8,0,0,7,4,0,2,-7,50,-8,3,92,100,3,1,5,0
80,11,71,114,12,57,0,6,0,0,4,1,0,0,0,27,-8,1,24,82,3,1,13,1
80,13,77,151,3,80,0,8,0,0,7,2,3,3,-7,29,-8,2,33,100,3,1,14,1
81,24,79,187,8,24,0,8,0,0,7,0,10,1,-7,24,-8,0,10,100,1,1,47,1
97,12,90,122,8,75,0,8,0,0,7,0,14,1,-7,33,39,0,5,100,2,2,12,1
69,18,66,242,7,100,1,8,2,2,6,1,-7,1,-7,47,89,1,56,100,5,1,31,1
95,34,61,274,4,86,3,6,0,0,6,2,0,3,22,31,84,2,75,94,9,3,35,0
81,26,77,232,1,58,1,8,0,0,7,2,1,2,-7,7,-8,2,15,100,6,1,30,1
105,11,82,281,17,56,1,8,0,0,7,0,16,0,-7,9,-8,0,25,100,4,1,12,1
82,31,81,232,2,50,0,8,0,0,7,1,1,2,-7,24,50,1,11,100,3,3,33,1
85,26,80,254,7,58,0,8,0,0,7,0,24,2,-7,23,57,0,22,100,4,2,26,1
100,11,72,414,10,71,1,8,0,0,7,0,0,1,-7,36,52,0,50,100,3,2,11,1
87,24,67,228,5,80,1,6,0,0,4,1,0,2,5,33,77,1,56,92,3,3,24,0
81,26,77,284,1,69,1,8,0,0,7,2,1,3,-7,46,54,2,16,100,3,6,28,1
73,8,88,184,15,40,0,8,0,0,7,0,-7,0,-7,25,-8,0,6,100,1,1,8,1
78,13,74,51,20,50,0,8,1,1,7,2,-7,0,-7,31,-8,2,26,100,1,1,14,1
55,12,87,180,10,80,0,8,0,0,7,1,-7,1,-7,25,42,1,15,100,2,2,12,1
75,6,88,177,12,25,0,8,0,0,7,0,-7,0,-7,17,-8,0,3,100,1,-8,6,1
111,28,68,257,3,77,2,6,0,0,6,1,-7,2,41,21,70,1,71,93,9,2,29,1
63,19,78,121,13,80,1,8,0,0,7,0,12,0,-7,35,71,0,63,100,2,2,20,1
105,22,73,228,3,71,1,5,0,1,6,2,3,2,69,25,69,2,30,96,4,3,24,1
117,11,74,211,21,100,1,5,0,1,6,0,0,0,35,31,46,0,46,92,5,2,12,0
79,18,73,247,12,88,1,4,1,1,6,0,-7,0,29,32,64,0,58,95,5,2,19,0
68,34,74,179,5,50,1,8,0,0,7,0,0,3,-7,26,59,0,23,100,6,3,36,1
100,39,83,238,6,80,0,6,0,0,6,0,0,2,39,29,43,0,12,95,7,3,41,1
59,17,77,128,2,45,1,8,0,0,7,4,0,3,-7,33,76,4,34,100,2,3,18,1
79,16,78,160,2,55,0,3,1,1,6,1,0,2,18,47,100,1,4,94,2,2,17,1
55,12,87,139,11,43,0,8,0,0,7,0,-7,1,-7,25,70,0,7,100,1,2,12,1
100,27,69,227,6,70,1,6,0,0,4,1,5,1,3,41,26,1,15,89,5,15,27,0
63,22,63,132,7,89,2,6,0,0,6,1,0,1,51,44,84,1,76,96,4,4,24,0
59,35,81,141,2,53,0,8,0,0,7,6,2,7,-7,19,-8,6,12,100,7,2,36,1
70,11,74,177,11,100,0,6,0,0,6,0,0,1,11,55,74,0,42,91,2,3,11,0
100,44,74,370,5,56,2,6,0,0,6,1,4,2,39,20,60,1,15,95,9,2,44,1
76,38,81,213,3,38,0,8,0,0,7,2,2,2,-7,20,-8,2,18,100,4,1,41,1
64,44,86,188,4,20,0,8,0,0,7,1,-7,3,-7,40,-8,0,2,100,1,1,44,1
70,7,59,107,15,50,-8,5,0,2,3,0,0,0,2,40,-8,0,0,20,0,1,10,0
93,24,64,265,15,78,2,6,1,1,4,0,0,0,8,35,55,0,54,92,7,2,26,0
95,23,89,202,13,25,0,8,0,0,7,0,12,0,-7,17,-8,0,3,100,1,1,23,1
76,40,82,155,7,62,0,8,0,0,7,0,-8,2,-7,25,70,0,18,100,6,3,40,1
79,24,80,207,3,88,0,8,0,0,7,2,3,2,-7,38,81,2,37,100,4,3,24,1
69,21,64,170,9,91,3,5,0,2,6,2,1,2,56,50,66,2,92,78,4,6,26,0
63,20,61,118,4,71,1,6,0,0,4,1,3,1,5,15,31,1,30,95,3,3,20,0
79,18,77,180,11,75,0,3,1,1,6,0,-7,1,22,75,81,0,1,95,1,3,20,1
103,42,82,220,4,36,0,8,0,0,7,1,0,2,-7,14,-8,1,13,100,4,2,22,1
77,28,88,220,2,14,0,8,0,0,7,0,8,3,-7,48,-8,0,0,100,0,2,31,1
84,19,84,182,14,50,0,8,0,0,7,0,0,0,-7,16,51,0,12,100,3,2,19,1
