fork,freemem,lread,freeswap,swrite,runqsz,sread,lwrite,target,scall,wchar,exec,rchar
0.4,159,2,1123099,194,1.3,213,1,86,3723,118240,0.6,126658
0.6,264,393,1333863,141,3.8,273,404,89,4310,245543,2,224160
0.6,1014,2,1743666,60,1.6,108,1,94,1922,12972,0.4,302647
0.4,3774,2,1821341,17,2,22,1,97,254,26468,1.6,92792
0.2,7309,1,1869372,30,1.2,17,1,97,214,29992,0.2,7359
0.4,152,9,1087258,88,2,102,8,92,1509,71547,0.4,116728
0.2,178,0,1013480,67,1,76,0,95,2015,49200,0.2,40551
0.2,7360,0,1865208,16,1,15,0,99,159,2755,0.2,452
1.2,1332,4,1613035,184,5,169,2,87,2129,280690,2.6,220260
0.4,142,44,1071472,205,1.5,262,59,84,5763,57054,0.4,152480
0.2,95,11,5,49,330,74,8,0,1153,31350,0.2,94959
1,154,18,972461,327,5,351,2,71,4780,481231,1.4,735191
0.2,136,84,1752424,95,2,100,95,86,617,94110,0.2,22235
0.4,336,42,1064146,125,3.8,145,58,90,2302,50059,0.6,10686
0.2,1326,0,1745715,53,2.6,169,0,98,555,201206,0.2,370181
0.2,219,44,990363,130,1.4,148,43,92,985,34174,0.2,29097
0.2,133,1,1715848,65,2.6,104,1,84,630,176457,0.2,224349
1.4,253,25,1104155,96,3,141,35,89,1558,17556,0.6,21185
0.4,1527,2,1023142,325,1.3,296,0,88,2065,26175,0.6,109498
0.2,136,1,1539870,128,2.6,113,0,93,1930,244514,0.2,134171
0.6,121,6,977595,167,3.2,231,5,83,12493,96174,0.8,201271
0.2,7738,1,1882360,22,1,15,1,98,195,9542,0.2,10279
0.4,130,126,975880,228,1,258,30,89,1697,127353,0.4,92249
0.2,1334,0,1761776,34,1.2,27,0,97,189,18709,0.2,772
0.2,135,0,1746265,52,1,51,0,98,435,27422,0.2,10361
0.4,89,7,11,77,212,112,4,0,1614,59856,0.4,103997
0.6,490,2,1097225,116,1.8,295,0,91,2437,22330,1.4,40305
0.6,632,1,1061534,219,1,461,0,88,2156,69430,1,145309
0.4,1350,1,1713304,25,2,41,0,96,506,4161,1.4,1401
0.2,693,15,1722062,39,2,60,21,96,390,10564,0.2,4844
1.2,310,10,1065315,85,3.5,157,8,83,1964,27543,2.4,115996
0.4,142,0,1014038,69,1.2,105,0,92,1270,26040,0.4,106063
0.6,152,1,1014445,227,1,261,0,89,2313,24670,0.8,7620
0.2,7292,1,1863744,14,1.2,14,1,98,191,4533,0.2,7018
0.4,93,18,7,148,349,414,12,0,1061,636561,1.8,733653
0.2,297,1,1015237,216,2.5,288,0,89,4489,44999,0.2,22982
0.2,281,2,1735946,119,1.6,147,1,90,2288,23476,0.2,111699
0.2,6458,0,1871616,15,1.2,8,0,98,148,3942,0.2,423
0.4,3361,3,1819552,25,2.2,30,2,97,277,6858,0.4,22035
0.2,7261,1,1868646,29,1,23,1,98,231,2909,0.2,19505
1.8,145,20,1038234,192,2.4,355,14,80,3720,398844,1.2,425236
0.2,219,1,981977,83,1.5,117,0,94,1482,63869,0.2,57224
0.2,7549,0,1870232,15,1,14,0,98,201,4909,0.2,705
0.2,6454,1,1871424,40,1,19,1,97,318,12604,0.6,32972
0.2,131,596,1352968,61,5.8,95,0,76,2779,5895,0.2,593425
0.2,136,0,1711002,50,3,59,0,97,303,15020,0.2,2072
1.8,151,2,1069188,116,1,132,0,93,1539,17639,0.6,117877
0.2,140,1,1034957,62,1.5,114,0,93,1333,21894,0.2,141952
0.2,7306,0,1863872,20,1,17,0,98,173,4817,0.2,456
0.2,5270,0,1856587,24,1,15,0,98,169,5621,0.2,429
0.2,130,0,1757261,81,2,127,0,81,2363,107566,0.2,638295
0.2,7728,1,1882194,22,1,16,1,98,196,14682,0.2,11917
0.4,3771,2,1771147,62,2.6,97,1,87,1116,57307,0.6,298029
0.4,130,1,1131931,101,3,205,0,88,2165,44139,1.2,43107
0.6,91,11,9,134,394,149,5,0,3900,30298,0.6,197230
0.2,297,37,1738584,52,1.2,52,42,89,1295,20187,0.2,16813
0.2,130,8,1044431,300,1.2,367,0,89,1803,229603,0.2,516137
0.2,148,5,1724532,91,1.2,116,5,93,2307,70594,0.2,67285
0.2,130,1,1745911,48,1.2,71,0,97,795,25139,0.2,108337
0.2,687,0,1769155,98,1.8,180,0,89,2351,50448,0.2,51956
0.6,632,1,1061534,219,1,461,0,88,2156,69430,1,145309
0.2,266,0,1709136,148,2.4,140,0,93,2879,34852,0.2,5634
0.2,8359,2,1869392,16,1.6,49,2,98,378,12519,0.2,21735
0.2,1334,0,1761776,34,1.2,27,0,97,189,18709,0.2,772
0.2,613,3,1016112,58,1.5,73,2,94,712,64419,0.2,18641
1.6,158,19,1006832,240,1,337,7,74,4247,147253,2.8,372442
0.2,134,1,1073443,195,1.5,319,0,88,5414,69238,0.2,95095
1.2,134,16,1056598,108,1.7,124,1,88,2425,100614,1.2,154629
0.4,136,68,1044910,332,4.2,338,70,91,2012,30496,1,39811
0.2,6938,0,1879152,32,1,18,0,99,470,7117,0.2,5392
1.2,362,52,966408,91,1.6,165,60,88,1367,32978,2,40521
0.2,7731,2,1866403,14,1,10,1,98,214,44773,0.2,9873
0.2,93,5,7,129,632,165,4,0,825,53619,0.2,83366
0.2,6870,2,1854566,29,1,20,1,98,264,57715,0.2,14453
0.4,188,1,1081674,92,1,120,0,92,1458,28056,0.4,26906
0.6,178,1,973330,88,2,89,0,95,813,22412,0.6,5816
0.2,130,8,1044431,300,1.2,367,0,89,1803,229603,0.2,516137
0.4,2120,2,988291,94,4.6,90,1,96,1804,86746,1.8,31422
0.2,140,0,1708843,156,2.2,119,0,93,2797,102698,0.2,10956
0.4,180,2,1129489,86,1,125,1,93,1806,53360,0.6,55432
0.2,7205,1,1874080,37,1,12,1,99,209,15749,0.2,10272
0.2,131,0,1755281,177,2.4,218,0,83,3705,173263,0.2,205718
0.4,286,1,1091176,196,3.2,256,0,92,2047,26139,1.8,639654
0.2,7228,3,1847149,11,1,12,1,97,161,7448,0.2,3642
0.6,151,4,1740303,63,1.6,121,0,87,865,21455,0.6,376896
0.6,1200,1,1131838,96,1,132,0,91,1272,27883,1.2,264635
0.2,178,0,1013480,67,1,76,0,95,2015,49200,0.2,40551
0.4,180,0,1017812,157,1,157,0,92,6450,54104,0.6,9174
0.2,579,0,1732672,13,1,12,0,97,197,11485,0.2,815
0.2,7240,0,1863624,15,1,13,0,98,158,6400,0.2,448
0.2,8358,1,1864774,92,1.2,59,1,94,1630,383465,0.2,22811
1.2,133,3,1703250,44,3.4,74,0,94,1131,8905,1.8,77364
0.2,1402,1,1075176,74,4.2,91,1,93,1563,16897,0.2,18554
0.2,95,14,5,61,370,77,5,0,1238,56627,0.2,107535
0.2,7360,0,1865208,16,1,15,0,99,159,2755,0.2,452
0.2,7385,1,1874944,24,1,12,1,99,194,11991,0.2,10678
0.4,377,6,1059522,85,2,63,1,96,1052,29507,0.4,29462
0.2,8359,2,1869392,16,1.6,49,2,98,378,12519,0.2,21735
0.4,3172,25,1637477,148,2.6,140,13,92,3659,199521,0.4,165106
1.2,402,1,1728380,109,3,253,0,88,3095,15387,0.4,1045007
0.4,129,0,992258,56,2.8,132,0,90,1599,30538,1.8,61352
0.2,6870,1,1853226,31,1,14,1,98,310,127742,0.2,6266
0.2,134,1,1089550,68,1.4,68,0,97,1086,21133,0.2,3146
0.2,6870,2,1854566,29,1,20,1,98,264,57715,0.2,14453
0.6,359,0,1029237,97,1,138,0,92,1345,31895,1.2,121947
0.2,119,23,1016200,120,1,91,33,92,4590,53278,0.2,79232
0.2,178,2,1085574,77,2.5,104,1,96,1420,23573,0.2,8669
0.2,2668,0,1771728,16,1,15,0,96,186,18527,0.2,17025
0.2,147,5,1064287,109,2.2,146,1,92,3343,30929,0.2,6854
0.4,95,2,5,90,395,122,0,0,2085,35006,0.6,56988
0.2,129,23,1089048,71,2,76,34,95,839,54700,0.2,22834
0.2,7360,0,1865208,16,1,15,0,99,159,2755,0.2,452
0.2,7309,1,1869372,30,1.2,17,1,97,214,29992,0.2,7359
0.4,159,1,1023106,59,1,146,1,92,1075,64385,0.4,441386
0.2,8312,1,1835272,26,1.2,44,1,97,246,9714,0.2,23591
0.2,140,3,1521426,922,2.6,1025,2,87,6051,164297,0.2,274243
0.4,180,6,1022267,132,1,154,4,93,2006,33351,1,179464
0.2,133,2,1014048,50,1,54,1,96,818,13939,0.2,1114
0.2,140,3,1521426,922,2.6,1025,2,87,6051,164297,0.2,274243
0.2,11958,0,1884974,9,1,8,0,98,133,6114,0.2,977
0.2,297,1,1752533,64,1.4,84,1,97,938,27656,0.2,4789
1.4,193,6,1057043,97,3,154,4,87,1263,28906,2.99,449239
0.2,7380,2,1868882,22,1,52,1,98,310,6656,0.2,261896
1.4,157,3,1099906,163,2,348,1,83,3167,37133,1.4,91118
